レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中
202601062401,2,3,1,3,4,1,×,×,○,×,差し,差し,○
202601062402,1,2,3,4,1,6,×,×,×,×,逃げ,差し,×
202601062403,2,1,5,2,1,5,○,○,○,○,逃げ,差し,×
202601062404,1,4,2,1,4,3,○,○,×,×,差し,逃げ,×
202601062405,1,3,4,1,4,2,○,×,×,×,差し,逃げ,×
202601062406,1,3,2,3,2,1,×,×,×,×,逃げ,差し,×
202601062407,1,4,3,1,3,4,○,×,×,×,逃げ,逃げ,○
202601062408,1,2,5,2,3,5,×,×,○,×,逃げ,,-
202601062409,1,3,4,1,4,2,○,×,×,×,逃げ,逃げ,○
202601062410,1,2,3,1,2,6,○,○,×,×,逃げ,逃げ,○
202601062411,1,2,6,1,2,6,○,○,○,○,逃げ,逃げ,○
202601062412,1,3,2,1,3,5,○,○,×,×,逃げ,逃げ,○
202601062301,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202601062302,1,2,3,1,2,3,○,○,○,○,逃げ,差し,×
202601062304,1,4,2,1,2,6,○,×,×,×,逃げ,逃げ,○
202601062305,2,3,4,1,2,4,×,×,○,×,差し,逃げ,×
202601062306,3,2,5,1,3,2,×,×,×,×,差し,逃げ,×
202601062307,5,3,4,3,5,1,×,×,×,×,差し,まくり,×
202601062308,3,4,1,3,2,1,○,×,○,×,差し,差し,○
202601062309,1,2,3,1,3,2,○,×,×,×,逃げ,逃げ,○
202601062310,1,4,2,2,1,4,×,×,×,×,逃げ,差し,×
202601062311,1,4,5,2,5,4,×,×,×,×,逃げ,差し,×
202601062312,1,2,4,1,2,4,○,○,○,○,逃げ,逃げ,○
202601060101,1,1,2,1,3,2,○,×,○,×,逃げ,逃げ,○
202601060103,1,3,1,3,5,6,×,×,×,×,逃げ,差し,×
202601060104,1,1,2,2,3,5,×,×,×,×,逃げ,まくり,×
202601060105,1,1,2,6,4,1,×,×,×,×,逃げ,差し,×
202601060107,1,1,2,1,2,3,○,×,×,×,逃げ,逃げ,○
202601060109,1,1,3,1,3,2,○,×,×,×,逃げ,,-
202601060110,1,1,2,1,3,6,○,×,×,×,逃げ,逃げ,○
202601060111,1,1,3,1,3,4,○,×,×,×,逃げ,逃げ,○
202601060112,1,1,2,4,5,6,×,×,×,×,逃げ,まくり,×
202601062001,1,2,3,3,1,2,×,×,×,×,逃げ,まくり,×
202601062002,1,3,2,6,1,2,×,×,○,×,逃げ,,-
202601062003,1,2,3,1,4,2,○,×,×,×,逃げ,逃げ,○
202601062004,1,3,2,1,4,2,○,×,○,×,逃げ,逃げ,○
202601062005,1,4,2,1,2,3,○,×,×,×,逃げ,逃げ,○
202601062006,1,2,4,1,3,2,○,×,×,×,逃げ,逃げ,○
202601062007,1,3,2,1,3,2,○,○,○,○,逃げ,逃げ,○
202601062008,1,3,4,1,3,2,○,○,×,×,逃げ,逃げ,○
202601062009,1,2,4,1,5,4,○,×,○,×,逃げ,逃げ,○
202601062010,1,3,2,1,3,5,○,○,×,×,逃げ,逃げ,○
202601062011,1,2,4,1,2,6,○,○,×,×,逃げ,逃げ,○
202601062012,1,3,2,1,4,2,○,×,○,×,逃げ,逃げ,○
202601061901,1,3,2,1,2,4,○,×,×,×,逃げ,逃げ,○
202601061902,1,2,4,3,2,1,×,○,×,×,逃げ,差し,×
202601061903,1,4,2,6,2,1,×,×,×,×,逃げ,まくり,×
