レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中
202601210201,4,1,2,2,3,1,×,×,×,×
202601210202,2,3,5,4,1,5,×,×,○,×
202601210203,2,5,3,1,2,4,×,×,×,×
202601210204,3,2,6,4,6,2,×,×,×,×
202601210205,6,1,4,2,1,3,×,○,×,×
202601210206,3,1,4,1,3,4,×,×,○,×
202601210207,1,6,3,3,4,6,×,×,×,×
202601210208,4,2,3,1,2,4,×,○,×,×
202601210209,3,2,5,6,3,1,×,×,×,×
202601210210,4,1,2,4,1,2,○,○,○,○
202601210211,6,1,4,1,2,4,×,×,○,×
202601210212,1,2,5,3,4,1,×,×,×,×
202601210801,1,4,5,1,4,2,○,○,×,×
202601210802,3,4,1,2,1,5,×,×,×,×
202601210803,2,3,5,6,2,5,×,×,○,×
202601210804,1,6,3,1,3,2,○,×,×,×
202601210805,6,2,4,2,5,4,×,×,○,×
202601210806,6,4,5,6,2,5,○,×,○,×
202601210807,2,3,4,6,5,2,×,×,×,×
202601210808,5,2,6,1,2,4,×,○,×,×
202601210809,5,6,3,5,1,6,○,×,×,×
202601210810,3,4,5,1,2,4,×,×,×,×
202601210811,2,6,1,1,2,3,×,×,×,×
202601210812,4,5,1,1,3,5,×,×,×,×
202601211001,1,4,5,1,2,4,○,×,×,×
202601211002,5,1,6,1,6,2,×,×,×,×
202601211003,1,4,6,1,4,2,○,○,×,×
202601211004,1,5,3,3,5,1,×,○,×,×
202601211005,1,3,5,1,6,3,○,×,×,×
202601211006,3,1,5,5,1,2,×,○,×,×
202601211007,6,3,2,3,1,4,×,×,×,×
202601211008,4,2,5,1,4,3,×,×,×,×
202601211009,4,5,3,3,1,4,×,×,×,×
202601211010,5,2,3,5,1,6,○,×,×,×
202601211011,1,4,2,1,5,3,○,×,×,×
202601211012,2,4,5,1,4,6,×,○,×,×
202601211401,3,6,1,1,6,3,×,○,×,×
202601211402,3,2,5,5,4,1,×,×,×,×
202601211403,6,4,2,1,2,3,×,×,×,×
202601211404,4,3,1,2,4,1,×,×,○,×
202601211405,5,4,1,4,2,5,×,×,×,×
202601211406,5,4,1,1,2,5,×,×,×,×
202601211407,1,2,5,3,2,4,×,○,×,×
202601211408,1,2,5,5,2,1,×,○,×,×
202601211409,5,4,1,1,2,6,×,×,×,×
202601211410,4,1,6,2,4,3,×,×,×,×
202601211411,1,3,2,3,1,6,×,×,×,×
202601211412,4,1,5,1,4,3,×,×,×,×
202601211601,1,6,2,1,2,3,○,×,×,×
202601211602,3,4,1,1,3,4,×,×,×,×
202601211603,2,3,4,5,4,1,×,×,×,×
202601211604,3,6,4,1,4,6,×,×,×,×
202601211605,4,3,1,1,3,5,×,○,×,×
202601211606,6,5,3,1,3,2,×,×,×,×
202601211607,4,3,1,2,3,6,×,○,×,×
202601211608,4,2,1,1,2,4,×,○,×,×
202601211609,6,3,5,1,3,5,×,○,○,×
202601211610,1,5,4,3,1,5,×,×,×,×
202601211611,1,5,3,1,2,6,○,×,×,×
202601211612,2,6,3,1,3,4,×,×,×,×
202601211801,2,1,3,1,2,5,×,×,×,×
202601211802,6,3,5,2,3,1,×,○,×,×
202601211803,1,5,2,4,6,2,×,×,○,×
202601211804,1,3,5,3,4,5,×,×,○,×
202601211805,3,1,4,1,6,5,×,×,×,×
202601211806,1,5,2,1,6,5,○,×,×,×
202601211807,2,5,1,1,3,4,×,×,×,×
202601211808,1,3,5,2,5,1,×,×,×,×
202601211809,3,1,2,5,1,2,×,○,○,×
202601211810,5,3,2,1,5,2,×,×,○,×
202601211811,4,3,1,1,2,3,×,×,×,×
202601211812,2,1,4,1,2,4,×,×,○,×
