レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中,艇1_予想コース,艇1_実際コース,艇2_予想コース,艇2_実際コース,艇3_予想コース,艇3_実際コース,艇4_予想コース,艇4_実際コース,艇5_予想コース,艇5_実際コース,艇6_予想コース,艇6_実際コース,コース一致数,進入完全一致,艇1_予想ST,艇1_実際ST,艇2_予想ST,艇2_実際ST,艇3_予想ST,艇3_実際ST,艇4_予想ST,艇4_実際ST,艇5_予想ST,艇5_実際ST,艇6_予想ST,艇6_実際ST,ST_MAE
202603302401,1,3,2,2,3,1,×,○,×,×,逃げ,まくり,×,4,1.0,1,2.0,2,3.0,6,4.0,5,5.0,3,6.0,1,×,0.027,0.23,0.044,0.27,-0.014,0.28,0.206,0.27,0.084,0.27,0.067,0.37,0.21266666666666667
202603302402,3,1,2,6,1,4,×,○,×,×,逃げ,差し,×,3,1.0,5,2.0,2,3.0,1,4.0,4,6.0,6,5.0,0,×,0.143,0.06,0.037,0.07,-0.022,0.14,0.083,0.15,0.016,0.09,0.167,0.05,0.08933333333333333
202603302403,1,3,2,5,1,6,×,×,×,×,逃げ,差し,×,2,1.0,1,3.0,3,4.0,5,5.0,6,2.0,4,6.0,1,×,0.053,0.22,0.027,0.16,0.011,0.16,0.034,0.18,0.107,0.12,0.018,0.16,0.12500000000000003
202603302404,1,5,4,2,1,4,×,×,○,×,逃げ,差し,×,6,1.0,4,2.0,5,3.0,2,4.0,3,6.0,1,5.0,0,×,0.004,0.23,0.076,0.14,0.048,0.1,0.064,0.13,-0.017,0.19,-0.02,0.15,0.13083333333333333
202603302405,4,1,2,2,1,5,×,○,×,×,差し,差し,○,6,1.0,4,2.0,5,3.0,1,4.0,2,5.0,3,6.0,0,×,0.136,0.1,-0.032,0.08,0.004,0.15,0.017,0.19,0.09,0.18,0.04,0.25,0.12783333333333333
202603302406,1,5,3,1,5,3,○,○,○,○,逃げ,逃げ,○,3,1.0,4,2.0,2,3.0,5,4.0,1,5.0,6,6.0,1,×,0.053,0.17,-0.008,0.17,0.018,0.2,0.164,0.16,-0.025,0.14,0.03,0.11,0.12100000000000001
202603302407,1,2,3,1,5,3,○,×,○,×,逃げ,逃げ,○,1,1.0,3,2.0,5,3.0,4,4.0,6,5.0,2,6.0,2,×,-0.051,0.09,-0.043,0.15,-0.022,0.17,0.018,0.15,0.011,0.18,0.073,0.21,0.16066666666666665
202603302408,1,6,4,1,2,6,○,×,×,×,逃げ,逃げ,○,4,1.0,5,2.0,3,3.0,6,5.0,2,4.0,1,6.0,1,×,0.159,0.17,-0.028,0.12,0.032,0.14,-0.025,0.14,0.068,0.32,-0.059,0.14,0.14716666666666667
202603302409,1,6,2,1,2,5,○,×,×,×,逃げ,逃げ,○,2,1.0,4,3.0,5,4.0,3,5.0,6,2.0,1,6.0,0,×,0.026,0.12,0.043,0.1,0.129,0.17,0.113,0.19,0.181,0.13,-0.019,0.27,0.10149999999999999
202603302410,1,3,2,1,3,2,○,○,○,○,逃げ,逃げ,○,4,1.0,6,2.0,1,3.0,2,4.0,3,5.0,5,6.0,0,×,0.033,0.21,-0.045,0.19,-0.012,0.2,0.113,0.17,-0.025,0.15,-0.004,0.11,0.16166666666666668
