レースコード,予想1着,予想2着,予想3着,予想決まり手,艇1_予想コース,艇2_予想コース,艇3_予想コース,艇4_予想コース,艇5_予想コース,艇6_予想コース,艇1_予想ST,艇2_予想ST,艇3_予想ST,艇4_予想ST,艇5_予想ST,艇6_予想ST
202603242201,1,2,5,逃げ,1,4,3,5,2,6,0.202,0.233,0.15,0.105,0.134,0.223
202603242202,4,5,2,逃げ,6,3,4,1,5,2,0.084,0.094,0.227,0.119,0.173,0.127
202603242203,1,2,4,逃げ,1,4,6,2,3,5,0.114,0.138,0.146,0.193,0.062,0.125
202603242204,6,2,5,逃げ,6,4,2,5,3,1,0.072,0.098,0.13,0.088,0.146,0.092
202603242205,3,1,2,逃げ,4,2,1,3,6,5,0.099,0.017,0.122,0.142,0.196,0.097
202603242206,1,6,2,逃げ,2,4,5,3,6,1,0.098,0.095,0.075,0.062,0.11,0.063
202603242207,1,2,3,逃げ,1,2,4,5,3,6,0.036,0.179,0.124,0.119,0.058,0.107
202603242208,2,3,5,逃げ,6,1,2,4,3,5,0.146,0.132,0.121,0.103,0.183,0.171
202603242209,3,1,5,逃げ,3,5,1,6,2,4,0.066,0.108,0.151,0.148,0.098,0.149
202603242210,6,3,5,逃げ,3,5,2,6,4,1,0.092,0.12,0.127,0.139,0.128,0.124
202603242211,1,2,4,逃げ,1,4,6,2,5,3,0.067,0.1,0.14,0.097,0.149,0.119
202603242212,4,1,2,逃げ,4,2,3,1,5,6,0.163,0.118,0.198,0.103,0.1,0.137
202603242001,1,4,6,逃げ,2,5,6,1,4,3,0.125,0.134,0.077,0.079,0.042,0.064
202603242002,5,1,2,逃げ,5,4,2,3,1,6,0.041,0.091,0.085,0.027,0.073,0.146
202603242003,1,3,2,逃げ,3,4,1,2,5,6,0.054,0.131,0.054,0.139,0.045,0.025
202603242004,2,1,4,逃げ,5,1,6,2,3,4,0.191,0.111,0.042,0.108,0.059,0.097
202603242005,1,2,3,逃げ,1,5,4,6,2,3,0.113,0.076,0.075,0.029,0.125,0.146
202603242006,5,1,4,逃げ,4,6,5,2,1,3,0.095,0.085,0.041,0.056,0.079,0.085
202603242007,1,3,2,逃げ,1,3,2,5,6,4,0.057,0.073,0.045,0.073,0.064,0.068
202603242008,1,3,2,逃げ,1,5,3,4,2,6,0.055,0.027,0.059,0.042,0.091,0.108
202603242009,1,5,3,逃げ,2,6,3,4,1,5,0.056,0.042,0.134,0.097,0.054,0.131
202603242010,1,4,3,逃げ,1,6,2,3,5,4,0.082,0.116,0.139,0.114,0.049,0.095
202603242011,2,1,5,逃げ,4,1,5,6,3,2,0.066,0.054,0.055,0.085,0.078,0.191
202603242012,6,1,5,逃げ,5,4,2,6,3,1,0.105,0.079,0.093,0.126,0.067,0.079
202603241901,1,3,4,逃げ,1,6,2,3,4,5,0.004,-0.021,0.045,-0.013,0.007,0.029
202603241902,6,3,5,逃げ,6,5,2,4,3,1,-0.044,-0.018,0.029,0.109,0.034,-0.024
202603241903,3,1,6,逃げ,4,6,1,2,5,3,-0.05,-0.003,0.021,0.013,-0.018,0.027
202603241904,5,1,6,逃げ,4,6,2,5,1,3,0.015,-0.03,-0.047,0.052,0.059,0.035
202603241905,1,3,6,逃げ,1,6,2,3,5,4,-0.023,0.003,-0.005,-0.015,0.029,0.039
202603241906,3,1,5,逃げ,4,6,1,5,3,2,-0.022,0.043,0.044,0.003,0.048,0.076
202603241907,4,1,6,逃げ,4,5,6,1,2,3,-0.014,0.016,0.002,-0.002,0.086,0.057
202603241908,1,3,5,逃げ,1,6,4,3,2,5,0.029,0.137,-0.007,-0.026,-0.018,-0.015
202603241909,1,2,6,逃げ,1,4,6,2,5,3,0.046,0.035,0.004,-0.058,0.003,0.119
202603241910,1,2,3,逃げ,1,2,3,6,4,5,0.072,0.009,-0.021,0.056,-0.056,-0.045
202603241911,1,5,6,逃げ,1,5,6,3,2,4,-0.007,0.068,-0.035,-0.007,-0.015,0.028
202603241912,1,5,3,逃げ,4,2,3,5,1,6,0.092,0.066,-0.025,0.088,0.008,0.09
202603241801,1,3,4,逃げ,1,6,2,3,4,5,0.031,-0.044,-0.003,0.019,-0.0,-0.006
202603241802,3,1,5,逃げ,2,4,1,6,3,5,0.029,0.002,0.021,0.006,0.031,-0.054
202603241803,1,3,5,逃げ,1,5,2,4,3,6,0.038,-0.019,-0.065,0.044,-0.033,-0.029
202603241804,1,4,2,逃げ,1,4,6,2,5,3,-0.001,-0.013,0.024,-0.005,-0.058,0.054
202603241805,6,2,3,逃げ,6,2,5,4,3,1,-0.02,0.033,-0.015,-0.044,0.015,-0.017
202603241806,6,1,3,逃げ,3,5,4,2,6,1,0.007,0.038,0.037,-0.014,0.008,-0.017
202603241807,1,6,2,逃げ,3,4,5,2,6,1,0.045,0.022,-0.034,0.019,0.011,0.039
202603241808,4,1,5,逃げ,4,5,6,1,2,3,-0.046,-0.005,0.048,0.043,0.038,0.117
202603241809,3,1,6,逃げ,3,6,1,4,5,2,-0.033,0.017,0.036,0.057,-0.005,0.027
202603241810,2,4,1,逃げ,3,1,4,2,6,5,0.033,-0.015,-0.042,-0.063,-0.014,-0.001
202603241811,5,2,4,逃げ,3,2,6,4,1,5,0.001,-0.034,0.007,-0.003,0.032,-0.036
202603241812,5,1,2,逃げ,2,3,5,6,1,4,-0.011,0.037,0.032,0.027,-0.003,0.041
202603241601,1,5,4,逃げ,1,4,5,2,3,6,0.017,0.024,0.056,-0.034,0.076,0.052
202603241602,6,1,2,逃げ,2,3,6,4,5,1,-0.022,-0.019,-0.034,0.068,0.024,0.018
202603241603,1,2,4,逃げ,1,4,5,2,6,3,0.001,0.05,0.012,0.011,-0.046,0.003
202603241604,1,2,6,逃げ,1,4,6,3,5,2,-0.012,0.016,0.026,0.044,0.005,0.107
202603241605,6,1,2,逃げ,3,2,4,6,5,1,0.005,0.059,0.006,0.049,0.035,0.027
202603241606,1,4,2,逃げ,4,3,6,2,5,1,0.001,0.076,-0.018,0.045,0.083,-0.002
202603241607,6,5,3,逃げ,6,4,3,5,2,1,-0.004,0.013,0.098,0.059,0.053,0.018
202603241608,4,1,3,逃げ,4,6,3,1,2,5,0.045,-0.056,0.012,0.01,-0.028,-0.012
202603241609,4,1,2,逃げ,3,2,6,1,5,4,-0.057,-0.048,-0.003,0.008,0.025,0.004
202603241610,3,4,6,逃げ,5,6,1,3,4,2,0.012,0.034,-0.012,0.005,0.017,-0.039
202603241611,4,1,6,逃げ,5,6,4,1,2,3,0.018,0.075,0.006,-0.022,0.059,-0.004
202603241612,1,5,2,逃げ,1,4,5,3,2,6,0.02,0.053,-0.002,0.002,0.045,0.005
202603241501,2,1,3,逃げ,3,1,2,5,6,4,0.025,0.093,0.129,0.101,0.063,0.106
202603241502,3,4,1,逃げ,6,4,1,3,2,5,0.097,0.165,0.052,0.042,0.093,0.057
202603241503,6,1,2,逃げ,2,4,6,5,3,1,0.086,0.058,0.036,0.088,0.093,0.079
202603241504,5,2,1,逃げ,5,4,3,2,1,6,0.084,0.043,0.061,0.051,0.048,0.109
202603241505,4,3,1,逃げ,5,6,1,2,4,3,0.1,0.127,0.116,0.071,0.141,0.042
202603241506,1,2,6,逃げ,1,3,6,2,4,5,0.092,0.024,0.048,0.153,0.063,0.088
202603241507,4,2,1,逃げ,6,4,3,1,5,2,0.101,0.065,0.026,0.144,0.115,0.054
202603241508,4,2,1,逃げ,6,2,5,1,4,3,0.131,0.089,0.101,0.055,0.06,0.065
202603241509,2,6,1,逃げ,6,1,3,5,4,2,0.07,0.137,0.097,0.129,0.165,0.086
202603241510,2,1,5,逃げ,6,2,5,1,3,4,0.073,0.126,0.108,0.131,0.016,0.101
202603241511,6,3,1,逃げ,4,3,2,5,6,1,0.133,0.113,0.071,0.073,0.094,0.082
202603241512,3,1,6,逃げ,4,3,1,6,5,2,0.15,0.075,0.148,0.136,0.142,0.137
202603241401,6,1,4,逃げ,3,6,5,2,4,1,0.052,0.194,0.22,0.212,0.146,0.175
202603241402,1,2,3,逃げ,1,2,3,4,6,5,0.015,0.219,0.018,0.041,0.172,0.116
202603241403,3,1,2,逃げ,4,3,1,6,5,2,0.02,0.174,0.064,0.183,0.176,0.181
202603241404,3,1,5,逃げ,5,2,1,6,4,3,0.044,0.169,0.161,0.161,0.064,0.161
202603241405,2,3,1,逃げ,3,1,2,6,4,5,0.01,0.092,0.088,0.162,0.167,0.215
202603241406,6,3,4,逃げ,5,3,4,2,6,1,0.012,0.016,0.212,0.194,0.125,0.173
202603241407,1,4,6,逃げ,1,5,4,2,6,3,0.22,0.176,0.183,0.212,0.211,0.062
202603241408,2,1,4,逃げ,3,1,4,2,6,5,0.161,0.161,0.041,0.192,0.213,0.034
202603241409,1,2,3,逃げ,1,2,4,3,6,5,0.162,0.064,0.167,0.174,0.219,0.066
202603241410,2,3,4,逃げ,6,1,2,3,5,4,0.139,0.187,0.173,0.074,0.107,0.034
202603241411,1,4,3,逃げ,1,5,3,2,4,6,0.122,0.034,0.209,0.119,0.034,0.177
202603241412,1,3,4,逃げ,1,6,4,3,2,5,0.121,0.056,0.258,0.098,0.073,0.09
202603241301,3,1,2,逃げ,4,2,1,6,5,3,0.045,0.073,0.087,0.108,0.062,0.133
202603241302,3,5,2,逃げ,5,4,1,6,3,2,0.113,0.081,-0.016,0.1,0.078,0.075
202603241303,1,4,5,逃げ,1,5,6,2,3,4,0.111,-0.002,0.075,-0.002,0.092,0.061
202603241304,2,4,3,逃げ,5,1,2,4,6,3,0.062,0.008,0.022,0.026,0.08,0.043
202603241305,1,3,2,逃げ,1,3,2,6,4,5,0.092,0.1,0.064,0.117,0.037,0.126
202603241306,6,1,3,逃げ,4,6,3,5,2,1,0.018,-0.007,0.109,0.01,0.086,0.038
202603241307,6,3,4,逃げ,4,5,2,3,6,1,0.084,0.085,0.031,0.117,0.011,-0.001
202603241308,4,3,5,逃げ,6,5,1,3,2,4,0.087,-0.012,0.049,0.074,0.013,-0.019
