レースコード,レース日,レース場コード,レース回,状態,荒れ度,P_その他_1,P_その他_2,P_その他_3,P_その他_4,P_その他_5,P_その他_6,P_まくり_2,P_まくり_3,P_まくり_4,P_まくり_5,P_まくり_6,P_まくり差し_3,P_まくり差し_4,P_まくり差し_5,P_まくり差し_6,P_差し_2,P_差し_3,P_差し_4,P_差し_5,P_差し_6,P_抜き_1,P_抜き_2,P_抜き_3,P_抜き_4,P_抜き_5,P_抜き_6,P_恵まれ_2,P_恵まれ_3,P_恵まれ_4,P_恵まれ_5,P_逃げ_1,P_逃げ_2
202609260201,2026-09-26,02,01R,daily,0.7293,0.002144,0.000854,0.000778,0.000239,0.000216,0.000543,0.061443,0.205740,0.080711,0.020364,0.005675,0.063777,0.037442,0.027845,0.004370,0.069521,0.021888,0.031572,0.004272,0.001140,0.013979,0.022058,0.021206,0.012153,0.009105,0.001354,0.002239,0.001551,0.001206,0.001166,0.270699,0.002747
202609260202,2026-09-26,02,02R,daily,0.5845,0.002315,0.000612,0.000452,0.000196,0.000157,0.000528,0.082929,0.086592,0.054105,0.012007,0.001551,0.047476,0.025030,0.025190,0.001708,0.129368,0.019891,0.016139,0.002898,0.000546,0.018329,0.020723,0.014979,0.004033,0.004753,0.000589,0.002564,0.001800,0.001692,0.001134,0.415489,0.004225
202609260203,2026-09-26,02,03R,daily,0.7810,0.002494,0.000750,0.000821,0.000258,0.000158,0.000546,0.209995,0.048905,0.051529,0.009590,0.012225,0.013942,0.018927,0.019827,0.007626,0.274469,0.010721,0.016693,0.004309,0.001917,0.012101,0.032379,0.006009,0.005840,0.003298,0.003617,0.002638,0.001487,0.001179,0.001496,0.219004,0.005254
202609260204,2026-09-26,02,04R,daily,0.7164,0.001615,0.001982,0.000633,0.000279,0.000168,0.000692,0.015819,0.130879,0.135422,0.009513,0.061268,0.058849,0.052082,0.021272,0.063712,0.019636,0.011607,0.036423,0.004419,0.016602,0.014002,0.005769,0.015712,0.009422,0.003517,0.016109,0.001286,0.003823,0.000973,0.001340,0.283639,0.001535
202609260205,2026-09-26,02,05R,daily,0.6778,0.002814,0.001073,0.000511,0.000211,0.000194,0.000447,0.067375,0.086022,0.129832,0.015079,0.005826,0.033043,0.069088,0.031984,0.003531,0.070013,0.009549,0.072164,0.006606,0.001153,0.014577,0.012365,0.009983,0.018348,0.006701,0.001353,0.001908,0.001661,0.001573,0.001207,0.322156,0.001656
202609260206,2026-09-26,02,06R,daily,0.7654,0.003046,0.001352,0.001393,0.000361,0.000344,0.001106,0.078942,0.160478,0.025960,0.064403,0.028824,0.061935,0.013831,0.057445,0.033241,0.073753,0.028670,0.011812,0.012379,0.008310,0.012090,0.013974,0.024890,0.003158,0.016521,0.011392,0.001833,0.001519,0.001113,0.003907,0.234639,0.007380
202609260207,2026-09-26,02,07R,daily,0.3252,0.001492,0.000739,0.000296,0.000161,0.000116,0.000449,0.016271,0.038869,0.027760,0.023917,0.003529,0.022422,0.015750,0.039667,0.006503,0.038044,0.004919,0.008560,0.001883,0.001076,0.037910,0.004864,0.011085,0.001188,0.007329,0.001665,0.001031,0.001784,0.001837,0.002083,0.674801,0.002002
202609260208,2026-09-26,02,08R,daily,0.5675,0.002307,0.000979,0.000560,0.000262,0.000201,0.001235,0.042998,0.110500,0.065783,0.018814,0.005867,0.047297,0.048481,0.057371,0.007703,0.054202,0.009591,0.011686,0.007955,0.001728,0.015010,0.009582,0.017823,0.009640,0.008592,0.002400,0.002005,0.002039,0.002054,0.001373,0.432494,0.001469
202609260209,2026-09-26,02,09R,daily,0.5270,0.002353,0.000652,0.000688,0.000268,0.000196,0.000433,0.063357,0.054003,0.049275,0.033106,0.009354,0.018962,0.015355,0.060676,0.008301,0.108023,0.010168,0.011704,0.006558,0.001853,0.020033,0.017322,0.007843,0.003755,0.008181,0.002002,0.002299,0.001746,0.001238,0.001386,0.473019,0.005892
202609260210,2026-09-26,02,10R,daily,0.6065,0.003332,0.000835,0.000727,0.000343,0.000227,0.000632,0.050548,0.053781,0.115769,0.027416,0.009902,0.015832,0.028406,0.063075,0.011306,0.093776,0.005932,0.018625,0.011964,0.004186,0.019823,0.018938,0.011001,0.013259,0.009713,0.004306,0.003018,0.001299,0.001536,0.001558,0.393531,0.005402
