レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202608160101,2026-08-16,01,1R,daily,2-1-3,2-1-4,3-1-4,3-1-2,4-1-2,差し,差し,まくり差し,まくり差し,まくり
202608160101,2026-08-16,01,1R,realtime,2-1-4,4-1-2,2-1-3,3-1-4,3-1-2,差し,まくり,差し,まくり差し,まくり差し
202608160102,2026-08-16,01,2R,daily,3-1-4,3-1-5,3-1-2,2-1-3,5-1-3,まくり差し,まくり差し,まくり差し,差し,まくり差し
202608160102,2026-08-16,01,2R,realtime,3-1-5,3-1-2,3-1-6,5-1-2,5-1-3,まくり差し,まくり差し,まくり差し,まくり,差し
202608160103,2026-08-16,01,3R,daily,2-1-3,2-1-4,2-1-5,3-1-2,4-1-2,差し,差し,差し,まくり差し,まくり
202608160103,2026-08-16,01,3R,realtime,2-1-3,2-1-4,2-1-5,2-1-6,3-1-2,差し,差し,差し,差し,まくり差し
202608160104,2026-08-16,01,4R,daily,3-1-4,3-1-2,3-1-5,3-4-1,4-1-3,まくり差し,まくり差し,まくり差し,まくり,差し
202608160104,2026-08-16,01,4R,realtime,3-1-4,3-1-2,3-1-5,3-2-1,4-1-3,差し,差し,差し,差し,まくり
202608160105,2026-08-16,01,5R,daily,3-1-4,4-1-2,4-1-5,3-1-2,4-1-3,まくり差し,まくり,まくり,まくり差し,差し
202608160106,2026-08-16,01,6R,daily,2-1-3,3-1-4,3-1-2,2-1-4,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し
202608160107,2026-08-16,01,7R,daily,3-1-4,3-1-2,3-1-5,4-1-3,4-1-2,まくり差し,まくり差し,まくり差し,差し,まくり
202608160108,2026-08-16,01,8R,daily,5-1-3,5-1-4,5-1-2,3-1-5,5-1-6,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608160109,2026-08-16,01,9R,daily,3-1-2,2-1-3,3-1-4,3-1-5,5-1-2,まくり差し,差し,まくり差し,まくり差し,まくり差し
202608160110,2026-08-16,01,10R,daily,2-1-3,2-1-4,2-1-5,3-1-4,3-1-5,差し,差し,差し,まくり差し,まくり差し
202608160111,2026-08-16,01,11R,daily,3-1-4,3-1-5,3-1-2,3-1-6,2-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
202608160112,2026-08-16,01,12R,daily,3-1-2,3-1-4,2-1-3,3-1-5,2-3-1,まくり差し,まくり差し,差し,まくり差し,差し
202608160201,2026-08-16,02,1R,daily,2-1-3,2-1-4,3-1-2,2-1-5,2-1-6,差し,差し,まくり差し,差し,差し
202608160201,2026-08-16,02,1R,realtime,2-1-3,3-1-2,2-1-4,2-1-5,3-1-5,差し,まくり差し,差し,差し,まくり差し
202608160202,2026-08-16,02,2R,daily,4-1-2,4-1-5,4-1-3,2-1-3,2-1-4,まくり,まくり,差し,差し,差し
202608160202,2026-08-16,02,2R,realtime,4-1-2,2-1-4,4-2-1,2-1-3,4-1-3,まくり,差し,まくり,差し,差し
202608160203,2026-08-16,02,3R,daily,2-1-4,2-1-3,4-1-2,2-1-5,2-4-1,差し,差し,まくり,差し,差し
202608160203,2026-08-16,02,3R,realtime,2-1-3,2-1-4,3-1-2,2-1-5,2-1-6,差し,差し,まくり差し,差し,差し
202608160204,2026-08-16,02,4R,daily,2-1-3,2-1-4,2-1-5,3-1-2,2-3-1,差し,差し,差し,まくり差し,差し
202608160204,2026-08-16,02,4R,realtime,2-1-3,2-1-4,2-1-5,3-1-2,3-1-4,差し,差し,差し,まくり差し,まくり差し
202608160205,2026-08-16,02,5R,daily,4-1-2,4-1-3,4-2-1,4-3-1,3-1-4,まくり,差し,まくり,まくり,まくり差し
202608160205,2026-08-16,02,5R,realtime,4-1-2,4-1-5,4-1-3,3-1-4,2-1-4,まくり,まくり,差し,まくり差し,差し
202608160206,2026-08-16,02,6R,daily,2-1-5,5-1-2,2-1-3,2-1-4,3-1-2,差し,まくり差し,差し,差し,まくり差し
202608160206,2026-08-16,02,6R,realtime,2-1-3,2-1-5,3-1-2,5-1-2,3-1-5,差し,差し,まくり差し,まくり差し,まくり差し
202608160207,2026-08-16,02,7R,daily,3-1-2,2-1-3,3-1-4,3-1-5,3-1-6,まくり差し,差し,まくり差し,まくり差し,まくり差し
202608160207,2026-08-16,02,7R,realtime,3-1-2,3-1-6,6-1-3,6-1-2,3-1-4,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608160208,2026-08-16,02,8R,daily,3-1-2,3-1-4,3-1-5,2-1-3,3-2-1,まくり差し,まくり差し,まくり差し,差し,まくり
202608160208,2026-08-16,02,8R,realtime,3-1-4,3-1-5,3-1-2,3-4-1,4-1-3,まくり差し,まくり差し,まくり差し,まくり,差し
