レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5,確率1,確率2,確率3,確率4,確率5
202609250101,2026-09-25,01,1R,daily,2-1-3,3-1-4,3-1-2,4-1-5,4-1-2,差し,まくり差し,まくり差し,まくり差し,まくり,0.020832,0.019754,0.019002,0.018903,0.018229
202609250101,2026-09-25,01,1R,realtime,6-1-2,2-1-5,2-1-3,6-1-5,6-1-3,まくり差し,差し,差し,まくり差し,まくり差し,0.027244,0.023815,0.023718,0.022680,0.021340
202609250102,2026-09-25,01,2R,daily,2-1-3,2-1-4,3-1-2,2-3-1,3-1-4,差し,差し,まくり差し,差し,まくり差し,0.048153,0.035381,0.027554,0.026397,0.021291
202609250102,2026-09-25,01,2R,realtime,2-1-3,2-1-4,3-1-2,2-1-5,4-1-2,差し,差し,まくり差し,差し,まくり,0.037062,0.030666,0.020289,0.018652,0.017850
202609250103,2026-09-25,01,3R,daily,3-1-4,3-1-5,5-1-2,5-1-3,5-1-4,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し,0.027376,0.026832,0.024970,0.024856,0.022940
202609250103,2026-09-25,01,3R,realtime,3-1-4,3-1-5,5-1-4,5-1-3,5-1-2,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し,0.027235,0.025721,0.023944,0.023251,0.021036
202609250104,2026-09-25,01,4R,daily,3-1-4,3-1-5,3-1-2,2-1-3,4-1-2,まくり差し,まくり差し,まくり差し,差し,まくり,0.036396,0.034972,0.034732,0.026849,0.020476
202609250104,2026-09-25,01,4R,realtime,3-1-2,3-1-4,2-1-3,3-1-5,2-1-4,まくり差し,まくり差し,差し,まくり差し,差し,0.038136,0.033477,0.032739,0.031512,0.022155
202609250105,2026-09-25,01,5R,daily,2-1-3,3-1-2,2-1-4,2-1-5,3-1-4,差し,まくり差し,差し,差し,まくり差し,0.039479,0.027911,0.025146,0.020952,0.019620
202609250105,2026-09-25,01,5R,realtime,2-1-3,3-1-2,2-1-4,3-1-4,3-1-5,差し,まくり差し,差し,まくり差し,まくり差し,0.044627,0.035777,0.019204,0.019039,0.017944
202609250106,2026-09-25,01,6R,daily,5-1-3,5-1-2,5-1-4,3-1-2,3-1-4,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し,0.026508,0.026507,0.021809,0.021671,0.021520
202609250106,2026-09-25,01,6R,realtime,5-1-4,5-1-2,5-1-3,3-1-4,4-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し,0.029715,0.027235,0.027096,0.023702,0.022262
202609250107,2026-09-25,01,7R,daily,5-1-2,5-1-3,5-1-4,5-1-6,5-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し,0.028133,0.023292,0.023204,0.018632,0.013474
202609250107,2026-09-25,01,7R,realtime,5-1-4,5-1-2,5-1-3,5-1-6,4-1-5,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し,0.023176,0.022574,0.020101,0.019132,0.010979
202609250108,2026-09-25,01,8R,daily,2-1-3,2-1-4,2-3-1,3-1-2,2-1-5,差し,差し,差し,まくり差し,差し,0.056581,0.040105,0.032388,0.031110,0.024981
202609250108,2026-09-25,01,8R,realtime,2-1-3,3-1-2,2-1-6,2-3-1,2-1-4,差し,まくり差し,差し,差し,差し,0.060272,0.038099,0.030890,0.024927,0.024488
202609250109,2026-09-25,01,9R,daily,3-1-2,3-1-4,3-1-5,2-1-3,4-1-2,まくり差し,まくり差し,まくり差し,差し,まくり,0.039548,0.035172,0.030038,0.026512,0.017357
202609250109,2026-09-25,01,9R,realtime,3-1-2,3-1-4,3-1-5,4-1-2,2-1-3,まくり差し,まくり差し,まくり差し,まくり,差し,0.032674,0.030326,0.024152,0.021416,0.021030
202609250110,2026-09-25,01,10R,daily,3-1-4,3-1-2,3-1-5,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し,0.025650,0.022609,0.022264,0.016326,0.011922
202609250110,2026-09-25,01,10R,realtime,3-1-4,3-1-5,3-1-2,4-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し,0.021480,0.014519,0.013213,0.011572,0.010262
202609250111,2026-09-25,01,11R,daily,2-1-3,3-1-2,3-1-4,2-1-4,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し,0.036448,0.031410,0.023999,0.023715,0.018343
202609250111,2026-09-25,01,11R,realtime,2-1-3,3-1-2,2-1-4,2-1-5,3-1-4,差し,まくり差し,差し,差し,まくり差し,0.040385,0.030358,0.024725,0.021359,0.021242
202609250112,2026-09-25,01,12R,daily,3-1-2,3-1-4,3-1-5,2-1-3,3-2-1,まくり差し,まくり差し,まくり差し,差し,まくり,0.036282,0.031910,0.026988,0.025483,0.019239
202609250501,2026-09-25,05,1R,daily,4-1-2,2-1-4,4-1-5,2-1-3,4-1-3,まくり,差し,まくり差し,差し,差し,0.030945,0.026090,0.024156,0.022150,0.021559
202609250501,2026-09-25,05,1R,realtime,2-1-4,4-1-2,2-1-3,4-2-1,4-1-5,差し,まくり,差し,まくり,まくり差し,0.039105,0.037809,0.022508,0.020520,0.019942
202609250502,2026-09-25,05,2R,daily,3-1-2,3-1-4,2-1-3,3-1-5,3-1-6,まくり差し,まくり差し,差し,まくり差し,まくり差し,0.027245,0.023781,0.021344,0.020860,0.018152
202609250502,2026-09-25,05,2R,realtime,3-1-2,2-1-3,3-1-4,3-2-1,2-3-1,まくり差し,差し,まくり差し,まくり,差し,0.037886,0.028338,0.026854,0.025987,0.021694
202609250503,2026-09-25,05,3R,daily,2-1-4,2-1-3,4-1-2,2-1-5,4-1-5,差し,差し,まくり,差し,まくり差し,0.036395,0.027644,0.027213,0.025823,0.022938
202609250503,2026-09-25,05,3R,realtime,4-1-2,2-1-4,4-2-1,2-4-1,4-1-5,まくり,差し,まくり,差し,まくり差し,0.044677,0.044102,0.039150,0.031849,0.029553
202609250504,2026-09-25,05,4R,daily,2-1-3,2-1-4,4-1-3,3-1-4,4-1-2,差し,差し,差し,まくり差し,まくり,0.021832,0.017909,0.017659,0.017446,0.017101
202609250504,2026-09-25,05,4R,realtime,2-1-3,4-1-3,3-1-4,4-1-2,4-1-5,差し,差し,まくり差し,まくり,まくり差し,0.015083,0.014724,0.014410,0.013603,0.013110
202609250505,2026-09-25,05,5R,daily,3-1-2,3-1-4,3-1-5,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し,0.038652,0.035923,0.035858,0.032655,0.021347
202609250505,2026-09-25,05,5R,realtime,3-1-2,3-1-5,3-1-4,2-1-3,3-2-1,まくり差し,まくり差し,まくり差し,差し,まくり,0.050698,0.044883,0.044108,0.028120,0.017392
202609250506,2026-09-25,05,6R,daily,3-1-4,3-1-5,3-1-2,4-1-3,3-4-1,まくり差し,まくり差し,まくり差し,差し,まくり,0.048651,0.037746,0.034987,0.027453,0.025505
202609250506,2026-09-25,05,6R,realtime,3-1-4,3-1-5,3-1-2,3-2-4,4-1-5,まくり差し,まくり差し,まくり差し,まくり,まくり差し,0.034672,0.027950,0.027592,0.022591,0.021672
202609250507,2026-09-25,05,7R,daily,4-1-3,4-1-2,4-1-5,4-1-6,4-2-1,差し,まくり,まくり差し,まくり,まくり,0.037618,0.036138,0.035297,0.020825,0.020054
