行種別,クラス,切片,w1_級別,w1_F本数,w1_全国勝率,w1_当地勝率,w1_全国2連対率,w1_モーター2連対率,w1_ボート2連対率,w1_全国平均ST,w2_級別,w2_F本数,w2_全国勝率,w2_当地勝率,w2_全国2連対率,w2_モーター2連対率,w2_ボート2連対率,w2_全国平均ST,w3_級別,w3_F本数,w3_全国勝率,w3_当地勝率,w3_全国2連対率,w3_モーター2連対率,w3_ボート2連対率,w3_全国平均ST,w4_級別,w4_F本数,w4_全国勝率,w4_当地勝率,w4_全国2連対率,w4_モーター2連対率,w4_ボート2連対率,w4_全国平均ST,w5_級別,w5_F本数,w5_全国勝率,w5_当地勝率,w5_全国2連対率,w5_モーター2連対率,w5_ボート2連対率,w5_全国平均ST,w6_級別,w6_F本数,w6_全国勝率,w6_当地勝率,w6_全国2連対率,w6_モーター2連対率,w6_ボート2連対率,w6_全国平均ST,レース回,場_01,場_02,場_03,場_04,場_05,場_06,場_07,場_08,場_09,場_10,場_11,場_12,場_13,場_14,場_15,場_16,場_17,場_18,場_19,場_20,場_21,場_22,場_23,場_24
median,,,3,0,5.71,5.5,37.7,33.6,33.3,0.16,2,0,5.37,5.19,34.1,33.6,33.3,0.16,2,0,5.34,5.17,33.8,33.5,33.3,0.16,2,0,5.28,5.09,33.3,33.6,33.3,0.16,2,0,5.19,5,32.3,33.5,33.3,0.16,2,0,5.23,5,32.6,33.5,33.3,0.16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
center,,,2.88723,0.0970716,5.58541,5.12864,36.5591,33.4102,33.0492,0.160524,2.68102,0.0964035,5.33414,4.8364,33.8128,33.353,33.0806,0.16361,2.66687,0.0972275,5.31112,4.81,33.5597,33.318,33.0608,0.163671,2.61746,0.100011,5.19086,4.662,32.4168,33.3795,33.0763,0.163991,2.5482,0.105534,5.05626,4.51827,31.2522,33.3244,33.1007,0.161281,2.53186,0.144193,4.93655,4.39581,30.5251,33.2558,33.0504,0.155215,6.49776,0.0451843,0.0404409,0.0366106,0.0366774,0.0419552,0.0448948,0.0472776,0.0472776,0.0397506,0.0411313,0.0385703,0.0399733,0.0438259,0.0372787,0.0448948,0.0426233,0.0454292,0.046899,0.042267,0.0432023,0.0359871,0.0349182,0.0406859,0.0422447
scale,,,0.891346,0.301865,1.1093,1.97127,12.6587,9.94134,9.24373,0.0230875,0.877268,0.299414,1.1405,1.99089,12.9285,9.97217,9.25526,0.0239874,0.873974,0.300595,1.14817,2.00579,12.9658,9.9235,9.25638,0.0240503,0.907585,0.306259,1.29452,2.10165,14.0255,9.96339,9.22287,0.0272707,0.935105,0.315112,1.43804,2.18474,14.8668,9.87344,9.22396,0.0358993,0.99401,0.367035,1.65437,2.33433,16.2481,9.93965,9.23629,0.0460517,3.45501,0.207708,0.196991,0.187804,0.187969,0.200487,0.207073,0.212232,0.212232,0.195373,0.198594,0.192569,0.195896,0.204707,0.189444,0.207073,0.202006,0.208244,0.211423,0.201198,0.203312,0.186258,0.183573,0.197562,0.201147
coef,その他_1,-0.96407,0.0106989,-0.0179467,0.00330054,0.00355261,-0.0102114,-0.0327263,0.0293439,0.0412157,0.0314522,-0.0362325,-0.0126507,-0.00851165,-0.0029185,0.0134256,0.0372167,-0.0903034,0.0144659,0.0371644,0.0108674,0.0161516,0.0193055,-0.071041,-0.0492176,0.0625902,-0.0275341,0.0101986,-0.0388574,-0.00473721,-0.0152575,0.0102524,0.00932981,-0.0421272,-0.018588,0.00986317,0.021446,-0.00684089,0.0441377,0.0575245,0.0521,-0.0367769,-0.00976675,0.000197054,-0.0254857,-0.00155836,0.00602526,-0.0364573,0.0204743,0.021573,0.0118457,0.0959238,-0.0150547,-0.0461689,-0.00727527,-0.0426114,0.057103,0.00163815,0.020861,0.0374745,0.0699414,-0.035185,-0.05631,0.040826,-0.000582514,0.00537795,-0.0432664,-0.0605595,-0.0394128,0.0363652,-0.00553497,-0.0534908,-0.0442028,0.0271587,0.0420702
coef,その他_2,-1.73591,-0.0315771,-0.0142946,-0.0151223,0.0267914,-0.0135745,0.0148483,0.027347,-0.0209818,-0.0412871,-0.030233,-0.0409089,-0.0450712,-0.0155163,0.0171332,-0.0283026,0.0252444,-0.0281984,-0.0107913,0.0128621,0.0185871,0.0062647,0.106933,0.0040158,0.0113946,-0.0180384,0.00432766,0.00360877,-0.0703525,0.0221283,-0.00113619,0.0169138,-0.0287422,-0.0485951,0.0278711,-7.34533e-05,-0.065096,0.00279563,0.0484626,-0.0188017,0.017637,0.0214392,-0.00244459,0.0115393,0.0167201,0.0107795,0.0575287,0.00988312,-0.00300148,-0.0210363,0.0855772,-0.0521477,-0.0507054,-0.0515384,-0.0473271,0.050405,0.0946617,-0.0258577,-0.0448027,0.0156822,-0.0436443,0.0764319,-0.0417045,-0.0463554,0.0374865,0.0214085,0.0679631,0.0231093,0.00128433,-0.024316,-0.0427551,-0.0100069,-0.0015406,-0.0188403
coef,その他_3,-2.49333,-0.0223802,0.00849365,-0.0387629,-0.02408,-0.0263287,0.0148578,-0.000879074,0.0474853,0.0254916,-0.0109594,0.0223688,0.0520277,0.0162434,0.00748785,0.0429662,-0.0345534,0.013407,-0.0448403,0.0482543,0.0184053,0.0373285,-0.0115708,0.0567757,-0.0326467,-0.0483969,-0.00825971,-0.030818,0.00569728,-0.0353675,-0.0414239,-0.00593517,0.0211339,0.00635111,0.021713,-0.00429623,0.0174516,-0.00685505,0.0128694,-0.00902663,0.0307101,0.0143456,0.00436599,0.00288139,0.00613015,0.0140608,-0.00119646,0.0481859,-0.0188259,0.0456004,0.0400611,0.0211211,-0.0302349,-0.0298378,-0.0283333,0.0646203,0.0192819,0.0197797,-0.0272759,-0.0309932,-0.0261555,0.00131079,-0.0254027,-0.000147935,-0.00403735,0.050037,-0.0270183,-0.0266949,0.0261505,0.0247363,-0.0248295,-0.0220112,0.0495435,-0.0253953
coef,その他_4,-3.22763,0.00170807,0.000619076,-0.0108683,-0.00855592,-0.0055654,0.00558585,-0.0111951,-0.0131476,0.00046838,-0.0189559,0.0150436,-0.0140263,0.0169073,-0.0212447,0.00730455,-0.0178221,-0.0218633,0.00105674,-0.0249476,0.00403708,-0.0241113,-0.0202834,0.0085169,0.00125396,-0.00868995,-0.0176756,0.00965219,0.0270007,0.0206977,0.00520443,-0.0168982,0.0119237,-0.0157974,-0.000708497,-0.00251716,0.0106999,-0.000681608,-0.0142467,0.00499733,0.00502233,0.00352964,-0.0220217,0.0159472,0.0037472,0.01476,-0.00412369,-0.00371703,0.017161,0.00647547,-0.0145348,-0.0131685,-0.0123947,-0.0125786,-0.0113928,0.0395631,0.0403403,0.0145172,-0.0110474,0.0149057,-0.0106996,-0.01058,-0.0100812,-0.0116419,-0.0125787,-0.0116851,-0.0106239,-0.0108714,-0.0109936,0.0436212,-0.010184,-0.00891926,0.0444238,-0.010283
coef,その他_5,-3.51594,-0.0130956,-0.00938766,-0.00254008,0.00463191,-0.00328659,-0.00301951,-0.0179827,-0.0326525,0.00375359,0.00937671,0.000470138,0.00439779,-0.00121133,0.00942854,-0.0039719,-0.00651698,-0.0221084,-0.00908472,-0.0103696,0.00206628,-0.00236922,-0.0110635,-0.0113539,-0.00730826,0.00656879,0.0099908,-0.00139193,-0.0169186,-0.000635659,0.00763966,0.00749229,0.00908534,0.0230834,-0.00970508,0.0279766,0.0238842,0.0307944,0.0125298,0.0104366,-0.0105091,-0.0120568,0.00444717,-0.0104515,-0.00889526,-0.0134313,-0.0122537,0.0208723,0.00993597,-0.00402566,0.0193322,-0.00717077,-0.00681635,-0.00701126,-0.00583056,-0.00774102,-0.00657091,-0.0061199,-0.00550657,-0.00717774,-0.00528774,-0.00529143,-0.00477579,-0.00604855,-0.00657321,0.0224838,-0.00506278,0.0223725,0.0232724,-0.00579733,-0.00496118,-0.00410917,0.022479,-0.0048854
coef,その他_6,-2.34035,0.0325725,-0.0338363,0.0269059,0.00901346,0.0199956,-0.018623,0.00472243,-0.0293172,0.0146393,0.0358302,-0.00424538,-0.0144265,-0.00150263,0.0169031,-0.0116012,-0.0331578,0.0269512,0.0718538,-0.00691048,-0.022116,-0.0155663,0.0326643,-0.0124434,-0.00566601,-0.0100247,-0.0144981,0.00203781,0.0341892,0.0323306,0.039943,-0.00188529,-0.0526016,-0.0188923,-0.0176757,0.00124399,0.0282925,0.00517678,-0.0787471,0.0500591,0.00505653,0.0314218,-0.030616,0.0360684,0.0580868,0.0312151,-0.0196884,0.0417061,0.000728492,0.0231702,0.103801,0.0173781,-0.00348695,0.0228826,-0.0300301,-0.0118999,-0.0329033,-0.00828176,-0.029458,-0.0332128,-0.0290892,0.0239423,0.0490738,0.0234458,-0.00769632,-0.00507374,-0.029469,-0.0297875,-0.0292608,0.01988,0.0269775,-0.024736,-0.0322055,0.05045
coef,まくり_2,1.49625,-0.0103347,0.0714685,-0.19304,-0.0599449,-0.143162,-0.0601784,-0.0149935,0.120542,0.0503236,-0.0256386,0.218912,0.0671847,0.197157,0.140487,0.00534148,-0.151362,-0.0204727,0.0187604,-0.0267973,-0.0531105,0.0272322,-0.0149603,0.0330206,0.0284098,-0.0718721,0.00660106,-0.0229161,0.00751097,-0.0158789,-0.031198,0.0257556,0.00462977,-0.0230277,0.0272953,-0.0265608,0.0216215,-0.0681616,-0.0293961,0.00572207,0.0326283,-0.0451107,0.00727407,-0.080177,-0.0182218,-0.0320816,0.0178817,0.0257244,0.0444721,-0.029191,-0.0412542,0.0666543,0.0291371,-0.0510369,0.0375441,-0.00374271,0.0306422,0.0357033,-0.0381685,-0.0688302,0.0258381,0.0152718,-0.00443353,0.0265482,-0.0376141,-0.0169548,0.0211815,-0.00458147,-0.0208892,-0.00627598,-0.0318284,0.102721,-0.0342082,-0.0256306
