行種別,クラス,切片,c1_級別,c1_F本数,c1_全国勝率,c1_当地勝率,c1_全国2連対率,c1_モーター2連対率,c1_ボート2連対率,c1_全国平均ST,c2_級別,c2_F本数,c2_全国勝率,c2_当地勝率,c2_全国2連対率,c2_モーター2連対率,c2_ボート2連対率,c2_全国平均ST,c3_級別,c3_F本数,c3_全国勝率,c3_当地勝率,c3_全国2連対率,c3_モーター2連対率,c3_ボート2連対率,c3_全国平均ST,c4_級別,c4_F本数,c4_全国勝率,c4_当地勝率,c4_全国2連対率,c4_モーター2連対率,c4_ボート2連対率,c4_全国平均ST,c5_級別,c5_F本数,c5_全国勝率,c5_当地勝率,c5_全国2連対率,c5_モーター2連対率,c5_ボート2連対率,c5_全国平均ST,c6_級別,c6_F本数,c6_全国勝率,c6_当地勝率,c6_全国2連対率,c6_モーター2連対率,c6_ボート2連対率,c6_全国平均ST,c1_スタート展示,c1_展示タイム,c1_チルト,c2_スタート展示,c2_展示タイム,c2_チルト,c3_スタート展示,c3_展示タイム,c3_チルト,c4_スタート展示,c4_展示タイム,c4_チルト,c5_スタート展示,c5_展示タイム,c5_チルト,c6_スタート展示,c6_展示タイム,c6_チルト,枠なり,前付け数,風速,波高,気温,水温,風向sin,風向cos,天候_1,天候_2,天候_3,天候_4,天候_5,レース回,場_01,場_02,場_03,場_04,場_05,場_06,場_07,場_08,場_09,場_10,場_11,場_12,場_13,場_14,場_15,場_16,場_17,場_18,場_19,場_20,場_21,場_22,場_23,場_24
median,,,3,0,5.72,5.5,37.8,33.6,33.3,0.16,2,0,5.39,5.21,34.4,33.5,33.3,0.16,2,0,5.36,5.19,34,33.5,33.3,0.16,2,0,5.31,5.12,33.6,33.7,33.3,0.16,2,0,5.25,5.06,32.9,33.5,33.3,0.16,2,0,5.07,4.82,30.8,33.5,33.3,0.16,0.07,6.78,-0.5,0.08,6.79,-0.5,0.08,6.8,0,0.07,6.8,0,0.07,6.8,0,0.07,6.8,0,1,0,3,2,18,17,0.707107,0.382683,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
center,,,2.89315,0.0977397,5.59359,5.14037,36.6652,33.419,33.0547,0.160433,2.69663,0.100033,5.35639,4.86074,34.1091,33.3274,33.0853,0.163313,2.676,0.0960917,5.32442,4.83232,33.698,33.3231,33.0534,0.163611,2.6426,0.0987863,5.23735,4.71742,32.8366,33.4054,33.0735,0.164182,2.5927,0.103574,5.15697,4.62465,32.0617,33.2824,33.0787,0.164138,2.43156,0.144216,4.74562,4.17557,28.7549,33.2836,33.0724,0.152615,0.0744378,6.78862,-0.252177,0.0874388,6.80229,-0.254059,0.0843398,6.80776,-0.203786,0.0813673,6.80948,-0.183677,0.0741234,6.81152,-0.174435,0.0807313,6.80978,-0.111725,0.864714,0.404187,2.76822,2.43521,18.1052,17.8238,0.627964,0.273924,0.604721,0.241042,0.0795234,0.00501058,0,6.49776,0.0451843,0.0404409,0.0366106,0.0366774,0.0419552,0.0448948,0.0472776,0.0472776,0.0397506,0.0411313,0.0385703,0.0399733,0.0438259,0.0372787,0.0448948,0.0426233,0.0454292,0.046899,0.042267,0.0432023,0.0359871,0.0349182,0.0406859,0.0422447
scale,,,0.89215,0.302976,1.10843,1.96942,12.6611,9.94099,9.24043,0.0230606,0.880957,0.305779,1.14283,1.99322,13.0404,9.9955,9.27466,0.023897,0.875188,0.298919,1.14663,2.00013,12.9629,9.94244,9.25096,0.0239798,0.899605,0.303554,1.25293,2.07225,13.724,9.93887,9.22583,0.0255703,0.911034,0.310929,1.31611,2.10864,14.1135,9.87693,9.23844,0.0278887,1.00337,0.368086,1.74454,2.39633,16.745,9.91858,9.20815,0.0518116,0.0966953,0.106442,0.290856,0.101217,0.106387,0.297461,0.103224,0.106398,0.300397,0.103072,0.106653,0.33141,0.101599,0.107266,0.372419,0.108862,0.108783,0.508244,0.342028,1.09847,1.69215,1.86997,8.36991,7.33339,0.269918,0.634541,0.488911,0.427716,0.270554,0.0706079,1,3.45501,0.207708,0.196991,0.187804,0.187969,0.200487,0.207073,0.212232,0.212232,0.195373,0.198594,0.192569,0.195896,0.204707,0.189444,0.207073,0.202006,0.208244,0.211423,0.201198,0.203312,0.186258,0.183573,0.197562,0.201147
coef,その他_1,-1.02526,0.0908427,0.0348884,0.109826,0.0738678,0.118272,0.0365667,0.0487995,-0.028313,-0.0277243,-0.071031,-0.0706584,-0.070521,-0.0573419,-0.0705645,0.00578267,-0.0250874,0.0133823,0.0392504,-0.00771492,0.000798181,-0.0132312,-0.0443336,-0.0318968,0.0692693,-0.037834,-0.0269005,-0.0391657,0.0266838,-0.0256218,-0.0570187,0.0297255,-0.0257844,-0.0232362,0.0349852,0.0235752,-0.0212737,0.0415391,0.0477842,0.0293732,-0.00408768,-0.00126881,-0.0136913,-0.0257846,-0.00416979,-0.0131734,0.0339337,0.025018,0.00426382,-0.0776022,-0.0249483,-0.0269358,0.03608,0.0542359,-0.0129362,0.0459747,-0.00164862,0.020425,-0.00691542,0.0138101,0.037736,0.0839232,0.0182824,0.0993011,-0.0356165,0.0170163,-0.0184651,-0.184577,0.203782,0.0223742,-0.0221335,-0.0035888,-0.0301,0.0436192,-0.0136816,0.00548769,-0.000417114,-0.0126112,0.0184893,0,-0.00718399,0.079634,-0.00362524,-0.0319098,0.0029291,-0.0309757,0.0511426,0.000738363,0.0181244,0.0372356,0.0631668,-0.0260542,-0.0542348,0.0447657,-0.000945012,0.00933172,-0.0441028,-0.0559918,-0.0466963,0.0311689,-0.0202787,-0.0587136,-0.0413085,0.0230748,0.0417168
coef,その他_2,-2.1245,-0.0223681,-0.012979,-0.0118874,0.029568,-0.0117308,0.0202754,0.0224431,-0.0138678,0.0165551,-0.0299977,0.129482,0.0293809,0.128494,0.0913682,0.00113438,-0.0603203,-0.0155383,-0.0382321,-0.0448171,-0.00348918,-0.0429652,0.0467956,-0.0385689,0.0224381,-0.0581179,0.00558814,-0.0284408,-0.0883209,-0.0251277,0.0131924,0.0306599,-0.0110743,-0.0574584,0.0457056,-0.0347174,-0.0782562,-0.0220153,0.0375921,0.0221619,-0.00277136,-0.0243867,0.00644669,-0.0253868,-0.00563076,-0.0301351,0.0297794,-0.0244437,0.054646,0.00879168,-0.0135187,-0.0415777,-0.015734,-0.0355744,-0.0310586,-0.0568073,0.024956,-0.0327,0.00323611,-0.0311517,-0.0412897,0.0294054,0.00146749,-0.0335698,0.0137027,-0.021232,-0.0207009,-0.225222,0.266661,-0.0179479,-0.0269637,-0.00514632,-0.00979848,0.0113156,-0.00649137,0.00840306,-0.038083,0.0153567,0.041302,0,-0.0186368,0.0737394,-0.0537539,-0.0236033,-0.0449666,-0.0445929,0.0444059,0.0747548,-0.028415,-0.0411418,0.00606096,-0.0353074,0.0724259,-0.0396764,-0.0398017,0.0350832,0.0219888,0.0632653,0.0311325,-0.000181281,-0.0241464,-0.0452604,-0.00457381,-0.00845897,-0.0119365
coef,その他_3,-2.51177,-0.0263353,-0.0258491,-0.0369999,0.000238681,-0.0243482,0.0399192,0.00959773,0.0391727,0.0214834,0.00468422,0.00659999,0.0434122,-0.00516753,0.0425317,0.0530399,-0.0219751,0.0336911,-0.00696368,0.104554,0.0522502,0.106112,-0.0324563,0.0434026,-0.0456129,-0.0385332,-0.00666579,-0.018869,-0.00574627,-0.0335244,-0.0338413,0.0294444,0.00464149,0.00231883,-0.00958691,-0.0266365,-0.00170413,-0.023626,-0.0235689,-0.0289153,0.040616,-0.00695236,0.0223877,-0.0186358,-0.00712854,-0.0168843,-0.0173984,0.0246477,0.00509258,-0.042168,-0.00865684,0.00469113,0.00829208,-0.0168804,-0.0261316,-0.00792487,-0.0210788,-0.0693578,0.00259643,-0.0335398,-0.0199074,-0.0385548,-0.0196853,-0.024804,0.00587294,-0.030476,-0.0294595,-0.0637442,0.114603,-0.040208,-0.0403128,-0.0188162,-0.0185302,-0.0387135,0.0391971,-0.0118956,-0.00585356,-0.0400104,0.0586835,0,0.0476906,0.0353782,0.0156778,-0.0177733,-0.0274478,-0.0296415,0.0621492,0.0103157,0.0181905,-0.0254389,-0.0341578,-0.0249479,-0.000392575,-0.0251783,0.00359322,-0.00495576,0.0510347,-0.0299286,-0.0223423,0.0260559,0.0287238,-0.0245437,-0.0192926,0.0471069,-0.021928
coef,その他_4,-3.08163,0.00128379,0.00118639,-0.0110806,-0.00917573,-0.00587915,0.0051301,-0.0116377,-0.0124253,-0.00168414,-0.0187157,0.0126605,-0.0148891,0.0140453,-0.021742,0.0068423,-0.0161015,-0.0224029,0.00222695,-0.0254329,0.00376184,-0.0244456,-0.0201983,0.00829448,0.00155557,0.00801892,-0.016576,0.0174868,0.00886344,0.0278602,0.00502118,-0.0127042,0.0047537,-0.026641,0.000436058,-0.0035159,0.0231387,0.00107397,-0.0121445,0.00113697,-0.00227512,-0.000468613,-0.0207165,0.0110967,0.0104631,0.00862404,-0.00791339,-0.00477858,0.023703,-0.00383286,-0.026724,-0.0120186,0.00139547,-0.0358967,0.00623979,0.0166195,-0.0333364,0.0151194,0.0108755,-0.0229612,-0.0341468,-0.00478961,-0.0295292,-0.00127556,0.0229252,-0.0282766,-0.00917747,0.0144559,-0.0149875,0.00357067,-0.0126846,-0.0327235,-0.0305692,-0.0096961,0.00925752,-0.0126345,-0.00504135,-0.0153405,0.0685175,0,0.00706861,-0.0155279,-0.0149183,-0.0100534,-0.0117489,-0.0125156,0.0372587,0.0365846,0.0137941,-0.0102612,0.0120372,-0.0115958,-0.00914959,-0.00931525,-0.0101309,-0.012258,-0.0110855,-0.0120669,-0.00794023,-0.010782,0.0459415,-0.0100552,-0.00712088,0.0430571,-0.00845192
coef,その他_5,-3.3165,-0.0130567,-0.00976531,-0.00266708,0.0039667,-0.00341302,-0.00279472,-0.018049,-0.03244,-0.00312349,0.00819736,-0.0105848,-0.0103476,-0.010103,0.00457749,-3.20344e-05,0.00103298,-0.0156017,-0.00918126,-0.0105417,8.87617e-05,-0.00589563,-0.00876924,-0.0152471,-0.00479101,0.0171301,0.0100767,0.0099791,-0.00154266,0.0113692,0.00210372,0.00956056,-0.000632095,0.00917108,-0.00985266,0.0228665,0.0209509,0.0264073,0.0207113,0.00803243,-0.013985,-0.00856691,0.00453095,-0.00632216,-0.00580744,-0.00947715,-0.0125396,0.0208918,0.0105419,-0.0166315,0.00627622,-0.00383761,-0.0207955,0.0166458,-0.00455042,-0.0141294,0.0107662,0.00891021,-0.00953999,0.0175413,0.0149687,-0.0125737,0.0188104,0.004277,-0.00563207,0.0211738,-0.00078125,0.00238323,0.00210628,0.000366529,0.00197044,0.0102261,0.00988388,0.0208831,0.00196661,-0.0117147,0.0105498,-0.00854119,-0.00210062,0,-0.00384959,0.018898,-0.00710349,-0.0074533,-0.00758482,-0.00524592,-0.00728355,-0.00561648,-0.00570131,-0.00536424,-0.00687199,-0.00479947,-0.00572122,-0.00434375,-0.00654941,-0.00646573,0.0223272,-0.00426918,0.0212639,0.0231785,-0.00660054,-0.00489016,-0.00420824,0.0224102,-0.00494345
coef,その他_6,-2.29246,0.0286205,-0.0338067,0.0233361,0.00632348,0.0161729,-0.0194754,0.00436891,-0.027061,0.0111753,0.0335051,-0.00795498,-0.0155284,-0.0060584,0.0168989,-0.0116795,-0.0307229,0.0254448,0.0734111,-0.00830049,-0.0233554,-0.0166496,0.0335437,-0.0123769,-0.00504522,-0.0139506,-0.0139407,-0.000879347,0.0286932,0.0324883,-0.00398626,0.0430021,-0.0530682,-0.041427,-0.0164717,-0.0219953,0.0153202,-0.0102076,-0.0490685,0.0681067,-0.0145544,0.0600629,-0.0297206,0.0561741,0.0775325,0.0487669,-0.00548313,-0.0209806,0.00361062,-0.0177398,0.0213152,-0.0351287,-0.0136394,0.0077598,0.0107061,0.00284933,0.00941281,0.00646677,0.0103708,0.0080435,0.011913,-0.0223511,-0.0153184,0.0432724,-0.0205383,0.0114594,0.0194935,0.0230109,-0.030486,-0.00452441,-0.0155409,-0.0267518,-0.0294994,0.00383203,0.0260599,-0.0256693,-0.0254628,0.0306139,-0.0110249,0,0.0224535,0.103181,0.0172447,-0.00461253,0.0224901,-0.0295907,-0.0110331,-0.0324127,-0.00739623,-0.0291985,-0.0325647,-0.0296515,0.0231015,0.0497306,0.0230534,-0.00721585,-0.00512195,-0.0290305,-0.0305688,-0.0291839,0.0193826,0.0282621,-0.0253644,-0.0314733,0.049034
coef,まくり_2,1.50662,-0.00274553,0.081445,-0.204015,-0.0752004,-0.145327,-0.0606549,-0.0211457,0.124865,0.049289,-0.0135836,0.223628,0.076215,0.187482,0.13199,0.0142898,-0.157526,-0.0254309,0.0140427,-0.0245564,-0.0460111,0.0166094,-0.00166308,0.0235622,0.0213547,-0.0625011,0.0035877,-0.00868871,-0.0115751,-0.01877,-0.0310749,0.0193262,0.0202514,0.00309871,0.0216253,-0.0360105,0.0183038,-0.0549463,-0.0134997,0.00862289,0.0105132,-0.0744037,0.00265185,-0.0750278,0.00829377,-0.0521844,0.000121593,0.0306099,0.0503538,0.0915984,0.137519,0.0322437,-0.126197,-0.391838,0.0672677,0.0519993,0.0566672,0.0309421,-0.0246859,0.0223079,-0.0474859,-0.01815,0.0622435,-0.0504047,0.00650144,0.0821095,0.0111994,0.0445158,-0.0104272,-0.0109764,-0.0267111,-0.026453,-0.0103583,0.0290342,-0.0266507,-0.0290169,-0.0440446,-0.0129413,-0.0139878,0,-0.022678,-0.0382834,0.0597154,0.0285493,-0.0459512,0.0341951,-0.0113792,0.0256195,0.0281162,-0.0333795,-0.0679808,0.0224518,0.0171647,-0.00405433,0.0293767,-0.0336835,-0.0200973,0.00988976,0.00414701,-0.0192634,0.00279435,-0.0263791,0.109672,-0.035108,-0.0284185
