セル,2着コース,3着コース,n,確率
その他_1,2,3,10,0.075070
その他_1,2,4,7,0.056180
その他_1,2,5,7,0.065257
その他_1,2,6,5,0.061136
その他_1,3,2,9,0.071694
その他_1,3,4,3,0.032663
その他_1,3,5,4,0.043112
その他_1,3,6,5,0.049617
その他_1,4,2,4,0.052315
その他_1,4,3,4,0.041797
その他_1,4,5,6,0.050864
その他_1,4,6,7,0.057369
その他_1,5,2,8,0.067818
その他_1,5,3,3,0.037921
その他_1,5,4,4,0.036539
その他_1,5,6,6,0.053493
その他_1,6,2,7,0.055178
その他_1,6,3,3,0.031661
その他_1,6,4,2,0.023778
その他_1,6,5,4,0.036539
その他_2,1,3,6,0.141826
その他_2,1,4,6,0.133828
その他_2,1,5,7,0.122806
その他_2,1,6,4,0.067890
その他_2,3,1,1,0.022015
その他_2,3,4,3,0.046571
その他_2,3,5,3,0.041702
その他_2,3,6,0,0.014605
その他_2,4,1,0,0.012171
その他_2,4,3,3,0.039268
その他_2,4,5,0,0.019126
その他_2,4,6,2,0.020383
その他_2,5,1,3,0.031965
その他_2,5,3,1,0.039054
その他_2,5,4,3,0.046571
その他_2,5,6,0,0.014605
その他_2,6,1,3,0.036834
その他_2,6,3,4,0.063717
その他_2,6,4,1,0.045662
その他_2,6,5,1,0.039402
その他_3,1,2,3,0.074395
その他_3,1,4,1,0.053473
その他_3,1,5,1,0.053473
その他_3,1,6,1,0.053473
その他_3,2,1,3,0.104662
その他_3,2,4,2,0.098980
その他_3,2,5,2,0.098980
その他_3,2,6,4,0.110344
その他_3,4,1,2,0.059155
その他_3,4,2,2,0.068713
その他_3,4,5,2,0.059155
その他_3,4,6,0,0.047791
その他_3,5,1,0,0.015930
その他_3,5,2,1,0.024798
その他_3,5,4,1,0.021612
その他_3,5,6,0,0.015930
その他_3,6,1,0,0.007965
その他_3,6,2,0,0.009558
その他_3,6,4,1,0.013647
その他_3,6,5,0,0.007965
その他_4,1,2,1,0.145139
その他_4,1,3,1,0.098843
その他_4,1,5,2,0.105093
その他_4,1,6,0,0.092593
その他_4,2,1,0,0.034722
その他_4,2,3,1,0.075694
その他_4,2,5,0,0.069444
その他_4,2,6,2,0.081944
その他_4,3,1,0,0.011574
その他_4,3,2,1,0.040972
その他_4,3,5,0,0.023148
その他_4,3,6,0,0.023148
その他_4,5,1,1,0.029398
その他_4,5,2,1,0.075694
その他_4,5,3,0,0.046296
その他_4,5,6,0,0.046296
その他_4,6,1,0,0.000000
その他_4,6,2,0,0.000000
その他_4,6,3,0,0.000000
その他_4,6,5,0,0.000000
その他_5,1,2,0,0.000000
その他_5,1,3,0,0.101868
その他_5,1,4,2,0.216638
その他_5,1,6,0,0.000000
その他_5,2,1,0,0.101868
その他_5,2,3,1,0.057385
その他_5,2,4,0,0.101868
その他_5,2,6,0,0.000000
その他_5,3,1,0,0.000000
その他_5,3,2,0,0.000000
その他_5,3,4,0,0.000000
その他_5,3,6,0,0.000000
その他_5,4,1,1,0.108319
その他_5,4,2,0,0.000000
その他_5,4,3,0,0.050934
その他_5,4,6,0,0.000000
その他_5,6,1,1,0.108319
その他_5,6,2,0,0.000000
その他_5,6,3,0,0.050934
その他_5,6,4,0,0.101868
その他_6,1,2,1,0.050454
その他_6,1,3,4,0.123465
その他_6,1,4,0,0.022386
その他_6,1,5,2,0.067329
その他_6,2,1,2,0.049740
その他_6,2,3,2,0.068928
その他_6,2,4,0,0.012792
その他_6,2,5,0,0.031980
その他_6,3,1,2,0.078522
その他_6,3,2,1,0.050454
その他_6,3,4,2,0.033750
その他_6,3,5,2,0.067329
その他_6,4,1,0,0.057564
その他_6,4,2,2,0.049740
その他_6,4,3,3,0.103392
その他_6,4,5,1,0.053652
その他_6,5,1,2,0.030552
その他_6,5,2,0,0.012792
その他_6,5,3,0,0.028782
その他_6,5,4,0,0.006396
まくり_2,1,3,63,0.036516
まくり_2,1,4,55,0.032144
まくり_2,1,5,46,0.027239
まくり_2,1,6,27,0.016463
まくり_2,3,1,115,0.067836
まくり_2,3,4,202,0.116704
まくり_2,3,5,170,0.099291
まくり_2,3,6,113,0.066886
まくり_2,4,1,84,0.049795
まくり_2,4,3,160,0.092438
まくり_2,4,5,126,0.073830
まくり_2,4,6,93,0.054736
まくり_2,5,1,50,0.029881
まくり_2,5,3,109,0.062763
まくり_2,5,4,86,0.050279
まくり_2,5,6,55,0.032636
まくり_2,6,1,33,0.019286
まくり_2,6,3,57,0.032782
まくり_2,6,4,36,0.021425
まくり_2,6,5,28,0.017071
まくり_3,1,2,143,0.061945
まくり_3,1,4,149,0.064393
まくり_3,1,5,146,0.063352
まくり_3,1,6,88,0.038918
まくり_3,2,1,121,0.052592
まくり_3,2,4,144,0.062017
まくり_3,2,5,134,0.058104
まくり_3,2,6,78,0.034557
まくり_3,4,1,153,0.066479
まくり_3,4,2,147,0.064084
まくり_3,4,5,173,0.074900
まくり_3,4,6,127,0.055253
まくり_3,5,1,127,0.054925
まくり_3,5,2,125,0.054149
まくり_3,5,4,106,0.046397
まくり_3,5,6,102,0.044251
まくり_3,6,1,65,0.028129
まくり_3,6,2,57,0.024885
まくり_3,6,4,73,0.031413
まくり_3,6,5,43,0.019256
まくり_4,1,2,132,0.059910
まくり_4,1,3,92,0.041853
まくり_4,1,5,162,0.072629
まくり_4,1,6,117,0.053404
まくり_4,2,1,124,0.056385
