記録日,級別,グレード分類,進入,μ,σ,サンプル数
2026-08-25,A1,G2_G3_一般,1,44.5245,12.0334,2776
2026-08-25,A1,G2_G3_一般,2,33.5363,16.2999,2036
2026-08-25,A1,G2_G3_一般,3,32.0963,17.5109,1932
2026-08-25,A1,G2_G3_一般,4,30.8912,16.4154,1930
2026-08-25,A1,G2_G3_一般,5,27.4707,16.4431,1791
2026-08-25,A1,G2_G3_一般,6,21.8233,16.3896,1415
2026-08-25,A1,SG_G1,1,85.4902,24.5679,255
2026-08-25,A1,SG_G1,2,49.7561,35.5551,246
2026-08-25,A1,SG_G1,3,49.8054,34.2167,257
2026-08-25,A1,SG_G1,4,43.5433,32.3618,254
2026-08-25,A1,SG_G1,5,41.84,29.5806,250
2026-08-25,A1,SG_G1,6,31.3492,26.2423,252
2026-08-25,A2,G2_G3_一般,1,61.7774,20.5266,2408
2026-08-25,A2,G2_G3_一般,2,45.2912,23.4355,2232
2026-08-25,A2,G2_G3_一般,3,43.9418,25.3495,2268
2026-08-25,A2,G2_G3_一般,4,39.7342,23.7179,2088
2026-08-25,A2,G2_G3_一般,5,34.6041,22.3053,2071
2026-08-25,A2,G2_G3_一般,6,26.0245,22.1916,1835
2026-08-25,A2,SG_G1,1,99.1071,29.4913,28
2026-08-25,A2,SG_G1,2,53.5714,53.5,35
2026-08-25,A2,SG_G1,3,50.0,51.2348,30
2026-08-25,A2,SG_G1,4,43.1034,54.4948,29
2026-08-25,A2,SG_G1,5,48.2759,40.4346,29
2026-08-25,A2,SG_G1,6,41.4062,31.6286,32
2026-08-25,B1,全,1,69.8051,32.8965,3745
2026-08-25,B1,全,2,47.1708,32.6512,4549
2026-08-25,B1,全,3,45.1319,33.2984,4587
2026-08-25,B1,全,4,40.2255,32.1703,4700
2026-08-25,B1,全,5,35.7689,30.1501,4708
2026-08-25,B1,全,6,25.0893,25.8447,4032
2026-08-25,B2,全,1,80.0,46.802,235
2026-08-25,B2,全,2,47.4615,42.6445,325
2026-08-25,B2,全,3,43.9802,45.1338,353
2026-08-25,B2,全,4,34.5335,39.5254,493
2026-08-25,B2,全,5,29.9509,37.4493,611
2026-08-25,B2,全,6,13.9761,27.2611,1880
2026-08-25,A1,G2_G3_一般,0,33.1305,17.2389,11880
2026-08-25,A1,SG_G1,0,50.3699,35.0504,1514
2026-08-25,A2,G2_G3_一般,0,42.7759,25.4637,12902
2026-08-25,A2,SG_G1,0,55.3279,48.7791,183
2026-08-25,B1,全,0,43.3737,33.8664,26321
2026-08-25,B2,全,0,28.5733,39.5303,3897
