記録日,場コード,モーター番号,節数,走数,Σw,Σw2,n_eff,加重平均残差,素点
2026-08-20,02,1,2,13,11.799691,10.728814,12.977455,-0.319359,-0.180371
2026-08-20,02,2,1,8,7.465385,6.968588,7.997599,-0.119239,-0.052986
2026-08-20,02,3,2,13,11.758372,10.654813,12.976232,0.340851,0.192502
2026-08-20,02,4,2,12,10.803531,9.74309,11.97939,0.20648,0.112538
2026-08-20,02,5,1,8,7.475978,6.988017,7.998013,-0.138475,-0.061536
2026-08-20,02,23,2,11,9.964414,9.042319,10.980541,0.108619,0.056848
2026-08-20,02,25,1,3,2.581769,2.222042,2.999733,-0.194202,-0.044813
2026-08-20,02,28,1,5,4.292988,3.686225,4.999625,-0.996321,-0.33209
2026-08-20,02,30,1,5,4.302987,3.703535,4.999466,-0.005829,-0.001943
2026-08-20,02,31,1,5,4.302987,3.703535,4.999466,-0.90219,-0.300709
2026-08-20,02,32,1,5,4.312871,3.720449,4.999627,0.183666,0.061219
2026-08-20,02,33,1,6,5.163538,4.444083,5.999466,-0.053511,-0.020065
2026-08-20,02,34,1,4,3.442321,2.96259,3.999733,0.317599,0.090738
2026-08-20,02,35,1,6,5.163538,4.444083,5.999466,0.516575,0.193705
2026-08-20,02,36,1,5,4.292988,3.686225,4.999625,1.025297,0.341749
2026-08-20,02,37,1,4,3.442321,2.96259,3.999733,-0.627736,-0.179345
2026-08-20,02,38,0,0,,,,,
2026-08-20,02,39,1,4,3.442321,2.96259,3.999733,0.196819,0.056231
2026-08-20,02,40,1,6,5.163538,4.444083,5.999466,-0.372228,-0.139578
2026-08-20,02,41,1,5,4.302987,3.703535,4.999466,-0.699625,-0.233192
2026-08-20,02,42,1,3,2.561886,2.187818,2.999911,-0.416244,-0.096054
2026-08-20,02,43,1,5,4.292988,3.686225,4.999625,0.484522,0.161499
2026-08-20,02,44,1,5,4.302987,3.703535,4.999466,0.157367,0.052452
2026-08-20,02,45,1,8,7.443701,6.927881,7.997926,0.454902,0.20215
2026-08-20,02,46,3,18,9.506064,5.183846,17.432087,-0.014988,-0.009525
2026-08-20,02,47,3,19,12.627718,9.433684,16.90318,-0.238189,-0.149653
2026-08-20,02,48,1,7,6.531978,6.096643,6.998399,0.1585,0.065256
2026-08-20,02,49,6,40,26.183077,18.402447,37.253389,0.390929,0.308198
2026-08-20,02,50,6,39,26.12417,18.3364,37.219532,-0.706142,-0.556598
2026-08-20,02,51,6,38,24.128759,16.599819,35.07249,-0.298039,-0.231914
2026-08-20,02,52,3,17,11.311388,8.425926,15.184979,-0.658361,-0.396951
2026-08-20,02,53,6,37,25.33574,18.206203,35.257199,0.113246,0.088223
2026-08-20,02,54,6,38,25.318305,18.024452,35.563721,0.147202,0.114895
2026-08-20,02,55,6,39,26.14238,18.463489,37.01489,-0.039856,-0.031379
2026-08-20,02,56,1,8,7.465385,6.968588,7.997599,0.420986,0.187074
2026-08-20,02,57,4,27,17.126732,12.029855,24.383082,-0.441582,-0.313152
2026-08-20,02,58,6,40,27.309542,19.520748,38.20607,-0.194699,-0.15431
2026-08-20,02,59,3,20,13.215595,9.818017,17.788924,-0.314674,-0.201437
2026-08-20,02,60,4,26,18.109176,13.506138,24.28098,-0.314843,-0.223001
2026-08-20,02,61,6,39,22.495902,13.473661,37.559622,0.212521,0.167836
2026-08-20,02,62,6,41,27.323938,19.163688,38.95897,-0.015757,-0.012538
2026-08-20,02,63,5,35,21.086248,12.979193,34.257128,0.436155,0.337605
2026-08-20,02,64,6,40,26.61451,18.687815,37.903422,-0.244483,-0.193447
2026-08-20,02,65,0,0,,,,,
2026-08-20,04,10,5,23,13.204639,7.722714,22.577876,-0.094905,-0.065774
2026-08-20,04,11,6,35,23.195682,15.817793,34.014838,0.198139,0.153123
2026-08-20,04,12,6,44,33.163031,25.649943,42.876767,0.763945,0.619468
2026-08-20,04,13,6,34,21.794858,14.577034,32.586589,-0.034555,-0.026441
2026-08-20,04,14,5,34,23.272797,16.46103,32.903354,0.408167,0.313031
2026-08-20,04,15,5,32,21.901834,15.50159,30.944588,0.118857,0.089828
2026-08-20,04,16,6,35,25.973631,20.07857,33.599481,0.1214,0.093556
2026-08-20,04,20,5,26,16.723383,11.042832,25.326069,0.026244,0.018815
2026-08-20,04,22,6,32,21.818391,15.75217,30.220738,-0.423897,-0.318504
2026-08-20,04,24,6,30,20.504049,14.86706,28.278356,0.315318,0.232943
2026-08-20,04,28,3,17,9.678202,5.568061,16.8223,0.019799,0.012418
2026-08-20,04,30,6,44,32.330008,24.563382,42.552342,0.640341,0.518493
2026-08-20,04,31,5,32,21.723547,15.234764,30.97603,-0.182679,-0.138097
2026-08-20,04,32,5,30,20.796032,15.121322,28.600339,-0.406485,-0.301179
2026-08-20,04,34,6,35,23.067081,16.177114,32.89154,0.018618,0.014277
2026-08-20,04,35,5,32,22.488437,16.53549,30.584508,-0.258004,-0.194432
2026-08-20,04,36,6,35,25.500938,19.322117,33.655621,0.157352,0.121308
2026-08-20,04,39,6,31,20.633836,14.598894,29.163523,-0.288366,-0.214735
2026-08-20,04,41,4,27,17.896684,12.340221,25.95507,0.069105,0.049885
2026-08-20,04,44,6,28,17.910554,12.071429,26.574149,-0.317157,-0.23044
2026-08-20,04,45,4,24,16.449076,12.009592,22.529667,0.05267,0.036479
2026-08-20,04,46,4,27,20.927918,16.901086,25.914178,0.139618,0.100742
2026-08-20,04,48,5,33,22.565112,15.943785,31.936223,0.049282,0.037531
2026-08-20,04,49,6,31,20.099077,13.636854,29.623613,-0.03556,-0.026586
2026-08-20,04,51,6,34,22.700587,15.777986,32.660482,-0.050146,-0.038392
