レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,2枠_登録番号,2枠_推定ST,3枠_登録番号,3枠_推定ST,4枠_登録番号,4枠_推定ST,5枠_登録番号,5枠_推定ST,6枠_登録番号,6枠_推定ST
202607250101,2026-07-25,01,01R,5301,0.1514,4241,0.1565,5378,0.2105,3381,0.1374,3717,0.1603,5411,0.1698
202607250102,2026-07-25,01,02R,4948,0.1312,4449,0.1558,4724,0.1661,4318,0.1661,5371,0.1887,3659,0.1749
202607250103,2026-07-25,01,03R,4649,0.1231,3977,0.1583,4452,0.1589,4397,0.1248,3889,0.1632,4410,0.172
202607250104,2026-07-25,01,04R,4863,0.1733,4073,0.1463,5351,0.1532,4588,0.1398,3664,0.1682,4551,0.176
202607250105,2026-07-25,01,05R,4632,0.177,4601,0.1248,4643,0.1254,4203,0.1528,3642,0.2002,4106,0.1962
202607250106,2026-07-25,01,06R,4743,0.1195,3381,0.1404,4952,0.1664,3797,0.204,5375,0.1843,5086,0.204
202607250107,2026-07-25,01,07R,4949,0.1481,3889,0.1633,3499,0.1528,5411,0.1534,4449,0.1557,4458,0.1605
202607250108,2026-07-25,01,08R,4588,0.1353,4724,0.1721,5371,0.1828,5053,0.1992,3737,0.1492,3977,0.1717
202607250109,2026-07-25,01,09R,3717,0.1529,4203,0.1558,4318,0.1631,4410,0.1556,4864,0.1669,3664,0.1817
202607250110,2026-07-25,01,10R,5126,0.1414,3659,0.1615,4649,0.1246,4106,0.1798,5312,0.2013,4073,0.1597
202607250111,2026-07-25,01,11R,4397,0.1203,4458,0.1471,4241,0.1505,4601,0.1218,4551,0.1625,5375,0.1978
202607250112,2026-07-25,01,12R,3737,0.1418,4743,0.127,4948,0.1327,4949,0.1526,4643,0.1313,5351,0.1726
202607250201,2026-07-25,02,01R,3455,0.1467,3647,0.167,5138,0.1627,3419,0.2147,5433,0.2377,5170,0.1571
202607250202,2026-07-25,02,02R,5152,0.2138,3983,0.1454,3630,0.1546,5385,0.1435,4911,0.1608,4533,0.1928
202607250203,2026-07-25,02,03R,3745,0.1597,4055,0.1556,5178,0.1753,5432,0.1607,4054,0.1531,4095,0.15
202607250204,2026-07-25,02,04R,3202,0.1856,4258,0.1771,4651,0.1649,4704,0.1239,4043,0.1585,3377,0.2161
202607250205,2026-07-25,02,05R,4172,0.1442,5031,0.1664,5209,0.1801,3743,0.1354,5007,0.2005,3812,0.1749
202607250206,2026-07-25,02,06R,5273,0.1657,4824,0.1246,4910,0.1287,5152,0.2183,4122,0.1621,4231,0.1806
202607250207,2026-07-25,02,07R,4702,0.1225,3630,0.1606,5325,0.142,5433,0.2348,3745,0.1671,3538,0.2278
202607250208,2026-07-25,02,08R,4740,0.1613,3715,0.1595,3455,0.1482,4095,0.1336,5385,0.1464,4043,0.172
202607250209,2026-07-25,02,09R,4911,0.1534,4704,0.1269,4172,0.1457,5138,0.1657,5432,0.1636,5033,0.1914
202607250210,2026-07-25,02,10R,4055,0.1481,3502,0.1617,3419,0.2117,5209,0.1831,4258,0.177,4910,0.1481
202607250211,2026-07-25,02,11R,4122,0.1547,4058,0.1862,3538,0.2084,4651,0.1679,3983,0.1453,3963,0.1852
202607250212,2026-07-25,02,12R,3743,0.1309,4702,0.13,3647,0.161,3377,0.1997,4824,0.1245,3715,0.1729
202607250301,2026-07-25,03,01R,4401,0.1328,5207,0.1781,4345,0.1326,4840,0.1582,4432,0.1391,3964,0.2115
202607250302,2026-07-25,03,02R,4251,0.1972,4398,0.1314,4614,0.1305,4374,0.1379,5096,0.135,3796,0.17
202607250303,2026-07-25,03,03R,5240,0.1686,4227,0.1617,4395,0.1572,3946,0.1334,4067,0.1584,3771,0.1415
202607250304,2026-07-25,03,04R,4957,0.1491,4711,0.1461,4907,0.1275,3527,0.1478,5036,0.1469,4430,0.1726
202607250305,2026-07-25,03,05R,5107,0.1926,4297,0.1082,5167,0.1488,3964,0.1951,4269,0.147,4958,0.1525
202607250306,2026-07-25,03,06R,5095,0.135,4270,0.1622,4204,0.1656,5096,0.1321,4645,0.1249,4840,0.1746
202607250307,2026-07-25,03,07R,4227,0.1542,3813,0.1686,5207,0.1721,4082,0.1928,4688,0.1279,4474,0.1974
202607250308,2026-07-25,03,08R,5083,0.1631,4374,0.1409,4472,0.1387,3880,0.1951,4335,0.1116,4656,0.161
202607250309,2026-07-25,03,09R,4564,0.1694,3740,0.1556,5240,0.1701,4398,0.1284,5167,0.1547,4345,0.152
202607250310,2026-07-25,03,10R,3946,0.1289,4575,0.1518,4401,0.1343,5036,0.144,5311,0.1801,4614,0.1499
202607250311,2026-07-25,03,11R,4297,0.1007,4645,0.125,5047,0.1535,5038,0.1312,4711,0.146,4432,0.1526
202607250312,2026-07-25,03,12R,4688,0.1205,4957,0.1566,4958,0.1331,5095,0.1395,4251,0.2046,4067,0.1719
202607250401,2026-07-25,04,01R,4878,0.1662,5362,0.2267,5251,0.1722,4419,0.1543,4853,0.206,5314,0.1834
202607250402,2026-07-25,04,02R,4123,0.1815,5287,0.1835,5203,0.1462,4546,0.1536,4893,0.1544,5324,0.2199
202607250403,2026-07-25,04,03R,4244,0.1426,4286,0.1467,4746,0.1898,5265,0.1489,5297,0.2035,5317,0.1639
202607250404,2026-07-25,04,04R,5322,0.1622,4714,0.1703,4569,0.1489,5241,0.1766,5436,0.2004,4961,0.1701
202607250405,2026-07-25,04,05R,5194,0.1725,4680,0.1923,4443,0.1695,5326,0.171,4190,0.1593,5389,0.2007
202607250406,2026-07-25,04,06R,5361,0.1904,4419,0.1573,4891,0.1548,4765,0.1409,4464,0.1798,5347,0.1991
202607250407,2026-07-25,04,07R,5203,0.1447,4117,0.1961,5165,0.1705,5362,0.2237,5380,0.268,4845,0.1605
202607250408,2026-07-25,04,08R,4286,0.1392,5251,0.1782,5287,0.1775,4825,0.1402,5174,0.1885,5241,0.193
202607250409,2026-07-25,04,09R,4853,0.1986,5322,0.1697,4208,0.1533,4893,0.1515,5231,0.1612,5265,0.1653
202607250410,2026-07-25,04,10R,4443,0.168,4689,0.1572,5314,0.164,5297,0.2006,4123,0.1889,4569,0.1683
