レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609160401,2026-09-16,04,01R,4976,0.1732,0.1263,0.2201,3951,0.2051,0.1624,0.2478,5081,0.1892,0.146,0.2324,4880,0.1508,0.1123,0.1892,3747,0.1503,0.1131,0.1874,4651,0.1697,0.1225,0.2169
202609160402,2026-09-16,04,02R,4272,0.1379,0.098,0.1777,4610,0.1735,0.1199,0.227,3385,0.1398,0.0993,0.1802,5393,0.2093,0.1527,0.266,4200,0.1635,0.1185,0.2085,5022,0.1739,0.1344,0.2133
202609160403,2026-09-16,04,03R,5237,0.1538,0.114,0.1935,4377,0.1419,0.1023,0.1814,4769,0.1039,0.0702,0.1377,4422,0.1545,0.1117,0.1973,3313,0.1623,0.1209,0.2037,3564,0.172,0.1335,0.2105
202609160404,2026-09-16,04,04R,3857,0.1696,0.1271,0.2121,5209,0.186,0.1419,0.2301,4421,0.1803,0.1214,0.2393,3915,0.1821,0.1391,0.2251,4288,0.1073,0.0697,0.1449,3432,0.1976,0.1538,0.2413
202609160405,2026-09-16,04,05R,4082,0.1817,0.1375,0.2258,3904,0.1645,0.1241,0.205,4053,0.165,0.1234,0.2067,4932,0.1436,0.1019,0.1853,5031,0.1483,0.1038,0.1928,5424,0.2126,0.1655,0.2597
202609160406,2026-09-16,04,06R,3105,0.146,0.1101,0.1818,4697,0.1646,0.1184,0.2107,4508,0.1886,0.1448,0.2323,4976,0.1777,0.1308,0.2246,5004,0.1612,0.1185,0.2039,5104,0.1647,0.1289,0.2005
202609160407,2026-09-16,04,07R,3951,0.1976,0.1549,0.2403,5023,0.1774,0.1311,0.2237,4180,0.1446,0.1085,0.1807,4659,0.1431,0.104,0.1821,4272,0.1453,0.1054,0.1851,3771,0.151,0.1128,0.1893
202609160408,2026-09-16,04,08R,3963,0.1526,0.1099,0.1953,4880,0.1538,0.1153,0.1922,4367,0.1908,0.1453,0.2363,5105,0.1676,0.1275,0.2076,5393,0.2122,0.1556,0.2689,4769,0.1233,0.0896,0.1571
202609160409,2026-09-16,04,09R,3385,0.1383,0.0978,0.1787,5237,0.1613,0.1215,0.201,3915,0.1791,0.1361,0.2221,3876,0.159,0.1175,0.2004,5424,0.1991,0.152,0.2462,3107,0.197,0.1535,0.2405
202609160410,2026-09-16,04,10R,3747,0.1429,0.1057,0.18,3313,0.1624,0.121,0.2038,3432,0.1782,0.1344,0.2219,5031,0.1454,0.1009,0.1899,4610,0.1734,0.1198,0.2269,5004,0.1747,0.132,0.2174
