登録番号,重み付き和,重み付き二乗和,重み計,基準日
2538,5.3828764096,1.3051786757,25.4338133136,2026-09-15
2878,4.197660685,0.7787915651,25.5681587917,2026-09-15
3024,0.1786792324,0.0342537524,1.090631939,2026-09-15
3054,2.956300293,0.6043904139,16.1570219699,2026-09-15
3070,1.1531179744,0.2253931331,6.8155850525,2026-09-15
3072,4.5123604274,0.844265278,27.5993218593,2026-09-15
3075,2.4509545145,0.3757512434,21.3105096561,2026-09-15
3081,0.1977122662,0.0356311262,1.310598368,2026-09-15
3105,3.5912043097,0.5844642581,25.0060936718,2026-09-15
3107,3.4141278539,0.7380032382,17.8862737337,2026-09-15
3156,3.6724206846,0.6928956797,22.3866805618,2026-09-15
3158,4.0582978922,0.6384757726,30.5674820373,2026-09-15
3159,0.2473317186,0.0482639302,1.4906976009,2026-09-15
3161,3.6768023365,0.7028839332,23.5397945988,2026-09-15
3175,4.3458649345,0.7733094682,29.5876985408,2026-09-15
3176,0.0512237385,0.0121132263,0.2536037723,2026-09-15
3202,4.7277175166,1.0474877,23.9492413448,2026-09-15
3207,1.0308708728,0.2193297154,5.9301501444,2026-09-15
3211,5.083895408,0.957466586,30.7982129571,2026-09-15
3212,3.9054330814,0.7779154258,22.8981876807,2026-09-15
3224,4.1733615222,0.8304848084,22.7678787617,2026-09-15
3226,3.8491862271,0.7613453541,23.2429252362,2026-09-15
3232,3.6420439799,0.6291239609,23.0960290138,2026-09-15
3233,3.2788940448,0.6915237416,19.0242812797,2026-09-15
3246,0.1002920679,0.0191052788,0.660146135,2026-09-15
3251,6.8229388701,1.3805091413,36.9285359018,2026-09-15
3256,4.5095519613,0.743403683,32.4916596919,2026-09-15
3257,3.4717312369,0.6653729395,24.1209737609,2026-09-15
3265,3.6148398261,0.5855776505,26.5942206711,2026-09-15
3268,4.9713517956,0.8954730346,31.4040894252,2026-09-15
3277,3.9266205544,0.7074190291,25.1565935926,2026-09-15
3282,4.8162700931,1.0864934519,24.3271108791,2026-09-15
3284,5.5655510229,1.4382288109,24.3134958326,2026-09-15
3286,3.5123169901,0.711309412,20.033967378,2026-09-15
3289,0.8129530738,0.1888841627,3.9598747047,2026-09-15
3293,4.6214339002,0.9711451542,25.7228113502,2026-09-15
3294,3.0740511448,0.5570453473,19.2865665642,2026-09-15
3297,5.2367037388,1.1520942927,26.5757580748,2026-09-15
3300,4.1425176629,0.7254559637,27.4300392589,2026-09-15
3302,3.4393851902,0.6948504004,20.0791909524,2026-09-15
3303,6.0305709518,1.3961424656,30.1556595803,2026-09-15
3304,5.0821914613,0.8914871798,31.7523215381,2026-09-15
3305,3.9714826988,0.7271673047,25.4908359606,2026-09-15
3306,4.4261929282,0.8480056509,27.4380848539,2026-09-15
3313,4.1176589617,0.7671734877,25.6974471022,2026-09-15
3315,3.3216599967,0.6488812643,22.1454148978,2026-09-15
3319,5.5176233488,0.9743741913,34.2142697944,2026-09-15
3327,4.6522428375,0.9719795052,26.3965374032,2026-09-15
3333,4.8764370223,0.8690116588,33.7178260937,2026-09-15
3334,4.5909316036,0.9708646929,24.3492056942,2026-09-15
3339,2.6018132109,0.4362297342,18.3311055767,2026-09-15
3340,4.347841301,0.8361113814,25.1973094722,2026-09-15
3346,0.0125298628,0.0026416376,0.0741202406,2026-09-15
3349,4.6993456835,0.8900884945,29.4806837669,2026-09-15
3350,2.4383919927,0.4289913307,15.3852835698,2026-09-15
3352,4.0578305123,0.7724727448,25.7510037129,2026-09-15
3353,1.7683210348,0.3517180259,11.6109812889,2026-09-15
