場コード,レース回,n,1コース勝率,2コース勝率,3コース勝率,4コース勝率,5コース勝率,6コース勝率
01,1,149,36.21,17.98,17.45,16.86,9.87,1.63
01,2,149,35.20,14.96,19.46,13.84,12.89,3.64
01,3,148,36.39,14.03,18.55,13.91,12.95,4.17
01,4,149,38.72,15.97,12.92,18.87,8.36,5.15
01,5,149,38.72,15.47,15.44,17.86,9.37,3.14
01,6,148,66.70,5.95,6.93,10.38,7.39,2.65
01,7,146,62.27,6.52,17.71,8.44,4.41,0.64
01,8,145,50.29,6.04,10.63,12.08,18.79,2.18
01,9,144,51.58,11.74,13.26,12.14,9.09,2.19
01,10,143,59.10,11.29,8.66,12.72,6.55,1.69
01,11,143,62.72,10.25,9.18,11.68,4.48,1.69
01,12,143,64.80,8.18,10.74,8.06,7.07,1.17
02,1,134,41.54,18.65,14.42,15.78,7.40,2.21
02,2,134,37.74,22.45,17.68,11.97,7.95,2.21
02,3,133,33.03,17.66,21.06,18.60,7.45,2.22
02,4,133,33.03,22.03,19.42,19.69,4.71,1.13
02,5,133,42.32,13.29,17.78,20.78,4.71,1.13
02,6,133,33.57,22.58,17.78,16.41,7.99,1.67
02,7,132,59.03,12.26,11.83,9.36,4.74,2.78
02,8,134,38.82,16.47,19.85,13.60,9.58,1.66
02,9,133,41.22,15.47,22.15,12.04,6.90,2.22
02,10,134,43.17,18.10,16.05,13.60,4.69,4.38
02,11,134,57.30,9.95,12.79,8.71,9.58,1.66
02,12,133,53.79,10.55,13.95,8.21,11.27,2.22
03,1,122,47.49,17.19,16.00,11.56,5.82,1.94
03,2,120,45.11,23.87,16.19,8.75,4.12,1.96
03,3,119,39.46,19.87,17.47,14.72,4.15,4.34
03,4,118,43.86,19.39,12.81,13.62,8.34,1.98
03,5,118,42.08,20.58,16.38,11.24,8.93,0.79
03,6,118,39.10,20.58,14.00,13.02,8.34,4.96
03,7,118,51.60,18.20,14.00,10.05,4.17,1.98
03,8,119,48.34,15.13,15.10,12.95,4.74,3.75
03,9,119,49.52,14.54,12.74,12.95,5.92,4.34
03,10,119,54.25,10.99,13.33,12.95,7.11,1.38
03,11,119,48.34,15.13,16.29,11.17,6.51,2.56
03,12,120,59.23,10.34,16.19,8.16,4.12,1.96
04,1,110,35.64,15.34,17.57,17.15,10.45,3.86
04,2,110,40.02,14.09,20.69,14.65,7.32,3.23
04,3,110,33.77,19.09,21.32,14.02,9.20,2.61
04,4,110,40.64,17.84,19.44,11.52,6.07,4.48
04,5,111,59.03,10.27,10.62,14.56,3.55,1.97
04,6,111,41.63,16.48,17.46,12.70,9.76,1.97
04,7,111,33.56,22.07,18.70,12.70,11.00,1.97
04,8,110,47.52,10.34,14.44,20.27,4.82,2.61
04,9,109,50.96,15.43,13.27,10.34,8.00,2.00
04,10,109,50.96,17.32,16.42,9.08,4.85,1.37
04,11,109,57.25,12.29,12.65,9.08,7.37,1.37
04,12,110,61.89,10.34,11.94,8.40,6.70,0.73
05,1,135,49.29,15.06,13.49,10.05,9.85,2.26
05,2,135,54.16,14.52,12.95,8.97,6.60,2.80
05,3,135,46.59,18.84,10.79,15.46,4.98,3.34
05,4,135,41.19,19.38,15.12,12.21,9.30,2.80
05,5,133,45.46,18.50,15.28,12.89,5.58,2.28
05,6,136,51.18,9.06,13.42,16.99,7.64,1.71
05,7,135,53.08,11.28,11.33,13.29,7.68,3.34
05,8,135,57.94,14.52,10.25,7.89,4.98,4.42
05,9,135,59.02,12.90,10.79,11.13,4.98,1.18
05,10,134,63.69,11.34,10.31,7.93,5.55,1.18
05,11,135,67.67,9.65,9.17,6.27,4.98,2.26
05,12,135,63.35,9.65,10.25,11.13,4.98,0.63
06,1,145,54.68,10.88,15.80,7.71,8.32,2.61
06,2,145,39.80,17.55,16.32,15.40,7.29,3.64
06,3,145,47.50,19.60,11.70,12.33,6.78,2.10
06,4,145,59.80,9.85,12.73,10.79,4.73,2.10
06,5,145,52.11,15.49,15.80,8.22,6.78,1.59
06,6,145,54.68,11.90,15.80,10.79,5.24,1.59
06,7,145,52.62,13.44,15.29,9.25,7.81,1.59
06,8,145,53.65,8.83,13.75,15.92,6.27,1.59
06,9,145,54.16,12.42,14.78,10.27,6.27,2.10
06,10,144,62.17,9.90,11.25,8.27,5.27,3.14
06,11,144,67.84,9.90,8.67,5.17,6.30,2.11
06,12,145,63.91,9.34,11.70,6.68,6.27,2.10
07,1,163,52.39,14.49,14.31,12.04,5.34,1.43
07,2,163,47.69,16.84,11.96,15.80,5.34,2.37
07,3,163,52.86,13.55,11.49,12.51,7.22,2.37
07,4,163,42.53,19.65,11.49,12.98,9.57,3.78
07,5,163,48.63,11.67,11.96,13.45,10.51,3.78
07,6,163,52.39,13.55,11.02,10.64,11.44,0.96
07,7,162,66.78,6.07,12.02,10.69,3.48,0.97
07,8,162,56.41,15.03,9.66,9.74,6.78,2.38
07,9,163,61.31,6.98,11.96,12.98,5.34,1.43
07,10,163,71.17,8.38,5.86,7.82,5.81,0.96
07,11,163,67.41,6.98,11.96,6.88,5.34,1.43
07,12,163,66.47,7.45,7.74,10.17,4.87,3.31
08,1,154,70.48,6.23,9.43,8.44,4.45,0.97
08,2,154,48.91,16.03,13.84,11.87,7.88,1.46
08,3,153,49.64,15.13,14.40,11.93,8.41,0.48
08,4,153,45.21,17.10,9.97,15.37,9.40,2.95
