stadium,n_samples,mu_waku,sigma_waku,mu_racer,sigma_racer,mu_motor,sigma_motor,mu_exhibit,sigma_exhibit,mu_weather,sigma_weather,w_waku,w_racer,w_motor,w_exhibit,w_weather,mu_y,sigma_y,mse,r2,fallback
桐生,6231,5.058413,1.40113,53.744865,5.099473,40.466341,7.361338,49.998129,6.178043,0.000425,0.116418,0.351981,0.226805,0.109662,0.198091,0.113461,3.537153,1.694779,0.778599,0.221401,0
戸田,6237,5.046428,1.267711,53.725382,4.795081,39.168952,7.568361,49.995183,6.085381,-0.000139,0.095837,0.336689,0.223686,0.117514,0.219088,0.103023,3.537117,1.694697,0.824527,0.175473,0
江戸川,5583,5.103149,1.377031,53.023516,4.036253,40.588157,7.683053,49.986262,10.012483,-0.000768,0.162215,0.447585,0.261405,0.079521,0.105741,0.105748,3.557048,1.688514,0.761803,0.238197,0
平和島,4819,5.063117,1.296096,53.088073,4.161615,41.541299,9.66009,49.992503,6.376223,0.000812,0.287502,0.309021,0.29635,0.112697,0.221486,0.060445,3.537871,1.695779,0.769375,0.230625,0
多摩川,5900,5.042936,1.45309,53.44132,4.28828,39.003935,8.915114,50.011962,5.619518,0.00033,0.191921,0.336377,0.233454,0.129904,0.21656,0.083705,3.542203,1.694082,0.743473,0.256527,0
浜名湖,6401,5.048789,1.565805,53.586794,4.655038,39.233818,8.516877,49.992078,6.129967,-0.00092,0.212487,0.40623,0.206963,0.095327,0.21437,0.07711,3.535385,1.695461,0.726686,0.273314,0
蒲郡,7301,5.051348,1.644606,53.461452,4.973204,38.68674,7.516348,50.006342,6.191985,-0.000232,0.120853,0.401932,0.252424,0.071689,0.197846,0.076109,3.538419,1.694455,0.702554,0.297446,0
常滑,6223,5.046624,1.596817,54.237375,5.236994,37.793147,7.818467,49.989772,6.442516,0.000188,0.177991,0.388665,0.197442,0.075115,0.246509,0.092269,3.530452,1.698085,0.727973,0.272027,0
津,5081,5.043613,1.678151,53.935253,5.473845,38.388218,7.442033,50.000357,5.507614,1e-05,0.126634,0.444865,0.209521,0.061314,0.194556,0.089744,3.535721,1.695112,0.731352,0.268648,0
三国,5418,5.041332,1.531076,52.730455,3.544755,40.07787,7.057918,49.992329,7.080272,-0.000255,0.112307,0.388879,0.285614,0.064732,0.171402,0.089373,3.531931,1.695921,0.709671,0.290329,0
びわこ,4759,5.050004,1.435845,53.179782,3.942383,40.345177,8.275751,50.003407,6.005436,2.9e-05,0.124397,0.360936,0.249812,0.101956,0.195618,0.091678,3.534986,1.695446,0.751215,0.248785,0
住之江,5976,5.046388,1.694535,55.586656,6.706432,37.14464,7.126651,49.99415,8.005648,-0.00025,0.240866,0.427328,0.155864,0.107049,0.232606,0.077152,3.538153,1.695696,0.743407,0.256593,0
尼崎,5524,5.051024,1.651066,54.230237,5.624275,38.720576,9.118166,50.000099,7.724651,0.00014,0.198322,0.399962,0.20563,0.0965,0.239423,0.058485,3.535119,1.696366,0.712567,0.287433,0
鳴門,5413,5.065834,1.343857,53.670485,4.164764,39.1565,7.956946,50.004157,5.978496,0.000447,0.166472,0.324156,0.242149,0.108326,0.216966,0.108403,3.547201,1.690389,0.791202,0.208798,0
丸亀,6657,5.057514,1.55819,53.935165,4.868853,38.575781,7.471381,49.995238,6.107971,0.00045,0.162938,0.402288,0.195301,0.069531,0.222462,0.110418,3.536728,1.696043,0.73995,0.26005,0
児島,5821,5.043424,1.563553,53.438612,4.536863,39.715965,8.646591,49.996391,5.476078,-0.000212,0.157326,0.435685,0.218511,0.066607,0.175294,0.103903,3.532383,1.696989,0.739935,0.260065,0
宮島,6926,5.060179,1.602794,53.393091,4.481944,40.477714,7.778873,49.988715,6.109688,-0.000159,0.126095,0.458758,0.211646,0.067742,0.165441,0.096413,3.548657,1.6911,0.721992,0.278008,0
徳山,7050,5.041932,1.758604,53.818838,4.888053,39.438967,8.021777,50.005701,8.078311,-5.2e-05,0.146864,0.450759,0.181998,0.076709,0.200885,0.089649,3.527092,1.697446,0.684125,0.315875,0
下関,5881,5.0408,1.73861,54.084247,5.241112,38.30432,7.102617,49.995573,6.326687,0.000124,0.133079,0.461116,0.179648,0.063634,0.204675,0.090928,3.525081,1.699723,0.696449,0.303551,0
若松,5843,5.054881,1.651343,53.853204,5.008543,38.749664,8.142813,49.985226,7.064702,-0.000146,0.16048,0.407771,0.218191,0.085095,0.196875,0.092067,3.534486,1.69544,0.694771,0.305229,0
芦屋,4168,5.057845,1.663169,53.936441,4.895497,39.421923,7.910405,49.993734,7.254741,-0.000894,0.207572,0.439373,0.191846,0.060335,0.214511,0.093935,3.549904,1.692652,0.709776,0.290224,0
福岡,4867,5.057251,1.739496,54.355645,5.868995,41.026529,8.654634,49.988818,6.675023,0.000251,0.113277,0.447916,0.162187,0.082386,0.23355,0.073961,3.537908,1.693711,0.681732,0.318268,0
唐津,4786,5.046277,1.660423,54.0121,5.143446,38.435367,8.675134,49.993672,5.992413,-0.000114,0.151481,0.445548,0.220093,0.062607,0.195102,0.07665,3.530297,1.697083,0.682044,0.317956,0
大村,6080,5.047345,1.784544,53.629392,4.841849,38.964536,7.407822,50.00372,6.654662,2.5e-05,0.13854,0.491992,0.179598,0.070433,0.174243,0.083734,3.535526,1.695404,0.665648,0.334352,0
