stadium,n_samples,mu_waku,sigma_waku,mu_racer,sigma_racer,mu_motor,sigma_motor,mu_exhibit,sigma_exhibit,mu_weather,sigma_weather,w_waku,w_racer,w_motor,w_exhibit,w_weather,mu_y,sigma_y,mse,r2,fallback
桐生,6654,5.042576,1.345529,54.401689,5.541761,0.012997,0.186703,50.007686,6.319394,-0.000404,0.186736,0.379059,0.195734,0.123586,0.218094,0.083527,3.527051,1.69861,0.778755,0.221245,0
戸田,5477,5.035459,1.212009,53.683626,5.104137,0.012326,0.168454,50.001962,6.200503,0.001875,0.498388,0.27248,0.273317,0.127994,0.237841,0.088367,3.539712,1.694518,0.820622,0.179378,0
江戸川,4664,5.067208,1.390051,53.13346,3.864694,0.014077,0.184263,50.032629,9.990609,-0.000962,0.206169,0.452504,0.272372,0.107111,0.072095,0.095919,3.540094,1.694286,0.775108,0.224892,0
平和島,6055,5.059955,1.36526,53.123396,4.18469,0.028854,0.18696,49.99298,6.328741,0.00137,0.286114,0.323767,0.313637,0.117897,0.207253,0.037446,3.535095,1.696662,0.745976,0.254024,0
多摩川,6292,5.034636,1.458262,53.194799,4.14707,0.022872,0.176337,50.007959,5.70834,0.000703,0.20041,0.364065,0.269691,0.089167,0.201901,0.075176,3.525588,1.69855,0.706032,0.293968,0
浜名湖,6871,5.032799,1.448847,53.901251,4.800363,0.011909,0.196711,49.985446,6.067822,0.000148,0.447553,0.358468,0.209111,0.0914,0.263699,0.077321,3.532382,1.696287,0.759952,0.240048,0
蒲郡,6316,5.047767,1.582879,54.069226,5.509274,-0.002689,0.171552,50.003947,6.213681,-0.000473,0.223604,0.393284,0.231291,0.071651,0.215058,0.088716,3.534199,1.696941,0.735398,0.264602,0
常滑,7490,5.042224,1.655721,53.447275,4.805265,0.001951,0.171337,49.996652,6.908669,-4.1e-05,0.188458,0.401339,0.230848,0.077134,0.213439,0.07724,3.525234,1.699279,0.716817,0.283183,0
津,6378,5.041328,1.648888,53.839691,5.029184,0.005512,0.180494,49.99316,5.582392,-0.000134,0.127435,0.399731,0.219923,0.080652,0.242269,0.057424,3.531044,1.697874,0.707716,0.292284,0
三国,6338,5.033746,1.523708,52.944982,3.743899,0.013457,0.1785,49.991213,6.979269,1.1e-05,0.09869,0.386209,0.287719,0.087169,0.168886,0.070017,3.532976,1.695855,0.727935,0.272065,0
びわこ,5984,5.04146,1.52902,53.982946,5.039684,-0.000157,0.175323,49.999828,5.75202,0.000291,0.131554,0.420842,0.217565,0.098536,0.194727,0.06833,3.53242,1.696159,0.75514,0.24486,0
住之江,5652,5.051597,1.638579,54.532876,5.880349,-0.018293,0.18513,50.0049,8.070223,0.000185,0.226883,0.41929,0.218486,0.112697,0.192444,0.057084,3.54034,1.694763,0.717778,0.282222,0
尼崎,7053,5.034589,1.61997,54.272894,5.478667,-0.006045,0.168648,50.003549,7.761197,0.000249,0.146271,0.390657,0.212155,0.097835,0.240159,0.059193,3.53495,1.696471,0.691505,0.308495,0
鳴門,5129,5.034404,1.303437,54.408887,5.593353,-0.000568,0.192845,50.015566,5.936203,-6.3e-05,0.142439,0.368462,0.203513,0.100274,0.230327,0.097423,3.529733,1.698101,0.785604,0.214396,0
丸亀,6588,5.05147,1.632476,53.361823,3.980346,0.011734,0.169095,49.995305,6.032763,3.9e-05,0.160761,0.399765,0.23657,0.096073,0.190521,0.077071,3.526412,1.699155,0.709711,0.290289,0
児島,6862,5.031471,1.606597,53.720887,4.583197,0.003868,0.163399,50.002278,5.609345,4.1e-05,0.128165,0.39362,0.226978,0.092342,0.18779,0.09927,3.531769,1.6974,0.737979,0.262021,0
宮島,6410,5.044351,1.567924,54.195914,5.263456,-0.001562,0.169558,50.001943,6.02793,-0.000221,0.168563,0.453292,0.206792,0.085487,0.190531,0.063897,3.537598,1.695154,0.73457,0.26543,0
徳山,6721,5.040999,1.909762,53.233668,4.026102,0.024749,0.170954,50.013503,8.050103,8.9e-05,0.162462,0.434082,0.259016,0.076112,0.1848,0.04599,3.523285,1.699252,0.643656,0.356344,0
下関,5818,5.049715,1.709779,52.900984,3.954898,0.016625,0.151363,50.0087,6.501504,5e-06,0.110466,0.426503,0.254742,0.074306,0.186626,0.057824,3.527673,1.699597,0.651773,0.348227,0
若松,6778,5.038287,1.509065,53.242572,4.207234,-0.003142,0.154374,50.003109,7.051474,4e-05,0.16575,0.387203,0.25687,0.068989,0.193475,0.093462,3.523753,1.700618,0.677472,0.322528,0
芦屋,5732,5.03343,1.561265,54.056711,5.293729,0.005344,0.179975,50.001345,7.088816,-0.000112,0.178735,0.400941,0.184132,0.10002,0.218535,0.096372,3.52896,1.698702,0.769939,0.230061,0
福岡,5212,5.053597,1.715327,53.752308,4.891299,-0.006379,0.174602,49.997888,6.744768,-0.000122,0.166715,0.456434,0.202799,0.066025,0.237227,0.037515,3.532233,1.697001,0.641474,0.358526,0
唐津,6606,5.045009,1.638526,53.39369,4.712061,0.012347,0.170782,49.999637,5.981396,-0.00027,0.142881,0.434991,0.237396,0.075984,0.183346,0.068282,3.53951,1.694463,0.670048,0.329952,0
大村,6623,5.035695,1.719114,53.54086,4.805268,0.004698,0.192654,49.997216,6.554543,0.000218,0.166907,0.44129,0.197994,0.085923,0.200922,0.073871,3.535105,1.69587,0.688951,0.311049,0
