stadium,n_samples,mu_waku,sigma_waku,mu_racer,sigma_racer,mu_motor,sigma_motor,mu_exhibit,sigma_exhibit,mu_weather,sigma_weather,w_waku,w_racer,w_motor,w_exhibit,w_weather,mu_y,sigma_y,mse,r2,fallback
桐生,6340,5.057379,1.406505,53.781215,5.113239,0.01567,0.170425,50.007931,6.320555,0.000212,0.144925,0.357303,0.223925,0.114187,0.201629,0.102957,3.539274,1.694918,0.775857,0.224143,0
戸田,6232,5.044929,1.265362,53.071604,4.028957,0.007678,0.171844,49.998668,6.14694,0.000713,0.274785,0.30007,0.293029,0.13082,0.191143,0.084938,3.539955,1.694402,0.786386,0.213614,0
江戸川,5247,5.099111,1.387795,53.365071,4.333164,0.01894,0.179693,49.990267,10.009205,-0.000599,0.173207,0.452992,0.229627,0.119052,0.091828,0.106501,3.553078,1.690057,0.773588,0.226412,0
平和島,5469,5.063336,1.304735,53.142654,4.153496,0.038117,0.17617,49.993473,6.36932,0.000945,0.291048,0.312371,0.288895,0.12376,0.210534,0.064441,3.537575,1.695806,0.765123,0.234877,0
多摩川,5707,5.041022,1.4591,53.436302,4.343131,0.015211,0.199618,50.011734,5.59808,0.000422,0.195031,0.346188,0.231973,0.129818,0.205785,0.086236,3.536008,1.695465,0.722181,0.277819,0
浜名湖,6626,5.048542,1.556112,53.719984,4.946009,0.020633,0.189957,49.991182,6.107894,-0.000661,0.312697,0.404985,0.189185,0.105631,0.219715,0.080484,3.53275,1.696456,0.732793,0.267207,0
蒲郡,7334,5.050473,1.59717,53.432429,5.040385,0.011082,0.162608,50.005233,6.202878,-0.000147,0.146423,0.395927,0.250009,0.084862,0.193192,0.076009,3.533542,1.696226,0.707831,0.292169,0
常滑,6273,5.048567,1.624889,54.186781,5.29763,-0.005408,0.175045,49.986981,6.447729,0.000248,0.190738,0.371925,0.205412,0.079083,0.248945,0.094634,3.52989,1.697639,0.720431,0.279569,0
津,5143,5.042742,1.743989,54.039068,5.339034,0.008031,0.176677,50.003036,5.511911,0.000141,0.130853,0.431617,0.211583,0.084519,0.200467,0.071813,3.531402,1.697448,0.714349,0.285651,0
三国,5352,5.043611,1.566306,52.84268,3.641353,0.028503,0.178219,49.988614,7.035425,-0.000215,0.112667,0.381182,0.298604,0.078937,0.162635,0.078643,3.536996,1.694462,0.710139,0.289861,0
びわこ,5882,5.047755,1.452581,53.493619,4.101478,0.022571,0.183713,49.998421,5.964757,6.5e-05,0.128063,0.387696,0.231044,0.102924,0.190915,0.087421,3.535022,1.695509,0.748799,0.251201,0
住之江,5746,5.049626,1.741967,56.053445,6.897768,-0.033808,0.175065,49.99707,8.019897,-0.000197,0.24119,0.44528,0.14786,0.118743,0.218236,0.069881,3.540724,1.694618,0.72516,0.27484,0
尼崎,6384,5.050107,1.651182,54.058136,5.483039,-0.001763,0.161972,50.000894,7.707403,0.000228,0.190752,0.404925,0.208824,0.112119,0.226503,0.047628,3.539474,1.695308,0.701396,0.298604,0
鳴門,5466,5.055908,1.341198,53.688436,4.230913,0.006309,0.198711,50.006305,5.990765,0.000483,0.169419,0.336235,0.245633,0.107683,0.20497,0.105478,3.545737,1.692035,0.77517,0.22483,0
丸亀,6661,5.059106,1.590454,53.467199,3.942511,0.000877,0.184494,49.993986,6.105896,0.00034,0.168466,0.394826,0.227738,0.096623,0.189452,0.09136,3.534454,1.696953,0.725077,0.274923,0
児島,6885,5.041155,1.575472,53.392612,4.466976,0.009993,0.16958,49.998903,5.45147,-0.000195,0.152745,0.416868,0.221066,0.087152,0.174301,0.100613,3.532752,1.696759,0.74639,0.25361,0
宮島,6646,5.06235,1.598652,53.392622,4.564501,0.007413,0.166968,49.992998,6.070231,-0.000202,0.144527,0.453644,0.209851,0.07829,0.162317,0.095897,3.547547,1.691728,0.71655,0.28345,0
徳山,7173,5.044375,1.787797,53.069446,3.916204,0.011212,0.17984,50.005495,8.113536,1.1e-05,0.150576,0.427575,0.249341,0.074774,0.182621,0.06569,3.527394,1.697534,0.649986,0.350014,0
下関,5826,5.045896,1.744609,54.056959,5.21152,-0.00498,0.157701,50.004373,6.299097,9e-05,0.133784,0.463282,0.179394,0.075517,0.194347,0.08746,3.527978,1.698828,0.695853,0.304147,0
若松,5613,5.052009,1.643992,53.901939,5.158371,-0.006149,0.160868,49.988741,7.072321,-0.000123,0.162652,0.403786,0.20961,0.074158,0.223519,0.088927,3.533405,1.696402,0.689999,0.310001,0
芦屋,4080,5.05255,1.675547,55.164544,6.292533,0.00755,0.165633,49.989821,7.188839,-0.000906,0.212593,0.453091,0.152025,0.086974,0.203635,0.104275,3.545343,1.695121,0.746094,0.253906,0
福岡,4113,5.057026,1.74488,53.865861,5.255949,0.020011,0.185572,49.987036,6.820991,0.00021,0.118369,0.431653,0.196042,0.07865,0.231987,0.061667,3.534646,1.696187,0.655888,0.344112,0
唐津,6002,5.047415,1.664398,53.920184,5.152734,-0.001272,0.167876,49.995767,5.973104,-0.000104,0.147736,0.442051,0.227503,0.07336,0.183363,0.073722,3.538321,1.694793,0.68356,0.31644,0
大村,5829,5.04885,1.785994,53.458914,4.739757,0.002456,0.188266,50.004431,6.632492,-4.4e-05,0.140793,0.472997,0.190513,0.087508,0.167347,0.081634,3.540058,1.694445,0.682924,0.317076,0
