stadium,n_samples,mu_waku,sigma_waku,mu_racer,sigma_racer,mu_motor2rate,sigma_motor2rate,mu_exhibit,sigma_exhibit,mu_weather,sigma_weather,w_waku,w_racer,w_motor2rate,w_exhibit,w_weather,mu_y,sigma_y,mse,r2,fallback
桐生,5993,5.057379,1.406505,53.781215,5.113239,32.999392,12.403596,50.007931,6.320555,0.000212,0.144925,0.36625,0.22702,0.08976,0.211817,0.105153,3.536793,1.695694,0.774451,0.225549,0
戸田,6232,5.044929,1.265362,53.071604,4.028957,33.474172,7.568234,49.998668,6.14694,0.000713,0.274785,0.305638,0.300767,0.097758,0.201874,0.093962,3.539955,1.694402,0.795157,0.204843,0
江戸川,4867,5.099111,1.387795,53.365071,4.333164,33.953826,8.972498,49.990267,10.009205,-0.000599,0.173207,0.441793,0.276247,0.067788,0.104921,0.109251,3.555167,1.689471,0.773684,0.226316,0
平和島,5469,5.063336,1.304735,53.142654,4.153496,35.567741,6.073745,49.993473,6.36932,0.000945,0.291048,0.308379,0.291938,0.12551,0.213144,0.061029,3.537575,1.695806,0.762904,0.237096,0
多摩川,5351,5.041022,1.4591,53.436302,4.343131,33.606809,11.690126,50.011734,5.59808,0.000422,0.195031,0.340283,0.23337,0.097532,0.23639,0.092425,3.537096,1.694825,0.726684,0.273316,0
浜名湖,6277,5.048542,1.556112,53.719984,4.946009,33.239792,11.400236,49.991182,6.107894,-0.000661,0.312697,0.408727,0.185912,0.089247,0.234431,0.081683,3.530349,1.697418,0.736729,0.263271,0
蒲郡,7334,5.050473,1.59717,53.432429,5.040385,34.045388,7.319921,50.005233,6.202878,-0.000147,0.146423,0.397535,0.252416,0.063332,0.205815,0.080903,3.533542,1.696226,0.711161,0.288839,0
常滑,6273,5.048567,1.624889,54.186781,5.29763,33.958401,10.020105,49.986981,6.447729,0.000248,0.190738,0.373133,0.20921,0.063968,0.256395,0.097295,3.52989,1.697639,0.722663,0.277337,0
津,4795,5.042742,1.743989,54.039068,5.339034,32.284144,13.054037,50.003036,5.511911,0.000141,0.130853,0.438562,0.211151,0.047977,0.213163,0.089147,3.530761,1.697708,0.726569,0.273431,0
三国,5065,5.043611,1.566306,52.84268,3.641353,32.935746,11.559548,49.988614,7.035425,-0.000215,0.112667,0.382306,0.303534,0.080133,0.160315,0.073712,3.538598,1.693883,0.711103,0.288897,0
びわこ,5596,5.047755,1.452581,53.493619,4.101478,33.478883,11.518037,49.998421,5.964757,6.5e-05,0.128063,0.39541,0.238658,0.068457,0.202908,0.094567,3.535919,1.695228,0.75888,0.24112,0
住之江,5459,5.049626,1.741967,56.053445,6.897768,32.602962,11.479831,49.99707,8.019897,-0.000197,0.24119,0.446597,0.146173,0.094615,0.240567,0.072048,3.542407,1.694086,0.735903,0.264097,0
尼崎,6026,5.050107,1.651182,54.058136,5.483039,32.822699,10.784702,50.000894,7.707403,0.000228,0.190752,0.404891,0.216534,0.082504,0.237771,0.0583,3.540989,1.694879,0.715625,0.284375,0
鳴門,5112,5.055908,1.341198,53.688436,4.230913,32.857544,11.447239,50.006305,5.990765,0.000483,0.169419,0.337739,0.25981,0.08208,0.215202,0.105169,3.546166,1.691893,0.779173,0.220827,0
丸亀,6661,5.059106,1.590454,53.467199,3.942511,33.396312,8.30956,49.993986,6.105896,0.00034,0.168466,0.392369,0.230062,0.086264,0.19892,0.092385,3.534454,1.696953,0.72675,0.27325,0
児島,6600,5.041155,1.575472,53.392612,4.466976,32.761039,11.377031,49.998903,5.45147,-0.000195,0.152745,0.426158,0.226243,0.049291,0.18614,0.112168,3.53303,1.696735,0.751811,0.248189,0
宮島,6646,5.06235,1.598652,53.392622,4.564501,33.318895,8.396622,49.992998,6.070231,-0.000202,0.144527,0.454045,0.212575,0.068608,0.169372,0.095401,3.547547,1.691728,0.717627,0.282373,0
徳山,6886,5.044375,1.787797,53.069446,3.916204,32.893304,11.653335,50.005495,8.113536,1.1e-05,0.150576,0.433165,0.254978,0.050117,0.189701,0.072038,3.528173,1.697243,0.655406,0.344594,0
下関,5441,5.045896,1.744609,54.056959,5.21152,33.005561,10.373117,50.004373,6.299097,9e-05,0.133784,0.471045,0.179779,0.045454,0.203323,0.100399,3.527844,1.698894,0.704817,0.295183,0
若松,5613,5.052009,1.643992,53.901939,5.158371,31.984375,12.073636,49.988741,7.072321,-0.000123,0.162652,0.406981,0.215229,0.042193,0.237686,0.097911,3.533405,1.696402,0.694386,0.305614,0
芦屋,3847,5.05255,1.675547,55.164544,6.292533,33.673156,11.489678,49.989821,7.188839,-0.000906,0.212593,0.466415,0.143326,0.068309,0.208065,0.113886,3.54744,1.694583,0.751995,0.248005,0
福岡,3820,5.057026,1.74488,53.865861,5.255949,32.013099,13.172419,49.987036,6.820991,0.00021,0.118369,0.428619,0.195415,0.060632,0.246113,0.069222,3.536649,1.695534,0.6641,0.3359,0
唐津,6002,5.047415,1.664398,53.920184,5.152734,33.111969,8.647923,49.995767,5.973104,-0.000104,0.147736,0.444168,0.232047,0.057405,0.189168,0.077212,3.538321,1.694793,0.685833,0.314167,0
大村,5405,5.04885,1.785994,53.458914,4.739757,34.238846,6.452427,50.004431,6.632492,-4.4e-05,0.140793,0.486287,0.183516,0.064605,0.176691,0.0889,3.540611,1.693997,0.681682,0.318318,0
