stadium,n_samples,mu_waku,sigma_waku,mu_racer,sigma_racer,mu_motor,sigma_motor,mu_exhibit,sigma_exhibit,mu_weather,sigma_weather,mu_tenkai,sigma_tenkai,w_waku,w_racer,w_motor,w_exhibit,w_weather,w_tenkai,mu_y,sigma_y,mse,r2,fallback
桐生,6340,5.057379,1.406505,53.781215,5.113239,0.015489,0.170306,50.007931,6.320555,0.000212,0.144925,0.004793,0.455547,0.350143,0.218961,0.109642,0.201246,0.098775,0.021232,3.539274,1.694918,0.775454,0.224546,0
戸田,6232,5.044929,1.265362,53.071604,4.028957,0.009689,0.169357,49.998668,6.14694,0.000713,0.274785,0.002499,0.314596,0.292133,0.288163,0.127625,0.19084,0.07806,0.023179,3.539955,1.694402,0.785088,0.214912,0
江戸川,5247,5.099111,1.387795,53.365071,4.333164,0.017318,0.177703,49.990267,10.009205,-0.000599,0.173207,0.006231,0.076624,0.443704,0.226441,0.108773,0.088597,0.095589,0.036896,3.553078,1.690057,0.773102,0.226898,0
平和島,5469,5.063336,1.304735,53.142654,4.153496,0.038706,0.177353,49.993473,6.36932,0.000945,0.291048,0.003693,0.271388,0.308276,0.282546,0.118443,0.20866,0.056418,0.025657,3.537575,1.695806,0.764334,0.235666,0
多摩川,5707,5.041022,1.4591,53.436302,4.343131,0.011982,0.202087,50.011734,5.59808,0.000422,0.195031,0.002491,0.280613,0.338825,0.22462,0.123673,0.20504,0.081149,0.026693,3.536008,1.695465,0.721026,0.278974,0
浜名湖,6626,5.048542,1.556112,53.719984,4.946009,0.022055,0.187545,49.991182,6.107894,-0.000661,0.312697,0.005199,0.415135,0.395673,0.182125,0.100375,0.218112,0.073877,0.029839,3.53275,1.696456,0.731799,0.268201,0
蒲郡,7334,5.050473,1.59717,53.432429,5.040385,0.009508,0.162647,50.005233,6.202878,-0.000147,0.146423,0.003498,0.501482,0.393798,0.24826,0.086381,0.191931,0.074022,0.005607,3.533542,1.696226,0.707359,0.292641,0
常滑,6273,5.048567,1.624889,54.186781,5.29763,-0.006072,0.17284,49.986981,6.447729,0.000248,0.190738,0.001963,0.388453,0.359197,0.195433,0.0741,0.24785,0.083541,0.039881,3.52989,1.697639,0.718589,0.281411,0
津,5143,5.042742,1.743989,54.039068,5.339034,0.000228,0.174561,50.003036,5.511911,0.000141,0.130853,0.001425,0.368476,0.423301,0.205713,0.076673,0.201624,0.06548,0.02721,3.531402,1.697448,0.714389,0.285611,0
三国,5352,5.043611,1.566306,52.84268,3.641353,0.024996,0.171264,49.988614,7.035425,-0.000215,0.112667,0.003481,0.431278,0.374161,0.29395,0.076547,0.161189,0.073032,0.021121,3.536996,1.694462,0.709426,0.290574,0
びわこ,5882,5.047755,1.452581,53.493619,4.101478,0.022062,0.184277,49.998421,5.964757,6.5e-05,0.128063,0.00461,0.208724,0.377916,0.22289,0.095203,0.187482,0.076168,0.040341,3.535022,1.695509,0.746023,0.253977,0
住之江,5746,5.049626,1.741967,56.053445,6.897768,-0.031596,0.171002,49.99707,8.019897,-0.000197,0.24119,0.003589,0.316353,0.437365,0.140477,0.110834,0.220174,0.063297,0.027852,3.540724,1.694618,0.725373,0.274627,0
尼崎,6384,5.050107,1.651182,54.058136,5.483039,-0.001708,0.161972,50.000894,7.707403,0.000228,0.190752,0.004012,0.293471,0.38944,0.190566,0.097177,0.221981,0.039791,0.061045,3.539474,1.695308,0.696289,0.303711,0
鳴門,5466,5.055908,1.341198,53.688436,4.230913,0.005205,0.198267,50.006305,5.990765,0.000483,0.169419,0.00606,0.309459,0.330118,0.242211,0.108334,0.203589,0.099558,0.01619,3.545737,1.692035,0.774,0.226,0
丸亀,6661,5.059106,1.590454,53.467199,3.942511,0.002376,0.180667,49.993986,6.105896,0.00034,0.168466,0.001998,0.334736,0.38402,0.222948,0.097072,0.190785,0.082298,0.022877,3.534454,1.696953,0.723975,0.276025,0
児島,6885,5.041155,1.575472,53.392612,4.466976,0.010322,0.169488,49.998903,5.45147,-0.000195,0.152745,0.002448,0.328982,0.403114,0.213107,0.081265,0.175433,0.090753,0.036328,3.532752,1.696759,0.744707,0.255293,0
宮島,6646,5.06235,1.598652,53.392622,4.564501,0.005066,0.164543,49.992998,6.070231,-0.000202,0.144527,0.001954,0.372654,0.450438,0.207506,0.073957,0.162711,0.09382,0.011567,3.547547,1.691728,0.716775,0.283225,0
徳山,7173,5.044375,1.787797,53.069446,3.916204,0.012928,0.178401,50.005495,8.113536,1.1e-05,0.150576,0.004418,0.347272,0.426434,0.249122,0.078342,0.181931,0.06412,5.1e-05,3.527394,1.697534,0.649315,0.350685,0
下関,5826,5.045896,1.744609,54.056959,5.21152,-0.00231,0.154326,50.004373,6.299097,9e-05,0.133784,0.00024,0.446299,0.461029,0.177289,0.077295,0.19366,0.085445,0.005283,3.527978,1.698828,0.695441,0.304559,0
若松,5613,5.052009,1.643992,53.901939,5.158371,-0.006612,0.160441,49.988741,7.072321,-0.000123,0.162652,0.003539,0.35555,0.399794,0.205511,0.070583,0.222462,0.085714,0.015937,3.533405,1.696402,0.689809,0.310191,0
芦屋,4080,5.05255,1.675547,55.164544,6.292533,0.015569,0.165112,49.989821,7.188839,-0.000906,0.212593,0.001764,0.384624,0.441915,0.145398,0.081691,0.204025,0.097417,0.029554,3.545343,1.695121,0.745406,0.254594,0
福岡,4113,5.057026,1.74488,53.865861,5.255949,0.024577,0.184465,49.987036,6.820991,0.00021,0.118369,0.0054,0.371019,0.414042,0.179357,0.077511,0.22863,0.04535,0.05511,3.534646,1.696187,0.650372,0.349628,0
唐津,6002,5.047415,1.664398,53.920184,5.152734,-0.001498,0.17108,49.995767,5.973104,-0.000104,0.147736,0.003594,0.424371,0.437199,0.224981,0.072246,0.183439,0.070505,0.01163,3.538321,1.694793,0.683239,0.316761,0
大村,5829,5.04885,1.785994,53.458914,4.739757,0.001301,0.185328,50.004431,6.632492,-4.4e-05,0.140793,0.000801,0.305512,0.460702,0.183012,0.087438,0.16454,0.070092,0.034217,3.540058,1.694445,0.680716,0.319284,0
