stadium,n_samples,mu_waku,sigma_waku,mu_racer,sigma_racer,mu_motor4,sigma_motor4,mu_exhibit,sigma_exhibit,mu_weather,sigma_weather,w_waku,w_racer,w_motor4,w_exhibit,w_weather,mu_y,sigma_y,mse,r2,fallback
桐生,6479,5.047424,1.365227,53.788186,4.957683,0.019423,0.196396,50.003059,6.344472,-7.8e-05,0.17484,0.361368,0.223727,0.120312,0.21142,0.083172,3.532181,1.697034,0.775721,0.224279,0
戸田,5273,5.036928,1.224463,53.623517,5.035514,0.025347,0.180219,50.002617,6.187831,0.001083,0.455811,0.280144,0.26531,0.132088,0.228369,0.094088,3.536507,1.695546,0.830545,0.169455,0
江戸川,4820,5.078369,1.387159,53.636479,4.361331,0.015575,0.19156,50.015031,9.997932,-0.001048,0.198577,0.479525,0.242262,0.104873,0.056073,0.117266,3.547925,1.691198,0.782537,0.217463,0
平和島,5612,5.060155,1.341912,53.028271,4.168471,0.032215,0.194728,49.992141,6.336523,0.001283,0.290427,0.320207,0.302603,0.123311,0.213589,0.04029,3.534925,1.696825,0.740121,0.259879,0
多摩川,5710,5.036715,1.46083,53.383934,4.215564,0.01639,0.193442,50.007931,5.671488,0.000403,0.200591,0.372758,0.2427,0.100351,0.204978,0.079213,3.524869,1.699385,0.706171,0.293829,0
浜名湖,6410,5.038745,1.484704,53.796987,4.950484,0.016983,0.20967,49.98628,6.086852,-0.000452,0.409159,0.369548,0.205678,0.094076,0.25593,0.074768,3.534009,1.695874,0.746437,0.253563,0
蒲郡,6393,5.048203,1.587153,53.953783,5.489545,0.007023,0.174064,50.008392,6.223495,-0.000371,0.201867,0.387454,0.233714,0.078665,0.213315,0.086853,3.536055,1.696508,0.733941,0.266059,0
常滑,7094,5.044207,1.645839,53.782007,5.095155,-0.007868,0.189592,49.995458,6.356053,7.4e-05,0.190034,0.383795,0.209684,0.073059,0.242398,0.091064,3.524951,1.69923,0.719282,0.280718,0
津,5165,5.04291,1.676057,54.025706,5.250467,0.003665,0.190079,49.996801,5.573709,-0.00023,0.124194,0.399968,0.212448,0.081975,0.246962,0.058647,3.533591,1.696955,0.716725,0.283275,0
三国,5771,5.037606,1.537801,52.916228,3.634759,0.020558,0.186113,49.991505,6.922267,-4.1e-05,0.101935,0.377811,0.2821,0.08782,0.170497,0.081772,3.532663,1.695836,0.732731,0.267269,0
びわこ,6059,5.043534,1.504044,53.538473,4.515547,0.009868,0.190808,49.997425,5.873534,0.000129,0.131817,0.413148,0.211969,0.100803,0.195928,0.078152,3.531111,1.69652,0.747561,0.252439,0
住之江,5611,5.050828,1.670925,54.821037,5.915211,-0.025053,0.19205,49.998937,8.031734,0.000108,0.238895,0.426529,0.202861,0.116614,0.192432,0.061564,3.537694,1.695748,0.718424,0.281576,0
尼崎,6753,5.038375,1.629671,54.189541,5.330631,-0.012995,0.173468,49.999981,7.771881,5.6e-05,0.162589,0.397789,0.200621,0.101241,0.239336,0.061012,3.536058,1.696482,0.707448,0.292552,0
鳴門,4969,5.04189,1.317943,54.765996,5.678186,0.001897,0.203819,50.018239,5.896097,3.8e-05,0.148377,0.370947,0.190321,0.111602,0.226828,0.100302,3.534715,1.696911,0.793393,0.206607,0
丸亀,6363,5.055211,1.618648,53.284328,3.998994,0.011329,0.186441,50.001044,6.079428,9.5e-05,0.162506,0.390733,0.243153,0.084336,0.202737,0.079041,3.530882,1.697392,0.700872,0.299128,0
児島,6848,5.034075,1.59369,53.546004,4.486447,0.007902,0.175887,49.999932,5.604193,3.6e-05,0.135645,0.409713,0.217665,0.097128,0.172905,0.102589,3.528621,1.698353,0.743396,0.256604,0
宮島,6188,5.053273,1.5796,54.038633,5.279583,-0.002289,0.182907,50.002044,6.032388,-0.000271,0.158543,0.456312,0.196268,0.083142,0.196746,0.067533,3.538946,1.694682,0.729825,0.270175,0
徳山,6439,5.043836,1.869128,53.063839,4.036126,0.026914,0.186042,50.023194,8.087459,2.8e-05,0.15586,0.446249,0.261179,0.084515,0.166713,0.041344,3.521975,1.699814,0.630667,0.369333,0
下関,5459,5.04682,1.723005,53.191142,4.300961,0.009496,0.158217,50.002897,6.40125,0.000206,0.115644,0.424289,0.24484,0.07488,0.191214,0.064777,3.526653,1.70002,0.672135,0.327865,0
若松,5921,5.041708,1.544186,53.984222,5.296239,-0.005861,0.160469,50.006668,6.994509,-1.4e-05,0.162592,0.40903,0.223957,0.069668,0.205309,0.092036,3.525249,1.69984,0.693558,0.306442,0
芦屋,4941,5.037062,1.593713,54.178597,5.444975,-0.003737,0.186972,49.992816,7.106081,-0.000154,0.187976,0.42626,0.175909,0.086854,0.217216,0.093761,3.535317,1.696878,0.748912,0.251088,0
福岡,4521,5.054386,1.725552,53.7702,5.090071,0.000221,0.188229,49.9907,6.830756,-0.000352,0.166689,0.449301,0.20226,0.079966,0.233606,0.034867,3.532183,1.696606,0.643029,0.356971,0
唐津,6495,5.046143,1.647141,53.613821,4.811281,0.004014,0.182011,50.000256,5.906587,-0.000138,0.144171,0.448003,0.231321,0.078617,0.172629,0.069431,3.539338,1.694428,0.677094,0.322906,0
大村,6118,5.037177,1.733659,53.671805,4.917294,0.004459,0.2001,49.993626,6.645178,0.000311,0.158711,0.448544,0.194775,0.089016,0.190085,0.07758,3.533835,1.696317,0.693373,0.306627,0
