stadium,n_samples,mu_course,sigma_course,mu_racer,sigma_racer,mu_motor,sigma_motor,mu_exhibit,sigma_exhibit,mu_weather,sigma_weather,w_course,w_racer,w_motor,w_exhibit,w_weather,mu_y,sigma_y,mse,r2,fallback
桐生,6626,16.699064,16.455072,53.916916,5.102415,0.014133,0.171052,50.000963,6.322582,6.5e-05,0.158488,0.353399,0.20971,0.137199,0.216657,0.083035,3.532448,1.696996,0.789001,0.210999,0
戸田,5449,16.705702,13.667438,53.092611,4.105032,0.016183,0.166044,49.999923,6.194692,0.000848,0.334252,0.283781,0.306012,0.13401,0.203972,0.072226,3.541751,1.693897,0.801746,0.198254,0
江戸川,5139,16.658412,14.875406,53.385227,4.26734,0.015255,0.181718,50.001635,10.002673,-0.000796,0.184802,0.44629,0.251413,0.131297,0.095394,0.075607,3.546604,1.692076,0.804901,0.195099,0
平和島,5644,16.674781,14.753888,53.139252,4.081886,0.034736,0.177268,49.99813,6.385698,0.001109,0.289777,0.300507,0.278469,0.121311,0.210376,0.089337,3.53579,1.696589,0.775128,0.224872,0
多摩川,5570,16.711672,17.740501,53.339921,4.2487,0.019154,0.193729,50.014571,5.651977,0.000335,0.199802,0.334795,0.220461,0.094299,0.208013,0.142433,3.5307,1.697884,0.710234,0.289766,0
浜名湖,6624,16.710395,18.047463,53.780955,4.984058,0.021249,0.194571,49.985977,6.077495,-0.000634,0.351357,0.375937,0.201689,0.09611,0.232263,0.094002,3.533665,1.695961,0.747632,0.252368,0
蒲郡,7036,16.725462,18.94895,53.52637,5.083249,0.003621,0.163398,50.003228,6.19873,-0.000478,0.180455,0.35743,0.261389,0.091358,0.214104,0.075719,3.535247,1.696075,0.730987,0.269013,0
常滑,6067,16.671233,19.074594,54.057659,5.24589,0.000293,0.173345,49.990524,6.405132,0.000234,0.196406,0.375634,0.189391,0.070918,0.236608,0.127449,3.526949,1.698774,0.731189,0.268811,0
津,5194,16.710998,19.397994,53.80856,5.258605,0.000651,0.177817,49.999282,5.555051,-6.7e-05,0.128101,0.40744,0.209982,0.082954,0.2185,0.081124,3.532538,1.696959,0.72459,0.27541,0
三国,5608,16.693788,16.830636,52.798729,3.555081,0.022613,0.172368,49.993899,6.997476,-0.000232,0.108061,0.372874,0.270029,0.084403,0.165636,0.107057,3.536377,1.694508,0.724378,0.275622,0
びわこ,5815,16.71509,17.278047,53.426554,4.124047,0.0141,0.183066,50.00066,5.951876,0.000169,0.134646,0.379028,0.232004,0.093767,0.173947,0.121254,3.533792,1.695734,0.744841,0.255159,0
住之江,5532,16.705345,19.492068,55.068527,6.018995,-0.033252,0.175936,50.00032,8.079572,0.000317,0.245399,0.41897,0.166364,0.091381,0.202321,0.120964,3.541215,1.694575,0.724345,0.275655,0
尼崎,6748,16.743415,20.818399,54.652731,5.778634,-0.002523,0.165722,50.000646,7.751001,0.000168,0.181931,0.417157,0.2009,0.125931,0.256011,0.0,3.536011,1.696271,0.734524,0.265476,0
鳴門,5285,16.696792,15.545227,54.65852,5.654468,0.008332,0.196421,50.016604,5.939722,0.000323,0.165141,0.364208,0.172023,0.105807,0.215326,0.142635,3.539262,1.694842,0.788615,0.211385,0
丸亀,6269,16.673018,18.028371,53.410293,4.035731,0.008527,0.180261,49.998639,6.094445,0.000286,0.168378,0.362928,0.22346,0.095489,0.227983,0.09014,3.533897,1.696837,0.73198,0.26802,0
児島,6966,16.689633,18.361653,53.413117,4.45747,0.011474,0.170287,49.994914,5.554725,-0.000111,0.148376,0.385944,0.240062,0.111506,0.201168,0.06132,3.529285,1.698048,0.764003,0.235997,0
宮島,6378,16.750381,18.934681,54.027378,5.225795,0.002423,0.166384,49.999621,6.028583,-0.000291,0.153506,0.430397,0.218899,0.105099,0.191031,0.054573,3.543117,1.692986,0.762259,0.237741,0
徳山,6924,16.720976,21.325749,53.092673,4.087669,0.024467,0.173413,50.020868,8.090653,5.5e-05,0.152516,0.416148,0.235358,0.068692,0.185339,0.094463,3.522819,1.699534,0.660098,0.339902,0
下関,5688,16.691227,20.505004,53.384122,4.401265,0.001081,0.157745,50.000909,6.348066,0.000106,0.139252,0.405838,0.228124,0.093429,0.187982,0.084627,3.526195,1.699471,0.712529,0.287471,0
若松,5925,16.717412,20.321675,53.88189,5.08522,-0.004585,0.152378,49.987597,7.048547,-0.000236,0.166721,0.379795,0.219205,0.076043,0.217005,0.107952,3.533502,1.696688,0.719705,0.280295,0
芦屋,4380,16.674448,20.31581,54.969621,6.147601,0.012584,0.173337,49.994343,7.101195,-0.000464,0.20844,0.426134,0.163813,0.105983,0.224778,0.079293,3.539498,1.696233,0.763367,0.236633,0
福岡,3907,16.742217,20.47834,53.996518,5.303743,0.011275,0.184587,49.990153,6.895617,-0.000362,0.14916,0.389281,0.191808,0.087663,0.257561,0.073687,3.538009,1.694864,0.677623,0.322377,0
唐津,6283,16.717998,19.25749,53.771906,4.928264,0.001464,0.17297,49.995564,5.928912,-0.000252,0.144244,0.426416,0.232866,0.084477,0.168604,0.087637,3.541461,1.693625,0.710113,0.289887,0
大村,5905,16.70095,21.114157,53.688701,4.958142,0.003588,0.192109,49.99662,6.622774,0.000164,0.150991,0.440653,0.191215,0.092771,0.179344,0.096016,3.536325,1.695362,0.712749,0.287251,0
