stadium,n_samples,mu_course,sigma_course,mu_racer,sigma_racer,mu_motor4,sigma_motor4,mu_exhibit,sigma_exhibit,mu_weather,sigma_weather,w_course,w_racer,w_motor4,w_exhibit,w_weather,mu_y,sigma_y,mse,r2,fallback
桐生,6479,16.692421,16.567365,53.788186,4.957683,0.019423,0.196396,50.003059,6.344472,-7.8e-05,0.17484,0.360874,0.21261,0.133473,0.219252,0.07379,3.532181,1.697034,0.780292,0.219708,0
戸田,5273,16.702324,13.465553,53.623517,5.035514,0.025347,0.180219,50.002617,6.187831,0.001083,0.455811,0.27712,0.266231,0.139591,0.228241,0.088817,3.536507,1.695546,0.837909,0.162091,0
江戸川,4820,16.660367,14.769531,53.636479,4.361331,0.015575,0.19156,50.015031,9.997932,-0.001048,0.198577,0.458684,0.256405,0.123387,0.082352,0.079173,3.547925,1.691198,0.800803,0.199197,0
平和島,5612,16.65766,14.611064,53.028271,4.168471,0.032215,0.194728,49.992141,6.336523,0.001283,0.290427,0.303692,0.288968,0.125756,0.213417,0.068167,3.534925,1.696825,0.747911,0.252089,0
多摩川,5710,16.718299,17.709437,53.383934,4.215564,0.01639,0.193442,50.007931,5.671488,0.000403,0.200591,0.353846,0.228056,0.084364,0.190839,0.142895,3.524869,1.699385,0.709477,0.290523,0
浜名湖,6410,16.701202,17.958963,53.796987,4.950484,0.016983,0.20967,49.98628,6.086852,-0.000452,0.409159,0.363817,0.203463,0.094763,0.245513,0.092444,3.534009,1.695874,0.755867,0.244133,0
蒲郡,6393,16.72952,18.954366,53.953783,5.489545,0.007023,0.174064,50.008392,6.223495,-0.000371,0.201867,0.372823,0.240572,0.087731,0.210711,0.088163,3.536055,1.696508,0.751052,0.248948,0
常滑,7094,16.686395,19.18759,53.782007,5.095155,-0.007868,0.189592,49.995458,6.356053,7.4e-05,0.190034,0.378394,0.198984,0.064526,0.231655,0.126441,3.524951,1.69923,0.726712,0.273288,0
津,5165,16.714191,19.396762,54.025706,5.250467,0.003665,0.190079,49.996801,5.573709,-0.00023,0.124194,0.389825,0.206915,0.080865,0.239661,0.082734,3.533591,1.696955,0.732703,0.267297,0
三国,5771,16.673423,16.737269,52.916228,3.634759,0.020558,0.186113,49.991505,6.922267,-4.1e-05,0.101935,0.365195,0.267806,0.088497,0.169319,0.109183,3.532663,1.695836,0.747792,0.252208,0
びわこ,6059,16.707148,17.399406,53.538473,4.515547,0.009868,0.190808,49.997425,5.873534,0.000129,0.131817,0.3849,0.205387,0.092813,0.186829,0.13007,3.531111,1.69652,0.76059,0.23941,0
住之江,5611,16.700433,19.42649,54.821037,5.915211,-0.025053,0.19205,49.998937,8.031734,0.000108,0.238895,0.405021,0.183946,0.101285,0.186784,0.122964,3.537694,1.695748,0.734502,0.265498,0
尼崎,6753,16.737422,20.86691,54.189541,5.330631,-0.012995,0.173468,49.999981,7.771881,5.6e-05,0.162589,0.406375,0.215305,0.122299,0.255856,0.000165,3.536058,1.696482,0.729205,0.270795,0
鳴門,4969,16.707746,15.731535,54.765996,5.678186,0.001897,0.203819,50.018239,5.896097,3.8e-05,0.148377,0.382292,0.184837,0.105043,0.205815,0.122012,3.534715,1.696911,0.794997,0.205003,0
丸亀,6363,16.694574,18.109801,53.284328,3.998994,0.011329,0.186441,50.001044,6.079428,9.5e-05,0.162506,0.371525,0.2384,0.082734,0.222108,0.085232,3.530882,1.697392,0.712764,0.287236,0
児島,6848,16.686954,18.238402,53.546004,4.486447,0.007902,0.175887,49.999932,5.604193,3.6e-05,0.135645,0.383724,0.238521,0.117418,0.198549,0.061788,3.528621,1.698353,0.769984,0.230016,0
宮島,6188,16.761707,18.919328,54.038633,5.279583,-0.002289,0.182907,50.002044,6.032388,-0.000271,0.158543,0.424612,0.222661,0.103328,0.203543,0.045856,3.538946,1.694682,0.766041,0.233959,0
徳山,6439,16.722476,21.336177,53.063839,4.036126,0.026914,0.186042,50.023194,8.087459,2.8e-05,0.15586,0.426819,0.250443,0.071287,0.161259,0.090193,3.521975,1.699814,0.655563,0.344437,0
下関,5459,16.691838,20.506241,53.191142,4.300961,0.009496,0.158217,50.002897,6.40125,0.000206,0.115644,0.405031,0.248714,0.077868,0.187972,0.080414,3.526653,1.70002,0.69159,0.30841,0
若松,5921,16.700554,20.51744,53.984222,5.296239,-0.005861,0.160469,50.006668,6.994509,-1.4e-05,0.162592,0.385506,0.221001,0.075244,0.207496,0.110754,3.525249,1.69984,0.711684,0.288316,0
芦屋,4941,16.678063,20.248446,54.178597,5.444975,-0.003737,0.186972,49.992816,7.106081,-0.000154,0.187976,0.399042,0.189075,0.107557,0.235122,0.069203,3.535317,1.696878,0.772832,0.227168,0
福岡,4521,16.713131,20.283709,53.7702,5.090071,0.000221,0.188229,49.9907,6.830756,-0.000352,0.166689,0.398738,0.198982,0.082416,0.244931,0.074933,3.532183,1.696606,0.677331,0.322669,0
唐津,6495,16.708842,19.17501,53.613821,4.811281,0.004014,0.182011,50.000256,5.906587,-0.000138,0.144171,0.424956,0.242919,0.079379,0.162449,0.090296,3.539338,1.694428,0.705994,0.294006,0
大村,6118,16.700152,21.010433,53.671805,4.917294,0.004459,0.2001,49.993626,6.645178,0.000311,0.158711,0.429115,0.193453,0.095598,0.182233,0.0996,3.533835,1.696317,0.720773,0.279227,0
