stadium,n_samples,mu_course,sigma_course,mu_racer,sigma_racer,mu_motor4,sigma_motor4,mu_exhibit,sigma_exhibit,mu_weather,sigma_weather,w_course,w_racer,w_motor4,w_exhibit,w_weather,mu_y,sigma_y,mse,r2,fallback
桐生,6626,16.699064,16.455072,53.916916,5.102415,0.020685,0.182525,50.000963,6.322582,6.5e-05,0.158488,0.354246,0.209162,0.135847,0.216731,0.084015,3.532448,1.696996,0.789641,0.210359,0
戸田,5449,16.705702,13.667438,53.092611,4.105032,0.027359,0.178032,49.999923,6.194692,0.000848,0.334252,0.283155,0.30539,0.133904,0.204777,0.072775,3.541751,1.693897,0.801883,0.198117,0
江戸川,5139,16.658412,14.875406,53.385227,4.26734,0.024274,0.191049,50.001635,10.002673,-0.000796,0.184802,0.446137,0.252863,0.125702,0.098393,0.076906,3.546604,1.692076,0.806294,0.193706,0
平和島,5644,16.674781,14.753888,53.139252,4.081886,0.03982,0.189539,49.99813,6.385698,0.001109,0.289777,0.300455,0.277186,0.124169,0.209459,0.088731,3.53579,1.696589,0.774508,0.225492,0
多摩川,5570,16.711672,17.740501,53.339921,4.2487,0.021851,0.205061,50.014571,5.651977,0.000335,0.199802,0.335506,0.220385,0.094246,0.207333,0.142531,3.5307,1.697884,0.710312,0.289688,0
浜名湖,6624,16.710395,18.047463,53.780955,4.984058,0.024677,0.206287,49.985977,6.077495,-0.000634,0.351357,0.376133,0.201545,0.09683,0.232063,0.093429,3.533665,1.695961,0.747512,0.252488,0
蒲郡,7036,16.725462,18.94895,53.52637,5.083249,0.004031,0.172609,50.003228,6.19873,-0.000478,0.180455,0.358696,0.262988,0.081414,0.218235,0.078668,3.535247,1.696075,0.732931,0.267069,0
常滑,6067,16.671233,19.074594,54.057659,5.24589,-6.9e-05,0.186644,49.990524,6.405132,0.000234,0.196406,0.375336,0.18889,0.07165,0.236797,0.127327,3.526949,1.698774,0.731074,0.268926,0
津,5194,16.710998,19.397994,53.80856,5.258605,-0.002788,0.186242,49.999282,5.555051,-6.7e-05,0.128101,0.408254,0.20985,0.079679,0.219723,0.082494,3.532538,1.696959,0.725203,0.274797,0
三国,5608,16.693788,16.830636,52.798729,3.555081,0.027439,0.17897,49.993899,6.997476,-0.000232,0.108061,0.372906,0.269526,0.084555,0.165762,0.10725,3.536377,1.694508,0.724381,0.275619,0
びわこ,5815,16.71509,17.278047,53.426554,4.124047,0.014751,0.192271,50.00066,5.951876,0.000169,0.134646,0.378656,0.231783,0.0968,0.172516,0.120245,3.533792,1.695734,0.744255,0.255745,0
住之江,5532,16.705345,19.492068,55.068527,6.018995,-0.035469,0.187124,50.00032,8.079572,0.000317,0.245399,0.418085,0.165874,0.09803,0.198886,0.119125,3.541215,1.694575,0.72289,0.27711,0
尼崎,6748,16.743415,20.818399,54.652731,5.778634,-0.001643,0.173671,50.000646,7.751001,0.000169,0.181931,0.416038,0.198476,0.131226,0.254261,0.0,3.536011,1.696271,0.73298,0.26702,0
鳴門,5285,16.696792,15.545227,54.65852,5.654468,0.017745,0.201099,50.016604,5.939722,0.000323,0.165141,0.363559,0.170845,0.109972,0.214094,0.14153,3.539262,1.694842,0.787626,0.212374,0
丸亀,6269,16.673018,18.028371,53.410293,4.035731,0.014106,0.19064,49.998639,6.094445,0.000286,0.168378,0.363647,0.221894,0.093303,0.229452,0.091704,3.533897,1.696837,0.732443,0.267557,0
児島,6966,16.689633,18.361653,53.413117,4.45747,0.013644,0.179666,49.994914,5.554725,-0.000111,0.148376,0.385741,0.240139,0.112148,0.200308,0.061664,3.529285,1.698048,0.763887,0.236113,0
宮島,6378,16.750381,18.934681,54.027378,5.225795,0.004816,0.175951,49.999621,6.028583,-0.000291,0.153506,0.429756,0.219597,0.105108,0.191091,0.054448,3.543117,1.692986,0.762186,0.237814,0
徳山,6924,16.720976,21.325749,53.092673,4.087669,0.023266,0.184336,50.020868,8.090653,5.5e-05,0.152516,0.416311,0.235144,0.069239,0.184771,0.094535,3.522819,1.699534,0.660019,0.339981,0
下関,5688,16.691227,20.505004,53.384122,4.401265,-0.000215,0.163862,50.000909,6.348066,0.000106,0.139252,0.406095,0.228518,0.090783,0.189099,0.085505,3.526195,1.699471,0.713061,0.286939,0
若松,5925,16.717412,20.321675,53.88189,5.08522,-0.00335,0.161051,49.987597,7.048547,-0.000236,0.166721,0.378886,0.218827,0.078217,0.217082,0.106987,3.533502,1.696688,0.719182,0.280818,0
芦屋,4380,16.674448,20.31581,54.969621,6.147601,0.010752,0.184275,49.994343,7.101195,-0.000464,0.208441,0.426279,0.16328,0.106304,0.224775,0.079362,3.539498,1.696233,0.763395,0.236605,0
福岡,3907,16.742217,20.47834,53.996518,5.303743,0.00725,0.196417,49.990153,6.895617,-0.000362,0.14916,0.389314,0.190435,0.091436,0.255943,0.072873,3.538009,1.694864,0.676816,0.323184,0
唐津,6283,16.717998,19.25749,53.771906,4.928264,-0.00059,0.181988,49.995564,5.928912,-0.000252,0.144244,0.42533,0.232288,0.088225,0.167443,0.086714,3.541461,1.693625,0.70934,0.29066,0
大村,5905,16.70095,21.114157,53.688701,4.958142,0.003708,0.19933,49.99662,6.622774,0.000164,0.150991,0.441314,0.191025,0.089189,0.181124,0.097347,3.536325,1.695362,0.713397,0.286603,0
