stadium,n_samples,mu_waku,sigma_waku,mu_racer,sigma_racer,mu_motor,sigma_motor,mu_exhibit,sigma_exhibit,mu_weather,sigma_weather,w_waku,w_racer,w_motor,w_exhibit,w_weather,mu_y,sigma_y,mse,r2,fallback
桐生,6479,5.047424,1.365227,53.788186,4.957683,0.012713,0.187204,50.003059,6.344472,-7.8e-05,0.17484,0.361161,0.224605,0.119786,0.211477,0.082971,3.532181,1.697034,0.775743,0.224257,0
戸田,5273,5.036928,1.224463,53.623517,5.035514,0.014525,0.16852,50.002617,6.187831,0.001083,0.455811,0.280848,0.26655,0.128255,0.229596,0.094751,3.536507,1.695546,0.831675,0.168325,0
江戸川,4820,5.078369,1.387159,53.636479,4.361331,0.008697,0.187295,50.015031,9.997932,-0.001048,0.198577,0.479802,0.241899,0.107114,0.054525,0.11666,3.547925,1.691198,0.782084,0.217916,0
平和島,5612,5.060155,1.341912,53.028271,4.168471,0.029007,0.181697,49.992141,6.336523,0.001283,0.290427,0.319961,0.30379,0.12244,0.21375,0.040059,3.534925,1.696825,0.740122,0.259878,0
多摩川,5710,5.036715,1.46083,53.383934,4.215564,0.015877,0.183897,50.007931,5.671488,0.000403,0.200591,0.372282,0.243312,0.100227,0.205222,0.078957,3.524869,1.699385,0.706122,0.293878,0
浜名湖,6410,5.038745,1.484704,53.796987,4.950484,0.015322,0.199733,49.98628,6.086852,-0.000452,0.409159,0.369453,0.206113,0.09366,0.255472,0.075302,3.534009,1.695874,0.746491,0.253509,0
蒲郡,6393,5.048203,1.587153,53.953783,5.489545,0.005378,0.165722,50.008392,6.223495,-0.000371,0.201867,0.387752,0.233265,0.07972,0.212438,0.086826,3.536055,1.696508,0.733809,0.266191,0
常滑,7094,5.044207,1.645839,53.782007,5.095155,-0.003933,0.176712,49.995458,6.356053,7.4e-05,0.190034,0.383716,0.209558,0.073899,0.242105,0.090722,3.524951,1.69923,0.719161,0.280839,0
津,5165,5.04291,1.676057,54.025706,5.250467,0.005281,0.182046,49.996801,5.573709,-0.00023,0.124194,0.398408,0.21165,0.087502,0.245965,0.056476,3.533591,1.696955,0.715594,0.284406,0
三国,5771,5.037606,1.537801,52.916228,3.634759,0.015064,0.180544,49.991505,6.922267,-4.1e-05,0.101935,0.376911,0.281684,0.091897,0.169144,0.080364,3.532663,1.695836,0.731807,0.268193,0
びわこ,6059,5.043534,1.504044,53.538473,4.515547,0.009016,0.183888,49.997425,5.873534,0.000129,0.131817,0.412637,0.211677,0.100361,0.19695,0.078375,3.531111,1.69652,0.747576,0.252424,0
住之江,5611,5.050828,1.670925,54.821037,5.915211,-0.022622,0.183742,49.998937,8.031734,0.000108,0.238895,0.427228,0.202429,0.111283,0.195764,0.063296,3.537694,1.695748,0.719912,0.280088,0
尼崎,6753,5.038375,1.629671,54.189541,5.330631,-0.012314,0.165484,49.999981,7.771881,5.6e-05,0.162589,0.398223,0.202581,0.096775,0.240535,0.061886,3.536058,1.696482,0.708412,0.291588,0
鳴門,4969,5.04189,1.317943,54.765996,5.678186,-0.005199,0.199496,50.018239,5.896097,3.8e-05,0.148377,0.3708,0.191277,0.108809,0.228039,0.101075,3.534715,1.696911,0.794082,0.205918,0
丸亀,6363,5.055211,1.618648,53.284328,3.998994,0.009543,0.17651,50.001044,6.079428,9.5e-05,0.162506,0.38937,0.243766,0.088104,0.201741,0.077019,3.530882,1.697392,0.700172,0.299828,0
児島,6848,5.034075,1.59369,53.546004,4.486447,0.007278,0.166244,49.999932,5.604193,3.6e-05,0.135645,0.410449,0.217916,0.094583,0.173993,0.103059,3.528621,1.698353,0.743975,0.256025,0
宮島,6188,5.053273,1.5796,54.038633,5.279583,-0.002662,0.17386,50.002044,6.032388,-0.000271,0.158543,0.45734,0.195927,0.080746,0.197506,0.068481,3.538946,1.694682,0.730324,0.269676,0
徳山,6439,5.043836,1.869128,53.063839,4.036126,0.032978,0.174794,50.023194,8.087459,2.8e-05,0.15586,0.446578,0.261054,0.082375,0.16782,0.042174,3.521975,1.699814,0.63112,0.36888,0
下関,5459,5.04682,1.723005,53.191142,4.300961,0.010623,0.155046,50.002897,6.40125,0.000206,0.115644,0.424495,0.244893,0.074258,0.191074,0.065281,3.526653,1.70002,0.672272,0.327728,0
若松,5921,5.041708,1.544186,53.984222,5.296239,-0.007509,0.152982,50.006668,6.994509,-1.4e-05,0.162592,0.409215,0.223947,0.069513,0.205276,0.09205,3.525249,1.69984,0.693629,0.306371,0
芦屋,4941,5.037062,1.593713,54.178597,5.444975,-0.004658,0.178514,49.992816,7.106081,-0.000154,0.187976,0.427253,0.176146,0.08386,0.217918,0.094823,3.535317,1.696878,0.749482,0.250518,0
福岡,4521,5.054386,1.725552,53.7702,5.090071,0.0012,0.181577,49.9907,6.830756,-0.000352,0.166689,0.449203,0.204545,0.073082,0.236918,0.036252,3.532183,1.696606,0.644201,0.355799,0
唐津,6495,5.046143,1.647141,53.613821,4.811281,0.005637,0.173404,50.000256,5.906587,-0.000138,0.144171,0.449003,0.232385,0.073626,0.174415,0.070571,3.539338,1.694428,0.677973,0.322027,0
大村,6118,5.037177,1.733659,53.671805,4.917294,0.004545,0.194,49.993626,6.645178,0.000311,0.158711,0.448648,0.195445,0.088553,0.189905,0.077448,3.533835,1.696317,0.693475,0.306525,0
