1着コース,2着コース,3着コース,n,最頻決まり手,逃げ,差し,まくり,まくり差し,抜き,恵まれ
1,2,3,3107,逃げ,0.9479,0.0006,0.0006,0.0000,0.0492,0.0016
1,2,4,2250,逃げ,0.9489,0.0013,0.0000,0.0000,0.0480,0.0018
1,2,5,1633,逃げ,0.9394,0.0012,0.0012,0.0006,0.0570,0.0006
1,2,6,1048,逃げ,0.9552,0.0000,0.0010,0.0000,0.0401,0.0038
1,3,2,2392,逃げ,0.9703,0.0021,0.0000,0.0000,0.0259,0.0017
1,3,4,1967,逃げ,0.9593,0.0005,0.0005,0.0000,0.0391,0.0005
1,3,5,1439,逃げ,0.9562,0.0000,0.0028,0.0000,0.0410,0.0000
1,3,6,938,逃げ,0.9595,0.0000,0.0021,0.0000,0.0352,0.0032
1,4,2,1487,逃げ,0.9684,0.0007,0.0000,0.0000,0.0296,0.0013
1,4,3,1209,逃げ,0.9661,0.0000,0.0025,0.0000,0.0314,0.0000
1,4,5,989,逃げ,0.9525,0.0010,0.0010,0.0000,0.0425,0.0030
1,4,6,714,逃げ,0.9524,0.0014,0.0056,0.0000,0.0378,0.0028
1,5,2,952,逃げ,0.9527,0.0000,0.0011,0.0011,0.0389,0.0063
1,5,3,863,逃げ,0.9467,0.0000,0.0012,0.0000,0.0498,0.0023
1,5,4,655,逃げ,0.9405,0.0015,0.0031,0.0000,0.0534,0.0015
1,5,6,423,逃げ,0.9480,0.0000,0.0071,0.0000,0.0378,0.0071
1,6,2,460,逃げ,0.9478,0.0022,0.0043,0.0000,0.0391,0.0065
1,6,3,396,逃げ,0.9545,0.0000,0.0051,0.0000,0.0379,0.0025
1,6,4,311,逃げ,0.9614,0.0032,0.0000,0.0000,0.0322,0.0032
1,6,5,241,逃げ,0.9378,0.0041,0.0041,0.0000,0.0456,0.0083
2,1,3,880,差し,0.0080,0.8114,0.0682,0.0057,0.1011,0.0057
2,1,4,720,差し,0.0125,0.8083,0.0694,0.0083,0.0986,0.0028
2,1,5,538,差し,0.0204,0.8048,0.0799,0.0130,0.0781,0.0037
2,1,6,333,差し,0.0390,0.8108,0.0781,0.0120,0.0541,0.0060
2,3,1,430,差し,0.0302,0.6256,0.2628,0.0023,0.0744,0.0047
2,3,4,370,まくり,0.0378,0.3405,0.5081,0.0081,0.0811,0.0243
2,3,5,297,まくり,0.0606,0.2761,0.5455,0.0101,0.0808,0.0269
2,3,6,192,まくり,0.0625,0.3385,0.5365,0.0000,0.0417,0.0208
2,4,1,323,差し,0.0310,0.5851,0.2477,0.0000,0.1362,0.0000
2,4,3,272,まくり,0.0588,0.3125,0.5478,0.0074,0.0515,0.0221
2,4,5,206,まくり,0.0146,0.2864,0.5728,0.0000,0.1019,0.0243
2,4,6,163,まくり,0.0491,0.3129,0.5337,0.0123,0.0675,0.0245
2,5,1,208,差し,0.0529,0.5865,0.2163,0.0144,0.1250,0.0048
2,5,3,182,まくり,0.0659,0.2912,0.5549,0.0055,0.0604,0.0220
2,5,4,161,まくり,0.0311,0.3416,0.4969,0.0186,0.0994,0.0124
2,5,6,105,まくり,0.0476,0.3333,0.4952,0.0000,0.0762,0.0476
2,6,1,113,差し,0.0442,0.5841,0.2832,0.0265,0.0354,0.0265
2,6,3,101,まくり,0.0792,0.2772,0.5149,0.0396,0.0792,0.0099
2,6,4,78,まくり,0.0513,0.3718,0.4615,0.0128,0.0769,0.0256
2,6,5,66,差し,0.0606,0.4848,0.3485,0.0152,0.0606,0.0303
3,1,2,578,まくり差し,0.0035,0.0865,0.2301,0.5225,0.1540,0.0035
3,1,4,644,まくり差し,0.0016,0.0776,0.2065,0.6149,0.0994,0.0000
3,1,5,571,まくり差し,0.0018,0.0543,0.2312,0.6042,0.1086,0.0000
3,1,6,336,まくり差し,0.0030,0.1012,0.2381,0.5595,0.0952,0.0030
3,2,1,304,まくり,0.0066,0.1842,0.3882,0.2204,0.1941,0.0066
3,2,4,340,まくり,0.0059,0.2029,0.3941,0.2941,0.0794,0.0235
3,2,5,291,まくり,0.0069,0.1753,0.4021,0.3333,0.0722,0.0103
3,2,6,173,まくり,0.0231,0.1908,0.3873,0.2948,0.0925,0.0116
