場コード,1着コース,2着コース,3着コース,n,確率
00,1,2,3,3371,0.133759
00,1,2,4,2402,0.095310
00,1,2,5,1744,0.069201
00,1,2,6,1131,0.044877
00,1,3,2,2562,0.101659
00,1,3,4,2106,0.083565
00,1,3,5,1546,0.061344
00,1,3,6,1000,0.039679
00,1,4,2,1595,0.063289
00,1,4,3,1290,0.051186
00,1,4,5,1051,0.041703
00,1,4,6,769,0.030513
00,1,5,2,1017,0.040354
00,1,5,3,929,0.036862
00,1,5,4,707,0.028053
00,1,5,6,449,0.017816
00,1,6,2,503,0.019959
00,1,6,3,429,0.017022
00,1,6,4,335,0.013293
00,1,6,5,266,0.010555
00,2,1,3,940,0.152573
00,2,1,4,777,0.126116
00,2,1,5,575,0.093329
00,2,1,6,360,0.058432
00,2,3,1,456,0.074014
00,2,3,4,401,0.065087
00,2,3,5,317,0.051453
00,2,3,6,210,0.034085
00,2,4,1,340,0.055186
00,2,4,3,297,0.048206
00,2,4,5,220,0.035708
00,2,4,6,178,0.028891
00,2,5,1,226,0.036682
00,2,5,3,195,0.031651
00,2,5,4,176,0.028567
00,2,5,6,110,0.017854
00,2,6,1,122,0.019802
00,2,6,3,107,0.017367
00,2,6,4,81,0.013147
00,2,6,5,73,0.011849
00,3,1,2,618,0.106552
00,3,1,4,708,0.122069
00,3,1,5,623,0.107414
00,3,1,6,360,0.062069
00,3,2,1,319,0.055000
00,3,2,4,362,0.062414
00,3,2,5,326,0.056207
00,3,2,6,194,0.033448
00,3,4,1,330,0.056897
00,3,4,2,269,0.046379
00,3,4,5,279,0.048103
00,3,4,6,201,0.034655
00,3,5,1,251,0.043276
00,3,5,2,199,0.034310
00,3,5,4,185,0.031897
00,3,5,6,171,0.029483
00,3,6,1,138,0.023793
00,3,6,2,91,0.015690
00,3,6,4,106,0.018276
00,3,6,5,70,0.012069
00,4,1,2,397,0.085303
00,4,1,3,320,0.068758
00,4,1,5,427,0.091749
00,4,1,6,289,0.062097
00,4,2,1,319,0.068543
00,4,2,3,195,0.041899
00,4,2,5,251,0.053932
00,4,2,6,165,0.035453
00,4,3,1,229,0.049205
00,4,3,2,142,0.030511
00,4,3,5,200,0.042974
00,4,3,6,158,0.033949
00,4,5,1,342,0.073485
00,4,5,2,246,0.052858
00,4,5,3,204,0.043833
00,4,5,6,264,0.056725
00,4,6,1,146,0.031371
00,4,6,2,140,0.030082
00,4,6,3,78,0.016760
00,4,6,5,142,0.030511
00,5,1,2,304,0.109708
00,5,1,3,245,0.088416
00,5,1,4,249,0.089859
00,5,1,6,224,0.080837
00,5,2,1,192,0.069289
00,5,2,3,117,0.042223
00,5,2,4,106,0.038253
00,5,2,6,107,0.038614
00,5,3,1,115,0.041501
00,5,3,2,109,0.039336
00,5,3,4,89,0.032118
00,5,3,6,83,0.029953
00,5,4,1,170,0.061350
00,5,4,2,109,0.039336
00,5,4,3,84,0.030314
00,5,4,6,138,0.049802
00,5,6,1,124,0.044749
00,5,6,2,70,0.025262
00,5,6,3,64,0.023096
00,5,6,4,72,0.025983
00,6,1,2,131,0.118338
00,6,1,3,92,0.083107
00,6,1,4,103,0.093044
00,6,1,5,54,0.048780
00,6,2,1,82,0.074074
00,6,2,3,49,0.044264
00,6,2,4,46,0.041554
00,6,2,5,42,0.037940
00,6,3,1,66,0.059621
00,6,3,2,43,0.038844
00,6,3,4,42,0.037940
00,6,3,5,38,0.034327
00,6,4,1,55,0.049684
00,6,4,2,48,0.043360
00,6,4,3,35,0.031617
00,6,4,5,45,0.040650
00,6,5,1,51,0.046070
00,6,5,2,29,0.026197
00,6,5,3,25,0.022584
00,6,5,4,31,0.028004
