レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202609190201,2026-09-19,02,1R,daily,66.74,18.18,44.74,12.23,40.43,5.18,50.0,11.89,50.0,4.42,51.9,53.82,14.66,42.78,11.69,55.46,7.1,50.0,11.89,50.0,4.42,49.77,52.69,14.36,44.74,12.23,26.09,3.34,50.0,11.89,50.0,4.42,46.24,48.72,13.27,42.78,11.69,37.85,4.84,50.0,11.89,50.0,4.42,46.12,43.98,11.98,42.78,11.69,43.82,5.61,50.0,11.89,50.0,4.42,45.6,34.86,9.5,31.03,8.48,31.16,3.99,50.0,11.89,50.0,4.42,38.28
202609190201,2026-09-19,02,1R,realtime,66.74,18.18,44.74,12.23,40.43,5.17,70.5,16.77,48.81,4.31,56.67,53.82,14.66,42.78,11.69,55.46,7.1,55.37,13.17,48.66,4.3,50.92,52.69,14.36,44.74,12.23,26.09,3.34,42.01,9.99,48.64,4.3,44.22,48.72,13.27,42.78,11.69,37.85,4.84,48.03,11.42,49.5,4.37,45.61,43.98,11.98,42.78,11.69,43.82,5.61,44.24,10.52,53.55,4.73,44.54,34.86,9.5,31.03,8.48,31.16,3.99,39.82,9.47,50.62,4.47,35.91
202609190202,2026-09-19,02,2R,daily,66.74,18.18,44.74,12.23,62.93,8.05,50.0,11.89,50.0,4.42,54.78,53.82,14.66,46.7,12.76,31.32,4.01,50.0,11.89,50.0,4.42,47.75,52.69,14.36,50.62,13.84,44.47,5.69,50.0,11.89,50.0,4.42,50.2,48.72,13.27,48.66,13.3,46.13,5.9,50.0,11.89,50.0,4.42,48.79,43.98,11.98,52.58,14.37,40.16,5.14,50.0,11.89,50.0,4.42,47.8,34.86,9.5,32.99,9.02,35.3,4.52,50.0,11.89,50.0,4.42,39.34
202609190203,2026-09-19,02,3R,daily,66.74,18.18,46.7,12.76,63.68,8.15,50.0,11.89,50.0,4.42,55.41,53.82,14.66,48.66,13.3,32.97,4.22,50.0,11.89,50.0,4.42,48.49,52.69,14.36,42.78,11.69,70.29,9.0,50.0,11.89,50.0,4.42,51.36,48.72,13.27,56.5,15.44,60.94,7.8,50.0,11.89,50.0,4.42,52.83,43.98,11.98,50.62,13.84,51.22,6.56,50.0,11.89,50.0,4.42,48.69,34.86,9.5,48.66,13.3,75.5,9.66,50.0,11.89,50.0,4.42,48.77
202609190204,2026-09-19,02,4R,daily,66.74,18.18,40.82,11.16,51.94,6.65,50.0,11.89,50.0,4.42,52.3,53.82,14.66,50.62,13.84,26.2,3.35,50.0,11.89,50.0,4.42,48.16,52.69,14.36,36.91,10.09,73.1,9.36,50.0,11.89,50.0,4.42,50.11,48.72,13.27,46.7,12.76,42.92,5.49,50.0,11.89,50.0,4.42,47.84,43.98,11.98,44.74,12.23,53.01,6.79,50.0,11.89,50.0,4.42,47.31,34.86,9.5,48.66,13.3,59.38,7.6,50.0,11.89,50.0,4.42,46.71
202609190205,2026-09-19,02,5R,daily,66.74,18.18,50.62,13.84,40.34,5.16,50.0,11.89,50.0,4.42,53.49,53.82,14.66,46.7,12.76,45.63,5.84,50.0,11.89,50.0,4.42,49.58,52.69,14.36,46.7,12.76,39.67,5.08,50.0,11.89,50.0,4.42,48.51,48.72,13.27,81.97,22.4,50.42,6.45,50.0,11.89,50.0,4.42,58.44,43.98,11.98,42.78,11.69,55.46,7.1,50.0,11.89,50.0,4.42,47.09,34.86,9.5,42.78,11.69,48.04,6.15,50.0,11.89,50.0,4.42,43.65
202609190206,2026-09-19,02,6R,daily,66.74,18.18,42.78,11.69,37.85,4.84,50.0,11.89,50.0,4.42,51.03,53.82,14.66,50.62,13.84,57.73,7.39,50.0,11.89,50.0,4.42,52.2,52.69,14.36,74.13,20.26,59.7,7.64,50.0,11.89,50.0,4.42,58.57,48.72,13.27,46.7,12.76,48.48,6.21,50.0,11.89,50.0,4.42,48.55,43.98,11.98,44.74,12.23,62.93,8.05,50.0,11.89,50.0,4.42,48.58,34.86,9.5,46.7,12.76,48.98,6.27,50.0,11.89,50.0,4.42,44.84
202609190207,2026-09-19,02,7R,daily,66.74,18.18,56.5,15.44,60.94,7.8,50.0,11.89,50.0,4.42,57.74,53.82,14.66,42.78,11.69,43.82,5.61,50.0,11.89,50.0,4.42,48.28,52.69,14.36,40.82,11.16,67.33,8.62,50.0,11.89,50.0,4.42,50.44,48.72,13.27,46.7,12.76,43.79,5.61,50.0,11.89,50.0,4.42,47.95,43.98,11.98,44.74,12.23,48.36,6.19,50.0,11.89,50.0,4.42,46.71,34.86,9.5,40.82,11.16,25.84,3.31,50.0,11.89,50.0,4.42,40.27
202609190208,2026-09-19,02,8R,daily,66.74,18.18,36.91,10.09,73.1,9.36,50.0,11.89,50.0,4.42,53.94,53.82,14.66,52.58,14.37,40.16,5.14,50.0,11.89,50.0,4.42,50.48,52.69,14.36,42.78,11.69,58.7,7.51,50.0,11.89,50.0,4.42,49.87,48.72,13.27,48.66,13.3,75.5,9.66,50.0,11.89,50.0,4.42,52.55,43.98,11.98,31.03,8.48,31.16,3.99,50.0,11.89,50.0,4.42,40.76,34.86,9.5,50.62,13.84,66.97,8.57,50.0,11.89,50.0,4.42,48.21
202609190209,2026-09-19,02,9R,daily,66.74,18.18,48.66,13.3,32.97,4.22,50.0,11.89,50.0,4.42,52.02,53.82,14.66,50.62,13.84,58.34,7.47,50.0,11.89,50.0,4.42,52.28,52.69,14.36,42.78,11.69,48.04,6.15,50.0,11.89,50.0,4.42,48.51,48.72,13.27,48.66,13.3,59.38,7.6,50.0,11.89,50.0,4.42,50.48,43.98,11.98,32.99,9.02,35.3,4.52,50.0,11.89,50.0,4.42,41.83,34.86,9.5,54.54,14.91,52.22,6.68,50.0,11.89,50.0,4.42,47.4
