レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202607070101,2026-07-07,01,1R,daily,67.18,24.08,42.32,9.39,35.6,4.42,50.0,10.38,50.0,4.4,52.67,48.68,17.45,48.2,10.69,51.72,6.42,50.0,10.38,50.0,4.4,49.34,50.87,18.24,50.16,11.13,44.67,5.54,50.0,10.38,50.0,4.4,49.69,50.2,17.99,46.24,10.26,48.62,6.03,50.0,10.38,50.0,4.4,49.07,46.88,16.8,34.48,7.65,45.07,5.59,50.0,10.38,50.0,4.4,44.83,35.49,12.72,46.24,10.26,43.94,5.45,50.0,10.38,50.0,4.4,43.21
202607070102,2026-07-07,01,2R,daily,67.18,24.08,42.32,9.39,51.81,6.43,50.0,10.38,50.0,4.4,54.68,48.68,17.45,42.32,9.39,61.49,7.63,50.0,10.38,50.0,4.4,49.25,50.87,18.24,48.2,10.69,44.08,5.47,50.0,10.38,50.0,4.4,49.18,50.2,17.99,50.16,11.13,51.62,6.41,50.0,10.38,50.0,4.4,50.31,46.88,16.8,44.28,9.82,59.76,7.42,50.0,10.38,50.0,4.4,48.82,35.49,12.72,52.12,11.56,55.16,6.84,50.0,10.38,50.0,4.4,45.91
202607070103,2026-07-07,01,3R,daily,67.18,24.08,42.32,9.39,48.21,5.98,50.0,10.38,50.0,4.4,54.23,48.68,17.45,58.0,12.87,45.72,5.67,50.0,10.38,50.0,4.4,50.77,50.87,18.24,42.32,9.39,55.91,6.94,50.0,10.38,50.0,4.4,49.34,50.2,17.99,42.32,9.39,58.38,7.25,50.0,10.38,50.0,4.4,49.41,46.88,16.8,48.2,10.69,41.29,5.12,50.0,10.38,50.0,4.4,47.4,35.49,12.72,48.2,10.69,55.03,6.83,50.0,10.38,50.0,4.4,45.02
202607070104,2026-07-07,01,4R,daily,67.18,24.08,46.24,10.26,46.13,5.72,50.0,10.38,50.0,4.4,54.85,48.68,17.45,56.04,12.43,50.74,6.3,50.0,10.38,50.0,4.4,50.96,50.87,18.24,48.2,10.69,57.26,7.11,50.0,10.38,50.0,4.4,50.82,50.2,17.99,52.12,11.56,26.9,3.34,50.0,10.38,50.0,4.4,47.67,46.88,16.8,42.32,9.39,43.55,5.4,50.0,10.38,50.0,4.4,46.38,35.49,12.72,54.08,12.0,32.46,4.03,50.0,10.38,50.0,4.4,43.53
202607070105,2026-07-07,01,5R,daily,67.18,24.08,44.28,9.82,29.02,3.6,50.0,10.38,50.0,4.4,52.29,48.68,17.45,54.08,12.0,61.76,7.66,50.0,10.38,50.0,4.4,51.89,50.87,18.24,42.32,9.39,35.6,4.42,50.0,10.38,50.0,4.4,46.82,50.2,17.99,46.24,10.26,51.06,6.34,50.0,10.38,50.0,4.4,49.37,46.88,16.8,52.12,11.56,35.75,4.44,50.0,10.38,50.0,4.4,47.58,35.49,12.72,61.92,13.74,59.39,7.37,50.0,10.38,50.0,4.4,48.61
202607070106,2026-07-07,01,6R,daily,67.18,24.08,61.92,13.74,57.06,7.08,50.0,10.38,50.0,4.4,59.68,48.68,17.45,42.32,9.39,49.6,6.15,50.0,10.38,50.0,4.4,47.77,50.87,18.24,42.32,9.39,51.81,6.43,50.0,10.38,50.0,4.4,48.83,50.2,17.99,44.28,9.82,35.47,4.4,50.0,10.38,50.0,4.4,47.0,46.88,16.8,42.32,9.39,52.42,6.51,50.0,10.38,50.0,4.4,47.48,35.49,12.72,34.48,7.65,45.07,5.59,50.0,10.38,50.0,4.4,40.74
202607070107,2026-07-07,01,7R,daily,67.18,24.08,58.0,12.87,51.07,6.34,50.0,10.38,50.0,4.4,58.07,48.68,17.45,46.24,10.26,48.62,6.03,50.0,10.38,50.0,4.4,48.52,50.87,18.24,56.04,12.43,58.95,7.32,50.0,10.38,50.0,4.4,52.76,50.2,17.99,46.24,10.26,55.35,6.87,50.0,10.38,50.0,4.4,49.9,46.88,16.8,50.16,11.13,52.7,6.54,50.0,10.38,50.0,4.4,49.25,35.49,12.72,44.28,9.82,59.76,7.42,50.0,10.38,50.0,4.4,44.74
202607070108,2026-07-07,01,8R,daily,67.18,24.08,58.0,12.87,40.23,4.99,50.0,10.38,50.0,4.4,56.72,48.68,17.45,42.32,9.39,56.31,6.99,50.0,10.38,50.0,4.4,48.61,50.87,18.24,42.32,9.39,48.21,5.98,50.0,10.38,50.0,4.4,48.39,50.2,17.99,42.32,9.39,45.0,5.58,50.0,10.38,50.0,4.4,47.75,46.88,16.8,54.08,12.0,32.46,4.03,50.0,10.38,50.0,4.4,47.61,35.49,12.72,44.28,9.82,56.64,7.03,50.0,10.38,50.0,4.4,44.35
202607070109,2026-07-07,01,9R,daily,67.18,24.08,48.2,10.69,51.31,6.37,50.0,10.38,50.0,4.4,55.92,48.68,17.45,46.24,10.26,53.43,6.63,50.0,10.38,50.0,4.4,49.12,50.87,18.24,61.92,13.74,59.39,7.37,50.0,10.38,50.0,4.4,54.12,50.2,17.99,48.2,10.69,41.29,5.12,50.0,10.38,50.0,4.4,48.59,46.88,16.8,46.24,10.26,46.13,5.72,50.0,10.38,50.0,4.4,47.57,35.49,12.72,50.16,11.13,44.67,5.54,50.0,10.38,50.0,4.4,44.17
202607070110,2026-07-07,01,10R,daily,67.18,24.08,58.0,12.87,50.88,6.31,50.0,10.38,50.0,4.4,58.04,48.68,17.45,48.2,10.69,31.63,3.92,50.0,10.38,50.0,4.4,46.85,50.87,18.24,46.24,10.26,43.94,5.45,50.0,10.38,50.0,4.4,48.73,50.2,17.99,42.32,9.39,43.55,5.4,50.0,10.38,50.0,4.4,47.57,46.88,16.8,44.28,9.82,29.02,3.6,50.0,10.38,50.0,4.4,45.01,35.49,12.72,58.0,12.87,45.72,5.67,50.0,10.38,50.0,4.4,46.04
