レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーター2連率pt,1枠_寄与_モーター2連率pt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーター2連率pt,2枠_寄与_モーター2連率pt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーター2連率pt,3枠_寄与_モーター2連率pt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーター2連率pt,4枠_寄与_モーター2連率pt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーター2連率pt,5枠_寄与_モーター2連率pt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーター2連率pt,6枠_寄与_モーター2連率pt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202607160101,2026-07-16,01,1R,daily,67.18,24.53,40.36,9.3,48.28,4.3,50.0,10.88,50.0,4.89,53.9,48.68,17.78,42.32,9.75,49.35,4.39,50.0,10.88,50.0,4.89,47.69,50.87,18.58,40.36,9.3,61.07,5.43,50.0,10.88,50.0,4.89,49.08,50.2,18.33,36.44,8.39,49.1,4.37,50.0,10.88,50.0,4.89,46.87,46.88,17.12,50.16,11.55,54.35,4.84,50.0,10.88,50.0,4.89,49.28,35.49,12.96,44.28,10.2,58.69,5.22,50.0,10.88,50.0,4.89,44.16
202607160101,2026-07-16,01,1R,realtime,67.18,24.53,40.36,9.3,48.28,4.3,42.22,9.19,18.74,1.83,49.15,48.68,17.78,42.32,9.75,49.35,4.39,62.64,13.64,40.25,3.94,49.49,50.87,18.58,40.36,9.3,61.07,5.43,45.3,9.86,31.73,3.1,46.27,50.2,18.33,36.44,8.39,49.1,4.37,51.85,11.29,75.69,7.4,49.78,46.88,17.12,50.16,11.55,54.35,4.84,60.93,13.26,58.41,5.71,52.48,35.49,12.96,44.28,10.2,58.69,5.22,37.06,8.07,75.2,7.36,43.81
202607160102,2026-07-16,01,2R,daily,67.18,24.53,40.36,9.3,51.56,4.59,50.0,10.88,50.0,4.89,54.2,48.68,17.78,38.4,8.84,50.82,4.52,50.0,10.88,50.0,4.89,46.92,50.87,18.58,54.08,12.46,49.92,4.44,50.0,10.88,50.0,4.89,51.25,50.2,18.33,38.4,8.84,59.27,5.27,50.0,10.88,50.0,4.89,48.23,46.88,17.12,48.2,11.1,43.69,3.89,50.0,10.88,50.0,4.89,47.88,35.49,12.96,46.24,10.65,58.28,5.19,50.0,10.88,50.0,4.89,44.57
202607160102,2026-07-16,01,2R,realtime,67.18,24.53,40.36,9.3,51.56,4.59,73.36,15.97,18.74,1.83,56.22,50.87,18.58,38.4,8.84,50.82,4.52,43.77,9.53,31.73,3.1,44.58,50.2,18.33,54.08,12.46,49.92,4.44,50.52,11.0,75.69,7.4,53.63,46.88,17.12,38.4,8.84,59.27,5.27,55.41,12.06,58.41,5.71,49.01,35.49,12.96,48.2,11.1,43.69,3.89,40.19,8.75,75.2,7.36,44.05,48.68,17.78,46.24,10.65,58.28,5.19,36.73,8.0,40.25,3.94,45.55
202607160103,2026-07-16,01,3R,daily,67.18,24.53,42.32,9.75,54.43,4.84,50.0,10.88,50.0,4.89,54.9,48.68,17.78,48.2,11.1,48.37,4.3,50.0,10.88,50.0,4.89,48.96,50.87,18.58,48.2,11.1,53.04,4.72,50.0,10.88,50.0,4.89,50.18,50.2,18.33,42.32,9.75,55.42,4.93,50.0,10.88,50.0,4.89,48.79,46.88,17.12,42.32,9.75,52.38,4.66,50.0,10.88,50.0,4.89,47.3,35.49,12.96,54.08,12.46,55.25,4.92,50.0,10.88,50.0,4.89,46.11
202607160103,2026-07-16,01,3R,realtime,67.18,24.53,42.32,9.75,54.43,4.84,59.58,12.97,23.3,2.28,54.38,48.68,17.78,48.2,11.1,48.37,4.3,50.16,10.92,39.47,3.86,47.96,50.87,18.58,48.2,11.1,53.04,4.72,50.74,11.05,35.98,3.52,48.97,50.2,18.33,42.32,9.75,55.42,4.93,42.88,9.33,66.61,6.52,48.86,46.88,17.12,42.32,9.75,52.38,4.66,46.87,10.2,71.82,7.03,48.76,35.49,12.96,54.08,12.46,55.25,4.92,49.78,10.84,62.81,6.14,47.31
202607160104,2026-07-16,01,4R,daily,67.18,24.53,46.24,10.65,49.02,4.36,50.0,10.88,50.0,4.89,55.32,48.68,17.78,48.2,11.1,52.63,4.68,50.0,10.88,50.0,4.89,49.34,50.87,18.58,58.0,13.36,64.51,5.74,50.0,10.88,50.0,4.89,53.45,50.2,18.33,42.32,9.75,61.15,5.44,50.0,10.88,50.0,4.89,49.3,46.88,17.12,48.2,11.1,50.01,4.45,50.0,10.88,50.0,4.89,48.45,35.49,12.96,44.28,10.2,49.19,4.38,50.0,10.88,50.0,4.89,43.31
202607160104,2026-07-16,01,4R,realtime,67.18,24.53,46.24,10.65,49.02,4.36,57.42,12.5,23.3,2.28,54.33,48.68,17.78,48.2,11.1,52.63,4.68,54.66,11.9,39.47,3.86,49.32,50.87,18.58,58.0,13.36,64.51,5.74,65.93,14.35,35.98,3.52,55.55,50.2,18.33,42.32,9.75,61.15,5.44,32.05,6.98,66.61,6.52,47.01,46.88,17.12,48.2,11.1,50.01,4.45,63.13,13.74,71.82,7.03,53.44,35.49,12.96,44.28,10.2,49.19,4.38,26.8,5.83,62.81,6.14,39.51
202607160105,2026-07-16,01,5R,daily,67.18,24.53,42.32,9.75,54.92,4.89,50.0,10.88,50.0,4.89,54.95,48.68,17.78,50.16,11.55,49.27,4.38,50.0,10.88,50.0,4.89,49.49,50.87,18.58,46.24,10.65,60.25,5.36,50.0,10.88,50.0,4.89,50.37,50.2,18.33,48.2,11.1,54.51,4.85,50.0,10.88,50.0,4.89,50.06,46.88,17.12,40.36,9.3,48.28,4.3,50.0,10.88,50.0,4.89,46.49,35.49,12.96,50.16,11.55,47.71,4.25,50.0,10.88,50.0,4.89,44.53
202607160105,2026-07-16,01,5R,realtime,67.18,24.53,42.32,9.75,54.92,4.89,49.27,10.73,35.53,3.48,53.37,48.68,17.78,50.16,11.55,49.27,4.38,46.47,10.12,41.46,4.06,47.89,50.87,18.58,46.24,10.65,60.25,5.36,64.03,13.94,38.31,3.75,52.28,50.2,18.33,48.2,11.1,54.51,4.85,67.51,14.7,58.79,5.75,54.73,46.88,17.12,40.36,9.3,48.28,4.3,33.15,7.22,68.7,6.72,44.65,35.49,12.96,50.16,11.55,47.71,4.25,39.56,8.61,57.2,5.6,42.96
202607160106,2026-07-16,01,6R,daily,67.18,24.53,58.0,13.36,61.65,5.49,50.0,10.88,50.0,4.89,59.15,48.68,17.78,40.36,9.3,51.56,4.59,50.0,10.88,50.0,4.89,47.44,50.87,18.58,32.52,7.49,50.33,4.48,50.0,10.88,50.0,4.89,46.32,50.2,18.33,44.28,10.2,58.61,5.22,50.0,10.88,50.0,4.89,49.52,46.88,17.12,36.44,8.39,49.1,4.37,50.0,10.88,50.0,4.89,45.66,35.49,12.96,44.28,10.2,51.97,4.62,50.0,10.88,50.0,4.89,43.56
