レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_展開優位pt,1枠_寄与_展開優位pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_展開優位pt,2枠_寄与_展開優位pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_展開優位pt,3枠_寄与_展開優位pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_展開優位pt,4枠_寄与_展開優位pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_展開優位pt,5枠_寄与_展開優位pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_展開優位pt,6枠_寄与_展開優位pt,6枠_強さpt
202607070101,2026-07-07,01,1R,daily,67.18,23.83,42.32,9.3,35.6,4.36,50.0,10.38,50.0,4.29,50.0,0.49,52.65,48.68,17.27,48.2,10.59,51.72,6.33,50.0,10.38,50.0,4.29,50.0,0.49,49.35,50.87,18.05,50.16,11.02,44.67,5.47,50.0,10.38,50.0,4.29,50.0,0.49,49.69,50.2,17.81,46.24,10.16,48.62,5.95,50.0,10.38,50.0,4.29,50.0,0.49,49.07,46.88,16.63,34.48,7.58,45.07,5.52,50.0,10.38,50.0,4.29,50.0,0.49,44.88,35.49,12.59,46.24,10.16,43.94,5.38,50.0,10.38,50.0,4.29,50.0,0.49,43.28
202607070102,2026-07-07,01,2R,daily,67.18,23.83,42.32,9.3,51.81,6.34,50.0,10.38,50.0,4.29,50.0,0.49,54.63,48.68,17.27,42.32,9.3,61.49,7.53,50.0,10.38,50.0,4.29,50.0,0.49,49.25,50.87,18.05,48.2,10.59,44.08,5.4,50.0,10.38,50.0,4.29,50.0,0.49,49.19,50.2,17.81,50.16,11.02,51.62,6.32,50.0,10.38,50.0,4.29,50.0,0.49,50.3,46.88,16.63,44.28,9.73,59.76,7.32,50.0,10.38,50.0,4.29,50.0,0.49,48.83,35.49,12.59,52.12,11.45,55.16,6.75,50.0,10.38,50.0,4.29,50.0,0.49,45.95
202607070103,2026-07-07,01,3R,daily,67.18,23.83,42.32,9.3,48.21,5.9,50.0,10.38,50.0,4.29,50.0,0.49,54.19,48.68,17.27,58.0,12.74,45.72,5.6,50.0,10.38,50.0,4.29,50.0,0.49,50.77,50.87,18.05,42.32,9.3,55.91,6.84,50.0,10.38,50.0,4.29,50.0,0.49,49.35,50.2,17.81,42.32,9.3,58.38,7.15,50.0,10.38,50.0,4.29,50.0,0.49,49.41,46.88,16.63,48.2,10.59,41.29,5.06,50.0,10.38,50.0,4.29,50.0,0.49,47.43,35.49,12.59,48.2,10.59,55.03,6.74,50.0,10.38,50.0,4.29,50.0,0.49,45.07
202607070104,2026-07-07,01,4R,daily,67.18,23.83,46.24,10.16,46.13,5.65,50.0,10.38,50.0,4.29,50.0,0.49,54.8,48.68,17.27,56.04,12.31,50.74,6.21,50.0,10.38,50.0,4.29,50.0,0.49,50.95,50.87,18.05,48.2,10.59,57.26,7.01,50.0,10.38,50.0,4.29,50.0,0.49,50.8,50.2,17.81,52.12,11.45,26.9,3.29,50.0,10.38,50.0,4.29,50.0,0.49,47.71,46.88,16.63,42.32,9.3,43.55,5.33,50.0,10.38,50.0,4.29,50.0,0.49,46.42,35.49,12.59,54.08,11.88,32.46,3.97,50.0,10.38,50.0,4.29,50.0,0.49,43.6
202607070105,2026-07-07,01,5R,daily,67.18,23.83,44.28,9.73,29.02,3.55,50.0,10.38,50.0,4.29,50.0,0.49,52.27,48.68,17.27,54.08,11.88,61.76,7.56,50.0,10.38,50.0,4.29,50.0,0.49,51.87,50.87,18.05,42.32,9.3,35.6,4.36,50.0,10.38,50.0,4.29,50.0,0.49,46.86,50.2,17.81,46.24,10.16,51.06,6.25,50.0,10.38,50.0,4.29,50.0,0.49,49.37,46.88,16.63,52.12,11.45,35.75,4.38,50.0,10.38,50.0,4.29,50.0,0.49,47.61,35.49,12.59,61.92,13.6,59.39,7.27,50.0,10.38,50.0,4.29,50.0,0.49,48.62
202607070106,2026-07-07,01,6R,daily,67.18,23.83,61.92,13.6,57.06,6.98,50.0,10.38,50.0,4.29,50.0,0.49,59.58,48.68,17.27,42.32,9.3,49.6,6.07,50.0,10.38,50.0,4.29,50.0,0.49,47.8,50.87,18.05,42.32,9.3,51.81,6.34,50.0,10.38,50.0,4.29,50.0,0.49,48.84,50.2,17.81,44.28,9.73,35.47,4.34,50.0,10.38,50.0,4.29,50.0,0.49,47.03,46.88,16.63,42.32,9.3,52.42,6.42,50.0,10.38,50.0,4.29,50.0,0.49,47.5,35.49,12.59,34.48,7.58,45.07,5.52,50.0,10.38,50.0,4.29,50.0,0.49,40.84
202607070107,2026-07-07,01,7R,daily,67.18,23.83,58.0,12.74,51.07,6.25,50.0,10.38,50.0,4.29,50.0,0.49,57.99,48.68,17.27,46.24,10.16,48.62,5.95,50.0,10.38,50.0,4.29,50.0,0.49,48.54,50.87,18.05,56.04,12.31,58.95,7.22,50.0,10.38,50.0,4.29,50.0,0.49,52.73,50.2,17.81,46.24,10.16,55.35,6.78,50.0,10.38,50.0,4.29,50.0,0.49,49.9,46.88,16.63,50.16,11.02,52.7,6.45,50.0,10.38,50.0,4.29,50.0,0.49,49.26,35.49,12.59,44.28,9.73,59.76,7.32,50.0,10.38,50.0,4.29,50.0,0.49,44.79
202607070108,2026-07-07,01,8R,daily,67.18,23.83,58.0,12.74,40.23,4.93,50.0,10.38,50.0,4.29,50.0,0.49,56.66,48.68,17.27,42.32,9.3,56.31,6.89,50.0,10.38,50.0,4.29,50.0,0.49,48.62,50.87,18.05,42.32,9.3,48.21,5.9,50.0,10.38,50.0,4.29,50.0,0.49,48.4,50.2,17.81,42.32,9.3,45.0,5.51,50.0,10.38,50.0,4.29,50.0,0.49,47.77,46.88,16.63,54.08,11.88,32.46,3.97,50.0,10.38,50.0,4.29,50.0,0.49,47.64,35.49,12.59,44.28,9.73,56.64,6.93,50.0,10.38,50.0,4.29,50.0,0.49,44.41
202607070109,2026-07-07,01,9R,daily,67.18,23.83,48.2,10.59,51.31,6.28,50.0,10.38,50.0,4.29,50.0,0.49,55.86,48.68,17.27,46.24,10.16,53.43,6.54,50.0,10.38,50.0,4.29,50.0,0.49,49.13,50.87,18.05,61.92,13.6,59.39,7.27,50.0,10.38,50.0,4.29,50.0,0.49,54.08,50.2,17.81,48.2,10.59,41.29,5.06,50.0,10.38,50.0,4.29,50.0,0.49,48.61,46.88,16.63,46.24,10.16,46.13,5.65,50.0,10.38,50.0,4.29,50.0,0.49,47.59,35.49,12.59,50.16,11.02,44.67,5.47,50.0,10.38,50.0,4.29,50.0,0.49,44.24
202607070110,2026-07-07,01,10R,daily,67.18,23.83,58.0,12.74,50.88,6.23,50.0,10.38,50.0,4.29,50.0,0.49,57.96,48.68,17.27,48.2,10.59,31.63,3.87,50.0,10.38,50.0,4.29,50.0,0.49,46.89,50.87,18.05,46.24,10.16,43.94,5.38,50.0,10.38,50.0,4.29,50.0,0.49,48.74,50.2,17.81,42.32,9.3,43.55,5.33,50.0,10.38,50.0,4.29,50.0,0.49,47.59,46.88,16.63,44.28,9.73,29.02,3.55,50.0,10.38,50.0,4.29,50.0,0.49,45.07,35.49,12.59,58.0,12.74,45.72,5.6,50.0,10.38,50.0,4.29,50.0,0.49,46.09
