レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202607230101,2026-07-23,01,1R,daily,67.18,24.15,44.28,9.81,45.58,5.54,50.0,10.39,50.0,4.48,54.37,48.68,17.5,44.28,9.81,36.78,4.47,50.0,10.39,50.0,4.48,46.65,50.87,18.29,48.2,10.68,29.22,3.55,50.0,10.39,50.0,4.48,47.39,50.2,18.04,50.16,11.11,40.96,4.98,50.0,10.39,50.0,4.48,49.01,46.88,16.85,46.24,10.24,23.96,2.91,50.0,10.39,50.0,4.48,44.88,35.49,12.76,50.16,11.11,42.87,5.21,50.0,10.39,50.0,4.48,43.95
202607230101,2026-07-23,01,1R,realtime,67.18,24.15,44.28,9.81,45.48,5.53,69.77,14.5,28.35,2.54,56.53,48.68,17.5,44.28,9.81,30.23,3.68,56.53,11.75,53.12,4.76,47.49,50.87,18.29,48.2,10.68,37.27,4.53,44.37,9.22,38.46,3.45,46.16,50.2,18.04,50.16,11.11,36.01,4.38,45.05,9.36,62.51,5.6,48.5,46.88,16.85,46.24,10.24,50.0,6.08,32.62,6.78,53.99,4.84,44.79,35.49,12.76,50.16,11.11,43.27,5.26,51.64,10.73,63.53,5.69,45.55
202607230102,2026-07-23,01,2R,daily,67.18,24.15,46.24,10.24,55.24,6.72,50.0,10.39,50.0,4.48,55.98,48.68,17.5,46.24,10.24,46.59,5.67,50.0,10.39,50.0,4.48,48.28,50.87,18.29,50.16,11.11,44.01,5.35,50.0,10.39,50.0,4.48,49.62,50.2,18.04,44.28,9.81,46.88,5.7,50.0,10.39,50.0,4.48,48.42,46.88,16.85,42.32,9.37,54.34,6.61,50.0,10.39,50.0,4.48,47.7,35.49,12.76,46.24,10.24,40.61,4.94,50.0,10.39,50.0,4.48,42.81
202607230102,2026-07-23,01,2R,realtime,67.18,24.15,46.24,10.24,51.0,6.2,55.3,11.49,30.03,2.69,54.78,48.68,17.5,46.24,10.24,48.84,5.94,61.23,12.72,51.34,4.6,51.01,50.87,18.29,50.16,11.11,43.7,5.32,56.53,11.75,39.81,3.57,50.03,50.2,18.04,44.28,9.81,50.0,6.08,44.84,9.32,60.31,5.4,48.66,46.88,16.85,42.32,9.37,54.01,6.57,48.39,10.06,53.74,4.81,47.66,35.49,12.76,46.24,10.24,46.19,5.62,33.72,7.01,64.75,5.8,41.43
202607230103,2026-07-23,01,3R,daily,67.18,24.15,46.24,10.24,50.08,6.09,50.0,10.39,50.0,4.48,55.35,48.68,17.5,40.36,8.94,58.3,7.09,50.0,10.39,50.0,4.48,48.4,50.87,18.29,44.28,9.81,47.02,5.72,50.0,10.39,50.0,4.48,48.68,50.2,18.04,46.24,10.24,45.63,5.55,50.0,10.39,50.0,4.48,48.71,46.88,16.85,42.32,9.37,40.12,4.88,50.0,10.39,50.0,4.48,45.97,35.49,12.76,65.84,14.58,56.74,6.9,50.0,10.39,50.0,4.48,49.11
202607230104,2026-07-23,01,4R,daily,67.18,24.15,42.32,9.37,58.04,7.06,50.0,10.39,50.0,4.48,55.45,48.68,17.5,48.2,10.68,52.99,6.44,50.0,10.39,50.0,4.48,49.49,50.87,18.29,42.32,9.37,21.38,2.6,50.0,10.39,50.0,4.48,45.13,50.2,18.04,50.16,11.11,51.59,6.28,50.0,10.39,50.0,4.48,50.3,46.88,16.85,30.56,6.77,48.36,5.88,50.0,10.39,50.0,4.48,44.37,35.49,12.76,63.88,14.15,49.08,5.97,50.0,10.39,50.0,4.48,47.75
202607230105,2026-07-23,01,5R,daily,67.18,24.15,44.28,9.81,43.28,5.26,50.0,10.39,50.0,4.48,54.09,48.68,17.5,52.12,11.55,44.71,5.44,50.0,10.39,50.0,4.48,49.35,50.87,18.29,48.2,10.68,32.44,3.95,50.0,10.39,50.0,4.48,47.78,50.2,18.04,58.0,12.85,62.49,7.6,50.0,10.39,50.0,4.48,53.36,46.88,16.85,40.36,8.94,35.99,4.38,50.0,10.39,50.0,4.48,45.04,35.49,12.76,59.96,13.28,45.77,5.57,50.0,10.39,50.0,4.48,46.47
202607230106,2026-07-23,01,6R,daily,67.18,24.15,54.08,11.98,60.99,7.42,50.0,10.39,50.0,4.48,58.42,48.68,17.5,44.28,9.81,51.37,6.25,50.0,10.39,50.0,4.48,48.43,50.87,18.29,44.28,9.81,45.58,5.54,50.0,10.39,50.0,4.48,48.51,50.2,18.04,42.32,9.37,72.26,8.79,50.0,10.39,50.0,4.48,51.08,46.88,16.85,44.28,9.81,57.28,6.97,50.0,10.39,50.0,4.48,48.5,35.49,12.76,34.48,7.64,62.37,7.59,50.0,10.39,50.0,4.48,42.85
202607230107,2026-07-23,01,7R,daily,67.18,24.15,50.16,11.11,42.05,5.11,50.0,10.39,50.0,4.48,55.25,48.68,17.5,46.24,10.24,23.96,2.91,50.0,10.39,50.0,4.48,45.53,50.87,18.29,56.04,12.41,61.98,7.54,50.0,10.39,50.0,4.48,53.11,50.2,18.04,42.32,9.37,49.84,6.06,50.0,10.39,50.0,4.48,48.35,46.88,16.85,46.24,10.24,55.24,6.72,50.0,10.39,50.0,4.48,48.68,35.49,12.76,38.4,8.51,46.93,5.71,50.0,10.39,50.0,4.48,41.84
202607230108,2026-07-23,01,8R,daily,67.18,24.15,50.16,11.11,40.96,4.98,50.0,10.39,50.0,4.48,55.11,48.68,17.5,44.28,9.81,46.88,5.7,50.0,10.39,50.0,4.48,47.88,50.87,18.29,42.32,9.37,40.12,4.88,50.0,10.39,50.0,4.48,47.41,50.2,18.04,42.32,9.37,49.53,6.02,50.0,10.39,50.0,4.48,48.31,46.88,16.85,61.92,13.72,51.65,6.28,50.0,10.39,50.0,4.48,51.72,35.49,12.76,34.48,7.64,44.52,5.41,50.0,10.39,50.0,4.48,40.68
