レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202608090201,2026-08-09,02,1R,daily,67.93,19.08,42.8,11.41,54.73,7.02,50.0,11.48,50.0,4.74,53.72,53.36,14.99,44.79,11.94,55.52,7.12,50.0,11.48,50.0,4.74,50.26,50.3,14.13,48.76,13.0,45.22,5.8,50.0,11.48,50.0,4.74,49.14,49.65,13.94,48.76,13.0,41.44,5.32,50.0,11.48,50.0,4.74,48.47,44.78,12.58,34.86,9.29,42.3,5.42,50.0,11.48,50.0,4.74,43.51,33.35,9.37,50.75,13.53,48.54,6.23,50.0,11.48,50.0,4.74,45.34
202608090201,2026-08-09,02,1R,realtime,67.93,19.08,42.8,11.41,55.07,7.06,56.17,12.9,49.49,4.69,55.14,53.36,14.99,44.79,11.94,56.68,7.27,60.06,13.79,49.07,4.65,52.63,50.3,14.13,48.76,13.0,44.99,5.77,44.89,10.31,50.08,4.75,47.95,49.65,13.94,48.76,13.0,42.16,5.41,50.19,11.52,50.35,4.77,48.64,33.35,9.37,34.86,9.29,41.51,5.32,40.88,9.39,50.64,4.8,38.17,44.78,12.58,50.75,13.53,47.04,6.03,47.78,10.97,50.23,4.76,47.87
202608090202,2026-08-09,02,2R,daily,67.93,19.08,42.8,11.41,48.6,6.23,50.0,11.48,50.0,4.74,52.94,53.36,14.99,76.56,20.41,34.3,4.4,50.0,11.48,50.0,4.74,56.01,50.3,14.13,42.8,11.41,45.36,5.82,50.0,11.48,50.0,4.74,47.57,49.65,13.94,34.86,9.29,40.75,5.23,50.0,11.48,50.0,4.74,44.68,44.78,12.58,40.82,10.88,43.48,5.58,50.0,11.48,50.0,4.74,45.25,33.35,9.37,40.82,10.88,56.3,7.22,50.0,11.48,50.0,4.74,43.68
202608090202,2026-08-09,02,2R,realtime,67.93,19.08,42.8,11.41,49.29,6.32,60.1,13.8,49.37,4.68,55.28,53.36,14.99,76.56,20.41,36.19,4.64,51.82,11.9,47.75,4.52,56.46,50.3,14.13,42.8,11.41,45.55,5.84,42.72,9.81,50.41,4.78,45.96,44.78,12.58,34.86,9.29,40.71,5.22,55.6,12.77,51.3,4.86,44.72,33.35,9.37,40.82,10.88,43.42,5.57,58.8,13.5,50.21,4.76,44.07,49.65,13.94,40.82,10.88,56.99,7.31,30.93,7.1,50.81,4.81,44.05
202608090203,2026-08-09,02,3R,daily,67.93,19.08,42.8,11.41,41.78,5.36,50.0,11.48,50.0,4.74,52.06,53.36,14.99,42.8,11.41,61.64,7.91,50.0,11.48,50.0,4.74,50.52,50.3,14.13,48.76,13.0,40.25,5.16,50.0,11.48,50.0,4.74,48.51,49.65,13.94,48.76,13.0,64.84,8.32,50.0,11.48,50.0,4.74,51.47,44.78,12.58,46.78,12.47,45.72,5.86,50.0,11.48,50.0,4.74,47.13,33.35,9.37,48.76,13.0,31.95,4.1,50.0,11.48,50.0,4.74,42.68
202608090203,2026-08-09,02,3R,realtime,67.93,19.08,42.8,11.41,42.14,5.41,53.99,12.4,50.56,4.79,53.08,53.36,14.99,42.8,11.41,62.72,8.04,58.04,13.33,49.84,4.72,52.49,50.3,14.13,48.76,13.0,41.09,5.27,47.17,10.83,50.09,4.75,47.97,49.65,13.94,48.76,13.0,66.26,8.5,36.21,8.31,49.62,4.7,48.45,44.78,12.58,46.78,12.47,46.04,5.91,40.72,9.35,49.87,4.73,45.02,33.35,9.37,48.76,13.0,31.71,4.07,63.85,14.66,49.88,4.73,45.82
202608090204,2026-08-09,02,4R,daily,67.93,19.08,44.79,11.94,54.48,6.99,50.0,11.48,50.0,4.74,54.22,53.36,14.99,52.73,14.06,44.26,5.68,50.0,11.48,50.0,4.74,50.94,50.3,14.13,42.8,11.41,50.44,6.47,50.0,11.48,50.0,4.74,48.22,49.65,13.94,46.78,12.47,69.63,8.93,50.0,11.48,50.0,4.74,51.56,44.78,12.58,46.78,12.47,40.65,5.21,50.0,11.48,50.0,4.74,46.48,33.35,9.37,34.86,9.29,48.74,6.25,50.0,11.48,50.0,4.74,41.13
202608090205,2026-08-09,02,5R,daily,67.93,19.08,58.69,15.64,33.35,4.28,50.0,11.48,50.0,4.74,55.22,53.36,14.99,42.8,11.41,52.19,6.69,50.0,11.48,50.0,4.74,49.31,50.3,14.13,44.79,11.94,45.64,5.85,50.0,11.48,50.0,4.74,48.14,49.65,13.94,80.54,21.47,53.9,6.91,50.0,11.48,50.0,4.74,58.54,44.78,12.58,46.78,12.47,44.14,5.66,50.0,11.48,50.0,4.74,46.92,33.35,9.37,34.86,9.29,42.3,5.42,50.0,11.48,50.0,4.74,40.3
202608090206,2026-08-09,02,6R,daily,67.93,19.08,48.76,13.0,46.51,5.96,50.0,11.48,50.0,4.74,54.26,53.36,14.99,52.73,14.06,45.98,5.9,50.0,11.48,50.0,4.74,51.16,50.3,14.13,48.76,13.0,41.44,5.32,50.0,11.48,50.0,4.74,48.66,49.65,13.94,48.76,13.0,52.99,6.8,50.0,11.48,50.0,4.74,49.95,44.78,12.58,34.86,9.29,40.75,5.23,50.0,11.48,50.0,4.74,43.31,33.35,9.37,46.78,12.47,60.73,7.79,50.0,11.48,50.0,4.74,45.84
202608090207,2026-08-09,02,7R,daily,67.93,19.08,50.75,13.53,49.6,6.36,50.0,11.48,50.0,4.74,55.18,53.36,14.99,48.76,13.0,45.22,5.8,50.0,11.48,50.0,4.74,50.0,50.3,14.13,46.78,12.47,45.72,5.86,50.0,11.48,50.0,4.74,48.68,49.65,13.94,42.8,11.41,45.36,5.82,50.0,11.48,50.0,4.74,47.39,44.78,12.58,48.76,13.0,40.25,5.16,50.0,11.48,50.0,4.74,46.95,33.35,9.37,40.82,10.88,43.48,5.58,50.0,11.48,50.0,4.74,42.04
202608090208,2026-08-09,02,8R,daily,67.93,19.08,48.76,13.0,31.95,4.1,50.0,11.48,50.0,4.74,52.39,53.36,14.99,40.82,10.88,56.3,7.22,50.0,11.48,50.0,4.74,49.3,50.3,14.13,44.79,11.94,55.52,7.12,50.0,11.48,50.0,4.74,49.4,49.65,13.94,42.8,11.41,50.44,6.47,50.0,11.48,50.0,4.74,48.04,44.78,12.58,42.8,11.41,54.73,7.02,50.0,11.48,50.0,4.74,47.22,33.35,9.37,52.73,14.06,48.12,6.17,50.0,11.48,50.0,4.74,45.81
202608090209,2026-08-09,02,9R,daily,67.93,19.08,46.78,12.47,40.65,5.21,50.0,11.48,50.0,4.74,52.98,53.36,14.99,44.79,11.94,45.64,5.85,50.0,11.48,50.0,4.74,48.99,50.3,14.13,46.78,12.47,44.14,5.66,50.0,11.48,50.0,4.74,48.47,49.65,13.94,52.73,14.06,44.26,5.68,50.0,11.48,50.0,4.74,49.89,44.78,12.58,42.8,11.41,41.78,5.36,50.0,11.48,50.0,4.74,45.56,33.35,9.37,42.8,11.41,48.6,6.23,50.0,11.48,50.0,4.74,43.23
202608090210,2026-08-09,02,10R,daily,67.93,19.08,46.78,12.47,69.63,8.93,50.0,11.48,50.0,4.74,56.69,53.36,14.99,80.54,21.47,53.9,6.91,50.0,11.48,50.0,4.74,59.58,50.3,14.13,52.73,14.06,45.98,5.9,50.0,11.48,50.0,4.74,50.3,49.65,13.94,42.8,11.41,61.64,7.91,50.0,11.48,50.0,4.74,49.48,44.78,12.58,44.79,11.94,54.48,6.99,50.0,11.48,50.0,4.74,47.72,33.35,9.37,48.76,13.0,46.51,5.96,50.0,11.48,50.0,4.74,44.55
202608090211,2026-08-09,02,11R,daily,67.93,19.08,48.76,13.0,64.84,8.32,50.0,11.48,50.0,4.74,56.61,53.36,14.99,48.76,13.0,52.99,6.8,50.0,11.48,50.0,4.74,51.0,50.3,14.13,76.56,20.41,34.3,4.4,50.0,11.48,50.0,4.74,55.15,49.65,13.94,42.8,11.41,52.19,6.69,50.0,11.48,50.0,4.74,48.26,44.78,12.58,50.75,13.53,49.6,6.36,50.0,11.48,50.0,4.74,48.68,33.35,9.37,58.69,15.64,33.35,4.28,50.0,11.48,50.0,4.74,45.5
202608090212,2026-08-09,02,12R,daily,67.93,19.08,66.63,17.76,64.87,8.32,50.0,11.48,50.0,4.74,61.38,53.36,14.99,70.61,18.82,62.49,8.02,50.0,11.48,50.0,4.74,58.04,50.3,14.13,66.63,17.76,57.95,7.43,50.0,11.48,50.0,4.74,55.54,49.65,13.94,62.66,16.7,60.45,7.75,50.0,11.48,50.0,4.74,54.62,44.78,12.58,46.78,12.47,60.48,7.76,50.0,11.48,50.0,4.74,49.02,33.35,9.37,56.71,15.11,51.06,6.55,50.0,11.48,50.0,4.74,47.25
