レースコード,レース日,レース場コード,レース回,状態,1枠_コースpt,1枠_寄与_コースpt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_コースpt,2枠_寄与_コースpt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_コースpt,3枠_寄与_コースpt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_コースpt,4枠_寄与_コースpt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_コースpt,5枠_寄与_コースpt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_コースpt,6枠_寄与_コースpt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202607270101,2026-07-27,01,1R,daily,61.86,21.86,40.36,8.46,56.74,7.78,50.0,10.83,50.0,4.15,53.09,50.78,17.95,42.32,8.88,54.84,7.52,50.0,10.83,50.0,4.15,49.33,50.46,17.83,44.28,9.29,47.08,6.46,50.0,10.83,50.0,4.15,48.56,50.1,17.7,46.24,9.7,54.63,7.5,50.0,10.83,50.0,4.15,49.88,45.85,16.2,44.28,9.29,51.6,7.08,50.0,10.83,50.0,4.15,47.55,40.84,14.43,38.4,8.05,50.4,6.92,50.0,10.83,50.0,4.15,44.39
202607270101,2026-07-27,01,1R,realtime,61.86,21.86,40.36,8.46,56.23,7.72,72.63,15.74,42.14,3.5,57.28,50.78,17.95,42.32,8.88,51.78,7.1,44.1,9.55,42.95,3.57,47.05,50.46,17.83,44.28,9.29,47.76,6.55,47.26,10.24,39.73,3.3,47.21,50.1,17.7,46.24,9.7,50.01,6.86,35.64,7.72,63.76,5.29,47.28,45.85,16.2,44.28,9.29,50.08,6.87,41.01,8.89,53.24,4.42,45.67,40.84,14.43,38.4,8.05,52.4,7.19,59.35,12.86,58.16,4.83,47.36
202607270102,2026-07-27,01,2R,daily,61.24,21.64,40.36,8.46,30.75,4.22,50.0,10.83,50.0,4.15,49.31,48.94,17.3,44.28,9.29,49.28,6.76,50.0,10.83,50.0,4.15,48.33,51.68,18.26,42.32,8.88,69.55,9.54,50.0,10.83,50.0,4.15,51.67,48.26,17.06,42.32,8.88,22.85,3.13,50.0,10.83,50.0,4.15,44.05,47.69,16.85,46.24,9.7,21.03,2.89,50.0,10.83,50.0,4.15,44.42,42.06,14.87,50.16,10.52,36.47,5.0,50.0,10.83,50.0,4.15,45.37
202607270102,2026-07-27,01,2R,realtime,61.24,21.64,40.36,8.46,33.4,4.58,60.41,13.09,43.83,3.64,51.42,48.94,17.3,44.28,9.29,50.04,6.87,66.8,14.47,47.21,3.92,51.84,51.68,18.26,42.32,8.88,70.83,9.72,51.75,11.21,35.6,2.96,51.03,48.26,17.06,42.32,8.88,37.89,5.2,47.03,10.19,61.89,5.14,46.46,47.69,16.85,46.24,9.7,37.55,5.15,30.66,6.64,51.9,4.31,42.65,42.06,14.87,50.16,10.52,43.62,5.98,43.36,9.39,59.54,4.94,45.71
202607270103,2026-07-27,01,3R,daily,61.97,21.9,42.32,8.88,51.03,7.0,50.0,10.83,50.0,4.15,52.76,48.38,17.1,54.08,11.34,56.36,7.73,50.0,10.83,50.0,4.15,51.16,51.12,18.07,44.28,9.29,37.87,5.2,50.0,10.83,50.0,4.15,47.53,48.31,17.07,44.28,9.29,48.48,6.65,50.0,10.83,50.0,4.15,47.99,47.72,16.86,46.24,9.7,56.73,7.78,50.0,10.83,50.0,4.15,49.33,42.39,14.98,42.32,8.88,53.63,7.36,50.0,10.83,50.0,4.15,46.2
202607270103,2026-07-27,01,3R,realtime,61.97,21.9,42.32,8.88,58.52,8.03,47.45,10.28,43.83,3.64,52.72,48.38,17.1,54.08,11.34,54.62,7.49,58.95,12.77,47.21,3.92,52.62,51.12,18.07,44.28,9.29,37.12,5.09,54.81,11.87,35.6,2.96,47.28,48.31,17.07,44.28,9.29,43.2,5.93,43.18,9.36,61.89,5.14,46.78,47.72,16.86,46.24,9.7,62.46,8.57,59.24,12.83,51.9,4.31,52.27,42.39,14.98,42.32,8.88,54.82,7.52,36.36,7.88,59.54,4.94,44.2
202607270104,2026-07-27,01,4R,daily,63.38,22.4,30.56,6.41,44.71,6.13,50.0,10.83,50.0,4.15,49.93,49.56,17.51,48.2,10.11,38.29,5.25,50.0,10.83,50.0,4.15,47.86,47.7,16.86,46.24,9.7,46.75,6.41,50.0,10.83,50.0,4.15,47.95,51.32,18.14,34.48,7.23,54.34,7.46,50.0,10.83,50.0,4.15,47.81,44.93,15.88,44.28,9.29,48.27,6.62,50.0,10.83,50.0,4.15,46.77,42.98,15.19,56.04,11.75,64.4,8.84,50.0,10.83,50.0,4.15,50.76
202607270104,2026-07-27,01,4R,realtime,63.38,22.4,30.56,6.41,47.4,6.5,56.31,12.2,46.97,3.9,51.41,49.56,17.51,48.2,10.11,31.4,4.31,46.41,10.05,47.52,3.95,45.93,47.7,16.86,46.24,9.7,52.06,7.14,49.57,10.74,36.85,3.06,47.5,51.32,18.14,34.48,7.23,51.73,7.1,47.61,10.32,60.43,5.02,47.8,44.93,15.88,44.28,9.29,46.62,6.4,59.76,12.95,51.24,4.25,48.76,42.98,15.19,56.04,11.75,55.24,7.58,40.33,8.74,56.96,4.73,47.99
202607270105,2026-07-27,01,5R,daily,63.38,22.4,48.2,10.11,39.64,5.44,50.0,10.83,50.0,4.15,52.93,49.25,17.41,52.12,10.93,35.02,4.8,50.0,10.83,50.0,4.15,48.13,49.23,17.4,44.28,9.29,51.6,7.08,50.0,10.83,50.0,4.15,48.75,50.71,17.92,38.4,8.05,50.4,6.92,50.0,10.83,50.0,4.15,47.87,45.55,16.1,42.32,8.88,38.62,5.3,50.0,10.83,50.0,4.15,45.26,41.76,14.76,50.16,10.52,49.98,6.86,50.0,10.83,50.0,4.15,47.12
202607270105,2026-07-27,01,5R,realtime,63.38,22.4,48.2,10.11,35.13,4.82,56.99,12.35,46.97,3.9,53.57,49.25,17.41,52.12,10.93,41.42,5.68,47.89,10.38,47.52,3.95,48.34,49.23,17.4,44.28,9.29,50.08,6.87,33.88,7.34,36.85,3.06,43.96,50.71,17.92,38.4,8.05,52.4,7.19,52.91,11.46,60.43,5.02,49.64,45.55,16.1,42.32,8.88,37.33,5.12,51.53,11.16,51.24,4.25,45.51,41.76,14.76,50.16,10.52,51.98,7.13,56.77,12.3,56.96,4.73,49.44
