レースコード,レース日,レース場コード,レース回,状態,1枠_コースpt,1枠_寄与_コースpt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_コースpt,2枠_寄与_コースpt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_コースpt,3枠_寄与_コースpt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_コースpt,4枠_寄与_コースpt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_コースpt,5枠_寄与_コースpt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_コースpt,6枠_寄与_コースpt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202607240101,2026-07-24,01,1R,daily,61.86,21.91,42.32,8.85,49.75,6.76,50.0,10.84,50.0,4.2,52.56,50.78,17.99,42.32,8.85,54.23,7.37,50.0,10.84,50.0,4.2,49.24,50.46,17.87,42.32,8.85,57.99,7.88,50.0,10.84,50.0,4.2,49.64,50.1,17.75,30.56,6.39,48.32,6.56,50.0,10.84,50.0,4.2,45.74,45.85,16.24,48.2,10.08,43.33,5.89,50.0,10.84,50.0,4.2,47.25,40.84,14.47,52.12,10.9,30.02,4.08,50.0,10.84,50.0,4.2,44.49
202607240102,2026-07-24,01,2R,daily,61.24,21.7,44.28,9.26,51.3,6.97,50.0,10.84,50.0,4.2,52.96,48.94,17.34,44.28,9.26,57.37,7.79,50.0,10.84,50.0,4.2,49.43,51.68,18.31,40.36,8.44,35.96,4.89,50.0,10.84,50.0,4.2,46.67,48.26,17.1,48.2,10.08,72.22,9.81,50.0,10.84,50.0,4.2,52.03,47.69,16.89,34.48,7.21,44.5,6.05,50.0,10.84,50.0,4.2,45.19,42.06,14.9,52.12,10.9,44.65,6.07,50.0,10.84,50.0,4.2,46.91
202607240103,2026-07-24,01,3R,daily,61.97,21.95,42.32,8.85,72.36,9.83,50.0,10.84,50.0,4.2,55.67,48.38,17.14,50.16,10.49,51.46,6.99,50.0,10.84,50.0,4.2,49.66,51.12,18.11,46.24,9.67,55.09,7.48,50.0,10.84,50.0,4.2,50.3,48.31,17.11,42.32,8.85,21.36,2.9,50.0,10.84,50.0,4.2,43.9,47.72,16.91,38.4,8.03,46.89,6.37,50.0,10.84,50.0,4.2,46.35,42.39,15.02,54.08,11.31,60.96,8.28,50.0,10.84,50.0,4.2,49.65
202607240104,2026-07-24,01,4R,daily,63.38,22.45,48.2,10.08,29.19,3.97,50.0,10.84,50.0,4.2,51.54,49.56,17.56,56.04,11.72,61.96,8.42,50.0,10.84,50.0,4.2,52.73,47.7,16.9,42.32,8.85,49.53,6.73,50.0,10.84,50.0,4.2,47.52,51.32,18.18,48.2,10.08,32.5,4.42,50.0,10.84,50.0,4.2,47.71,44.93,15.92,34.48,7.21,62.28,8.46,50.0,10.84,50.0,4.2,46.63,42.98,15.23,58.0,12.13,62.53,8.49,50.0,10.84,50.0,4.2,50.89
202607240105,2026-07-24,01,5R,daily,63.38,22.45,44.28,9.26,36.8,5.0,50.0,10.84,50.0,4.2,51.75,49.25,17.45,63.88,13.36,48.99,6.65,50.0,10.84,50.0,4.2,52.5,49.23,17.44,50.16,10.49,40.96,5.56,50.0,10.84,50.0,4.2,48.54,50.71,17.96,40.36,8.44,58.39,7.93,50.0,10.84,50.0,4.2,49.37,45.55,16.13,42.32,8.85,57.99,7.88,50.0,10.84,50.0,4.2,47.9,41.76,14.79,50.16,10.49,42.15,5.73,50.0,10.84,50.0,4.2,46.05
202607240106,2026-07-24,01,6R,daily,80.39,28.48,65.84,13.77,56.7,7.7,50.0,10.84,50.0,4.2,64.99,43.47,15.4,40.36,8.44,35.96,4.89,50.0,10.84,50.0,4.2,43.76,44.06,15.61,42.32,8.85,49.75,6.76,50.0,10.84,50.0,4.2,46.26,46.16,16.35,44.28,9.26,43.34,5.89,50.0,10.84,50.0,4.2,46.54,44.34,15.71,44.28,9.26,46.96,6.38,50.0,10.84,50.0,4.2,46.39,41.46,14.69,44.28,9.26,46.88,6.37,50.0,10.84,50.0,4.2,45.36
202607240107,2026-07-24,01,7R,daily,77.69,27.52,46.24,9.67,45.65,6.2,50.0,10.84,50.0,4.2,58.43,43.81,15.52,30.56,6.39,48.32,6.56,50.0,10.84,50.0,4.2,43.51,50.61,17.93,59.96,12.54,45.73,6.21,50.0,10.84,50.0,4.2,51.72,44.98,15.93,38.4,8.03,46.89,6.37,50.0,10.84,50.0,4.2,45.37,42.53,15.07,44.28,9.26,51.3,6.97,50.0,10.84,50.0,4.2,46.34,40.24,14.26,46.24,9.67,50.13,6.81,50.0,10.84,50.0,4.2,45.78
202607240108,2026-07-24,01,8R,daily,70.41,24.94,48.2,10.08,72.22,9.81,50.0,10.84,50.0,4.2,59.87,43.52,15.42,42.32,8.85,49.53,6.73,50.0,10.84,50.0,4.2,46.04,46.31,16.41,42.32,8.85,72.36,9.83,50.0,10.84,50.0,4.2,50.13,47.19,16.72,42.32,8.85,54.23,7.37,50.0,10.84,50.0,4.2,47.97,51.27,18.16,50.16,10.49,42.89,5.83,50.0,10.84,50.0,4.2,49.52,41.18,14.59,46.24,9.67,24.0,3.26,50.0,10.84,50.0,4.2,42.56
202607240109,2026-07-24,01,9R,daily,71.2,25.22,42.32,8.85,40.13,5.45,50.0,10.84,50.0,4.2,54.56,46.99,16.64,54.08,11.31,60.96,8.28,50.0,10.84,50.0,4.2,51.27,47.91,16.97,50.16,10.49,51.46,6.99,50.0,10.84,50.0,4.2,49.49,47.23,16.73,56.04,11.72,61.96,8.42,50.0,10.84,50.0,4.2,51.91,45.38,16.07,52.12,10.9,44.65,6.07,50.0,10.84,50.0,4.2,48.08,41.18,14.59,44.28,9.26,45.46,6.18,50.0,10.84,50.0,4.2,45.06
202607240110,2026-07-24,01,10R,daily,75.77,26.84,46.24,9.67,40.53,5.51,50.0,10.84,50.0,4.2,57.06,46.71,16.55,50.16,10.49,42.15,5.73,50.0,10.84,50.0,4.2,47.8,45.11,15.98,40.36,8.44,58.39,7.93,50.0,10.84,50.0,4.2,47.39,47.58,16.86,50.16,10.49,43.95,5.97,50.0,10.84,50.0,4.2,48.36,43.83,15.53,48.2,10.08,52.87,7.18,50.0,10.84,50.0,4.2,47.83,40.88,14.48,48.2,10.08,43.33,5.89,50.0,10.84,50.0,4.2,45.49
