レースコード,レース日,レース場コード,レース回,状態,1枠_コースpt,1枠_寄与_コースpt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_コースpt,2枠_寄与_コースpt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_コースpt,3枠_寄与_コースpt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_コースpt,4枠_寄与_コースpt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_コースpt,5枠_寄与_コースpt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_コースpt,6枠_寄与_コースpt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202607290401,2026-07-29,04,1R,daily,62.85,18.88,42.31,11.73,60.68,7.53,50.0,10.47,50.0,4.44,53.06,49.1,14.75,47.21,13.09,56.47,7.01,50.0,10.47,50.0,4.44,49.76,50.61,15.21,47.21,13.09,40.36,5.01,50.0,10.47,50.0,4.44,48.21,50.32,15.12,49.66,13.76,52.16,6.48,50.0,10.47,50.0,4.44,50.27,45.78,13.76,54.56,15.12,44.32,5.5,50.0,10.47,50.0,4.44,49.29,41.31,12.41,30.06,8.33,58.87,7.31,50.0,10.47,50.0,4.44,42.96
202607290401,2026-07-29,04,1R,realtime,62.85,18.88,42.31,11.73,48.47,6.02,73.98,15.5,54.53,4.84,56.97,49.1,14.75,47.21,13.09,53.93,6.7,55.28,11.58,49.09,4.36,50.47,50.61,15.21,47.21,13.09,42.28,5.25,40.61,8.51,54.61,4.85,46.89,50.32,15.12,49.66,13.76,51.06,6.34,41.77,8.75,51.42,4.56,48.54,45.78,13.76,54.56,15.12,41.73,5.18,44.44,9.31,62.07,5.51,48.88,41.31,12.41,30.06,8.33,62.57,7.77,43.94,9.2,28.05,2.49,40.21
202607290402,2026-07-29,04,2R,daily,65.82,19.78,49.66,13.76,55.15,6.85,50.0,10.47,50.0,4.44,55.3,48.25,14.5,34.96,9.69,48.25,5.99,50.0,10.47,50.0,4.44,45.09,52.72,15.84,47.21,13.09,64.16,7.97,50.0,10.47,50.0,4.44,51.8,48.63,14.61,37.41,10.37,55.05,6.84,50.0,10.47,50.0,4.44,46.73,43.66,13.12,52.11,14.44,61.0,7.57,50.0,10.47,50.0,4.44,50.04,40.89,12.28,30.06,8.33,35.44,4.4,50.0,10.47,50.0,4.44,39.93
202607290402,2026-07-29,04,2R,realtime,65.82,19.78,49.66,13.76,52.69,6.54,52.21,10.94,57.73,5.12,56.14,48.25,14.5,34.96,9.69,50.3,6.25,42.86,8.98,46.78,4.15,43.56,52.72,15.84,47.21,13.09,67.37,8.37,67.26,14.09,51.67,4.58,55.96,48.63,14.61,37.41,10.37,51.04,6.34,55.58,11.64,50.74,4.5,47.46,43.66,13.12,52.11,14.44,62.17,7.72,58.46,12.24,57.35,5.09,52.62,40.89,12.28,30.06,8.33,34.43,4.28,23.66,4.96,35.5,3.15,33.0
202607290403,2026-07-29,04,3R,daily,61.59,18.5,44.76,12.41,43.86,5.45,50.0,10.47,50.0,4.44,51.27,51.64,15.51,47.21,13.09,58.62,7.28,50.0,10.47,50.0,4.44,50.79,53.15,15.97,37.41,10.37,50.95,6.33,50.0,10.47,50.0,4.44,47.57,48.2,14.48,49.66,13.76,81.38,10.1,50.0,10.47,50.0,4.44,53.26,44.93,13.5,54.56,15.12,93.06,11.56,50.0,10.47,50.0,4.44,55.09,40.47,12.16,52.11,14.44,56.87,7.06,50.0,10.47,50.0,4.44,48.57
202607290403,2026-07-29,04,3R,realtime,61.59,18.5,44.76,12.41,45.05,5.59,58.46,12.24,56.76,5.04,53.79,51.64,15.51,47.21,13.09,56.08,6.96,44.08,9.23,46.85,4.16,48.95,53.15,15.97,37.41,10.37,49.96,6.2,32.76,6.86,51.44,4.56,43.97,48.2,14.48,49.66,13.76,83.35,10.35,58.01,12.15,50.6,4.49,55.24,44.93,13.5,54.56,15.12,97.04,12.05,52.45,10.99,58.35,5.18,56.84,40.47,12.16,52.11,14.44,56.29,6.99,54.26,11.37,35.77,3.17,48.13
202607290404,2026-07-29,04,4R,daily,66.24,19.9,44.76,12.41,51.04,6.34,50.0,10.47,50.0,4.44,53.56,50.79,15.26,52.11,14.44,38.37,4.76,50.0,10.47,50.0,4.44,49.38,51.87,15.59,49.66,13.76,56.91,7.07,50.0,10.47,50.0,4.44,51.33,46.51,13.97,52.11,14.44,44.78,5.56,50.0,10.47,50.0,4.44,48.89,42.81,12.86,32.51,9.01,59.66,7.41,50.0,10.47,50.0,4.44,44.19,41.73,12.54,30.06,8.33,61.82,7.68,50.0,10.47,50.0,4.44,43.46
202607290404,2026-07-29,04,4R,realtime,66.24,19.9,44.76,12.41,51.86,6.44,59.41,12.44,55.5,4.92,56.12,50.79,15.26,52.11,14.44,45.15,5.61,34.37,7.2,49.02,4.35,46.86,51.87,15.59,49.66,13.76,57.05,7.08,55.19,11.56,54.84,4.87,52.86,46.51,13.97,52.11,14.44,51.73,6.42,52.87,11.07,51.56,4.57,50.49,42.81,12.86,32.51,9.01,60.48,7.51,59.09,12.38,61.07,5.42,47.18,41.73,12.54,30.06,8.33,57.22,7.1,39.09,8.19,27.78,2.47,38.63
202607290405,2026-07-29,04,5R,daily,78.71,23.65,37.41,10.37,72.13,8.96,50.0,10.47,50.0,4.44,57.88,45.66,13.72,47.21,13.09,47.66,5.92,50.0,10.47,50.0,4.44,47.63,45.9,13.79,47.21,13.09,39.53,4.91,50.0,10.47,50.0,4.44,46.69,48.57,14.59,66.81,18.52,52.37,6.5,50.0,10.47,50.0,4.44,54.52,41.1,12.35,59.46,16.48,41.27,5.12,50.0,10.47,50.0,4.44,48.86,40.03,12.03,34.96,9.69,47.55,5.9,50.0,10.47,50.0,4.44,42.53
202607290405,2026-07-29,04,5R,realtime,78.71,23.65,37.41,10.37,75.54,9.38,58.44,12.24,59.43,5.27,60.91,45.66,13.72,47.21,13.09,44.79,5.56,22.35,4.68,41.01,3.64,40.69,45.9,13.79,47.21,13.09,38.73,4.81,44.66,9.36,54.49,4.84,45.87,48.57,14.59,66.81,18.52,53.29,6.62,56.22,11.78,52.72,4.68,56.18,41.1,12.35,59.46,16.48,42.54,5.28,64.46,13.5,60.46,5.36,52.98,40.03,12.03,34.96,9.69,51.47,6.39,53.87,11.28,31.66,2.81,42.2
