レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202608130101,2026-08-13,01,1R,daily,67.48,24.37,44.38,9.97,46.93,5.62,50.0,10.57,50.0,4.15,54.68,48.7,17.59,42.36,9.51,62.84,7.53,50.0,10.57,50.0,4.15,49.35,50.93,18.39,44.38,9.97,51.68,6.19,50.0,10.57,50.0,4.15,49.27,50.24,18.14,48.41,10.87,51.23,6.14,50.0,10.57,50.0,4.15,49.88,46.87,16.93,52.44,11.78,38.3,4.59,50.0,10.57,50.0,4.15,48.02,35.31,12.75,34.29,7.7,52.06,6.24,50.0,10.57,50.0,4.15,41.41
202608130102,2026-08-13,01,2R,daily,67.48,24.37,40.34,9.06,46.41,5.56,50.0,10.57,50.0,4.15,53.71,48.7,17.59,48.41,10.87,32.33,3.87,50.0,10.57,50.0,4.15,47.06,50.93,18.39,46.39,10.42,42.77,5.12,50.0,10.57,50.0,4.15,48.66,50.24,18.14,36.31,8.15,52.88,6.33,50.0,10.57,50.0,4.15,47.36,46.87,16.93,40.34,9.06,62.38,7.47,50.0,10.57,50.0,4.15,48.18,35.31,12.75,70.6,15.86,38.78,4.65,50.0,10.57,50.0,4.15,47.98
202608130103,2026-08-13,01,3R,daily,67.48,24.37,46.39,10.42,49.11,5.88,50.0,10.57,50.0,4.15,55.4,48.7,17.59,50.43,11.33,58.32,6.99,50.0,10.57,50.0,4.15,50.62,50.93,18.39,38.32,8.61,43.64,5.23,50.0,10.57,50.0,4.15,46.95,50.24,18.14,52.44,11.78,37.06,4.44,50.0,10.57,50.0,4.15,49.09,46.87,16.93,38.32,8.61,50.21,6.01,50.0,10.57,50.0,4.15,46.27,35.31,12.75,38.32,8.61,47.71,5.72,50.0,10.57,50.0,4.15,41.8
202608130104,2026-08-13,01,4R,daily,67.48,24.37,46.39,10.42,67.26,8.06,50.0,10.57,50.0,4.15,57.57,48.7,17.59,48.41,10.87,59.59,7.14,50.0,10.57,50.0,4.15,50.32,50.93,18.39,56.48,12.69,59.71,7.15,50.0,10.57,50.0,4.15,52.95,50.24,18.14,48.41,10.87,58.49,7.01,50.0,10.57,50.0,4.15,50.75,46.87,16.93,46.39,10.42,66.59,7.98,50.0,10.57,50.0,4.15,50.05,35.31,12.75,44.38,9.97,57.62,6.9,50.0,10.57,50.0,4.15,44.34
202608130105,2026-08-13,01,5R,daily,67.48,24.37,42.36,9.51,62.84,7.53,50.0,10.57,50.0,4.15,56.14,48.7,17.59,44.38,9.97,52.69,6.31,50.0,10.57,50.0,4.15,48.59,50.93,18.39,50.43,11.33,55.68,6.67,50.0,10.57,50.0,4.15,51.11,50.24,18.14,64.55,14.5,54.22,6.49,50.0,10.57,50.0,4.15,53.86,46.87,16.93,52.44,11.78,46.91,5.62,50.0,10.57,50.0,4.15,49.05,35.31,12.75,50.43,11.33,48.72,5.84,50.0,10.57,50.0,4.15,44.64
202608130106,2026-08-13,01,6R,daily,67.48,24.37,60.51,13.59,48.89,5.86,50.0,10.57,50.0,4.15,58.54,48.7,17.59,44.38,9.97,52.64,6.31,50.0,10.57,50.0,4.15,48.58,50.93,18.39,48.41,10.87,55.89,6.69,50.0,10.57,50.0,4.15,50.68,50.24,18.14,46.39,10.42,63.29,7.58,50.0,10.57,50.0,4.15,50.87,46.87,16.93,44.38,9.97,44.03,5.27,50.0,10.57,50.0,4.15,46.89,35.31,12.75,36.31,8.15,52.88,6.33,50.0,10.57,50.0,4.15,41.96
202608130107,2026-08-13,01,7R,daily,67.48,24.37,48.41,10.87,37.33,4.47,50.0,10.57,50.0,4.15,54.44,48.7,17.59,46.39,10.42,57.33,6.87,50.0,10.57,50.0,4.15,49.6,50.93,18.39,54.46,12.23,36.66,4.39,50.0,10.57,50.0,4.15,49.74,50.24,18.14,40.34,9.06,62.38,7.47,50.0,10.57,50.0,4.15,49.4,46.87,16.93,34.29,7.7,52.06,6.24,50.0,10.57,50.0,4.15,45.59,35.31,12.75,48.41,10.87,27.44,3.29,50.0,10.57,50.0,4.15,41.64
202608130108,2026-08-13,01,8R,daily,67.48,24.37,52.44,11.78,50.83,6.09,50.0,10.57,50.0,4.15,56.96,48.7,17.59,44.38,9.97,47.72,5.72,50.0,10.57,50.0,4.15,47.99,50.93,18.39,40.34,9.06,46.41,5.56,50.0,10.57,50.0,4.15,47.74,50.24,18.14,42.36,9.51,63.99,7.66,50.0,10.57,50.0,4.15,50.05,46.87,16.93,64.55,14.5,70.6,8.46,50.0,10.57,50.0,4.15,54.6,35.31,12.75,38.32,8.61,43.64,5.23,50.0,10.57,50.0,4.15,41.31
202608130109,2026-08-13,01,9R,daily,67.48,24.37,38.32,8.61,50.21,6.01,50.0,10.57,50.0,4.15,53.72,48.7,17.59,58.5,13.14,45.94,5.5,50.0,10.57,50.0,4.15,50.95,50.93,18.39,70.6,15.86,38.78,4.65,50.0,10.57,50.0,4.15,53.62,50.24,18.14,44.38,9.97,51.68,6.19,50.0,10.57,50.0,4.15,49.02,46.87,16.93,42.36,9.51,48.76,5.84,50.0,10.57,50.0,4.15,47.0,35.31,12.75,48.41,10.87,50.64,6.07,50.0,10.57,50.0,4.15,44.41
202608130110,2026-08-13,01,10R,daily,67.48,24.37,46.39,10.42,62.99,7.54,50.0,10.57,50.0,4.15,57.06,48.7,17.59,52.44,11.78,46.91,5.62,50.0,10.57,50.0,4.15,49.71,50.93,18.39,60.51,13.59,48.89,5.86,50.0,10.57,50.0,4.15,52.56,50.24,18.14,46.39,10.42,59.37,7.11,50.0,10.57,50.0,4.15,50.4,46.87,16.93,46.39,10.42,67.26,8.06,50.0,10.57,50.0,4.15,50.13,35.31,12.75,80.68,18.12,64.36,7.71,50.0,10.57,50.0,4.15,53.31
