レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202605050101,2026-05-05,01,1R,realtime,68.84,24.44,50.0,10.97,50.0,14.81,56.58,3.35,16.47,1.16,54.72,51.1,18.14,50.0,10.97,35.02,10.37,42.18,2.5,46.1,3.24,45.22,50.96,18.09,50.0,10.97,50.0,14.81,52.62,3.12,38.51,2.7,49.69,47.56,16.89,50.0,10.97,50.0,14.81,51.01,3.02,67.03,4.71,50.39,45.85,16.28,50.0,10.97,58.63,17.37,56.67,3.36,57.36,4.03,52.0,35.0,12.43,50.0,10.97,50.0,14.81,40.85,2.42,74.35,5.22,45.84
202605050102,2026-05-05,01,2R,realtime,68.84,24.44,50.0,10.97,63.44,18.79,53.79,3.19,11.17,0.78,58.17,50.96,18.09,50.0,10.97,50.0,14.81,56.91,3.37,30.86,2.17,49.4,47.56,16.89,50.0,10.97,51.23,15.17,36.29,2.15,70.47,4.95,50.13,45.85,16.28,50.0,10.97,63.44,18.79,50.39,2.99,57.38,4.03,53.05,35.0,12.43,50.0,10.97,32.74,9.7,49.19,2.91,77.62,5.45,41.45,51.1,18.14,50.0,10.97,51.23,15.17,53.34,3.16,52.27,3.67,51.11
202605050103,2026-05-05,01,3R,realtime,68.84,24.44,50.0,10.97,50.0,14.81,59.38,3.52,18.97,1.33,55.07,51.1,18.14,50.0,10.97,57.28,16.96,57.71,3.42,54.43,3.82,53.31,50.96,18.09,50.0,10.97,65.85,19.5,47.42,2.81,33.45,2.35,53.72,47.56,16.89,50.0,10.97,46.92,13.9,39.47,2.34,67.87,4.77,48.85,45.85,16.28,50.0,10.97,53.52,15.85,47.45,2.81,55.68,3.91,49.82,35.0,12.43,50.0,10.97,49.08,14.53,48.5,2.87,69.33,4.87,45.67
202605050104,2026-05-05,01,4R,realtime,68.84,24.44,50.0,10.97,70.47,20.87,47.48,2.81,18.97,1.33,60.42,51.1,18.14,50.0,10.97,60.73,17.99,51.2,3.03,54.43,3.82,53.95,50.96,18.09,50.0,10.97,60.73,17.99,56.1,3.32,33.45,2.35,52.72,47.56,16.89,50.0,10.97,66.47,19.68,48.73,2.89,67.87,4.77,55.19,45.85,16.28,50.0,10.97,50.0,14.81,42.36,2.51,55.68,3.91,48.47,35.0,12.43,50.0,10.97,48.15,14.26,54.03,3.2,69.33,4.87,45.73
202605050105,2026-05-05,01,5R,daily,68.84,24.44,50.0,10.97,36.56,10.83,50.0,2.96,50.0,3.51,52.71,51.1,18.14,50.0,10.97,50.0,14.81,50.0,2.96,50.0,3.51,50.39,50.96,18.09,50.0,10.97,50.0,14.81,50.0,2.96,50.0,3.51,50.34,47.56,16.89,50.0,10.97,48.4,14.33,50.0,2.96,50.0,3.51,48.66,45.85,16.28,50.0,10.97,50.43,14.94,50.0,2.96,50.0,3.51,48.65,35.0,12.43,50.0,10.97,50.0,14.81,50.0,2.96,50.0,3.51,44.68
202605050106,2026-05-05,01,6R,daily,68.84,24.44,50.0,10.97,46.61,13.8,50.0,2.96,50.0,3.51,55.69,51.1,18.14,50.0,10.97,54.32,16.09,50.0,2.96,50.0,3.51,51.67,50.96,18.09,50.0,10.97,35.82,10.61,50.0,2.96,50.0,3.51,46.14,47.56,16.89,50.0,10.97,50.0,14.81,50.0,2.96,50.0,3.51,49.13,45.85,16.28,50.0,10.97,50.0,14.81,50.0,2.96,50.0,3.51,48.53,35.0,12.43,50.0,10.97,51.23,15.17,50.0,2.96,50.0,3.51,45.04
202605050107,2026-05-05,01,7R,daily,68.84,24.44,50.0,10.97,50.0,14.81,50.0,2.96,50.0,3.51,56.69,51.1,18.14,50.0,10.97,48.89,14.48,50.0,2.96,50.0,3.51,50.06,50.96,18.09,50.0,10.97,50.0,14.81,50.0,2.96,50.0,3.51,50.34,47.56,16.89,50.0,10.97,53.89,15.96,50.0,2.96,50.0,3.51,50.29,45.85,16.28,50.0,10.97,45.81,13.57,50.0,2.96,50.0,3.51,47.29,35.0,12.43,50.0,10.97,53.52,15.85,50.0,2.96,50.0,3.51,45.72
202605050108,2026-05-05,01,8R,daily,68.84,24.44,50.0,10.97,63.44,18.79,50.0,2.96,50.0,3.51,60.67,51.1,18.14,50.0,10.97,64.8,19.19,50.0,2.96,50.0,3.51,54.77,50.96,18.09,50.0,10.97,47.72,14.13,50.0,2.96,50.0,3.51,49.67,47.56,16.89,50.0,10.97,68.93,20.42,50.0,2.96,50.0,3.51,54.74,45.85,16.28,50.0,10.97,49.08,14.53,50.0,2.96,50.0,3.51,48.25,35.0,12.43,50.0,10.97,55.06,16.31,50.0,2.96,50.0,3.51,46.17
202605050109,2026-05-05,01,9R,daily,68.84,24.44,50.0,10.97,51.3,15.19,50.0,2.96,50.0,3.51,57.07,51.1,18.14,50.0,10.97,45.07,13.35,50.0,2.96,50.0,3.51,48.93,50.96,18.09,50.0,10.97,58.63,17.37,50.0,2.96,50.0,3.51,52.9,47.56,16.89,50.0,10.97,48.15,14.26,50.0,2.96,50.0,3.51,48.59,45.85,16.28,50.0,10.97,57.28,16.96,50.0,2.96,50.0,3.51,50.68,35.0,12.43,50.0,10.97,50.0,14.81,50.0,2.96,50.0,3.51,44.68
202605050110,2026-05-05,01,10R,daily,68.84,24.44,50.0,10.97,50.43,14.94,50.0,2.96,50.0,3.51,56.82,51.1,18.14,50.0,10.97,46.61,13.8,50.0,2.96,50.0,3.51,49.39,50.96,18.09,50.0,10.97,50.0,14.81,50.0,2.96,50.0,3.51,50.34,47.56,16.89,50.0,10.97,32.74,9.7,50.0,2.96,50.0,3.51,44.02,45.85,16.28,50.0,10.97,35.02,10.37,50.0,2.96,50.0,3.51,44.09,35.0,12.43,50.0,10.97,50.0,14.81,50.0,2.96,50.0,3.51,44.68
202605050111,2026-05-05,01,11R,daily,68.84,24.44,50.0,10.97,50.43,14.94,50.0,2.96,50.0,3.51,56.82,51.1,18.14,50.0,10.97,65.85,19.5,50.0,2.96,50.0,3.51,55.08,50.96,18.09,50.0,10.97,60.73,17.99,50.0,2.96,50.0,3.51,53.52,47.56,16.89,50.0,10.97,51.23,15.17,50.0,2.96,50.0,3.51,49.5,45.85,16.28,50.0,10.97,53.89,15.96,50.0,2.96,50.0,3.51,49.68,35.0,12.43,50.0,10.97,50.0,14.81,50.0,2.96,50.0,3.51,44.68
202605050112,2026-05-05,01,12R,daily,68.84,24.44,50.0,10.97,48.89,14.48,50.0,2.96,50.0,3.51,56.36,51.1,18.14,50.0,10.97,63.44,18.79,50.0,2.96,50.0,3.51,54.37,50.96,18.09,50.0,10.97,50.0,14.81,50.0,2.96,50.0,3.51,50.34,47.56,16.89,50.0,10.97,48.15,14.26,50.0,2.96,50.0,3.51,48.59,45.85,16.28,50.0,10.97,50.0,14.81,50.0,2.96,50.0,3.51,48.53,35.0,12.43,50.0,10.97,68.93,20.42,50.0,2.96,50.0,3.51,50.28
202605050201,2026-05-05,02,1R,daily,64.08,21.06,50.0,9.32,116.4,39.37,50.0,5.89,50.0,1.44,77.08,53.9,17.72,50.0,9.32,107.0,36.19,50.0,5.89,50.0,1.44,70.56,53.1,17.45,50.0,9.32,81.1,27.43,50.0,5.89,50.0,1.44,61.54,50.45,16.58,50.0,9.32,50.0,16.91,50.0,5.89,50.0,1.44,50.15,43.71,14.37,50.0,9.32,97.8,33.08,50.0,5.89,50.0,1.44,64.1,34.14,11.22,50.0,9.32,85.6,28.95,50.0,5.89,50.0,1.44,56.83
202605050202,2026-05-05,02,2R,daily,64.08,21.06,50.0,9.32,50.0,16.91,50.0,5.89,50.0,1.44,54.63,53.9,17.72,50.0,9.32,98.9,33.45,50.0,5.89,50.0,1.44,67.82,53.1,17.45,50.0,9.32,123.3,41.7,50.0,5.89,50.0,1.44,75.81,50.45,16.58,50.0,9.32,134.4,45.46,50.0,5.89,50.0,1.44,78.69,43.71,14.37,50.0,9.32,103.3,34.94,50.0,5.89,50.0,1.44,65.96,34.14,11.22,50.0,9.32,116.0,39.23,50.0,5.89,50.0,1.44,67.11
202605050203,2026-05-05,02,3R,realtime,64.08,21.06,50.0,9.32,50.0,16.91,51.11,6.03,49.33,1.42,54.74,53.9,17.72,50.0,9.32,50.0,16.91,52.79,6.22,32.51,0.94,51.11,53.1,17.45,50.0,9.32,120.0,40.59,43.52,5.13,54.22,1.57,74.05,50.45,16.58,50.0,9.32,50.0,16.91,53.33,6.29,54.52,1.57,50.67,43.71,14.37,50.0,9.32,50.0,16.91,45.45,5.36,60.96,1.76,47.71,34.14,11.22,50.0,9.32,74.4,25.16,53.84,6.35,48.56,1.4,53.45
