レースコード,レース日,レース場,レース回,ステータス,計測数,計測項目1,計測項目2,計測項目3,艇1_選手名,艇1_値1,艇1_値2,艇1_値3,艇2_選手名,艇2_値1,艇2_値2,艇2_値3,艇3_選手名,艇3_値1,艇3_値2,艇3_値3,艇4_選手名,艇4_値1,艇4_値2,艇4_値3,艇5_選手名,艇5_値1,艇5_値2,艇5_値3,艇6_選手名,艇6_値1,艇6_値2,艇6_値3
202411030201,2024-11-03,2,01R,1,3,一周,まわり足,直線,栗原 直也,36.6,5.1,7.04,藤田 竜弘,37.76,5.47,7.17,大西 賢,37.82,5.54,7.07,中村 栄治,37.79,5.58,7.0,井手 良太,36.88,5.47,7.08,宮崎 心之介,37.1,5.6,7.02
202411030202,2024-11-03,2,02R,1,3,一周,まわり足,直線,近藤 雄一郎,36.8,5.51,6.92,北川 太一,37.0,5.27,7.1,村田 敦,37.66,5.2,7.21,木村 浩士,37.07,5.5,7.08,島田 賢人,37.53,5.49,7.22,相馬 翔,37.57,5.64,7.22
202411030203,2024-11-03,2,03R,1,3,一周,まわり足,直線,梅木 敬太,37.45,5.36,7.07,大谷 直弘,37.46,6.87,6.79,滝沢 崚,37.82,5.71,7.03,秋田 健太郎,37.3,5.74,7.12,新井 英孝,37.61,5.74,7.02,徳増 秀樹,37.6,5.43,7.19
202411030204,2024-11-03,2,04R,1,3,一周,まわり足,直線,沢田 昭宏,37.43,5.24,7.08,石塚 久也,37.87,5.33,7.09,山本 浩輔,37.69,5.93,7.04,石岡 将太,38.08,5.54,7.18,天野 友和,37.93,6.17,6.97,磯村 匠,36.9,5.8,6.92
202411030205,2024-11-03,2,05R,1,3,一周,まわり足,直線,相原 利章,37.4,5.44,7.07,谷本 幸司,37.3,5.3,7.17,深川 和仁,37.39,5.65,7.05,野口 勝弘,37.33,5.77,6.98,宮崎 心之介,37.6,5.6,7.04,吉田 宗弘,38.32,6.12,7.15
202411030206,2024-11-03,2,06R,1,3,一周,まわり足,直線,佐々木 大河,37.48,5.47,7.03,三浦 裕貴,37.37,5.3,7.18,中村 栄治,37.56,5.6,7.07,村田 敦,38.0,5.5,7.21,清水 攻二,37.07,5.5,7.04,出畑 孝典,37.0,5.51,7.07
202411030207,2024-11-03,2,07R,1,3,一周,まわり足,直線,長尾 章平,36.56,5.74,6.96,桑原 啓,36.92,5.78,7.15,秋田 健太郎,37.35,6.32,7.03,相馬 翔,38.08,6.42,7.07,久保原 秀人,37.67,5.59,7.03,藤田 竜弘,37.63,5.5,7.16
202411030208,2024-11-03,2,08R,1,3,一周,まわり足,直線,井手 良太,37.1,5.53,7.11,池田 剛規,36.96,6.23,6.97,沢田 昭宏,37.44,5.63,7.11,近藤 雄一郎,37.4,5.57,7.0,梅木 敬太,37.55,5.9,7.17,谷津 幸宏,37.5,6.17,7.04
202411030209,2024-11-03,2,09R,1,3,一周,まわり足,直線,大谷 直弘,37.4,5.8,7.03,中村 辰也,38.03,5.75,7.1,相原 利章,37.42,5.52,7.17,石塚 久也,37.42,5.43,7.18,遠藤 圭吾,37.72,5.51,7.12,木村 浩士,37.72,5.78,7.11
202411030210,2024-11-03,2,10R,1,3,一周,まわり足,直線,清水 攻二,36.85,6.17,6.77,磯村 匠,37.05,5.75,7.0,徳増 秀樹,37.34,5.57,7.05,深川 和仁,37.8,5.5,7.08,下河 誉史,38.61,5.64,7.07,北川 太一,37.81,6.09,6.79
202411030211,2024-11-03,2,11R,1,3,一周,まわり足,直線,天野 友和,36.6,5.47,6.96,吉田 宗弘,37.47,5.57,7.12,出畑 孝典,36.9,6.3,6.82,長尾 章平,37.33,5.62,6.9,中島 昂章,37.43,5.74,6.98,新井 英孝,37.68,5.89,7.07
202411030212,2024-11-03,2,12R,1,3,一周,まわり足,直線,野口 勝弘,36.33,5.5,6.9,渡辺 真至,37.17,5.6,7.08,島田 賢人,37.36,5.67,7.06,山本 浩輔,37.9,5.96,6.99,桑原 啓,37.73,5.77,6.93,池田 剛規,37.58,5.42,7.06
202411030501,2024-11-03,5,01R,1,3,一周,まわり足,直線,永井 彪也,36.33,5.8,6.7,大上 卓人,36.57,5.5,6.9,池永 太,37.63,6.0,6.9,平尾 崇典,36.93,5.61,6.9,麻生 慎介,36.96,5.34,7.23,関 浩哉,36.7,5.7,6.87
202411030502,2024-11-03,5,02R,1,3,一周,まわり足,直線,松井 洪弥,36.27,5.83,6.83,遠藤 エミ,36.6,5.53,6.97,横澤 剛治,36.97,5.87,6.8,坪井 康晴,36.47,5.73,7.0,萩原 秀人,36.27,5.57,7.1,大池 佑来,36.57,5.83,6.77
