レースコード,タイトル,レース日,レース場,レース回,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃),艇1_艇番,艇1_コース,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト調整,艇1_スタート展示,艇2_艇番,艇2_コース,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト調整,艇2_スタート展示,艇3_艇番,艇3_コース,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト調整,艇3_スタート展示,艇4_艇番,艇4_コース,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト調整,艇4_スタート展示,艇5_艇番,艇5_コース,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト調整,艇5_スタート展示,艇6_艇番,艇6_コース,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト調整,艇6_スタート展示
201802040201,第２８回東京スポーツ杯,2018-02-04,2,01R,2.0,,1.0,2,6.0,6.0,1,1,46.5,0.5,6.7,-0.5,0.08,2,2,53.2,0.0,6.78,-0.5,0.13,3,3,51.0,0.0,6.85,-0.5,0.01,4,4,51.1,0.0,6.76,-0.5,0.05,5,5,53.7,0.0,6.77,-0.5,0.08,6,6,47.7,0.0,6.8,-0.5,0.05
201802040202,第２８回東京スポーツ杯,2018-02-04,2,02R,0.0,1,0.0,1,5.0,5.0,1,1,55.7,0.0,6.88,0.0,0.11,2,2,56.8,0.0,6.84,-0.5,0.19,3,6,56.9,0.0,6.78,-0.5,0.23,4,3,51.8,0.0,6.81,-0.5,0.09,5,4,51.0,0.0,6.84,-0.5,0.17,6,5,61.8,0.0,6.92,-0.5,0.08
201802040203,第２８回東京スポーツ杯,2018-02-04,2,03R,0.0,1,0.0,1,6.0,5.0,1,1,51.0,0.0,6.76,-0.5,0.18,2,2,53.7,0.0,6.74,-0.5,0.13,3,3,47.0,0.0,6.8,-0.5,0.09,4,4,55.4,0.0,6.77,-0.5,0.15,5,5,50.5,0.5,6.76,-0.5,0.01,6,6,49.8,0.0,6.81,-0.5,0.39
201802040204,第２８回東京スポーツ杯,2018-02-04,2,04R,0.0,1,0.0,1,6.0,5.0,1,1,53.3,0.0,6.66,0.0,0.09,2,2,51.0,0.0,6.73,-0.5,0.25,3,3,51.0,0.0,6.77,-0.5,0.17,4,4,51.1,0.0,6.78,-0.5,0.04,5,5,52.2,0.0,6.81,-0.5,0.29,6,6,46.5,0.5,6.8,-0.5,0.28
201802040205,第２８回東京スポーツ杯,2018-02-04,2,05R,0.0,1,0.0,1,6.0,5.0,1,1,56.2,0.0,6.77,-0.5,-0.09,2,2,51.0,0.0,6.74,-0.5,0.08,3,3,51.1,0.0,6.72,-0.5,0.08,4,4,54.8,0.0,6.68,-0.5,-0.06,5,5,47.0,0.0,6.79,-0.5,-0.02,6,6,53.2,0.0,6.86,0.0,0.03
201802040206,第２８回東京スポーツ杯,2018-02-04,2,06R,3.0,1,1.0,1,8.0,5.0,1,1,51.0,0.0,6.77,0.0,0.11,2,2,47.7,0.0,6.75,-0.5,0.01,3,4,51.5,0.0,6.77,-0.5,0.01,4,5,51.7,0.0,6.75,-0.5,0.01,5,3,51.2,0.0,6.82,-0.5,0.01,6,6,55.7,0.0,6.78,0.0,0.07
201802040207,第２８回東京スポーツ杯,2018-02-04,2,07R,4.0,1,2.0,1,8.0,5.0,1,1,55.4,0.0,6.71,-0.5,0.05,2,2,53.7,0.0,6.69,-0.5,0.08,3,3,55.0,0.0,6.85,-0.5,0.09,4,4,61.8,0.0,6.85,-0.5,0.09,5,5,51.0,0.0,6.82,-0.5,0.15,6,6,56.8,0.0,6.84,-0.5,0.16
201802040208,第２８回東京スポーツ杯,2018-02-04,2,08R,0.0,1,0.0,1,8.0,6.0,1,1,50.5,0.5,6.65,-0.5,0.16,2,2,56.9,0.0,6.73,-0.5,0.28,3,3,47.0,0.0,6.77,-0.5,0.19,4,4,53.3,0.0,6.64,0.0,0.18,5,5,53.7,0.0,6.77,-0.5,0.13,6,6,56.2,0.0,6.8,-0.5,0.32
201802040209,第２８回東京スポーツ杯,2018-02-04,2,09R,0.0,1,0.0,2,8.0,6.0,1,1,51.8,0.0,6.83,-0.5,0.09,2,,52.2,0.0,,,,3,2,51.7,0.0,6.7,-0.5,0.09,4,3,51.0,0.0,6.78,-0.5,0.23,5,5,53.4,0.0,6.87,-0.5,0.14,6,4,51.5,0.0,6.71,-0.5,0.12
201802040210,第２８回東京スポーツ杯,2018-02-04,2,10R,0.0,1,0.0,2,8.0,6.0,1,1,51.2,0.0,6.73,-0.5,0.02,2,2,51.0,0.0,6.71,-0.5,0.27,3,3,51.1,0.0,6.69,-0.5,0.17,4,4,47.0,0.0,6.77,-0.5,0.04,5,5,54.8,0.0,6.82,-0.5,0.04,6,6,51.0,0.0,6.79,0.0,0.03
