レースコード,タイトル,レース日,レース場,レース回,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃),艇1_艇番,艇1_コース,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト調整,艇1_スタート展示,艇2_艇番,艇2_コース,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト調整,艇2_スタート展示,艇3_艇番,艇3_コース,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト調整,艇3_スタート展示,艇4_艇番,艇4_コース,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト調整,艇4_スタート展示,艇5_艇番,艇5_コース,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト調整,艇5_スタート展示,艇6_艇番,艇6_コース,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト調整,艇6_スタート展示
202601020301,第４４回新春金盃だるま家カップスタ展１０時１０分！,2026-01-02,3,01R,5.0,1,5.0,1,8.0,12.0,1,1,52.2,0.0,6.65,0.0,0.03,2,2,53.0,0.0,6.77,0.0,0.06,3,3,50.5,1.5,6.64,0.0,-0.02,4,4,52.2,0.0,6.7,0.0,0.01,5,5,52.0,0.0,6.56,0.5,-0.09,6,6,53.0,0.0,6.72,0.5,0.03
202601020302,第４４回新春金盃だるま家カップスタ展１０時１０分！,2026-01-02,3,02R,3.0,1,5.0,2,6.0,12.0,1,1,52.0,0.0,6.7,0.0,0.14,2,2,53.9,0.0,6.66,0.0,0.0,3,3,61.1,0.0,6.61,0.0,0.06,4,4,52.0,0.0,6.77,0.0,0.11,5,5,52.0,0.0,6.63,0.0,0.05,6,6,53.4,0.0,6.61,0.5,0.55
202601020303,第４４回新春金盃だるま家カップスタ展１０時１０分！,2026-01-02,3,03R,3.0,1,5.0,1,7.0,12.0,1,1,52.1,0.0,6.58,0.5,0.27,2,2,50.5,1.5,6.64,0.0,0.17,3,3,56.1,0.0,6.71,0.5,0.07,4,4,53.9,0.0,6.67,0.5,0.21,5,5,50.5,1.5,6.63,0.5,0.41,6,6,55.1,0.0,6.57,0.0,0.24
202601020304,第４４回新春金盃だるま家カップスタ展１０時１０分！,2026-01-02,3,04R,4.0,1,5.0,1,7.0,12.0,1,1,52.4,0.0,6.84,0.0,0.11,2,2,53.1,0.0,6.91,0.0,0.01,3,3,51.0,1.0,6.76,0.0,0.03,4,4,54.0,0.0,6.79,0.5,0.3,5,5,55.2,0.0,6.79,0.0,0.29,6,6,53.5,0.0,6.9,0.5,0.21
202601020305,第４４回新春金盃だるま家カップスタ展１０時１０分！,2026-01-02,3,05R,4.0,1,5.0,1,7.0,12.0,1,1,52.0,0.0,6.65,0.0,0.07,2,2,53.4,0.0,6.72,2.0,0.19,3,3,52.0,0.0,6.73,0.0,0.28,4,4,54.4,0.0,6.65,0.5,0.18,5,5,52.0,0.0,6.73,0.5,-0.02,6,6,51.0,1.0,6.82,0.5,0.13
202601020306,第４４回新春金盃だるま家カップスタ展１０時１０分！,2026-01-02,3,06R,3.0,1,5.0,1,8.0,12.0,1,1,54.2,0.0,6.71,0.5,0.19,2,2,55.2,0.0,6.81,0.5,-0.01,3,3,52.0,0.0,6.86,0.0,0.01,4,4,52.4,0.0,6.79,0.5,0.08,5,5,53.5,0.0,6.74,0.5,0.03,6,6,52.9,0.0,6.66,0.5,0.31
202601020307,第４４回新春金盃だるま家カップスタ展１０時１０分！,2026-01-02,3,07R,3.0,1,5.0,1,8.0,12.0,1,1,53.6,0.0,6.64,0.0,0.1,2,2,52.5,0.0,6.67,0.5,0.17,3,3,55.1,0.0,6.7,0.0,0.29,4,4,61.1,0.0,6.8,0.0,0.12,5,5,53.0,0.0,6.76,0.5,0.27,6,6,52.0,0.0,6.91,0.0,0.04
202601020308,第４４回新春金盃だるま家カップスタ展１０時１０分！,2026-01-02,3,08R,6.0,1,5.0,2,8.0,12.0,1,1,52.0,0.0,6.64,0.0,0.12,2,2,52.2,0.0,6.81,0.0,0.19,3,3,55.2,0.0,6.72,0.0,0.31,4,4,55.6,0.0,6.71,0.5,0.03,5,5,56.1,0.0,6.8,0.5,0.34,6,6,52.0,0.0,6.77,0.5,0.14
202601020309,第４４回新春金盃だるま家カップスタ展１０時１０分！,2026-01-02,3,09R,5.0,1,5.0,1,9.0,12.0,1,1,53.9,0.0,6.69,0.5,0.1,2,2,53.6,0.0,6.86,0.5,0.16,3,3,53.9,0.0,6.83,0.0,0.07,4,4,53.0,0.0,6.87,1.0,0.19,5,5,53.4,0.0,6.93,0.5,0.48,6,6,54.0,0.0,6.91,0.0,0.37
202601020310,第４４回新春金盃だるま家カップスタ展１０時１０分！,2026-01-02,3,10R,3.0,1,5.0,1,9.0,12.0,1,1,53.9,0.0,6.76,0.0,0.11,2,2,52.9,0.0,6.86,0.5,0.06,3,3,52.0,0.0,6.85,0.5,0.04,4,4,52.9,0.0,6.82,0.5,0.1,5,5,50.5,1.5,6.8,0.0,0.17,6,6,51.0,1.0,6.89,0.0,0.33
