レースコード,レース日,レース場,レース回,締切時刻,取得日時,艇1_コース,艇1_スタート展示,艇2_コース,艇2_スタート展示,艇3_コース,艇3_スタート展示,艇4_コース,艇4_スタート展示,艇5_コース,艇5_スタート展示,艇6_コース,艇6_スタート展示
202607221001,2026-07-22,10,01R,08:32,2026-07-22T08:22:25.646785+09:00,1,0.18,2,0.18,3,0.07,4,0.11,5,0.11,6,0.21
202607222301,2026-07-22,23,01R,08:39,2026-07-22T08:30:30.053069+09:00,1,0.09,2,-0.02,3,-0.01,4,-0.01,5,-0.02,6,-0.07
202607221401,2026-07-22,14,01R,08:46,2026-07-22T08:36:19.531788+09:00,1,0.1,2,0.17,3,0.16,4,0.12,5,0.18,6,0.22
202607221002,2026-07-22,10,02R,08:58,2026-07-22T08:48:23.312518+09:00,1,-0.05,2,0.02,3,0.06,4,0.11,5,0.07,6,0.08
202607222302,2026-07-22,23,02R,09:05,2026-07-22T08:56:25.647691+09:00,1,-0.03,2,0.28,3,0.3,4,0.1,5,-0.03,6,0.05
202607221402,2026-07-22,14,02R,09:12,2026-07-22T09:02:18.596746+09:00,1,-0.01,2,0.12,3,0.06,4,0.03,5,0.09,6,0.03
202607221003,2026-07-22,10,03R,09:24,2026-07-22T09:14:18.544365+09:00,1,0.04,2,0.08,3,0.04,4,0.01,5,0.01,6,0.13
202607222303,2026-07-22,23,03R,09:31,2026-07-22T09:22:24.710368+09:00,1,0.09,2,0.06,3,0.07,4,0.17,5,0.12,6,0.06
202607221403,2026-07-22,14,03R,09:38,2026-07-22T09:28:17.639803+09:00,1,0.13,2,0.21,3,0.12,4,0.09,5,0.07,6,0.16
202607221004,2026-07-22,10,04R,09:50,2026-07-22T09:40:29.651652+09:00,1,0.12,2,0.33,3,0.27,4,-0.01,5,-0.02,6,0.14
202607222304,2026-07-22,23,04R,09:57,2026-07-22T09:48:20.893416+09:00,1,0.24,2,0.07,3,0.09,4,0.21,5,0.27,6,0.06
202607221404,2026-07-22,14,04R,10:04,2026-07-22T09:54:21.405941+09:00,1,0.07,3,0.11,4,0.04,5,0.08,6,0.03,2,0.13
202607221005,2026-07-22,10,05R,10:16,2026-07-22T10:06:22.761255+09:00,1,0.02,2,0.11,3,0.08,4,0.27,5,0.26,6,0.13
202607222305,2026-07-22,23,05R,10:25,2026-07-22T10:16:27.332688+09:00,1,0.11,2,0.12,3,0.32,4,0.01,5,0.15,6,0.16
202607221405,2026-07-22,14,05R,10:30,2026-07-22T10:20:24.229176+09:00,1,0.03,2,0.05,3,0.09,4,-0.09,5,-0.1,6,-0.04
202607220901,2026-07-22,09,01R,10:33,2026-07-22T10:24:22.566689+09:00,1,-0.14,4,0.13,5,-0.02,6,0.08,2,-0.05,3,-0.16
202607221301,2026-07-22,13,01R,10:35,2026-07-22T10:26:23.417065+09:00,1,0.16,2,0.13,3,0.08,4,0.13,5,0.4,6,0.31
202607220801,2026-07-22,08,01R,10:41,2026-07-22T10:32:24.083793+09:00,1,0.14,2,0.12,3,0.17,4,0.09,5,0.04,6,0.19
202607221006,2026-07-22,10,06R,10:44,2026-07-22T10:34:25.614430+09:00,1,0.09,2,0.11,3,0.01,4,0.15,5,0.11,6,0.24
202607222306,2026-07-22,23,06R,10:53,2026-07-22T10:44:24.166187+09:00,1,0.0,2,0.03,3,0.19,4,0.15,5,0.11,6,0.13
202607221302,2026-07-22,13,02R,10:58,2026-07-22T10:50:24.016791+09:00,1,0.16,2,0.27,3,-0.09,4,0.07,5,-0.06,6,0.13
202607221406,2026-07-22,14,06R,10:59,2026-07-22T10:50:24.016791+09:00,1,0.01,2,0.02,3,0.09,4,0.06,5,0.09,6,0.18
202607220902,2026-07-22,09,02R,11:04,2026-07-22T10:54:26.106272+09:00,1,0.01,2,-0.14,3,-0.06,4,0.1,5,0.26,6,-0.04
202607220802,2026-07-22,08,02R,11:08,2026-07-22T10:58:20.451811+09:00,1,0.1,2,0.43,3,0.22,4,0.29,5,0.33,6,0.01
