レースコード,レース日,レース場,レース回,締切時刻,取得日時,気象観測時刻,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃)
202607252101,2026-07-25,21,01R,08:32,2026-07-25T08:22:24.975200+09:00,0755,0.0,,1.0,1,29.7,32.5
202607252301,2026-07-25,23,01R,08:39,2026-07-25T08:30:25.997866+09:00,0800,1.0,6,1.0,1,28.0,31.0
202607251401,2026-07-25,14,01R,08:46,2026-07-25T08:36:24.741575+09:00,0748,3.0,8,3.0,1,30.0,28.0
202607252102,2026-07-25,21,02R,08:58,2026-07-25T08:48:24.472593+09:00,0835,2.0,7,2.0,1,31.0,32.5
202607252302,2026-07-25,23,02R,09:05,2026-07-25T08:56:24.840003+09:00,0843,1.0,1,1.0,1,30.0,31.0
202607251402,2026-07-25,14,02R,09:12,2026-07-25T09:02:26.705798+09:00,0748,3.0,8,3.0,1,30.0,28.0
202607252103,2026-07-25,21,03R,09:24,2026-07-25T09:14:19.901309+09:00,0901,0.0,,1.0,1,31.7,32.6
202607252303,2026-07-25,23,03R,09:31,2026-07-25T09:22:22.682570+09:00,0909,1.0,1,1.0,1,31.0,31.0
202607251403,2026-07-25,14,03R,09:38,2026-07-25T09:28:24.407569+09:00,0850,1.0,8,1.0,1,30.0,28.0
202607252104,2026-07-25,21,04R,09:50,2026-07-25T09:40:32.244973+09:00,0927,2.0,7,2.0,1,32.0,32.7
202607252304,2026-07-25,23,04R,09:57,2026-07-25T09:48:23.158687+09:00,0935,1.0,8,1.0,1,31.0,31.0
202607251404,2026-07-25,14,04R,10:04,2026-07-25T09:54:19.252994+09:00,0916,1.0,8,1.0,1,30.0,28.0
202607252105,2026-07-25,21,05R,10:16,2026-07-25T10:06:22.379312+09:00,0953,2.0,8,2.0,1,31.7,32.9
202607252305,2026-07-25,23,05R,10:23,2026-07-25T10:14:23.683867+09:00,1001,2.0,1,2.0,1,30.0,31.0
202607251405,2026-07-25,14,05R,10:30,2026-07-25T10:20:39.944225+09:00,0942,1.0,8,1.0,1,30.0,28.0
202607251301,2026-07-25,13,01R,10:36,2026-07-25T10:26:37.804649+09:00,1023,3.0,6,0.0,1,33.7,31.0
202607250801,2026-07-25,08,01R,10:41,2026-07-25T10:32:26.799645+09:00,0949,3.0,7,2.0,1,32.0,32.0
202607252106,2026-07-25,21,06R,10:44,2026-07-25T10:34:23.630259+09:00,1019,2.0,8,2.0,1,32.1,33.0
202607250201,2026-07-25,02,01R,10:47,2026-07-25T10:38:28.960531+09:00,1029,1.0,2,1.0,1,32.0,32.0
202607252306,2026-07-25,23,06R,10:52,2026-07-25T10:42:27.837943+09:00,1027,1.0,1,1.0,1,31.0,31.0
202607251701,2026-07-25,17,01R,10:56,2026-07-25T10:46:24.846112+09:00,1003,1.0,3,1.0,1,29.0,29.0
202607251406,2026-07-25,14,06R,10:59,2026-07-25T10:50:29.751299+09:00,1034,1.0,8,1.0,1,30.0,28.0
202607251302,2026-07-25,13,02R,11:03,2026-07-25T10:54:23.228765+09:00,1039,4.0,7,0.0,1,34.3,31.1
202607250802,2026-07-25,08,02R,11:10,2026-07-25T11:01:08.192313+09:00,0949,3.0,7,2.0,1,32.0,32.0
202607252107,2026-07-25,21,07R,11:12,2026-07-25T11:02:22.955297+09:00,1047,2.0,8,2.0,1,32.2,33.2
202607250301,2026-07-25,03,01R,11:14,2026-07-25T11:04:28.134111+09:00,1000,1.0,2,5.0,1,32.0,28.0
202607250202,2026-07-25,02,02R,11:16,2026-07-25T11:06:27.155313+09:00,1050,1.0,2,1.0,1,32.0,32.0
202607252307,2026-07-25,23,07R,11:21,2026-07-25T11:12:25.264051+09:00,1056,3.0,1,3.0,1,32.0,31.0
202607251303,2026-07-25,13,03R,11:27,2026-07-25T11:18:24.067107+09:00,1039,4.0,7,0.0,1,34.3,31.1
202607251407,2026-07-25,14,07R,11:28,2026-07-25T11:18:24.067107+09:00,1034,1.0,8,1.0,1,30.0,28.0
202607250601,2026-07-25,06,01R,11:32,2026-07-25T11:22:23.618667+09:00,0940,1.0,3,0.0,1,32.0,27.0
202607251702,2026-07-25,17,02R,11:36,2026-07-25T11:26:24.077341+09:00,1059,2.0,5,2.0,1,30.0,29.0
202607250803,2026-07-25,08,03R,11:39,2026-07-25T11:30:55.778916+09:00,1114,2.0,7,1.0,1,34.0,32.0
202607250302,2026-07-25,03,02R,11:41,2026-07-25T11:32:27.075789+09:00,1117,3.0,2,5.0,1,31.0,28.0
202607252108,2026-07-25,21,08R,11:43,2026-07-25T11:34:21.830069+09:00,1115,2.0,8,2.0,1,32.1,33.2
