タイトル,日次,レース日,レース場,レース回,レース名,距離(m),電話投票締切予定,1枠_艇番,1枠_登録番号,1枠_選手名,1枠_年齢,1枠_支部,1枠_体重,1枠_級別,1枠_全国勝率,1枠_全国2連対率,1枠_当地勝率,1枠_当地2連対率,1枠_モーター番号,1枠_モーター2連対率,1枠_ボート番号,1枠_ボート2連対率,1枠_今節成績_1-1,1枠_今節成績_1-2,1枠_今節成績_2-1,1枠_今節成績_2-2,1枠_今節成績_3-1,1枠_今節成績_3-2,1枠_今節成績_4-1,1枠_今節成績_4-2,1枠_今節成績_5-1,1枠_今節成績_5-2,1枠_今節成績_6-1,1枠_今節成績_6-2,1枠_早見,2枠_艇番,2枠_登録番号,2枠_選手名,2枠_年齢,2枠_支部,2枠_体重,2枠_級別,2枠_全国勝率,2枠_全国2連対率,2枠_当地勝率,2枠_当地2連対率,2枠_モーター番号,2枠_モーター2連対率,2枠_ボート番号,2枠_ボート2連対率,2枠_今節成績_1-1,2枠_今節成績_1-2,2枠_今節成績_2-1,2枠_今節成績_2-2,2枠_今節成績_3-1,2枠_今節成績_3-2,2枠_今節成績_4-1,2枠_今節成績_4-2,2枠_今節成績_5-1,2枠_今節成績_5-2,2枠_今節成績_6-1,2枠_今節成績_6-2,2枠_早見,3枠_艇番,3枠_登録番号,3枠_選手名,3枠_年齢,3枠_支部,3枠_体重,3枠_級別,3枠_全国勝率,3枠_全国2連対率,3枠_当地勝率,3枠_当地2連対率,3枠_モーター番号,3枠_モーター2連対率,3枠_ボート番号,3枠_ボート2連対率,3枠_今節成績_1-1,3枠_今節成績_1-2,3枠_今節成績_2-1,3枠_今節成績_2-2,3枠_今節成績_3-1,3枠_今節成績_3-2,3枠_今節成績_4-1,3枠_今節成績_4-2,3枠_今節成績_5-1,3枠_今節成績_5-2,3枠_今節成績_6-1,3枠_今節成績_6-2,3枠_早見,4枠_艇番,4枠_登録番号,4枠_選手名,4枠_年齢,4枠_支部,4枠_体重,4枠_級別,4枠_全国勝率,4枠_全国2連対率,4枠_当地勝率,4枠_当地2連対率,4枠_モーター番号,4枠_モーター2連対率,4枠_ボート番号,4枠_ボート2連対率,4枠_今節成績_1-1,4枠_今節成績_1-2,4枠_今節成績_2-1,4枠_今節成績_2-2,4枠_今節成績_3-1,4枠_今節成績_3-2,4枠_今節成績_4-1,4枠_今節成績_4-2,4枠_今節成績_5-1,4枠_今節成績_5-2,4枠_今節成績_6-1,4枠_今節成績_6-2,4枠_早見,5枠_艇番,5枠_登録番号,5枠_選手名,5枠_年齢,5枠_支部,5枠_体重,5枠_級別,5枠_全国勝率,5枠_全国2連対率,5枠_当地勝率,5枠_当地2連対率,5枠_モーター番号,5枠_モーター2連対率,5枠_ボート番号,5枠_ボート2連対率,5枠_今節成績_1-1,5枠_今節成績_1-2,5枠_今節成績_2-1,5枠_今節成績_2-2,5枠_今節成績_3-1,5枠_今節成績_3-2,5枠_今節成績_4-1,5枠_今節成績_4-2,5枠_今節成績_5-1,5枠_今節成績_5-2,5枠_今節成績_6-1,5枠_今節成績_6-2,5枠_早見,6枠_艇番,6枠_登録番号,6枠_選手名,6枠_年齢,6枠_支部,6枠_体重,6枠_級別,6枠_全国勝率,6枠_全国2連対率,6枠_当地勝率,6枠_当地2連対率,6枠_モーター番号,6枠_モーター2連対率,6枠_ボート番号,6枠_ボート2連対率,6枠_今節成績_1-1,6枠_今節成績_1-2,6枠_今節成績_2-1,6枠_今節成績_2-2,6枠_今節成績_3-1,6枠_今節成績_3-2,6枠_今節成績_4-1,6枠_今節成績_4-2,6枠_今節成績_5-1,6枠_今節成績_5-2,6枠_今節成績_6-1,6枠_今節成績_6-2,6枠_早見
スポーツ報知杯,第5日,2025-12-09,ボートレース福岡,1R,カタメン１一,1800,11:03,1,4488,小山 勉,39,埼玉,53.0,A1,6.08,41.67,,,13,33,29.94,63331,,,,,,,,,,,,,,2,3957,大谷直弘,48,愛知,54.0,B1,4.57,20.83,,,54,42,23.53,1,,,,,,,,,,,,,,3,5232,樅山拓馬,28,愛知,53.0,B1,4.94,28.79,,,26,39,28.57,416,,,,,,,,,,,,,,4,4574,東 潤樹,37,広島,52.0,B1,4.47,22.45,,,61,34,22.86,243,,,,,,,,,,,,,,5,4031,飯島 誠,47,埼玉,53.0,B1,4.78,30.23,,,56,42,34.90,5,,,,,,,,,,,,,,6,5389,恵良琴美,18,福岡,43.0,B2,1.53,3.41,,,57,26,37.89,665,,,,,,,,,,,,,
スポーツ報知杯,第5日,2025-12-09,ボートレース福岡,2R,一般戦,1800,11:33,1,4775,千葉真弥,32,静岡,47.0,B1,6.11,48.39,,,39,29,29.94,1225444,,,,,,,,,,,,,,2,4976,金山立樹,31,東京,53.0,A2,4.89,30.43,,,22,35,33.11,4,,,,,,,,,,,,,,3,5057,上田紗奈,29,大阪,45.0,B1,4.81,29.17,,,55,30,30.77,554,,,,,,,,,,,,,,4,4388,是澤孝宏,40,滋賀,52.0,A2,5.84,38.78,,,23,34,40.24,2,,,,,,,,,,,,,,5,3313,本吉正樹,60,東京,58.0,B1,4.17,21.67,,,37,32,24.44,132,,,,,,,,,,,,,,6,4189,川上 剛,44,福岡,58.0,A2,6.25,41.67,,,63,34,34.01,241,,,,,,,,,,,,,
スポーツ報知杯,第5日,2025-12-09,ボートレース福岡,3R,カタメン３一,1800,12:03,1,4259,真庭明志,41,長崎,54.0,B1,5.56,37.04,,,49,44,48.32,411,,,,,,,,,,,,,,2,5151,山下奈緒,30,大阪,47.0,B1,3.55,8.11,,,45,39,38.46,344,,,,,,,,,,,,,,3,4514,上條嘉嗣,35,大阪,52.0,A1,6.7,50.91,,,68,34,36.54,3624161,,,,,,,,,,,,,,4,5210,藤井公人,27,福岡,56.0,B1,3.88,18.37,,,50,43,36.60,2,,,,,,,,,,,,,,5,5338,香月大輝,25,福岡,52.0,B1,3.11,6.25,,,27,29,33.33,444,,,,,,,,,,,,,,6,5397,寺田夢生,24,山口,51.0,B2,1.13,,,,32,32,35.46,6,,,,,,,,,,,,,
スポーツ報知杯,第5日,2025-12-09,ボートレース福岡,4R,一般戦,1800,12:33,1,4873,蒲原健太,32,佐賀,52.0,A2,5.66,35.63,,,70,34,38.10,2433432,,,,,,,,,,,,,,2,4911,片岡大地,29,東京,52.0,B1,4.35,18.18,,,11,39,40.00,1,,,,,,,,,,,,,,3,4410,井上大輔,39,岡山,52.0,B1,5.34,33.75,,,67,34,40.52,551,,,,,,,,,,,,,,4,5037,田頭虎親,27,香川,52.0,B1,4.61,28.17,,,42,41,26.03,231,,,,,,,,,,,,,,5,4887,富澤祐作,39,群馬,53.0,A2,4.45,24.71,,,24,31,30.61,4535145,,,,,,,,,,,,,,6,4199,北川潤二,43,愛知,58.0,A1,6.09,40.74,,,25,36,34.57,11121,,,,,,,,,,,,,
スポーツ報知杯,第5日,2025-12-09,ボートレース福岡,5R,一般戦,1800,13:00,1,4437,中田元泰,39,香川,55.0,A1,6.37,51.72,,,74,40,27.20,626,,,,,,,,,,,,,,2,5200,筒井美琴,23,福岡,48.0,B2,2.32,4.88,,,38,37,31.58,6,,,,,,,,,,,,,,3,3787,天野 誠,54,岡山,54.0,B1,3.85,16.25,,,20,28,27.46,6,,,,,,,,,,,,,,4,4458,抹香雄三,39,広島,54.0,B1,4.86,35.56,,,58,40,36.24,3,,,,,,,,,,,,,,5,4254,川島圭司,42,滋賀,52.0,A2,5.91,41.28,,,18,29,37.11,236,,,,,,,,,,,,,,6,4266,長田頼宗,40,東京,54.0,A1,6.97,45.19,,,30,34,34.67,11433,,,,,,,,,,,,,
スポーツ報知杯,第5日,2025-12-09,ボートレース福岡,6R,一般戦,1800,13:27,1,5044,渡邉 健,26,東京,59.0,A2,5.49,38.32,,,51,30,32.08,4,,,,,,,,,,,,,,2,5287,滝沢織寧,26,埼玉,46.0,B1,3.29,9.33,,,40,37,25.52,3,,,,,,,,,,,,,,3,4574,東 潤樹,37,広島,52.0,B1,4.47,22.45,,,61,34,22.86,243,,,,,,,,,,,,,,4,3313,本吉正樹,60,東京,58.0,B1,4.17,21.67,,,37,32,23.62,132,,,,,,,,,,,,,,5,5191,飛田江己,24,埼玉,51.0,A1,6.58,44.76,,,47,34,34.64,33112,,,,,,,,,,,,,,6,4095,福来 剛,44,東京,53.0,A1,6.72,51.02,,,36,27,34.07,123,,,,,,,,,,,,,
スポーツ報知杯,第5日,2025-12-09,ボートレース福岡,7R,一般戦,1800,13:55,1,4969,町田洸希,34,長崎,54.0,B1,5.18,32.0,,,29,37,27.66,35221,,,,,,,,,,,,,,2,5190,大月遊雅,24,東京,50.0,B1,4.17,23.68,,,48,24,33.12,6,,,,,,,,,,,,,,3,4162,竹本太樹,43,大阪,54.0,B1,4.09,15.09,,,69,40,28.76,5,,,,,,,,,,,,,,4,5205,刑部亜里,28,静岡,50.0,A2,6.1,41.76,,,66,23,27.21,6156434,,,,,,,,,,,,,,5,5389,恵良琴美,18,福岡,43.0,B2,1.53,3.41,,,57,26,37.89,665,,,,,,,,,,,,,,6,4388,是澤孝宏,40,滋賀,52.0,A2,5.84,38.78,,,23,34,40.24,2,,,,,,,,,,,,,
スポーツ報知杯,第5日,2025-12-09,ボートレース福岡,8R,一般戦,1800,14:23,1,4736,高倉和士,34,福岡,54.0,A2,7.34,60.34,,,28,27,31.14,2512634,,,,,,,,,,,,,,2,5057,上田紗奈,29,大阪,45.0,B1,4.81,29.17,,,55,30,30.77,554,,,,,,,,,,,,,,3,3928,林 恵祐,50,福岡,62.0,B1,3.78,17.72,,,71,31,40.52,5,,,,,,,,,,,,,,4,4887,富澤祐作,39,群馬,53.0,A2,4.45,24.71,,,24,31,30.61,4535145,,,,,,,,,,,,,,5,4531,武富智亮,37,佐賀,54.0,A2,6.24,45.45,,,64,44,26.03,421,,,,,,,,,,,,,,6,4134,杉山貴博,45,東京,55.0,A1,6.05,43.33,,,21,40,30.82,561,,,,,,,,,,,,,
スポーツ報知杯,第5日,2025-12-09,ボートレース福岡,9R,一般戦,1800,14:52,1,4254,川島圭司,42,滋賀,52.0,A2,5.91,41.28,,,18,29,37.11,236,,,,,,,,,,,,,,2,5232,樅山拓馬,28,愛知,53.0,B1,4.94,28.79,,,26,39,28.57,416,,,,,,,,,,,,,,3,5151,山下奈緒,30,大阪,47.0,B1,3.55,8.11,,,45,39,38.46,344,,,,,,,,,,,,,,4,4410,井上大輔,39,岡山,52.0,B1,5.34,33.75,,,67,34,40.52,551,,,,,,,,,,,,,,5,4976,金山立樹,31,東京,53.0,A2,4.89,30.43,,,22,35,33.11,4,,,,,,,,,,,,,,6,4432,黄金井力,39,埼玉,56.0,A2,4.89,23.58,,,41,35,29.22,3,,,,,,,,,,,,,
スポーツ報知杯,第5日,2025-12-09,ボートレース福岡,0R,準優勝戦,1800,15:22,1,4189,川上 剛,44,福岡,58.0,A2,6.25,41.67,,,63,34,34.01,241,,,,,,,,,,,,,,2,4266,長田頼宗,40,東京,54.0,A1,6.97,45.19,,,30,34,34.67,11433,,,,,,,,,,,,,,3,5037,田頭虎親,27,香川,52.0,B1,4.61,28.17,,,42,41,26.03,231,,,,,,,,,,,,,,4,4514,上條嘉嗣,35,大阪,52.0,A1,6.7,50.91,,,68,34,36.54,3624161,,,,,,,,,,,,,,5,5044,渡邉 健,26,東京,59.0,A2,5.49,38.32,,,51,30,32.08,4,,,,,,,,,,,,,,6,4488,小山 勉,39,埼玉,53.0,A1,6.08,41.67,,,13,33,29.94,63331,,,,,,,,,,,,,
スポーツ報知杯,第5日,2025-12-09,ボートレース福岡,1R,準優勝戦,1800,15:55,1,4095,福来 剛,44,東京,53.0,A1,6.72,51.02,,,36,27,34.07,123,,,,,,,,,,,,,,2,4259,真庭明志,41,長崎,54.0,B1,5.56,37.04,,,49,44,48.32,411,,,,,,,,,,,,,,3,4458,抹香雄三,39,広島,54.0,B1,4.86,35.56,,,58,40,36.24,3,,,,,,,,,,,,,,4,3957,大谷直弘,48,愛知,54.0,B1,4.57,20.83,,,54,42,23.53,1,,,,,,,,,,,,,,5,4873,蒲原健太,32,佐賀,52.0,A2,5.66,35.63,,,70,34,38.10,2433432,,,,,,,,,,,,,,6,4775,千葉真弥,32,静岡,47.0,B1,6.11,48.39,,,39,29,29.94,1225444,,,,,,,,,,,,,
