レースコード,タイトル,日次,レース日,レース場,レース回,レース名,距離(m),電話投票締切予定,1枠_艇番,1枠_登録番号,1枠_選手名,1枠_年齢,1枠_支部,1枠_体重,1枠_級別,1枠_全国勝率,1枠_全国2連対率,1枠_当地勝率,1枠_当地2連対率,1枠_モーター番号,1枠_モーター2連対率,1枠_ボート番号,1枠_ボート2連対率,1枠_今節成績_1-1,1枠_今節成績_1-2,1枠_今節成績_2-1,1枠_今節成績_2-2,1枠_今節成績_3-1,1枠_今節成績_3-2,1枠_今節成績_4-1,1枠_今節成績_4-2,1枠_今節成績_5-1,1枠_今節成績_5-2,1枠_今節成績_6-1,1枠_今節成績_6-2,1枠_早見,2枠_艇番,2枠_登録番号,2枠_選手名,2枠_年齢,2枠_支部,2枠_体重,2枠_級別,2枠_全国勝率,2枠_全国2連対率,2枠_当地勝率,2枠_当地2連対率,2枠_モーター番号,2枠_モーター2連対率,2枠_ボート番号,2枠_ボート2連対率,2枠_今節成績_1-1,2枠_今節成績_1-2,2枠_今節成績_2-1,2枠_今節成績_2-2,2枠_今節成績_3-1,2枠_今節成績_3-2,2枠_今節成績_4-1,2枠_今節成績_4-2,2枠_今節成績_5-1,2枠_今節成績_5-2,2枠_今節成績_6-1,2枠_今節成績_6-2,2枠_早見,3枠_艇番,3枠_登録番号,3枠_選手名,3枠_年齢,3枠_支部,3枠_体重,3枠_級別,3枠_全国勝率,3枠_全国2連対率,3枠_当地勝率,3枠_当地2連対率,3枠_モーター番号,3枠_モーター2連対率,3枠_ボート番号,3枠_ボート2連対率,3枠_今節成績_1-1,3枠_今節成績_1-2,3枠_今節成績_2-1,3枠_今節成績_2-2,3枠_今節成績_3-1,3枠_今節成績_3-2,3枠_今節成績_4-1,3枠_今節成績_4-2,3枠_今節成績_5-1,3枠_今節成績_5-2,3枠_今節成績_6-1,3枠_今節成績_6-2,3枠_早見,4枠_艇番,4枠_登録番号,4枠_選手名,4枠_年齢,4枠_支部,4枠_体重,4枠_級別,4枠_全国勝率,4枠_全国2連対率,4枠_当地勝率,4枠_当地2連対率,4枠_モーター番号,4枠_モーター2連対率,4枠_ボート番号,4枠_ボート2連対率,4枠_今節成績_1-1,4枠_今節成績_1-2,4枠_今節成績_2-1,4枠_今節成績_2-2,4枠_今節成績_3-1,4枠_今節成績_3-2,4枠_今節成績_4-1,4枠_今節成績_4-2,4枠_今節成績_5-1,4枠_今節成績_5-2,4枠_今節成績_6-1,4枠_今節成績_6-2,4枠_早見,5枠_艇番,5枠_登録番号,5枠_選手名,5枠_年齢,5枠_支部,5枠_体重,5枠_級別,5枠_全国勝率,5枠_全国2連対率,5枠_当地勝率,5枠_当地2連対率,5枠_モーター番号,5枠_モーター2連対率,5枠_ボート番号,5枠_ボート2連対率,5枠_今節成績_1-1,5枠_今節成績_1-2,5枠_今節成績_2-1,5枠_今節成績_2-2,5枠_今節成績_3-1,5枠_今節成績_3-2,5枠_今節成績_4-1,5枠_今節成績_4-2,5枠_今節成績_5-1,5枠_今節成績_5-2,5枠_今節成績_6-1,5枠_今節成績_6-2,5枠_早見,6枠_艇番,6枠_登録番号,6枠_選手名,6枠_年齢,6枠_支部,6枠_体重,6枠_級別,6枠_全国勝率,6枠_全国2連対率,6枠_当地勝率,6枠_当地2連対率,6枠_モーター番号,6枠_モーター2連対率,6枠_ボート番号,6枠_ボート2連対率,6枠_今節成績_1-1,6枠_今節成績_1-2,6枠_今節成績_2-1,6枠_今節成績_2-2,6枠_今節成績_3-1,6枠_今節成績_3-2,6枠_今節成績_4-1,6枠_今節成績_4-2,6枠_今節成績_5-1,6枠_今節成績_5-2,6枠_今節成績_6-1,6枠_今節成績_6-2,6枠_早見
201809032301,スポーツ報知杯,第4日,2018-09-03,ボートレース唐津,1R,一般,1800,08:49,1,4808,松尾 拓,29,三重,49.0,A1,6.56,49.59,3.62,7.69,15,31.58,64,32.17,3,,,,,,4,2,1,1,,,9,2,4663,籾山佳岳,35,愛知,53.0,B1,4.44,22.22,,,66,,52,34.19,4,6,6,,,,5,4,,,,,7,3,4917,岩橋裕馬,30,兵庫,52.0,B1,2.82,9.48,,,21,6.25,86,29.82,3,,,,,,3,6,6,5,,,6,4,3820,樫葉次郎,46,徳島,59.0,B1,3.78,12.16,4.64,21.43,26,38.1,45,20.91,,,,,,,4,,,,,,42,5,5026,安河内健,23,佐賀,54.0,B2,1.7,5.41,1.5,,27,14.29,47,34.17,5,,,,,,5,5,5,5,,,8,6,5001,坂本雅佳,23,岡山,58.0,B2,1.42,,,,33,27.78,83,31.15,6,,,,,,5,5,5,,,,6
201809032302,スポーツ報知杯,第4日,2018-09-03,ボートレース唐津,2R,一般,1800,09:18,1,3784,中島友和,42,佐賀,52.0,A1,5.86,37.38,6.78,51.4,60,30.77,70,25.71,1,,,,,,5,3,4,2,,,12,2,4657,江崎一雄,31,福岡,53.0,A2,5.72,39.64,6.31,48.28,14,33.33,84,34.45,2,2,,,,,2,1,,,,,6,3,3647,伊藤雄二,45,埼玉,50.0,B1,4.89,29.13,5.36,25.0,53,,88,32.46,1,,,,,,5,4,4,6,,,,4,4918,川島拓郎,29,静岡,52.0,B1,1.77,1.28,2.22,,43,11.11,85,30.43,6,2,5,,,,6,3,,,,,8,5,4946,船越健吾,26,香川,51.0,B2,1.55,2.67,,,61,30.0,81,37.61,4,,,,,,6,6,1,4,,,6,6,5022,伊藤尚汰,23,福岡,48.0,B2,1.41,2.44,,,24,27.27,32,30.17,6,4,6,,,,5,,,,,,7
201809032303,スポーツ報知杯,第4日,2018-09-03,ボートレース唐津,3R,一般,1800,09:47,1,4142,平野和明,37,愛知,52.0,A2,5.23,29.2,5.84,36.84,49,45.45,60,34.44,4,,,,,,1,4,3,4,,,8,2,4665,加藤啓太,34,愛知,52.0,B1,3.9,15.52,,,48,28.57,69,40.34,1,6,6,1,6,,7,,,,,,,3,3822,平尾崇典,45,岡山,50.0,A1,7.51,56.12,7.1,58.62,59,46.15,66,41.03,3,1,1,1,2,,1,2,,,,,,4,3989,熊本英一,40,佐賀,57.0,B1,4.23,19.63,4.05,15.31,44,,71,29.57,5,4,2,,,,4,6,,,,,7,5,3711,江本真治,44,山口,54.0,B1,5.38,36.89,4.94,38.89,70,10.0,87,37.29,2,1,2,3,4,,1,0,,,,,,6,2816,陶山秀徳,65,福岡,51.0,B1,5.09,30.0,4.72,16.67,68,41.67,34,20.37,5,5,,,,,5,,,,,,
201809032304,スポーツ報知杯,第4日,2018-09-03,ボートレース唐津,4R,一般,1800,10:16,1,3505,山田竜一,47,東京,52.0,A1,6.01,39.47,5.82,27.27,46,63.64,89,37.19,6,4,3,4,2,,1,0,,,,,,2,4904,松本一毅,24,大阪,52.0,B1,3.9,18.81,,,58,41.67,76,33.04,4,,,,,,4,3,5,6,,,8,3,4771,下寺秀和,25,広島,53.0,B1,4.76,28.42,4.38,18.75,12,40.91,67,39.13,2,4,1,,,,2,1,,,,,9,4,4042,丸岡正典,39,大阪,50.0,A1,6.85,46.88,6.64,46.43,45,27.27,35,33.05,1,2,3,,,,3,6,,,,,12,5,4231,鈴木裕隆,35,愛知,59.0,B1,5.14,28.7,4.74,36.84,20,54.55,78,33.33,5,1,1,1,4,,1,0,,,,,,6,4003,表 憲一,40,福井,54.0,A2,6.23,42.99,5.78,33.33,69,45.45,57,32.17,5,1,2,4,2,,9,,,,,,
201809032305,スポーツ報知杯,第4日,2018-09-03,ボートレース唐津,5R,一般,1800,10:46,1,3795,金子龍介,45,兵庫,52.0,A1,6.73,45.83,8.32,76.32,52,45.45,50,30.89,3,6,2,,,,1,1,,,,,11,2,3349,吉田一郎,50,長崎,51.0,A1,7.3,57.97,7.15,53.85,11,60.87,40,38.33,3,3,1,5,2,,1,1,,,,,,3,4748,渡邉雄朗,32,東京,52.0,A2,5.87,44.07,4.32,26.32,51,40.0,59,37.5,1,,,,,,1,1,2,2,,,10,4,4498,宮本夏樹,31,長崎,52.0,A2,5.3,35.04,5.38,41.03,62,46.15,72,31.19,1,6,4,5,6,,,,,,,,,5,4239,竹田辰也,34,山口,52.0,A2,5.6,34.11,6.05,36.84,13,34.78,61,20.54,3,,,,,,3,4,1,3,,,9,6,4535,北山康介,28,東京,55.0,A1,6.02,42.74,7.0,60.0,67,36.36,90,29.2,5,,,,,,5,3,3,3,,,
201809032306,スポーツ報知杯,第4日,2018-09-03,ボートレース唐津,6R,一般,1800,11:17,1,4917,岩橋裕馬,30,兵庫,52.0,B1,2.82,9.48,,,21,6.25,86,29.82,3,,,,,,3,6,6,5,,,1,2,4466,南 佑典,32,三重,51.0,A2,6.08,39.1,5.58,33.33,23,42.86,43,41.53,4,2,2,,,,4,4,,,,,10,3,4384,鶴本崇文,33,大阪,51.0,A1,6.78,51.05,7.0,47.62,17,25.0,37,28.1,3,,,,,,1,2,1,3,,,11,4,4946,船越健吾,26,香川,51.0,B2,1.55,2.67,,,61,30.0,81,37.61,4,,,,,,6,6,1,4,,,2,5,5001,坂本雅佳,23,岡山,58.0,B2,1.42,,,,33,27.78,83,31.15,6,,,,,,5,5,5,,,,1,6,4657,江崎一雄,31,福岡,53.0,A2,5.72,39.64,6.31,48.28,14,33.33,84,34.45,2,2,,,,,2,1,,,,,2
201809032307,スポーツ報知杯,第4日,2018-09-03,ボートレース唐津,7R,一般,1800,11:49,1,4926,吉川貴仁,25,三重,51.0,B1,4.39,25.56,2.0,16.67,25,33.33,38,44.44,5,2,3,,,,3,1,,,,,11,2,3820,樫葉次郎,46,徳島,59.0,B1,3.78,12.16,4.64,21.43,26,38.1,45,20.91,,,,,,,4,,,,,,42,3,4663,籾山佳岳,35,愛知,53.0,B1,4.44,22.22,,,66,,52,34.19,4,6,6,,,,5,4,,,,,1,4,4665,加藤啓太,34,愛知,52.0,B1,3.9,15.52,,,48,28.57,69,40.34,1,6,6,1,6,,3,,,,,,,5,5022,伊藤尚汰,23,福岡,48.0,B2,1.41,2.44,,,24,27.27,32,30.17,6,4,6,,,,5,,,,,,2,6,3989,熊本英一,40,佐賀,57.0,B1,4.23,19.63,4.05,15.31,44,,71,29.57,5,4,2,,,,4,6,,,,,3
201809032308,スポーツ報知杯,第4日,2018-09-03,ボートレース唐津,8R,一般,1800,12:21,1,4918,川島拓郎,29,静岡,52.0,B1,1.77,1.28,2.22,,43,11.11,85,30.43,6,2,5,,,,6,3,,,,,2,2,3548,室田泰史,48,福井,54.0,A2,6.08,44.44,6.44,33.33,63,45.45,63,37.72,1,2,4,5,5,,1,2,,,,,,3,3641,一瀬 明,47,東京,50.0,A1,6.54,48.44,7.69,62.5,47,36.36,68,27.19,2,5,1,,,,1,5,,,,,12,4,4904,松本一毅,24,大阪,52.0,B1,3.9,18.81,,,58,41.67,76,33.04,4,,,,,,4,3,5,6,,,4,5,4142,平野和明,37,愛知,52.0,A2,5.23,29.2,5.84,36.84,49,45.45,60,34.44,4,,,,,,1,4,3,4,,,3,6,5026,安河内健,23,佐賀,54.0,B2,1.7,5.41,1.5,,27,14.29,47,34.17,5,,,,,,5,5,5,5,,,1
201809032309,スポーツ報知杯,第4日,2018-09-03,ボートレース唐津,9R,準優進出戦,1800,12:53,1,4771,下寺秀和,25,広島,53.0,B1,4.76,28.42,4.38,18.75,12,40.91,67,39.13,2,4,1,,,,2,1,,,,,4,2,4808,松尾 拓,29,三重,49.0,A1,6.56,49.59,3.62,7.69,15,31.58,64,32.17,3,,,,,,4,2,1,1,,,1,3,4239,竹田辰也,34,山口,52.0,A2,5.6,34.11,6.05,36.84,13,34.78,61,20.54,3,,,,,,3,4,1,3,,,5,4,4003,表 憲一,40,福井,54.0,A2,6.23,42.99,5.78,33.33,69,45.45,57,32.17,5,1,2,4,2,,4,,,,,,,5,4128,川口貴久,38,東京,56.0,A2,5.75,43.28,6.0,42.11,50,,41,47.11,2,,,,,,3,6,4,5,,,,6,4376,藤田靖弘,34,静岡,50.0,A2,6.13,46.72,6.82,53.57,55,11.11,74,30.51,6,3,2,2,2,,,,,,,,
201809032310,スポーツ報知杯,第4日,2018-09-03,ボートレース唐津,10R,準優進出戦,1800,13:28,1,4748,渡邉雄朗,32,東京,52.0,A2,5.87,44.07,4.32,26.32,51,40.0,59,37.5,1,,,,,,1,1,2,2,,,5,2,4231,鈴木裕隆,35,愛知,59.0,B1,5.14,28.7,4.74,36.84,20,54.55,78,33.33,5,1,1,1,4,,4,,,,,,,3,3711,江本真治,44,山口,54.0,B1,5.38,36.89,4.94,38.89,70,10.0,87,37.29,2,1,2,3,4,,3,,,,,,,4,4466,南 佑典,32,三重,51.0,A2,6.08,39.1,5.58,33.33,23,42.86,43,41.53,4,2,2,,,,4,4,,,,,6,5,4351,里岡右貴,32,福岡,52.0,A2,6.07,42.77,4.88,25.0,18,20.0,49,42.48,5,1,6,,,,3,2,,,,,,6,3505,山田竜一,47,東京,52.0,A1,6.01,39.47,5.82,27.27,46,63.64,89,37.19,6,4,3,4,2,,4,,,,,,
