記録日,モーター期起算日,場コード,モーター番号,勝率,勝率順位,2連対率,2連対率順位,3連対率,3連対率順位,1着回数,1着順位,2着回数,2着順位,3着回数,3着順位,連対外回数,出走数,優勝回数,優勝順位,優出回数,優出順位,raw_col_21,raw_col_22,平均ラップ秒,平均ラップ順位,期内初使用日,整備種別1回数,整備種別2回数,整備種別3回数,整備種別4回数,整備種別5回数,整備種別6回数,直近メンテ日
2026-05-07,2025-06-09,04,10,4.43,29,28.57,21,42.86,26,1,13,1,15,1,18,4,7,0,2,0,7,683,5,15.09,14,2025-06-11,0,0,0,0,0,1,2025-06-12
2026-05-07,2025-06-09,04,11,1.83,41,0.0,39,0.0,40,0,29,0,31,0,28,6,6,0,2,0,7,692,33,15.68,42,2025-06-12,0,0,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,12,7.57,3,57.14,4,85.71,4,4,2,0,31,2,5,1,7,0,2,0,7,683,5,15.01,3,2025-06-11,0,2,0,1,0,1,2025-06-12
2026-05-07,2025-06-09,04,13,4.14,34,14.29,35,28.57,36,0,29,1,15,1,18,5,7,0,2,0,7,678,2,15.34,37,2025-06-11,0,0,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,14,6.14,11,42.86,13,57.14,13,3,3,0,31,1,18,3,7,0,2,0,7,686,11,15.08,13,2025-06-10,1,0,1,0,1,0,2025-06-12
2026-05-07,2025-06-09,04,15,5.57,16,28.57,21,42.86,26,2,6,0,31,1,18,4,7,0,2,0,7,688,17,15.13,22,2025-06-11,1,1,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,16,4.29,32,14.29,35,42.86,26,1,13,0,31,2,5,4,7,0,2,0,7,703,44,15.13,22,2025-06-10,0,1,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,17,5.71,13,28.57,21,57.14,13,2,6,0,31,2,5,3,7,0,2,0,7,685,9,15.05,6,2025-06-09,0,1,1,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,18,4.67,27,50.0,7,50.0,20,0,29,3,1,0,28,3,6,0,2,0,7,691,28,15.17,28,2025-06-12,0,0,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,19,4.0,36,16.67,33,50.0,20,0,29,1,15,2,5,3,6,0,2,0,7,690,25,15.22,33,2025-06-12,0,0,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,20,5.57,16,28.57,21,71.43,6,1,13,1,15,3,1,2,7,0,2,0,7,691,28,15.06,9,2025-06-10,0,1,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,21,5.75,12,37.5,17,50.0,20,1,13,2,5,1,18,4,8,0,2,0,7,690,25,15.11,17,2025-06-12,1,0,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,22,5.43,18,28.57,21,28.57,36,2,6,0,31,0,28,5,7,0,2,0,7,694,37,15.05,6,2025-06-12,0,1,0,0,0,1,2025-06-12
2026-05-07,2025-06-09,04,23,6.75,6,50.0,7,87.5,3,1,13,3,1,3,1,1,8,0,2,0,7,687,13,14.97,1,2025-06-12,0,0,1,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,24,2.33,40,0.0,39,0.0,40,0,29,0,31,0,28,6,6,0,2,0,7,691,28,15.4,39,2025-06-11,0,0,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,25,5.0,24,42.86,13,42.86,26,1,13,2,5,0,28,4,7,0,2,0,7,688,17,15.07,11,2025-06-10,0,1,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,26,5.29,19,28.57,21,57.14,13,0,29,2,5,2,5,3,7,0,2,0,7,687,13,15.28,36,2025-06-09,0,0,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,27,4.17,33,33.33,18,33.33,32,1,13,1,15,0,28,4,6,0,2,0,7,687,13,15.14,25,2025-06-11,1,0,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,28,5.17,23,50.0,7,50.0,20,1,13,2,5,0,28,3,6,0,2,0,7,686,11,15.12,19,2025-06-12,0,1,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,29,5.29,19,42.86,13,57.14,13,0,29,3,1,1,18,3,7,0,2,0,7,691,28,15.13,22,2025-06-12,0,0,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,30,4.63,28,25.0,32,50.0,20,1,13,1,15,2,5,4,8,0,2,0,7,689,22,15.07,11,2025-06-11,0,1,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,31,5.29,19,28.57,21,57.14,13,1,13,1,15,2,5,3,7,0,2,0,7,692,33,15.09,14,2025-06-11,0,0,0,1,0,0,2025-06-12
2026-05-07,2025-06-09,04,32,6.29,10,42.86,13,71.43,6,1,13,2,5,2,5,2,7,0,2,0,7,697,40,15.2,30,2025-06-11,0,1,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,33,4.43,29,14.29,35,28.57,36,1,13,0,31,1,18,5,7,0,2,0,7,691,28,15.2,30,2025-06-11,0,1,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,34,4.33,31,33.33,18,33.33,32,0,29,2,5,0,28,4,6,0,2,0,7,693,35,15.17,28,2025-06-12,0,0,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,35,1.0,44,0.0,39,0.0,40,0,29,0,31,0,28,2,2,0,2,0,7,682,4,,,,0,0,0,0,0,0,2025-06-09
2026-05-07,2025-06-09,04,36,9.67,1,100.0,1,100.0,1,5,1,1,15,0,28,0,6,1,1,1,1,685,9,14.99,2,2025-06-12,1,1,0,1,0,2,2025-06-12
2026-05-07,2025-06-09,04,37,5.0,24,28.57,21,57.14,13,0,29,2,5,2,5,3,7,0,2,0,7,690,25,15.22,33,2025-06-11,0,0,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,38,1.83,41,0.0,39,0.0,40,0,29,0,31,0,28,6,6,0,2,0,7,694,37,15.68,42,2025-06-11,0,0,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,39,3.5,39,16.67,33,16.67,39,0,29,1,15,0,28,5,6,0,2,0,7,693,35,15.4,39,2025-06-09,0,0,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,40,3.83,37,0.0,39,33.33,32,0,29,0,31,2,5,4,6,0,2,0,7,681,3,15.36,38,2025-06-10,0,0,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,41,7.67,2,66.67,2,100.0,1,1,13,3,1,2,5,0,6,0,2,1,1,683,5,15.06,9,2025-06-10,0,1,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,43,4.14,34,14.29,35,42.86,26,0,29,1,15,2,5,4,7,0,2,0,7,688,17,15.22,33,2025-06-09,0,0,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,44,6.43,9,57.14,4,71.43,6,2,6,2,5,1,18,2,7,0,2,0,7,689,22,15.09,14,2025-06-09,0,1,0,0,1,0,2025-06-12
2026-05-07,2025-06-09,04,45,3.67,38,33.33,18,33.33,32,1,13,1,15,0,28,4,6,0,2,0,7,684,8,15.03,4,2025-06-12,0,0,0,0,0,1,2025-06-12
2026-05-07,2025-06-09,04,46,5.29,19,28.57,21,42.86,26,2,6,0,31,1,18,4,7,0,2,0,7,689,22,15.04,5,2025-06-12,0,1,0,0,1,0,2025-06-12
2026-05-07,2025-06-09,04,47,7.33,4,50.0,7,83.33,5,2,6,1,15,2,5,1,6,0,2,1,1,697,40,15.12,19,2025-06-09,0,1,1,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,48,6.57,8,57.14,4,57.14,13,3,3,1,15,0,28,3,7,0,2,1,1,688,17,15.16,27,2025-06-10,1,0,1,0,0,1,2025-06-12
2026-05-07,2025-06-09,04,49,7.0,5,50.0,7,66.67,11,2,6,1,15,1,18,2,6,0,2,1,1,675,1,15.11,17,2025-06-09,2,0,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,50,5.71,13,28.57,21,71.43,6,0,29,2,5,3,1,2,7,0,2,0,7,688,17,15.2,30,2025-06-12,0,0,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,51,6.67,7,66.67,2,66.67,11,3,3,1,15,0,28,2,6,0,2,1,1,695,39,15.12,19,2025-06-09,0,1,0,0,0,2,2025-06-12
2026-05-07,2025-06-09,04,52,1.67,43,0.0,39,0.0,40,0,29,0,31,0,28,6,6,0,2,0,7,702,43,15.48,41,2025-06-11,0,0,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,53,5.71,13,28.57,21,71.43,6,1,13,1,15,3,1,2,7,0,2,0,7,687,13,15.05,6,2025-06-12,0,1,0,0,0,0,2025-06-12
2026-05-07,2025-06-09,04,54,4.83,26,50.0,7,50.0,20,1,13,2,5,0,28,3,6,0,2,0,7,698,42,15.14,25,2025-06-10,0,0,1,0,0,0,2025-06-12
2026-05-07,2026-04-18,05,11,4.44,32,33.33,22,44.44,26,1,22,2,10,1,23,5,9,0,2,0,7,680,23,15.02,36,2026-04-19,0,1,0,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,12,5.56,19,44.44,9,55.56,17,2,11,2,10,1,23,4,9,0,2,0,7,680,23,14.91,16,2026-04-22,0,1,1,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,13,5.0,27,40.0,13,40.0,31,1,22,3,3,0,36,6,10,0,2,0,7,674,5,15.05,39,2026-04-21,0,1,0,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,16,5.27,23,36.36,17,45.45,25,3,4,1,24,1,23,6,11,0,2,0,7,680,23,14.89,10,2026-04-23,2,1,0,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,17,8.0,1,80.0,1,90.0,1,3,4,5,1,1,23,1,10,0,2,1,1,680,23,14.88,8,2026-04-22,1,2,0,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,18,4.67,30,11.11,40,33.33,34,1,22,0,37,2,10,6,9,0,2,0,7,680,23,14.89,10,2026-04-23,0,0,0,0,0,1,2026-04-23
2026-05-07,2026-04-18,05,22,3.33,39,11.11,40,33.33,34,1,22,0,37,2,10,6,9,0,2,0,7,683,41,14.97,30,2026-04-18,0,1,0,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,25,6.6,6,50.0,6,60.0,12,4,1,1,24,1,23,4,10,0,2,0,7,675,6,14.94,24,2026-04-23,2,1,1,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,29,5.64,17,27.27,29,63.64,11,2,11,1,24,4,3,4,11,0,2,0,7,680,23,14.91,16,2026-04-23,0,2,0,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,30,6.9,5,50.0,6,80.0,6,3,4,2,10,3,5,2,10,0,2,1,1,682,38,14.93,21,2026-04-20,0,1,1,0,1,0,2026-04-23
2026-05-07,2026-04-18,05,33,3.56,37,22.22,30,33.33,34,0,39,2,10,1,23,6,9,0,2,0,7,681,34,15.17,44,2026-04-21,0,0,0,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,34,6.55,7,54.55,5,72.73,8,3,4,3,3,2,10,3,11,0,2,0,7,675,6,14.85,2,2026-04-23,0,3,0,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,38,1.5,46,0.0,46,0.0,46,0,39,0,37,0,36,8,8,0,2,0,7,681,34,15.25,46,2026-04-23,0,0,0,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,39,5.44,22,22.22,30,55.56,17,2,11,0,37,3,5,4,9,0,2,0,7,682,38,14.9,15,2026-04-23,0,1,1,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,40,5.64,17,36.36,17,54.55,21,2,11,2,10,2,10,5,11,0,2,0,7,680,23,14.88,8,2026-04-19,1,1,0,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,41,3.38,38,12.5,35,25.0,38,1,22,0,37,1,23,6,8,0,2,0,7,683,41,15.0,34,2026-04-19,1,0,0,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,43,3.89,35,11.11,40,33.33,34,1,22,0,37,2,10,6,9,0,2,0,7,675,6,15.02,36,2026-04-18,0,1,0,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,44,4.89,28,22.22,30,55.56,17,1,22,1,24,3,5,4,9,0,2,0,7,680,23,14.91,16,2026-04-18,0,1,0,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,45,5.2,25,30.0,25,60.0,12,0,39,3,3,3,5,4,10,0,2,0,7,683,41,15.08,40,2026-04-19,0,0,0,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,46,5.7,16,40.0,13,50.0,22,2,11,2,10,1,23,5,10,0,2,0,7,678,16,14.94,24,2026-04-21,1,1,0,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,48,5.5,20,30.0,25,50.0,22,1,22,2,10,2,10,5,10,0,2,0,7,680,23,14.97,30,2026-04-23,0,1,0,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,49,3.11,41,11.11,40,11.11,44,0,39,1,24,0,36,8,9,0,2,0,7,682,38,15.2,45,2026-04-19,0,0,0,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,50,4.33,34,11.11,40,44.44,26,1,22,0,37,3,5,5,9,0,2,0,7,679,21,14.87,4,2026-04-23,0,1,0,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,51,3.0,42,12.5,35,12.5,40,0,39,1,24,0,36,7,8,0,2,0,7,680,23,15.16,43,2026-04-22,0,0,0,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,52,6.0,11,20.0,34,60.0,12,1,22,0,37,2,10,2,5,0,2,0,7,681,34,14.87,4,2026-04-19,0,1,0,0,0,0,2026-04-20
2026-05-07,2026-04-18,05,53,2.88,44,12.5,35,12.5,40,0,39,1,24,0,36,7,8,0,2,0,7,679,21,15.11,41,2026-04-18,0,0,0,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,54,3.25,40,12.5,35,12.5,40,0,39,1,24,0,36,7,8,0,2,0,7,683,41,14.95,26,2026-04-23,0,0,0,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,55,6.45,8,36.36,17,81.82,4,3,4,1,24,5,1,2,11,0,2,0,7,673,3,14.83,1,2026-04-23,0,1,1,0,0,1,2026-04-23
2026-05-07,2026-04-18,05,56,5.8,13,50.0,6,60.0,12,3,4,2,10,1,23,4,10,0,2,0,7,676,11,14.92,20,2026-04-23,0,2,0,0,0,1,2026-04-23
2026-05-07,2026-04-18,05,57,7.11,4,66.67,3,88.89,3,1,22,5,1,2,10,1,9,0,2,1,1,676,11,14.87,4,2026-04-21,0,1,0,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,58,5.2,25,30.0,25,40.0,31,2,11,1,24,1,23,6,10,0,2,0,7,676,11,15.0,34,2026-04-23,0,0,0,1,0,1,2026-04-23
2026-05-07,2026-04-18,05,59,5.22,24,44.44,9,44.44,26,2,11,2,10,0,36,5,9,0,2,0,7,678,16,14.97,30,2026-04-22,1,0,0,1,0,0,2026-04-23
2026-05-07,2026-04-18,05,60,6.18,10,36.36,17,72.73,8,1,22,3,3,4,3,3,11,0,2,0,7,678,16,14.96,29,2026-04-20,0,1,0,0,0,0,2026-04-23
2026-05-07,2026-04-18,05,61,3.67,36,22.22,30,22.22,39,2,11,0,37,0,36,7,9,0,2,0,7,684,45,14.98,33,2026-04-18,1,1,0,0,0,0,2026-04-23
