レースコード,レース日,レース場コード,レース場,レース回,タイトル,日次,グレード,ナイター,レース名,電話投票締切予定,中止状態
202609010501,2026-09-01,05,多摩川,1R,第１２回ホットマンカップ,５日目,G3,S,一般,11:29,
202609010502,2026-09-01,05,多摩川,2R,第１２回ホットマンカップ,５日目,G3,S,一般,12:00,
202609010503,2026-09-01,05,多摩川,3R,第１２回ホットマンカップ,５日目,G3,S,一般,12:27,
202609010504,2026-09-01,05,多摩川,4R,第１２回ホットマンカップ,５日目,G3,S,一般,13:00,
202609010505,2026-09-01,05,多摩川,5R,第１２回ホットマンカップ,５日目,G3,S,一般,13:28,
202609010506,2026-09-01,05,多摩川,6R,第１２回ホットマンカップ,５日目,G3,S,一般,14:02,
202609010507,2026-09-01,05,多摩川,7R,第１２回ホットマンカップ,５日目,G3,S,一般,14:32,
202609010508,2026-09-01,05,多摩川,8R,第１２回ホットマンカップ,５日目,G3,S,一般,15:05,
202609010509,2026-09-01,05,多摩川,9R,第１２回ホットマンカップ,５日目,G3,S,一般,15:37,
202609010510,2026-09-01,05,多摩川,10R,第１２回ホットマンカップ,５日目,G3,S,準優勝戦,16:08,
202609010511,2026-09-01,05,多摩川,11R,第１２回ホットマンカップ,５日目,G3,S,準優勝戦,16:41,
202609010512,2026-09-01,05,多摩川,12R,第１２回ホットマンカップ,５日目,G3,S,準優勝戦,17:15,
202609010601,2026-09-01,06,浜名湖,1R,オールレディース静岡クラウンメロン杯,３日目,G3,S,予選,11:24,
202609010602,2026-09-01,06,浜名湖,2R,オールレディース静岡クラウンメロン杯,３日目,G3,S,予選,11:50,
202609010603,2026-09-01,06,浜名湖,3R,オールレディース静岡クラウンメロン杯,３日目,G3,S,予選,12:18,
202609010604,2026-09-01,06,浜名湖,4R,オールレディース静岡クラウンメロン杯,３日目,G3,S,ランチタイム戦,12:47,
202609010605,2026-09-01,06,浜名湖,5R,オールレディース静岡クラウンメロン杯,３日目,G3,S,予選,13:16,
202609010606,2026-09-01,06,浜名湖,6R,オールレディース静岡クラウンメロン杯,３日目,G3,S,予選,13:46,
202609010607,2026-09-01,06,浜名湖,7R,オールレディース静岡クラウンメロン杯,３日目,G3,S,予選,14:16,
202609010608,2026-09-01,06,浜名湖,8R,オールレディース静岡クラウンメロン杯,３日目,G3,S,ブレイクタイム,14:47,
202609010609,2026-09-01,06,浜名湖,9R,オールレディース静岡クラウンメロン杯,３日目,G3,S,予選,15:20,
202609010610,2026-09-01,06,浜名湖,10R,オールレディース静岡クラウンメロン杯,３日目,G3,S,予選特賞,15:55,
202609010611,2026-09-01,06,浜名湖,11R,オールレディース静岡クラウンメロン杯,３日目,G3,S,予選特選,16:33,
202609010612,2026-09-01,06,浜名湖,12R,オールレディース静岡クラウンメロン杯,３日目,G3,S,予選特選,17:10,
202609010701,2026-09-01,07,蒲郡,1R,日刊ゲンダイ杯争奪　蒲郡トトまるナイト特別,最終日,IP,N,一般戦,15:19,
202609010702,2026-09-01,07,蒲郡,2R,日刊ゲンダイ杯争奪　蒲郡トトまるナイト特別,最終日,IP,N,一般戦,15:44,
202609010703,2026-09-01,07,蒲郡,3R,日刊ゲンダイ杯争奪　蒲郡トトまるナイト特別,最終日,IP,N,一般戦,16:11,
202609010704,2026-09-01,07,蒲郡,4R,日刊ゲンダイ杯争奪　蒲郡トトまるナイト特別,最終日,IP,N,一般戦,16:38,
202609010705,2026-09-01,07,蒲郡,5R,日刊ゲンダイ杯争奪　蒲郡トトまるナイト特別,最終日,IP,N,一般戦,17:06,
202609010706,2026-09-01,07,蒲郡,6R,日刊ゲンダイ杯争奪　蒲郡トトまるナイト特別,最終日,IP,N,一般戦,17:31,
202609010707,2026-09-01,07,蒲郡,7R,日刊ゲンダイ杯争奪　蒲郡トトまるナイト特別,最終日,IP,N,一般戦,17:58,
202609010708,2026-09-01,07,蒲郡,8R,日刊ゲンダイ杯争奪　蒲郡トトまるナイト特別,最終日,IP,N,一般戦,18:28,
202609010709,2026-09-01,07,蒲郡,9R,日刊ゲンダイ杯争奪　蒲郡トトまるナイト特別,最終日,IP,N,一般特選,18:58,
202609010710,2026-09-01,07,蒲郡,10R,日刊ゲンダイ杯争奪　蒲郡トトまるナイト特別,最終日,IP,N,選抜戦,19:36,
202609010711,2026-09-01,07,蒲郡,11R,日刊ゲンダイ杯争奪　蒲郡トトまるナイト特別,最終日,IP,N,選抜戦,20:06,
