レースコード,タイトル,日次,レース日,レース場,レース回,レース名,距離(m),天候,風向,風速(m),波の高さ(cm),決まり手,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気,1着_着順,1着_艇番,1着_登録番号,1着_選手名,1着_モーター番号,1着_ボート番号,1着_展示タイム,1着_進入コース,1着_スタートタイミング,1着_レースタイム,2着_着順,2着_艇番,2着_登録番号,2着_選手名,2着_モーター番号,2着_ボート番号,2着_展示タイム,2着_進入コース,2着_スタートタイミング,2着_レースタイム,3着_着順,3着_艇番,3着_登録番号,3着_選手名,3着_モーター番号,3着_ボート番号,3着_展示タイム,3着_進入コース,3着_スタートタイミング,3着_レースタイム,4着_着順,4着_艇番,4着_登録番号,4着_選手名,4着_モーター番号,4着_ボート番号,4着_展示タイム,4着_進入コース,4着_スタートタイミング,4着_レースタイム,5着_着順,5着_艇番,5着_登録番号,5着_選手名,5着_モーター番号,5着_ボート番号,5着_展示タイム,5着_進入コース,5着_スタートタイミング,5着_レースタイム,6着_着順,6着_艇番,6着_登録番号,6着_選手名,6着_モーター番号,6着_ボート番号,6着_展示タイム,6着_進入コース,6着_スタートタイミング,6着_レースタイム
201911122201,福岡チャンピオンカップ開設６６周年記念競走,第4日,2019/11/12,福岡,01R,予選,1800,晴,北,1,2,差し,3,200,3,150,1,150,3-1,1180,6,1-3,460,3,1-3,240,3,3-5,720,11,1-5,850,13,3-1-5,6560,28,1-3-5,2030,10,1,3,3942,寺 田 祥,41,141,6.84,3,0.12,109.0,2,1,4218,吉 川 喜 継,50,126,6.85,1,0.12,109.8,3,5,4482,守 屋 美 穂,43,118,6.87,5,0.11,111.3,4,2,4504,前 田 将 太,66,145,6.8,2,0.11,112.5,5,4,3966,作 間 章,48,103,6.91,4,0.14,,6,6,3780,魚 谷 智 之,36,162,6.86,6,0.14,
201911122202,福岡チャンピオンカップ開設６６周年記念競走,第4日,2019/11/12,福岡,02R,予選,1800,晴,北東,1,2,逃げ,1,180,1,110,2,260,1-2,320,1,1-2,230,1,1-2,150,1,1-3,210,3,2-3,410,7,1-2-3,1410,4,1-2-3,510,2,1,1,4547,中 田 竜 太,61,163,6.85,1,0.17,108.5,2,2,4537,渡 邉 和 将,72,154,6.77,2,0.14,110.4,3,3,4084,杉 山 正 樹,39,147,6.85,3,0.13,111.9,4,5,4371,西 山 貴 浩,19,139,6.88,5,0.14,113.1,5,6,3813,佐 藤 大 介,58,132,6.88,6,0.13,,6,4,4427,秦 英 悟,20,140,6.86,4,0.11,
201911122203,福岡チャンピオンカップ開設６６周年記念競走,第4日,2019/11/12,福岡,03R,予選,1800,晴,北,1,2,差し,2,290,2,120,5,100,2-5,940,5,2-5,470,3,2-5,220,4,1-2,170,3,1-5,160,1,2-5-1,2350,8,1-2-5,290,1,1,2,4848,仲 谷 颯 仁,24,158,6.86,2,0.11,109.5,2,5,4296,岡 崎 恭 裕,25,146,6.79,3,0.1,111.4,3,1,4099,吉 永 則 雄,68,109,6.81,1,0.14,112.2,4,4,4150,山 田 雄 太,37,129,6.86,5,0.12,112.9,5,3,4025,山 本 隆 幸,33,115,6.9,4,0.11,,6,6,3837,秋 山 広 一,62,149,6.86,6,0.14,
201911122204,福岡チャンピオンカップ開設６６周年記念競走,第4日,2019/11/12,福岡,04R,予選,1800,晴,北,1,2,逃げ,1,160,1,130,3,120,1-3,480,2,1-3,350,1,1-3,150,1,1-2,200,4,2-3,210,5,1-3-2,1730,6,1-2-3,520,3,1,1,4571,菅 章 哉,22,134,6.79,1,0.14,108.5,2,3,4108,吉 村 正 明,11,165,6.92,3,0.14,110.7,3,2,4522,古 澤 光 紀,45,124,6.81,2,0.1,111.4,4,5,3304,烏 野 賢 太,38,130,6.83,5,0.16,112.7,5,4,4350,篠 崎 元 志,67,113,6.9,4,0.16,,6,6,4096,石 橋 道 友,59,105,6.89,6,0.19,
201911122205,福岡チャンピオンカップ開設６６周年記念競走,第4日,2019/11/12,福岡,05R,予選,1800,晴,北,1,2,逃げ,1,160,1,100,2,120,1-2,340,1,1-2,270,1,1-2,160,1,1-5,190,2,2-5,230,3,1-2-5,940,1,1-2-5,330,1,1,1,4364,池 永 太,65,121,6.83,1,0.12,109.3,2,2,4418,茅 原 悠 紀,60,104,6.83,2,0.22,109.9,3,5,4477,篠 崎 仁 志,15,142,6.85,5,0.24,111.7,4,3,4260,中 越 博 紀,26,127,6.85,3,0.25,112.8,5,4,3780,魚 谷 智 之,36,162,6.82,4,0.31,,6,6,3502,渡 邉 英 児,75,111,6.85,6,0.32,
201911122206,福岡チャンピオンカップ開設６６周年記念競走,第4日,2019/11/12,福岡,06R,予選,1800,晴,北東,1,2,まくり,3,900,3,300,6,750,3-6,11090,25,3-6,8860,15,3-6,540,10,1-3,160,1,1-6,290,5,3-6-1,51830,91,1-3-6,1270,8,1,3,4482,守 屋 美 穂,43,118,6.83,3,0.24,108.1,2,6,4831,羽 野 直 也,54,133,6.86,6,0.16,110.0,3,1,4070,中 村 亮 太,27,167,6.79,1,0.25,112.5,4,5,2992,今 村 豊,70,161,6.87,5,0.14,113.4,5,4,4686,丸 野 一 樹,32,114,6.86,4,0.19,,6,2,3557,太 田 和 美,30,153,6.9,2,0.3,
201911122207,福岡チャンピオンカップ開設６６周年記念競走,第4日,2019/11/12,福岡,07R,予選,1800,晴,北東,1,2,まくり,6,420,6,150,2,130,6-2,1850,10,2-6,770,4,2-6,260,6,1-6,150,1,1-2,210,4,6-2-1,5970,24,1-2-6,470,1,1,6,3388,今 垣 光太郎,34,123,6.76,5,0.15,107.3,2,2,3959,坪 井 康 晴,46,157,6.81,2,0.18,110.7,3,1,3966,作 間 章,48,103,6.85,1,0.17,112.0,4,4,4688,永 井 彪 也,16,125,6.88,4,0.15,112.6,5,5,4427,秦 英 悟,20,140,6.82,6,0.18,,6,3,4502,遠 藤 エ ミ,21,138,6.84,3,0.17,
201911122208,福岡チャンピオンカップ開設６６周年記念競走,第4日,2019/11/12,福岡,08R,予選,1800,晴,北,1,2,差し,4,240,4,190,1,150,4-1,1160,6,1-4,330,1,1-4,220,4,4-5,270,5,1-5,760,9,4-1-5,3740,12,1-4-5,930,5,1,4,3783,瓜 生 正 義,29,135,6.82,4,0.1,109.2,2,1,4269,杉 山 裕 也,69,164,6.8,1,0.07,110.3,3,5,4108,吉 村 正 明,11,165,6.9,5,0.15,111.4,4,2,4885,大 山 千 広,73,107,6.85,2,0.11,112.6,5,6,3826,村 田 修 次,57,137,6.87,6,0.22,,6,3,4415,下 出 卓 矢,64,152,6.8,3,0.11,
201911122209,福岡チャンピオンカップ開設６６周年記念競走,第4日,2019/11/12,福岡,09R,予選,1800,晴,北東,1,2,差し,3,420,3,170,1,160,3-1,1410,6,1-3,450,2,1-3,200,3,2-3,210,4,1-2,200,2,3-1-2,4450,17,1-2-3,450,2,1,3,4296,岡 崎 恭 裕,25,146,6.81,3,0.12,109.5,2,1,4357,田 中 和 也,55,112,6.83,1,0.09,110.8,3,2,4477,篠 崎 仁 志,15,142,6.86,2,0.19,111.6,4,5,4075,中 野 次 郎,49,156,6.86,5,0.16,112.5,5,4,4682,大 上 卓 人,56,166,6.81,4,0.18,,6,6,4444,桐 生 順 平,40,110,6.86,6,0.21,
201911122210,福岡チャンピオンカップ開設６６周年記念競走,第4日,2019/11/12,福岡,10R,予選,1800,晴,北,1,2,差し,3,390,3,200,4,380,3-4,2840,10,3-4,2550,8,3-4,550,9,3-5,540,8,4-5,570,10,3-4-5,11400,35,3-4-5,4540,13,1,3,3960,菊 地 孝 平,52,106,6.83,3,0.04,109.1,2,4,4371,西 山 貴 浩,19,139,6.89,4,0.05,110.4,3,5,4848,仲 谷 颯 仁,24,158,6.88,5,0.09,111.0,4,6,3679,飯 島 昌 弘,14,102,6.85,6,0.06,112.3,5,1,4168,石 野 貴 之,71,120,6.81,1,0.15,,6,2,4070,中 村 亮 太,27,167,6.8,2,0.05,
