date,stadium,race_round,title,race_code,tansho,fukusho,wakren,fuku2,santan,sanfuku,santan_yosoku,sanfuku_yosoku,rentan,renfuku,rentan_yosoku,renfuku_yosoku,wide,wide_yosoku,trio,trio_yosoku,tiomate,r1_number,r1_name,r1_weight,r1_result,r1_time,r1_difference,r2_number,r2_name,r2_weight,r2_result,r2_time,r2_difference,r3_number,r3_name,r3_weight,r3_result,r3_time,r3_difference,r4_number,r4_name,r4_weight,r4_result,r4_time,r4_difference,r5_number,r5_name,r5_weight,r5_result,r5_time,r5_difference,r6_number,r6_name,r6_weight,r6_result,r6_time,r6_difference
2025-12-29,大村,01R,シリーズ戦予                 H1800m  晴　  風  南西　 3m  波　  2cm,131,,,,,,,,,,,,,,,,,,1,津 田 裕 絵,52.0,1,,,5,関 野 文,38.0,2,,,6,藤 原 菜 希,51.0,3,,,2,湯 淺 紀 香,67.0,4,,,3,岩 崎 芳 美 57,20.0,5,,,4,山 田 理 央 16,35.0,6,,
2025-12-29,大村,02R,シリーズ戦予                 H1800m  晴　  風  南西　 3m  波　  2cm,132,,,,,,,,,,,,,,,,,,1,小 芦 るり華,13.0,1,,,2,小 池 礼 乃,33.0,2,,,3,山 下 夏 鈴,59.0,3,,,6,黒 澤 めぐみ,46.0,4,,,5,中 川 り な 31,36.0,5,,,4,刑 部 亜里紗 47,59.0,6,,
2025-12-29,大村,03R,シリーズ戦予                 H1800m  晴　  風  南西　 2m  波　  1cm,133,,,,,,,,,,,,,,,,,,2,三 浦 永 理,56.0,1,,,1,富 樫 麗 加,25.0,2,,,4,喜 井 つかさ,70.0,3,,,6,井 上 遥 妃,30.0,4,,,3,宇 野 弥 生 49,23.0,5,,,,,,,,
2025-12-29,大村,04R,シリーズ戦予                 H1800m  晴　  風  南　　 2m  波　  1cm,134,,,,,,,,,,,,,,,,,,4,大 瀧 明日香,15.0,1,,,1,山 口 真喜子,17.0,2,,,3,平 田 さやか,28.0,3,,,5,堀之内 紀代子,73.0,4,,,6,樋 口 由加里 39,12.0,5,,,2,武 井 莉里佳 27,69.0,6,,
2025-12-29,大村,05R,シリーズ戦予                 H1800m  晴　  風  南西　 2m  波　  1cm,135,,,,,,,,,,,,,,,,,,1,向 井 美 鈴,35.0,1,,,3,若 狭 奈美子,48.0,2,,,4,落 合 直 子,18.0,3,,,2,中 田 夕 貴,24.0,4,,,6,勝 浦 真 帆 36,53.0,5,,,5,今 井 裕 梨 12,19.0,6,,
2025-12-29,大村,06R,シリーズ戦予                 H1800m  晴　  風  南西　 1m  波　  1cm,136,,,,,,,,,,,,,,,,,,1,米 丸 乃 絵,26.0,1,,,3,深 川 麻奈美,69.0,2,,,4,藤 原 菜 希,51.0,3,,,2,松 尾 夏 海,45.0,4,,,6,西 村 歩 34,17.0,5,,,5,櫻 本 あゆみ 44,25.0,6,,
2025-12-29,大村,07R,シリーズ戦予                 H1800m  晴　  風  南東　 1m  波　  1cm,137,,,,,,,,,,,,,,,,,,1,清 水 沙 樹,50.0,1,,,3,角 ひとみ,53.0,2,,,5,三 浦 永 理,56.0,3,,,2,寺 島 美 里,72.0,4,,,6,湯 淺 紀 香 67,37.0,5,,,4,中 川 り な 31,36.0,6,,
2025-12-29,大村,08R,シリーズ戦予                 H1800m  晴　  風  南東　 1m  波　  1cm,138,,,,,,,,,,,,,,,,,,1,平 田 さやか,28.0,1,,,3,関 野 文,38.0,2,,,5,平 川 香 織,14.0,3,,,2,海 野 ゆかり,76.0,4,,,4,宇 野 弥 生 49,23.0,5,,,6,小 池 礼 乃 33,29.0,6,,
2025-12-29,大村,09R,シリーズ戦予                 H1800m  晴　  風  北西　 1m  波　  1cm,139,,,,,,,,,,,,,,,,,,1,細 川 裕 子,22.0,1,,,5,山 下 夏 鈴,59.0,2,,,4,若 狭 奈美子,48.0,3,,,3,前 田 紗 希,32.0,4,,,6,大 瀧 明日香 15,13.0,5,,,2,岩 崎 芳 美 57,20.0,6,,
2025-12-29,大村,10R,R       シリーズ戦予                 H1800m  晴　  風  南　　 1m  波　  1cm,1310,,,,,,,,,,,,,,,,,,1,松 尾 夏 海,45.0,1,,,4,小 芦 るり華,13.0,2,,,3,今 井 裕 梨,12.0,3,,,5,武 井 莉里佳,27.0,4,,,6,喜 井 つかさ 70,30.0,5,,,,,,,,
2025-12-29,大村,11R,R       トライアル　                 H1800m  晴　  風  北東　 1m  波　  1cm,1311,,,,,,,,,,,,,,,,,,1,川 野 芽 唯,74.0,1,,,2,渡 邉 優 美,29.0,2,,,4,遠 藤 エ ミ,11.0,3,,,6,平 高 奈 菜,23.0,4,,,5,西 橋 奈 未 65,61.0,5,,,3,浜 田 亜理沙 62,66.0,6,,
2025-12-29,大村,12R,R       トライアル　                 H1800m  晴　  風  北西　 1m  波　  1cm,1312,,,,,,,,,,,,,,,,,,2,高 憧 四 季,20.0,1,,,1,小 野 生 奈,21.0,2,,,6,平 山 智 加,58.0,3,,,4,鎌 倉 涼,43.0,4,,,5,實 森 美 祐 60,21.0,5,,,3,守 屋 美 穂 64,33.0,6,,
2025-12-29,大村,01R,朝１戦　　　                 H1800m  晴　  風  西　　 5m  波　  5cm,131,,,,,,,,,,,,,,,,,,1,常 住 蓮,4.0,1,,,2,牧 山 敦 也,40.0,2,,,3,尾 崎 雄 二,38.0,3,,,6,小 玉 啓 太,29.0,4,,,4,冨 成 謙 児,58.0,5,,,5,中 野 和 裕,41.0,6,,
2025-12-29,大村,02R,モー２ング戦                 H1800m  晴　  風  西　　 5m  波　  5cm,132,,,,,,,,,,,,,,,,,,1,森 永 淳,54.0,1,,,2,久 富 政 弘,59.0,2,,,3,藤 田 浩 人,33.0,3,,,4,竹 田 広 樹,20.0,4,,,6,川 辺 郭 人,55.0,5,,,5,小 柳 勝 希,14.0,6,,
2025-12-29,大村,04R,おは４戦　　                 H1800m  晴　  風  南西　 4m  波　  4cm,134,,,,,,,,,,,,,,,,,,2,定 松 勇 樹,57.0,1,,,4,酒 見 峻 介,35.0,2,,,3,松 江 秀 徳,51.0,3,,,5,赤 峰 和 也,9.0,4,,,1,岡 部 大 輔,43.0,5,,,6,日 高 龍之介,44.0,6,,
2025-12-29,大村,05R,レッツ５戦　                 H1800m  晴　  風  西　　 5m  波　  5cm,135,,,,,,,,,,,,,,,,,,1,富 永 夏哉人,27.0,1,,,2,宮 地 元 輝,32.0,2,,,3,古 賀 繁 輝,26.0,3,,,4,安河内 健,22.0,4,,,6,田 中 宏 典,37.0,5,,,5,松 尾 基 成,19.0,6,,
