レースコード,タイトル,日次,レース日,レース場,レース回,レース名,距離(m),天候,風向,風速(m),波の高さ(cm),決まり手,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気,1着_着順,1着_艇番,1着_登録番号,1着_選手名,1着_モーター番号,1着_ボート番号,1着_展示タイム,1着_進入コース,1着_スタートタイミング,1着_レースタイム,2着_着順,2着_艇番,2着_登録番号,2着_選手名,2着_モーター番号,2着_ボート番号,2着_展示タイム,2着_進入コース,2着_スタートタイミング,2着_レースタイム,3着_着順,3着_艇番,3着_登録番号,3着_選手名,3着_モーター番号,3着_ボート番号,3着_展示タイム,3着_進入コース,3着_スタートタイミング,3着_レースタイム,4着_着順,4着_艇番,4着_登録番号,4着_選手名,4着_モーター番号,4着_ボート番号,4着_展示タイム,4着_進入コース,4着_スタートタイミング,4着_レースタイム,5着_着順,5着_艇番,5着_登録番号,5着_選手名,5着_モーター番号,5着_ボート番号,5着_展示タイム,5着_進入コース,5着_スタートタイミング,5着_レースタイム,6着_着順,6着_艇番,6着_登録番号,6着_選手名,6着_モーター番号,6着_ボート番号,6着_展示タイム,6着_進入コース,6着_スタートタイミング,6着_レースタイム
202210022301,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,第4日,2022/10/02,唐津,01R,朝１戦一般,1800,晴,南,2,2,,1,110,1,100,2,100,1-2,170,1,1-2,150,1,1-2,130,1,1-6,370,8,2-6,590,10,1-2-6,1270,5,1-2-6,720,4,1,1,4960,黒 野 元 基,61,75,6.73,1,0.23,108.6,2,2,5014,梶 山 涼 斗,69,41,6.71,2,0.19,111.3,3,6,5105,富 田 恕 生,39,77,6.81,6,0.19,113.0,4,5,5096,上 原 崚,44,88,6.83,5,0.16,113.9,5,3,5169,堀 本 翔 太,70,86,6.71,3,0.33,115.4,6,4,5157,市 川 健 太,34,66,6.77,4,0.16,117.7
202210022302,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,第4日,2022/10/02,唐津,02R,３ライズ戦一,1800,晴,南,2,2,差し,2,210,2,100,6,350,2-6,2840,7,2-6,2190,5,2-6,330,4,2-3,250,3,3-6,790,9,2-6-3,12240,22,2-3-6,2130,5,1,2,4983,前 田 篤 哉,53,42,6.65,2,0.13,108.9,2,6,4946,船 越 健 吾,55,36,6.79,6,0.17,111.4,3,3,5101,表 健 太,54,43,6.69,3,0.15,112.4,4,1,4872,山 下 流 心,43,80,6.74,1,0.2,113.8,5,5,5143,常 盤 海 心,49,62,6.85,5,0.21,114.8,6,4,5124,上 瀧 絢 也,48,57,6.74,4,0.16,115.3
202210022304,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,第4日,2022/10/02,唐津,04R,おは４戦一般,1800,晴,南,1,1,差し,2,200,2,140,1,170,2-1,900,4,1-2,520,2,1-2,320,5,2-6,1180,11,1-6,1910,13,2-1-6,20120,47,1-2-6,7880,15,1,2,5015,高 橋 竜 矢,30,40,6.78,2,0.11,109.7,2,1,5083,柳 瀬 幹 太,40,32,6.74,1,0.21,110.8,3,6,5067,山 田 真 聖,51,73,6.76,6,0.21,112.6,4,5,5002,上 田 健 太,33,54,6.79,5,0.16,113.2,5,3,5027,重 冨 勇 哉,36,64,6.78,3,0.19,114.8,6,4,4989,石 原 翼,62,53,6.68,4,0.18,116.3
202210022305,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,第4日,2022/10/02,唐津,05R,一般,1800,晴,西,2,2,まくり,4,160,4,130,5,160,4-5,290,1,4-5,200,1,4-5,120,1,4-6,310,6,5-6,370,9,4-5-6,1320,3,4-5-6,720,4,1,4,4856,豊 田 健士郎,66,74,6.66,4,0.14,108.1,2,5,4907,小 池 修 平,56,76,6.75,5,0.16,111.0,3,6,5224,西 岡 顕 心,13,37,6.82,6,0.25,111.7,4,3,5106,山 崎 祥,12,31,6.79,3,0.31,114.0,5,1,5096,上 原 崚,44,88,6.76,1,0.22,114.9,6,2,5105,富 田 恕 生,39,77,6.8,2,0.27,117.5
202210022306,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,第4日,2022/10/02,唐津,06R,一般,1800,晴,南西,3,3,まくり,4,390,4,100,5,230,4-5,470,1,4-5,370,2,4-5,200,3,2-4,280,5,2-5,370,7,4-5-2,2370,7,2-4-5,830,4,1,4,4959,井 上 忠 政,35,34,6.68,4,0.06,109.8,2,5,4958,溝 口 海義也,58,49,6.81,5,0.08,111.2,3,2,4946,船 越 健 吾,55,36,6.71,2,0.2,113.6,4,1,5101,表 健 太,54,43,6.69,1,0.24,114.8,5,3,5014,梶 山 涼 斗,69,41,6.66,3,0.29,116.1,6,6,5157,市 川 健 太,34,66,6.8,6,0.03,119.8
202210022307,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,第4日,2022/10/02,唐津,07R,一般,1800,晴,南西,3,3,まくり,4,100,4,100,5,120,4-5,190,1,4-5,130,1,4-5,120,1,3-4,160,2,3-5,280,7,4-5-3,420,1,3-4-5,260,1,1,4,4932,新 開 航,31,82,6.72,2,0.18,109.6,2,5,5043,中 村 日 向,64,52,6.68,3,0.21,111.4,3,3,5025,粟 田 祥,50,58,6.76,4,0.31,112.0,4,2,5133,堀 越 雄 貴,57,68,6.72,5,0.31,114.5,5,1,5169,堀 本 翔 太,70,86,6.76,1,0.19,115.0,6,6,5222,津 田 陸 翔,46,78,6.71,6,0.25,116.7
202210022308,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,第4日,2022/10/02,唐津,08R,一般,1800,晴,南,2,2,逃げ,1,720,1,160,6,280,1-6,5280,23,1-6,4170,15,1-6,600,13,1-2,440,10,2-6,290,4,1-6-2,19330,77,1-2-6,2040,10,1,1,5124,上 瀧 絢 也,48,57,6.76,1,0.17,109.8,2,6,5217,藤 原 碧 生,63,65,6.74,6,0.15,110.8,3,2,5067,山 田 真 聖,51,73,6.72,3,0.15,112.7,4,4,5181,森 智 哉,47,95,6.82,4,0.23,114.1,5,5,5083,柳 瀬 幹 太,40,32,6.77,5,0.14,115.2,6,3,5143,常 盤 海 心,49,62,6.8,2,0.16,116.9
202210022309,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,第4日,2022/10/02,唐津,09R,準優進出戦,1800,晴,南,3,3,まくり,3,290,3,180,4,420,3-4,1910,6,3-4,1960,6,3-4,240,5,1-3,140,1,1-4,220,4,3-4-1,5530,16,1-3-4,440,2,1,3,4983,前 田 篤 哉,53,42,6.65,3,0.17,111.0,2,4,4931,木 谷 賢 太,68,81,6.71,4,0.27,113.1,3,1,4856,豊 田 健士郎,66,74,6.69,1,0.22,118.0,4,2,5002,上 田 健 太,33,54,6.64,2,0.31,120.4,5,6,4966,田 川 大 貴,32,51,6.76,6,0.09,122.9,,,,,,,,,,
202210022310,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,第4日,2022/10/02,唐津,10R,準優進出戦,1800,晴,南,3,3,逃げ,1,150,1,100,2,120,1-2,240,1,1-2,270,2,1-2,150,2,1-4,130,1,2-4,300,7,1-2-4,840,3,1-2-4,640,2,1,1,4959,井 上 忠 政,35,34,6.71,1,0.1,109.2,2,2,4907,小 池 修 平,56,76,6.74,2,0.12,110.6,3,4,4933,板 橋 侑 我,42,61,6.81,4,0.18,111.9,4,3,4886,入 海 馨,14,79,6.74,3,0.09,113.0,5,5,4981,牧 山 敦 也,60,44,6.82,5,0.21,113.5,6,6,4967,中 村 魁 生,59,33,6.81,6,0.19,114.5
202210022311,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,第4日,2022/10/02,唐津,11R,準優進出戦,1800,晴,北,5,5,逃げ,1,100,1,100,2,150,1-2,260,2,1-2,220,1,1-2,130,1,1-3,130,2,2-3,240,5,1-2-3,470,1,1-2-3,220,1,1,1,4932,新 開 航,31,82,6.82,1,0.06,109.3,2,2,5043,中 村 日 向,64,52,6.79,2,0.08,110.9,3,3,5015,高 橋 竜 矢,30,40,6.85,3,0.05,112.1,4,5,4960,黒 野 元 基,61,75,6.84,5,0.2,113.9,5,6,5036,福 田 翔 吾,38,60,6.83,6,0.24,115.7,6,4,5032,谷 口 知 優,29,83,6.83,4,0.23,117.9
202210022312,ルーキーシリーズ第１６戦　スカパー！・ＪＬＣ杯,第4日,2022/10/02,唐津,12R,準優進出戦,1800,晴,北,3,3,逃げ,1,110,1,120,4,160,1-4,340,2,1-4,280,2,1-4,140,2,1-2,140,1,2-4,260,5,1-4-2,740,2,1-2-4,280,1,1,1,4989,石 原 翼,62,53,6.8,1,0.05,109.0,2,4,5084,末 永 和 也,45,69,6.9,4,0.02,110.1,3,2,4958,溝 口 海義也,58,49,6.84,2,0.09,112.4,4,5,4872,山 下 流 心,43,80,6.85,5,0.01,113.3,5,6,4962,畑 竜 生,41,55,6.87,6,0.01,114.8,6,3,5115,香 川 颯 太,37,63,6.83,3,0.09,116.5
202210021901,ミッドナイトレース第４戦トランスワードトロフィー,第2日,2022/10/02,下関,01R,予選,1800,晴,東,3,3,差し,2,330,2,220,6,110,2-6,1110,6,2-6,720,6,2-6,310,5,2-4,840,7,4-6,880,9,2-6-4,10230,38,2-4-6,2110,10,1,2,3781,秋 元 誠,31,40,6.82,2,0.02,110.3,2,6,5016,宮 田 龍 馬,43,56,6.76,6,0.11,111.5,3,4,3424,松 浦 努,45,41,6.81,4,0.21,112.7,4,3,4951,新 田 洋 一,12,73,6.87,3,0.08,114.3,5,5,3615,横 田 茂,33,34,6.76,5,0.14,,,,,,,,,,,
202210021902,ミッドナイトレース第４戦トランスワードトロフィー,第2日,2022/10/02,下関,02R,予選,1800,晴,北東,2,2,差し,4,420,4,100,1,160,4-1,1250,6,1-4,480,3,1-4,170,3,3-4,130,2,1-3,110,1,4-1-3,3580,15,1-3-4,320,1,1,4,4513,河 野 真 也,55,36,6.85,4,0.09,110.3,2,1,3668,市 川 猛,20,45,6.8,1,0.09,112.1,3,3,5160,藤 森 陸 斗,25,22,6.73,3,0.12,113.1,4,2,3051,山 口 俊 英,54,29,6.83,2,0.12,113.7,5,6,4855,江 頭 賢 太,68,17,6.82,5,0.12,,6,5,5236,小 宮 涼 雅,67,51,6.79,6,0.23,
202210021903,ミッドナイトレース第４戦トランスワードトロフィー,第2日,2022/10/02,下関,03R,予選,1800,晴,北東,3,3,まくり,3,780,3,670,5,120,3-5,2360,14,3-5,1840,11,3-5,690,13,2-3,510,7,2-5,300,3,3-5-2,8350,36,2-3-5,2150,11,1,3,4876,梅 木 敬 太,24,72,6.77,4,0.19,110.5,2,5,4877,鈴 谷 一 平,60,35,6.74,6,0.16,111.3,3,2,3873,別 府 昌 樹,49,63,6.88,2,0.14,112.4,4,4,5064,品 川 二千翔,42,44,6.81,5,0.13,112.5,5,1,5022,伊 藤 尚 汰,73,68,6.75,1,0.13,,6,6,3919,村 上 純,72,59,6.83,3,0.21,
202210021904,ミッドナイトレース第４戦トランスワードトロフィー,第2日,2022/10/02,下関,04R,予選,1800,晴,北東,3,3,逃げ,1,340,1,130,4,100,1-4,1340,7,1-4,990,6,1-4,370,5,1-3,610,8,3-4,280,4,1-4-3,3810,17,1-3-4,690,4,1,1,3459,中 野 和 裕,15,13,6.77,1,0.09,109.5,2,4,4361,柳 生 泰 二,38,60,6.79,4,0.15,111.0,3,3,3920,正 木 聖 賢,26,64,6.8,3,0.11,112.2,4,2,3837,秋 山 広 一,41,48,6.84,2,0.11,112.9,5,6,3875,廣 中 良 一,29,23,6.8,6,0.23,,6,5,4259,真 庭 明 志,48,30,6.82,5,0.19,
202210021905,ミッドナイトレース第４戦トランスワードトロフィー,第2日,2022/10/02,下関,05R,シーモ戦,1800,晴,北,2,2,差し,3,300,3,100,1,100,3-1,650,3,1-3,190,1,1-3,140,1,3-4,300,6,1-4,340,7,3-1-4,3340,13,1-3-4,650,3,1,3,4236,松 村 敏,46,69,6.74,3,0.09,107.5,2,1,4264,長 尾 章 平,65,61,6.82,1,0.09,109.8,3,4,4978,山 田 和 佐,22,43,6.81,4,0.11,112.1,4,6,3717,立 間 充 宏,69,33,6.85,6,0.17,112.1,5,2,4587,木 田 峰由季,57,55,6.77,2,0.11,,6,5,3925,大 田 誠,18,32,6.76,5,0.18,
202210021906,ミッドナイトレース第４戦トランスワードトロフィー,第2日,2022/10/02,下関,06R,予選,1800,晴,北東,2,2,差し,6,270,6,120,2,170,6-2,770,4,2-6,420,2,2-6,180,3,4-6,140,1,2-4,320,6,6-2-4,1620,7,2-4-6,470,3,1,6,4320,峰 竜 太,50,20,6.76,4,0.19,109.5,2,2,4395,下 河 雅 史,70,49,6.83,2,0.25,110.7,3,4,4713,白 神 優,34,11,6.79,5,0.25,111.8,4,5,5012,加 倉 侑 征,35,24,6.86,6,0.15,112.7,5,1,3781,秋 元 誠,31,40,6.79,1,0.29,,6,3,3559,水 長 照 雄,52,31,6.79,3,0.27,
202210021907,ミッドナイトレース第４戦トランスワードトロフィー,第2日,2022/10/02,下関,07R,ふく〜る特賞,1800,晴,北,3,3,差し,4,700,4,260,2,120,4-2,4870,17,2-4,1170,6,2-4,230,5,1-4,210,4,1-2,250,6,4-2-1,15650,47,1-2-4,920,6,1,4,5016,宮 田 龍 馬,43,56,6.81,4,0.19,108.9,2,2,4876,梅 木 敬 太,24,72,6.77,2,0.23,110.9,3,1,3661,柳 瀬 興 志,64,54,6.76,1,0.22,111.9,4,5,4075,中 野 次 郎,23,27,6.77,5,0.17,113.9,5,3,3578,塩 田 雄 一,36,16,6.84,3,0.24,,6,6,5236,小 宮 涼 雅,67,51,6.82,6,0.45,
202210021908,ミッドナイトレース第４戦トランスワードトロフィー,第2日,2022/10/02,下関,08R,予選  進入固定,1800,晴,北,2,2,逃げ,1,150,1,120,3,270,1-3,420,2,1-3,310,1,1-3,150,2,1-4,130,1,3-4,200,4,1-3-4,640,1,1-3-4,320,1,1,1,4857,加 藤 翔 馬,53,67,6.83,1,0.18,109.8,2,3,3615,横 田 茂,33,34,6.79,3,0.1,111.4,3,4,4086,寺 本 重 宣,30,65,6.81,4,0.15,111.8,4,2,3617,竹 田 広 樹,19,28,6.76,2,0.17,114.5,5,6,5009,大 賀 龍之介,59,19,6.78,6,0.08,,6,5,4695,尾 崎 雄 二,61,15,6.81,5,0.13,
202210021909,ミッドナイトレース第４戦トランスワードトロフィー,第2日,2022/10/02,下関,09R,予選,1800,晴,北,2,2,差し,6,310,6,100,1,100,6-1,280,1,1-6,160,1,1-6,110,1,3-6,160,2,1-3,190,3,6-1-3,690,2,1-3-6,270,1,1,6,3573,前 本 泰 和,17,21,6.79,2,0.12,108.7,2,1,4210,松 村 康 太,21,37,6.81,1,0.13,111.7,3,3,3855,大 熊 辰 弥,39,42,6.83,4,0.16,112.4,4,4,3571,寺 本 武 司,51,46,6.84,5,0.14,113.9,5,5,3051,山 口 俊 英,54,29,6.9,6,0.09,,6,2,3925,大 田 誠,18,32,6.74,3,0.14,
202210021910,ミッドナイトレース第４戦トランスワードトロフィー,第2日,2022/10/02,下関,10R,予選特賞,1800,晴,北,3,3,差し,2,140,2,100,1,110,2-1,240,1,1-2,150,1,1-2,120,1,2-5,150,3,1-5,210,5,2-1-5,550,1,1-2-5,250,2,1,2,4320,峰 竜 太,50,20,6.72,2,0.11,108.3,2,1,3837,秋 山 広 一,41,48,6.85,1,0.05,110.2,3,5,4264,長 尾 章 平,65,61,6.8,5,0.08,111.6,4,3,4877,鈴 谷 一 平,60,35,6.81,3,0.09,113.1,5,6,4951,新 田 洋 一,12,73,6.89,6,0.06,,6,4,4855,江 頭 賢 太,68,17,6.84,4,0.15,
202210021911,ミッドナイトレース第４戦トランスワードトロフィー,第2日,2022/10/02,下関,11R,予選特選,1800,晴,北,2,2,逃げ,1,100,1,110,2,110,1-2,240,1,1-2,180,1,1-2,100,1,1-3,120,2,2-3,150,3,1-2-3,460,1,1-2-3,260,1,1,1,4075,中 野 次 郎,23,27,6.77,1,0.13,109.8,2,2,3919,村 上 純,72,59,6.86,2,0.24,110.6,3,3,4587,木 田 峰由季,57,55,6.83,3,0.13,112.2,4,4,4251,川 崎 誠 志,66,12,6.86,4,0.23,113.9,5,6,4395,下 河 雅 史,70,49,6.9,6,0.17,,,,,,,,,,,
202210021912,ミッドナイトレース第４戦トランスワードトロフィー,第2日,2022/10/02,下関,12R,シーボー特選,1800,晴,北,2,2,逃げ,1,130,1,100,2,130,1-2,230,1,1-2,150,1,1-2,130,1,1-4,300,6,2-4,700,10,1-2-4,1220,4,1-2-4,770,4,1,1,4361,柳 生 泰 二,38,60,6.88,1,0.16,108.9,2,2,4857,加 藤 翔 馬,53,67,6.89,2,0.23,110.1,3,4,3578,塩 田 雄 一,36,16,6.82,4,0.22,112.5,4,6,3873,別 府 昌 樹,49,63,6.93,6,0.22,113.3,5,3,4713,白 神 優,34,11,6.83,3,0.18,,6,5,4513,河 野 真 也,55,36,6.84,5,0.24,
