レースコード,レース日,レース場,レース回,締切時刻,取得日時,結果記録時刻,決まり手,1着_艇番,1着_選手名,1着_レースタイム,2着_艇番,2着_選手名,2着_レースタイム,3着_艇番,3着_選手名,3着_レースタイム,4着_艇番,4着_選手名,4着_レースタイム,5着_艇番,5着_選手名,5着_レースタイム,6着_艇番,6着_選手名,6着_レースタイム,1コース_艇番,1コース_スタートタイミング,1コース_F,2コース_艇番,2コース_スタートタイミング,2コース_F,3コース_艇番,3コース_スタートタイミング,3コース_F,4コース_艇番,4コース_スタートタイミング,4コース_F,5コース_艇番,5コース_スタートタイミング,5コース_F,6コース_艇番,6コース_スタートタイミング,6コース_F,天候,風向,風速(m),波の高さ(cm),気温(℃),水温(℃)
202605181001,2026-05-18,10,01R,08:32,2026-05-18T08:48:20.203606+09:00,0835,まくり,4,永田　　義紘,"1'49""9",2,櫻井　　　優,"1'51""4",6,表　　　憲一,"1'52""2",3,久田　　　武,"1'52""9",5,柳瀬　　幹太,,1,水摩　　　敦,,1,0.19,,2,0.15,,3,0.26,,4,0.19,,5,0.22,,6,0.19,,1,4,4.0,4.0,21.0,22.0
202605181401,2026-05-18,14,01R,08:39,2026-05-18T08:56:25.736205+09:00,0843,逃　げ,1,三浦　　敬太,"1'47""3",3,鈴木　　賢一,"1'50""2",6,國崎　　良春,"1'50""9",5,佐口　　達也,"1'52""2",2,橋本　　久和,,4,宇田川　信一,,1,0.12,,2,0.21,,3,0.21,,4,0.21,,5,0.17,,6,0.17,,1,5,1.0,1.0,23.0,19.0
202605181801,2026-05-18,18,01R,08:46,2026-05-18T09:06:34.422530+09:00,0849,逃　げ,1,片岡　　恵里,"1'51""2",3,古賀　　千晶,"1'53""5",2,福島　　陽子,"1'54""6",4,犬童　　千秋,"1'56""1",6,出穂　　和鼓,,5,稲生　　夏季,,1,0.13,,2,0.16,,3,0.13,,4,0.2,,5,0.21,,6,0.17,,1,6,1.0,1.0,24.0,21.0
202605181002,2026-05-18,10,02R,08:58,2026-05-18T09:14:28.901909+09:00,0901,まくり,2,川上　　聡介,"1'49""9",1,鶴本　　崇文,"1'52""0",3,大森　　　翼,"1'52""6",4,平瀬　　城啓,"1'53""8",6,小林　　遼太,,5,山本　　浩輔,,1,0.37,,3,0.32,,4,0.23,,5,0.25,,6,0.25,,2,0.17,,1,4,5.0,5.0,22.0,22.0
202605181402,2026-05-18,14,02R,09:05,2026-05-18T09:22:28.328046+09:00,0909,差　し,2,稗田　　聖也,"1'47""1",3,広次　　　修,"1'49""4",4,荒牧　　凪沙,"1'49""7",6,田路　　朋史,"1'51""6",5,大場　　　敏,,1,伊藤　　雄二,,1,0.11,,2,0.05,,3,0.1,,5,0.07,,4,0.11,,6,0.15,,1,5,1.0,1.0,24.0,19.0
202605181802,2026-05-18,18,02R,09:12,2026-05-18T09:32:25.770964+09:00,0915,逃　げ,1,浜田　亜理沙,"1'51""2",3,寺田　　空詩,"1'52""4",2,加藤　　奈月,"1'54""7",5,海野　ゆかり,"1'56""8",4,西舘　　果里,,6,福山　恵里奈,,1,0.19,,2,0.22,,3,0.21,,4,0.41,,5,0.34,,6,0.39,,1,6,1.0,1.0,24.0,21.0
202605181003,2026-05-18,10,03R,09:24,2026-05-18T09:41:25.150705+09:00,0927,まくり,3,倉持　　莉々,"1'50""4",1,津田　　裕絵,"1'51""7",4,小野　　　桜,"1'53""0",6,中曽　　瑠華,"1'55""3",5,菅野　はやか,,2,石井　　裕美,,1,0.24,,2,0.28,,3,0.14,,4,0.18,,5,0.19,,6,0.11,,1,4,4.0,4.0,24.0,22.0
202605181403,2026-05-18,14,03R,09:31,2026-05-18T09:48:37.114773+09:00,0935,逃　げ,1,吉田　　俊彦,"1'46""9",3,森口　　和紀,"1'49""9",6,佐野　　優都,"1'51""3",4,竹之内　　極,"1'52""0",2,田村　　　慶,,5,上田　　健太,,1,0.16,,2,0.16,,3,0.13,,4,0.16,,5,0.18,,6,0.16,,1,3,2.0,2.0,23.0,19.0
202605181803,2026-05-18,18,03R,09:38,2026-05-18T09:58:21.235317+09:00,0941,逃　げ,1,三浦　　永理,"1'50""8",2,坂野　さくら,"1'53""1",4,永井　　聖美,"1'54""7",5,大橋　栄里佳,"1'55""6",3,池　　　千夏,,6,寺田　　夢生,,1,0.15,,2,0.2,,3,0.19,,4,0.23,,5,0.17,,6,0.26,,1,6,2.0,2.0,24.0,21.0
202605181004,2026-05-18,10,04R,09:50,2026-05-18T10:06:24.158693+09:00,0954,まくり,4,山下　　大輝,"1'50""0",5,宮崎　　　奨,"1'51""4",2,川崎　　誠志,"1'52""7",1,柴田　　朋哉,"1'53""3",3,田中　　孝明,,6,谷川　　将太,,1,0.16,,2,0.26,,3,0.24,,4,0.23,,5,0.29,,6,0.24,,1,4,4.0,4.0,25.0,22.0
202605181404,2026-05-18,14,04R,09:57,2026-05-18T10:12:40.550186+09:00,1001,逃　げ,1,渡部　　　悟,"1'48""9",2,飯島　　　誠,"1'50""2",6,木村　　亮太,"1'51""1",3,吉田　凌太朗,"1'52""0",5,興津　　　藍,,4,宮内　由紀英,,1,0.13,,2,0.21,,3,0.15,,4,0.18,,5,0.13,,6,0.14,,1,3,2.0,2.0,24.0,19.0
202605181804,2026-05-18,18,04R,10:04,2026-05-18T10:28:22.726349+09:00,1007,逃　げ,1,竹井　　奈美,"1'51""0",2,宇野　　弥生,"1'52""6",4,野田　　彩加,"1'54""3",6,白石　　有美,"1'57""1",3,田中　瀬里奈,,5,金田　　幸子,,1,0.25,,2,0.25,,3,0.21,,4,0.2,,5,0.24,,6,0.29,,1,5,3.0,3.0,24.0,21.0
202605181005,2026-05-18,10,05R,10:16,2026-05-18T10:32:24.690505+09:00,1019,逃　げ,1,原　　　豊土,"1'49""4",4,久田　　　武,"1'51""3",6,浅見　　昌克,"1'53""2",3,上野　　秀和,"1'53""7",2,石田　　政吾,,5,山崎　　裕司,,1,0.1,,2,0.11,,3,0.15,,4,0.11,,5,0.19,,6,0.16,,1,4,3.0,3.0,27.0,22.0
202605181405,2026-05-18,14,05R,10:23,2026-05-18T10:40:25.982559+09:00,1027,差　し,2,秋元　　　哲,"1'47""6",5,金子　　　萌,"1'49""4",4,角谷　　健吾,"1'51""4",6,宇田川　信一,"1'51""6",1,菊池　　宏志,,3,石川　　　諒,,1,0.23,,2,0.18,,3,0.21,,4,0.16,,5,0.13,,6,0.24,,1,3,2.0,2.0,24.0,19.0
202605181805,2026-05-18,18,05R,10:30,2026-05-18T10:52:29.773275+09:00,1033,逃　げ,1,佐々木　裕美,"1'51""6",3,鈴木　　成美,"1'53""3",4,山川　美由紀,"1'54""8",5,登　　みひ果,"1'55""4",2,清埜　　翔子,,6,三松　　直美,,1,0.11,,2,0.18,,3,0.09,,4,0.08,,5,0.05,,6,0.12,,1,5,2.0,2.0,23.0,21.0
202605182101,2026-05-18,21,01R,10:40,2026-05-18T10:56:22.935219+09:00,1043,逃　げ,1,入海　　　馨,"1'46""9",2,上條　　暢嵩,"1'47""8",3,森高　　一真,"1'49""1",6,石野　　貴之,"1'50""8",4,新田　　雄史,"1'51""7",5,吉川　　元浩,"1'53""6",1,0.13,,2,0.19,,3,0.18,,4,0.16,,5,0.14,,6,0.18,,1,3,1.0,1.0,29.0,25.6
202605181006,2026-05-18,10,06R,10:44,2026-05-18T11:01:04.222020+09:00,1047,まくり差し,5,松下　　一也,"1'50""4",3,永田　　義紘,"1'51""7",2,寺島　　吉彦,"1'53""0",6,鶴本　　崇文,"1'54""1",1,後藤　　隼之,,4,山地　　正樹,,1,0.09,,4,0.19,,2,0.19,,3,0.13,,5,0.12,,6,0.17,,1,5,5.0,5.0,28.0,23.0
202605180201,2026-05-18,02,01R,10:47,2026-05-18T11:06:26.801666+09:00,1050,逃　げ,1,小森　　信雄,"1'49""8",3,安藤　　裕貴,"1'51""4",5,竹内　　　来,"1'53""2",4,大塚　　康雅,"1'54""1",6,柴田　　直哉,,2,本部　めぐみ,,1,0.19,,2,0.2,,3,0.21,,4,0.2,,6,0.24,,5,0.18,,1,4,1.0,1.0,26.0,24.0
202605181406,2026-05-18,14,06R,10:52,2026-05-18T11:10:27.839083+09:00,1056,まくり,4,横澤　　剛治,"1'48""5",1,竹腰　　正樹,"1'50""9",2,佐口　　達也,"1'51""8",6,倉尾　　大介,"1'52""8",3,志道　　吉和,,5,広次　　　修,,1,0.12,,2,0.14,,3,0.17,,4,0.08,,5,0.12,,6,0.14,,1,3,2.0,2.0,24.0,19.0
202605181701,2026-05-18,17,01R,10:57,2026-05-18T11:14:26.662949+09:00,1100,差　し,2,新田　　洋一,"1'50""2",1,藤本　　佳史,"1'51""5",5,小林　　甘寧,"1'52""9",4,石原　　　光,"1'54""2",6,津留　浩一郎,"1'54""8",3,廣中　　良一,"1'56""4",1,0.09,,2,0.11,,3,0.13,,4,0.19,,5,0.1,,6,0.14,,1,2,2.0,2.0,21.0,19.0
202605181806,2026-05-18,18,06R,10:59,2026-05-18T11:22:25.164243+09:00,1102,逃　げ,1,犬童　　千秋,"1'52""7",2,喜多須　杏奈,"1'54""0",6,堀之内紀代子,"1'54""6",4,加藤　　奈月,"1'55""4",3,武井　莉里佳,,5,植木　　美帆,,1,0.16,,2,0.11,,3,0.19,,4,0.11,,5,0.21,,6,0.21,,1,6,2.0,2.0,25.0,21.0
202605182102,2026-05-18,21,02R,11:09,2026-05-18T11:24:27.898323+09:00,1112,逃　げ,1,金子　　賢志,"1'46""9",5,守田　　俊介,"1'47""8",3,関　　　浩哉,"1'49""0",6,菊地　　孝平,"1'50""5",2,末永　　和也,"1'51""0",4,今垣　光太郎,"1'54""2",1,0.08,,2,0.09,,3,0.06,,4,0.11,,5,0.06,,6,0.08,,1,3,1.0,1.0,29.7,26.0
202605181007,2026-05-18,10,07R,11:13,2026-05-18T11:31:04.123079+09:00,1116,まくり,2,山本　　浩輔,"1'51""4",4,石井　　裕美,"1'52""2",5,向所　　浩二,"1'53""6",6,今村　天次朗,"1'54""1",1,表　　　憲一,,3,平瀬　　城啓,,1,0.16,,2,0.11,,3,0.17,,4,0.31,,5,0.33,,6,0.23,,1,4,5.0,5.0,29.0,23.0
202605180202,2026-05-18,02,02R,11:16,2026-05-18T11:32:20.912679+09:00,1119,逃　げ,1,荒井　　輝年,"1'49""3",3,蜂須　　瑞生,"1'50""1",2,北中　　元樹,"1'51""5",5,中村　　　尊,"1'53""0",4,芦澤　　　望,,6,山崎　　善庸,,1,0.12,,2,0.15,,3,0.17,,4,0.27,,5,0.26,,6,0.34,,1,4,1.0,1.0,26.0,24.0
202605181407,2026-05-18,14,07R,11:21,2026-05-18T11:38:26.370036+09:00,1125,抜　き,1,竹之内　　極,"1'47""7",2,大場　　　敏,"1'48""9",3,浦田　　晃嗣,"1'51""3",4,栗原　　直也,"1'52""1",5,宮地　　秀祈,,6,鈴木　　賢一,,1,0.18,,2,0.14,,3,0.18,,4,0.26,,5,0.24,,6,0.23,,1,3,2.0,2.0,24.0,19.0
202605181702,2026-05-18,17,02R,11:24,2026-05-18T11:40:32.019553+09:00,1127,差　し,2,中島　　友和,"1'49""9",3,大原　　祥昌,"1'50""3",4,岩川　　仁士,"1'51""8",6,中島　　真二,"1'53""6",5,井芹　　大志,"1'53""8",1,古川　　　健,"1'55""5",1,0.05,,2,0.06,,3,0.08,,4,0.11,,5,0.17,,6,0.18,,1,2,2.0,3.0,22.0,20.0
202605180601,2026-05-18,06,01R,11:34,2026-05-18T11:50:29.982238+09:00,1138,逃　げ,1,渥美　　卓郎,"1'50""2",3,片岡　　大地,"1'50""8",5,東口　　　晃,"1'52""0",2,喜多　那由夏,"1'53""0",4,安達　　美帆,,6,太田　　　潮,,1,0.17,,2,0.19,,3,0.17,,4,0.15,,5,0.18,,6,0.19,,1,5,4.0,2.0,24.0,23.0
