stadium,n_samples,mu_waku,sigma_waku,mu_racer,sigma_racer,mu_motor,sigma_motor,mu_exhibit,sigma_exhibit,mu_weather,sigma_weather,w_waku,w_racer,w_motor,w_exhibit,w_weather,mu_y,sigma_y,mse,r2,fallback
桐生,6841,5.061643,1.401365,53.519995,4.865733,4.929778,1.621751,50.015329,10.012254,0.000448,0.110709,0.355026,0.219314,0.296165,0.059251,0.070244,3.537202,1.694846,0.779732,0.220268,0
戸田,5601,5.047145,1.267958,53.796335,4.913525,0.0,1.0,49.993326,10.007492,-0.000152,0.09569,0.328698,0.186311,0.33821,0.117894,0.028888,3.536868,1.694411,0.814259,0.185741,0
江戸川,4956,5.10305,1.376191,53.002934,4.03573,5.17567,1.589376,49.990325,10.013077,-0.000686,0.160006,0.389933,0.252026,0.212063,0.099707,0.046271,3.557304,1.688441,0.762585,0.237415,0
平和島,3897,5.06464,1.294866,53.034777,4.153121,5.172822,1.551002,49.986122,9.979231,0.000622,0.291664,0.32264,0.288938,0.274772,0.111334,0.002317,3.538619,1.695625,0.774839,0.225161,0
多摩川,5327,5.042782,1.451976,53.365405,4.251988,5.856719,1.05743,50.011432,10.008971,0.000329,0.191453,0.360565,0.210971,0.229074,0.172311,0.027079,3.545335,1.693127,0.746062,0.253938,0
浜名湖,5520,5.049508,1.567004,53.659568,4.741048,4.07715,1.658359,49.972455,10.005723,-0.000949,0.219506,0.429823,0.200142,0.171953,0.135161,0.062921,3.537862,1.694732,0.748279,0.251721,0
蒲郡,6507,5.052292,1.649363,53.338227,4.831542,5.398972,1.865537,49.990427,10.002113,-0.000261,0.120607,0.409091,0.252659,0.160087,0.144654,0.03351,3.541571,1.6934,0.707506,0.292494,0
常滑,5558,5.046197,1.593139,54.225251,5.224968,4.849035,1.806054,49.993205,9.993954,0.000206,0.179774,0.404197,0.21311,0.175954,0.16841,0.038329,3.533645,1.697065,0.740433,0.259567,0
津,4268,5.047069,1.671294,54.043392,5.46834,4.625954,1.772938,50.03888,10.016033,5.8e-05,0.127776,0.445186,0.202283,0.154934,0.149042,0.048555,3.534208,1.695687,0.738654,0.261346,0
三国,4850,5.04093,1.526182,52.691869,3.535036,0.0,1.0,49.987847,9.992588,-0.000374,0.110165,0.393366,0.275979,0.167594,0.121168,0.041893,3.531546,1.696186,0.711523,0.288477,0
びわこ,4088,5.050517,1.431371,53.146415,3.911816,0.0,1.0,49.992426,10.007694,-4.1e-05,0.125045,0.357908,0.235656,0.263233,0.106483,0.03672,3.536448,1.695119,0.767496,0.232504,0
住之江,5464,5.045485,1.687745,55.532452,6.717601,5.008874,1.705157,50.011188,10.01054,-0.000265,0.233398,0.432002,0.126925,0.250487,0.168529,0.022058,3.539898,1.695275,0.744235,0.255765,0
尼崎,2338,5.042954,1.64719,54.374158,5.559678,4.833243,1.894967,49.988109,9.987243,-0.0002,0.195039,0.44007,0.176917,0.170933,0.191679,0.0204,3.537639,1.695007,0.713188,0.286812,0
鳴門,3018,5.06404,1.34094,53.875319,4.306977,4.997763,1.765505,49.974623,9.990599,0.000324,0.1658,0.313002,0.221145,0.281704,0.139581,0.044568,3.556329,1.687372,0.798858,0.201142,0
丸亀,4533,5.05742,1.569842,54.094769,5.076722,4.913415,1.484114,49.979462,10.013854,0.000493,0.15633,0.427968,0.189136,0.196372,0.128261,0.058263,3.537613,1.694962,0.752145,0.247855,0
児島,3971,5.041931,1.573543,53.523425,4.679517,5.006667,1.521038,49.99172,9.997206,-0.000159,0.161942,0.450832,0.216569,0.170858,0.104156,0.057584,3.533871,1.697183,0.736989,0.263011,0
宮島,3479,5.063109,1.598427,53.615495,4.924527,5.168155,1.371069,50.025443,10.011377,-0.000525,0.134467,0.454813,0.196214,0.17011,0.098159,0.080704,3.544122,1.692771,0.726606,0.273394,0
徳山,4485,5.039624,1.775609,53.831752,4.956789,4.901301,1.637423,50.005503,10.001323,-6.3e-05,0.155494,0.466863,0.196235,0.122874,0.159512,0.054516,3.527982,1.696987,0.691652,0.308348,0
下関,3453,5.042164,1.741497,54.169025,5.238619,5.174143,2.02834,49.989332,10.011332,0.000195,0.140265,0.451229,0.172589,0.239519,0.105907,0.030757,3.529684,1.698214,0.734407,0.265593,0
若松,3920,5.054609,1.655189,53.900913,5.099258,5.332013,1.670545,49.982431,10.013676,-0.000183,0.159552,0.441317,0.220074,0.131701,0.147455,0.059453,3.535204,1.695067,0.694635,0.305365,0
芦屋,2220,5.055619,1.661237,53.720403,4.482975,5.140674,1.589454,49.996449,10.015787,-0.001676,0.213735,0.468089,0.19179,0.137586,0.142197,0.060338,3.555856,1.69127,0.696755,0.303245,0
福岡,2307,5.05743,1.750395,54.080754,5.609448,4.3225,1.978806,49.983777,10.009028,0.000528,0.127761,0.490146,0.145821,0.153615,0.177947,0.032471,3.53316,1.696297,0.655692,0.344308,0
唐津,3830,5.050222,1.659748,54.187915,5.191752,5.318906,1.587353,50.003981,10.007752,-0.000538,0.148534,0.454493,0.239894,0.118713,0.13558,0.05132,3.527415,1.698611,0.696858,0.303142,0
大村,5520,5.047914,1.785062,53.587296,4.772504,5.128762,1.758911,50.01753,9.997525,3.5e-05,0.134477,0.499217,0.190378,0.100101,0.148687,0.061618,3.537319,1.694851,0.668826,0.331174,0
