場コード,季節,1コース勝率,2コース勝率,3コース勝率,4コース勝率,5コース勝率,6コース勝率
01,春,7.702,5.216,5.196,4.72,4.48,2.96
01,夏,7.434,4.87,5.174,5.08,4.62,3.042
01,秋,7.53,5.356,5.388,4.678,4.324,2.954
01,冬,7.668,5.2,5.374,4.742,4.408,2.954
02,春,6.832,5.542,5.44,5.104,4.25,3.036
02,夏,7.232,5.448,5.074,4.994,4.398,2.998
02,秋,7.064,5.498,5.362,4.88,4.306,3.2
02,冬,7.276,5.452,5.502,4.946,4.29,2.82
03,春,7.582,5.718,5.276,4.674,4.032,3.208
03,夏,7.446,5.862,5.11,4.828,4.09,2.964
03,秋,7.466,5.63,5.456,4.56,4.084,3.352
03,冬,7.63,5.854,5.212,4.658,4.042,3.252
04,春,7.5,5.46,5.28,5.05,4.082,3.016
04,夏,7.394,5.56,5.26,5.112,4.012,2.976
04,秋,7.6,5.496,5.164,4.828,4.06,3.118
04,冬,7.162,5.574,5.132,5.158,4.138,3.17
05,春,7.788,5.436,5.098,4.666,4.368,2.798
05,夏,7.676,5.372,5.278,4.758,4.182,2.928
05,秋,7.792,5.214,5.12,4.834,4.274,2.942
05,冬,7.792,5.412,5.044,4.832,4.038,3.15
06,春,7.556,5.66,5.408,4.864,4.146,2.62
06,夏,7.368,5.308,5.486,4.986,4.222,2.736
06,秋,7.86,5.33,5.192,4.868,4.428,2.518
06,冬,7.934,5.63,5.56,4.372,4.002,2.782
07,春,7.822,5.326,5.328,4.96,4.014,2.788
07,夏,7.784,5.248,5.62,5.166,4.1,2.302
07,秋,8.406,5.47,5.098,4.838,4.084,2.324
07,冬,7.964,5.298,5.344,5.062,4.212,2.388
08,春,8.37,5.422,4.942,4.77,4.108,2.676
08,夏,8.116,5.278,5.078,4.728,4.092,2.904
08,秋,7.958,5.318,5.042,4.96,4.246,2.606
08,冬,8.04,5.108,4.894,4.88,4.194,3.168
09,春,8.226,5.772,5.162,4.76,4.022,2.282
09,夏,7.72,5.564,5.252,4.784,4.216,2.674
09,秋,7.892,5.41,5.032,4.834,4.128,2.898
09,冬,8.186,5.46,5.146,4.77,4.07,2.634
10,春,7.824,5.68,5.374,4.87,3.836,2.62
10,夏,7.762,5.454,5.162,4.704,4.1,3.004
10,秋,7.574,5.434,5.462,4.622,4.108,2.974
10,冬,7.76,5.44,5.384,4.874,4.066,2.746
11,春,7.59,5.692,5.504,4.696,4.122,2.64
11,夏,7.722,5.462,5.23,5.012,4.19,2.578
11,秋,7.814,5.228,5.3,4.846,3.994,3.106
11,冬,7.736,5.186,5.228,4.784,4.252,3.088
12,春,8.314,5.772,5.202,4.902,3.568,2.53
12,夏,7.624,5.378,5.236,5.016,4.054,2.956
12,秋,7.92,5.678,5.096,4.81,3.832,2.888
12,冬,8.342,5.284,5.182,4.438,3.996,2.992
13,春,8.188,5.39,5.094,4.742,3.908,2.838
13,夏,8.008,5.256,5.318,4.776,4.078,2.724
13,秋,8.16,5.266,5.394,4.742,3.872,2.836
13,冬,8.212,5.284,5.154,4.758,4.248,2.674
14,春,7.364,5.454,5.264,4.814,4.376,2.86
14,夏,7.208,5.316,5.33,4.988,4.398,2.992
14,秋,7.538,5.386,5.372,4.782,4.232,3.066
14,冬,7.326,5.538,5.342,5.182,4.12,2.948
15,春,8.292,5.528,5.096,4.646,3.824,2.922
15,夏,7.996,5.55,5.204,4.624,4.018,2.866
15,秋,7.902,5.36,5.174,4.774,3.974,3.022
15,冬,7.912,5.452,5.126,4.776,4.046,3.062
16,春,8.09,5.24,5.234,5.144,3.688,2.792
16,夏,8.054,5.178,5.242,4.744,3.92,3.012
16,秋,7.728,5.628,4.838,5.004,3.79,3.068
16,冬,7.87,5.306,5.308,4.752,4.026,2.984
17,春,7.956,5.392,5.332,4.762,4.1,2.712
17,夏,7.922,5.336,5.176,4.706,4.306,2.742
17,秋,7.938,5.324,5.512,4.828,4.06,2.598
17,冬,7.986,5.51,5.444,4.704,4.048,2.724
18,春,8.556,5.576,5.248,4.762,3.752,2.334
18,夏,8.518,5.712,5.166,4.628,4.008,2.158
18,秋,8.264,5.19,5.352,5.022,3.796,2.552
18,冬,8.24,5.542,5.11,4.698,3.776,2.872
19,春,8.42,5.554,5.03,4.776,3.92,2.682
19,夏,8.176,5.228,5.512,4.628,3.972,2.69
19,秋,8.218,5.438,5.552,4.548,3.828,2.648
19,冬,8.28,5.378,5.324,4.726,3.862,2.606
20,春,8.014,5.342,5.158,4.82,3.966,2.98
20,夏,7.95,5.14,5.156,4.536,4.25,3.126
20,秋,8.102,5.364,5.346,4.536,4.068,2.868
20,冬,8.468,5.192,5.128,4.9,3.724,2.878
21,春,8.178,5.31,4.976,4.906,4.074,2.708
21,夏,7.908,5.158,5.01,4.912,4.35,2.898
21,秋,8.152,5.112,4.916,4.896,4.388,2.78
21,冬,8.354,5.258,5.406,4.646,4.164,2.7
22,春,8.228,5.538,5.636,4.724,3.7,2.512
22,夏,7.808,5.736,5.698,4.608,3.944,2.474
22,秋,8.0,5.812,5.514,4.758,3.778,2.402
22,冬,7.946,5.816,5.318,4.738,4.15,2.324
23,春,7.808,5.88,5.524,4.788,3.916,2.388
23,夏,7.826,5.562,5.228,4.898,4.156,2.504
23,秋,7.906,5.546,5.478,4.582,4.188,2.628
23,冬,7.998,5.466,5.432,4.706,4.044,2.57
24,春,8.342,5.616,5.228,4.574,3.736,2.726
24,夏,8.172,5.412,5.268,4.62,4.078,2.624
24,秋,8.466,5.078,5.436,4.468,3.982,2.746
24,冬,8.542,5.506,5.292,4.468,3.764,2.77
