機番,2連率,評価,出足,伸び
27,65.0,A,◎,◎
12,58.3,SS,◉,◉
61,56.5,S,◉,◎
41,55.5,B+,○,○
30,52.1,S,◎,◎
19,50.0,B-,▲,▲
58,50.0,A-,◎,○
29,47.0,B-,▲,▲
62,46.6,B+,▲,▲
11,45.4,A-,◎,◎
43,44.4,A+,◎,◎
26,43.4,A-,◎,◎
68,43.4,A,◎,○
64,42.8,A,◎,◎
21,41.1,A-,◎,▲
60,40.0,B,△,▲
55,38.8,B,▲,▲
46,38.4,B,○,▲
50,37.5,B+,○,○
15,35.2,A+,◎,◎
31,35.2,B+,○,○
48,35.2,A-,◎,○
10,35.0,A-,◎,○
72,31.8,B,▲,○
18,31.2,A-,○,◎
38,31.2,B,▲,▲
56,31.2,B+,○,▲
49,30.0,C,▲,▲
53,28.5,B-,▲,▲
65,27.7,B+,○,▲
13,27.2,A-,◎,○
16,25.0,B-,△,▲
59,25.0,C,▲,▲
37,23.5,A,◎,◎
39,21.0,B-,△,▲
44,20.0,B,▲,○
24,17.6,B,▲,○
20,16.6,C,▲,▲
69,15.7,A-,○,○
74,15.0,B,▲,▲
34,13.6,A-,◎,▲
70,9.5,B,▲,▲
57,6.2,C,▲,△
