機番,素性ランク,2連対率,勝率
32,S,48.5,6.22
4,A,46.1,6.07
16,B,46.0,6.10
40,C,44.2,6.07
7,A,40.9,5.64
28,A,39.4,5.66
35,C,39.3,5.41
22,C,38.8,5.65
2,B,38.6,5.52
50,D,38.6,5.14
31,B,38.2,5.48
8,C,38.0,5.71
49,D,37.6,5.44
29,C,37.5,5.42
10,B,37.4,5.48
5,C,37.0,5.48
42,C,37.0,5.47
18,A,36.8,5.49
15,C,35.9,5.16
12,B,35.7,5.29
54,D,35.6,5.41
46,D,34.8,5.27
19,C,34.6,5.14
34,C,34.4,5.09
47,D,33.8,5.29
37,D,33.6,5.17
21,C,33.5,5.24
52,C,33.5,5.34
55,B,33.5,5.15
27,C,33.3,5.40
14,A,33.1,5.20
20,C,33.1,5.41
60,D,33.0,5.23
38,C,32.7,5.02
25,C,32.4,5.01
44,C,32.4,5.01
58,C,32.4,5.08
9,C,32.0,5.28
26,D,31.8,5.23
1,D,31.7,4.89
24,C,31.1,5.22
43,D,30.3,4.75
11,D,30.0,4.99
41,C,29.8,4.83
36,C,29.7,5.09
48,C,29.7,4.96
59,D,29.4,4.72
13,A,29.1,4.93
17,D,28.7,4.59
6,D,28.3,4.80
57,D,27.6,4.50
3,C,26.3,4.78
56,D,24.4,4.63
30,D,24.2,4.30
23,D,23.0,4.40
51,D,22.0,4.18
33,D,21.6,4.51
53,D,21.5,4.49
45,D,20.6,4.17
39,D,15.6,3.89
