順位,機番,2連率,評価平均,出足,伸び
1,63,55.2,7,☆,◎
2,59,56.6,6,☆,☆
3,24,51.2,6,○,☆
4,41,51.2,6,☆,◎
5,38,45.4,6,☆,☆
6,47,40.6,6,◎,☆
7,26,31.5,6,☆,◎
8,28,47.2,5,◎,○
9,54,46.3,5,◎,○
10,61,44.1,5,◎,◎
11,20,43.5,5,◎,◎
12,23,42.8,5,○,◎
13,45,42.8,5,◎,◎
14,29,39.4,5,◎,○
15,46,39.0,5,◎,◎
16,49,38.8,5,◎,◎
17,57,37.5,5,○,◎
18,58,36.5,5,◎,○
19,37,36.3,5,◎,◎
20,62,35.9,5,◎,○
21,43,30.0,5,◎,◎
22,74,29.7,5,◎,◎
23,60,29.0,5,○,◎
24,40,28.5,5,◎,◎
25,68,22.5,5,◎,◎
26,12,12.8,5,◎,◎
27,44,54.2,4,◎,○
28,34,48.5,4,○,○
29,53,45.4,4,○,○
30,31,44.8,4,○,○
31,52,42.5,4,◎,○
32,56,40.4,4,○,○
33,69,39.5,4,△,○
34,81,36.8,4,○,◎
35,13,36.5,4,○,○
36,39,35.1,4,○,○
37,79,34.2,4,◎,○
38,48,33.3,4,○,○
39,76,32.5,4,◎,○
40,16,32.3,4,△,○
41,80,29.4,4,◎,△
42,55,29.2,4,◎,○
43,36,27.0,4,◎,○
44,19,26.4,4,○,◎
45,78,25.6,4,○,○
46,66,20.5,4,○,○
47,71,20.5,4,○,○
48,72,10.0,4,◎,○
49,73,9.6,4,◎,◎
50,17,53.1,3,○,○
51,65,40.0,3,○,○
52,14,35.1,3,△,△
53,25,33.3,3,○,△
54,70,33.3,3,○,○
55,33,31.7,3,△,○
56,27,30.5,3,○,○
57,32,29.2,3,○,○
58,21,28.2,3,△,△
59,77,27.0,3,◎,○
60,67,25.0,3,○,○
61,35,23.6,3,△,△
62,30,23.0,3,◎,○
63,64,22.8,3,○,○
64,75,21.8,3,○,△
65,51,21.0,3,○,○
66,15,19.5,3,△,△
67,22,18.4,3,△,○
68,11,13.1,3,△,○
69,50,9.0,3,○,△
70,18,21.0,2,△,△
